Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em JANEIRO/ 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
15;61.146.577;BANCO BARCLAYS S.A.; 4 ; 51.517.797 ; 8 ; 26.043.895 ; 240 ; 1.591.191.950 ; 218 ; 985.232.948 ; 470 ; 2.653.986.591 ; 124 ; 1.002.241.705 ; 165 ; 1.701.961.068 ; 289 ; 2.704.202.773 ; 759 ; 5.358.189.364 ;;;;
16;59.588.111;BANCO VOTORANTIM S.A.; 124 ; 87.610.314 ; 640 ; 108.392.832 ; 139 ; 125.429.992 ; 530 ; 180.489.235 ; 1.433 ; 501.922.373 ; 127 ; 2.117.746.450 ; 488 ; 2.059.701.297 ; 615 ; 4.177.447.747 ; 2.048 ; 4.679.370.120 ;;;;
17;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 9 ; 49.447.417 ;;; 9 ; 49.447.417 ; 7 ; 2.300.000.000 ; 7 ; 2.300.000.000 ; 14 ; 4.600.000.000 ; 23 ; 4.649.447.417 ;;;;
18;61.820.817;BANCO PAULISTA S.A.; 232 ; 20.029.711 ; 471 ; 34.101.178 ; 1.213 ; 69.218.067 ; 2.333 ; 216.698.696 ; 4.249 ; 340.047.652 ; 1.715 ; 1.973.569.509 ; 9.749 ; 1.790.168.757 ; 11.464 ; 3.763.738.266 ; 15.713 ; 4.103.785.918 ;;;;
19;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 182 ; 77.617.996 ; 471 ; 121.541.949 ; 469 ; 244.488.391 ; 479 ; 101.573.389 ; 1.601 ; 545.221.726 ; 373 ; 1.672.813.102 ; 509 ; 1.770.135.744 ; 882 ; 3.442.948.846 ; 2.483 ; 3.988.170.572 ;;;;
20;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 38 ; 49.146.265 ;;; 44 ; 904.886.195 ; 34 ; 101.570.348 ; 116 ; 1.055.602.808 ; 6 ; 889.026.063 ; 20 ; 1.466.697.900 ; 26 ; 2.355.723.963 ; 142 ; 3.411.326.771 ;;;;
21;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 263 ; 1.306.085.266 ; 173 ; 1.051.697.767 ; 442 ; 2.388.767.643 ; 6 ; 310.173.977 ; 12 ; 533.904.705 ; 18 ; 844.078.682 ; 460 ; 3.232.846.325 ;;;;
22;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 29 ; 107.443.990 ; 213 ; 24.889.499 ; 137 ; 492.277.003 ; 322 ; 645.665.415 ; 701 ; 1.270.275.907 ; 143 ; 597.564.796 ; 146 ; 1.021.209.418 ; 289 ; 1.618.774.213 ; 990 ; 2.889.050.120 ;;;;
23;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 10 ; 37.388.456 ; 6 ; 2.766.197 ; 16 ; 284.197.820 ; 46 ; 19.547.197 ; 78 ; 343.899.670 ; 40 ; 615.049.160 ; 56 ; 957.919.542 ; 96 ; 1.572.968.703 ; 174 ; 1.916.868.373 ;;;;
24;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 33 ; 933.626 ; 719 ; 47.002.976 ; 143 ; 8.378.965 ; 470 ; 18.908.662 ; 1.365 ; 75.224.229 ; 1.213 ; 850.728.765 ; 10.181 ; 771.015.247 ; 11.394 ; 1.621.744.012 ; 12.759 ; 1.696.968.241 ;;;;
25;58.160.789;BANCO SAFRA S.A.; 292 ; 129.888.934 ; 855 ; 157.490.604 ; 797 ; 295.914.906 ; 2.672 ; 230.539.509 ; 4.616 ; 813.833.952 ; 146 ; 579.970.153 ; 127 ; 235.352.036 ; 273 ; 815.322.189 ; 4.889 ; 1.629.156.141 ;;;;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 28 ; 310.549.121 ; 21 ; 2.064.523 ; 58 ; 103.907.379 ; 172 ; 174.851.407 ; 279 ; 591.372.430 ; 31 ; 237.437.680 ; 40 ; 537.418.221 ; 71 ; 774.855.901 ; 350 ; 1.366.228.331 ;;;;
27;68.900.810;BANCO RENDIMENTO S.A.; 97 ; 2.336.631 ; 211 ; 5.195.080 ; 3.796 ; 87.442.758 ; 3.892 ; 201.913.230 ; 7.996 ; 296.887.699 ; 351 ; 510.290.668 ; 6.358 ; 333.681.806 ; 6.709 ; 843.972.474 ; 14.705 ; 1.140.860.173 ;;;;
28;62.232.889;BANCO DAYCOVAL S.A.; 120 ; 50.583.102 ; 410 ; 56.977.372 ; 602 ; 12.962.591 ; 2.956 ; 89.239.382 ; 4.088 ; 209.762.447 ; 306 ; 333.538.252 ; 315 ; 238.053.282 ; 621 ; 571.591.535 ; 4.709 ; 781.353.982 ;;;;
29;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 131 ; 200.073.038 ; 302 ; 55.855.762 ; 303 ; 102.766.607 ; 421 ; 56.362.172 ; 1.157 ; 415.057.580 ; 37 ; 74.101.870 ; 44 ; 250.597.294 ; 81 ; 324.699.164 ; 1.238 ; 739.756.744 ;;;;
30;15.114.366;BANCO BBM S/A; 20 ; 13.954.144 ; 2 ; 6.412.610 ; 14 ; 57.532.552 ; 48 ; 100.914.026 ; 84 ; 178.813.332 ; 30 ; 257.080.886 ; 38 ; 180.574.224 ; 68 ; 437.655.110 ; 152 ; 616.468.442 ;;;;
31;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 136 ; 95.907.522 ; 132 ; 114.125.238 ; 268 ; 210.032.760 ; 12 ; 203.200.000 ; 42 ; 185.750.000 ; 54 ; 388.950.000 ; 322 ; 598.982.760 ;;;;
