Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Fevereiro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 123 ; 12.583.948 ; 1.504 ; 71.937.266 ; 821 ; 47.664.444 ; 8.617 ; 315.795.210 ; 11.065 ; 447.980.868 ; 510 ; 2.960.305.248 ; 628 ; 2.637.231.642 ; 1.138 ; 5.597.536.890 ; 12.203 ; 6.045.517.758 ;
16;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 236 ; 1.308.970.207 ; 194 ; 805.197.820 ; 430 ; 2.114.168.027 ; 43 ; 1.388.860.808 ; 55 ; 1.928.107.274 ; 98 ; 3.316.968.082 ; 528 ; 5.431.136.109 ;
17;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 617 ; 1.538.662.022 ; 717 ; 1.981.297.922 ; 1.334 ; 3.519.959.944 ; 47 ; 960.680.345 ; 32 ; 517.208.026 ; 79 ; 1.477.888.371 ; 1.413 ; 4.997.848.315 ;
18;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 288 ; 131.943.096 ; 1.129 ; 106.872.382 ; 25.703 ; 1.327.229.925 ; 14.001 ; 617.007.792 ; 41.121 ; 2.183.053.195 ; 308 ; 1.001.525.137 ; 328 ; 1.664.211.119 ; 636 ; 2.665.736.256 ; 41.757 ; 4.848.789.451 ;
19;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.077 ; 236.366.166 ; 6.491 ; 281.189.902 ; 9.347 ; 644.768.633 ; 43.371 ; 627.601.851 ; 60.286 ; 1.789.926.552 ; 99 ; 1.563.045.251 ; 128 ; 1.300.563.730 ; 227 ; 2.863.608.981 ; 60.513 ; 4.653.535.533 ;
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 92 ; 121.380.941 ; 743 ; 162.434.598 ; 222 ; 637.349.452 ; 432 ; 600.751.945 ; 1.489 ; 1.521.916.936 ; 689 ; 958.539.659 ; 693 ; 815.086.601 ; 1.382 ; 1.773.626.260 ; 2.871 ; 3.295.543.196 ;
21;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 52 ; 198.702.860 ; 213 ; 37.976.623 ; 187 ; 163.082.991 ; 341 ; 194.797.770 ; 793 ; 594.560.244 ; 252 ; 789.665.211 ; 260 ; 906.377.518 ; 512 ; 1.696.042.729 ; 1.305 ; 2.290.602.973 ;
22;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 154 ; 56.478.219 ; 614 ; 128.113.364 ; 2.171 ; 410.909.597 ; 4.809 ; 474.394.075 ; 7.748 ; 1.069.895.255 ; 78 ; 641.870.422 ; 97 ; 504.253.265 ; 175 ; 1.146.123.687 ; 7.923 ; 2.216.018.942 ;
23;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 153 ; 30.726.793 ; 660 ; 12.349.349 ; 33.236 ; 160.609.973 ; 73.240 ; 746.686.545 ; 107.289 ; 950.372.660 ; 724 ; 913.400.938 ; 2.753 ; 346.699.211 ; 3.477 ; 1.260.100.149 ; 110.766 ; 2.210.472.809 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 80 ; 308.310.658 ; 1 ; 245.431 ; 50 ; 133.472.403 ; 140 ; 125.626.933 ; 271 ; 567.655.425 ; 97 ; 634.954.069 ; 111 ; 920.138.382 ; 208 ; 1.555.092.451 ; 479 ; 2.122.747.876 ;
25;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 713 ; 78.480.170 ; 3.812 ; 183.108.457 ; 65.621 ; 257.236.012 ; 373.504 ; 460.412.724 ; 443.650 ; 979.237.363 ; 1.016 ; 686.777.693 ; 6.952 ; 271.231.577 ; 7.968 ; 958.009.270 ; 451.618 ; 1.937.246.633 ;
26;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 75 ; 227.906.371 ; 178 ; 78.970.405 ; 92 ; 19.705.650 ; 163 ; 43.949.405 ; 508 ; 370.531.831 ; 99 ; 757.333.833 ; 114 ; 795.007.391 ; 213 ; 1.552.341.224 ; 721 ; 1.922.873.055 ;
27;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 60 ; 65.887.636 ; 368 ; 151.618.815 ; 45 ; 32.184.138 ; 109 ; 38.035.272 ; 582 ; 287.725.861 ; 82 ; 857.989.157 ; 90 ; 775.639.659 ; 172 ; 1.633.628.816 ; 754 ; 1.921.354.677 ;
