Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Fev/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 95 ; 174.580.610 ; 445 ; 124.240.299 ; 254 ; 636.977.764 ; 599 ; 620.261.871 ; 1.393 ; 1.556.060.544 ; 149 ; 1.088.697.235 ; 274 ; 2.731.377.021 ; 423 ; 3.820.074.256 ; 1.816 ; 5.376.134.799 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 344 ; 577.215.559 ; 1.501 ; 293.301.141 ; 468 ; 624.949.223 ; 1.002 ; 700.851.449 ; 3.315 ; 2.196.317.372 ; 315 ; 1.020.157.958 ; 516 ; 2.153.886.785 ; 831 ; 3.174.044.743 ; 4.146 ; 5.370.362.115 ;
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 190 ; 465.724.534 ; 344 ; 195.211.744 ; 564 ; 681.029.262 ; 707 ; 678.348.161 ; 1.805 ; 2.020.313.701 ; 170 ; 1.210.075.257 ; 218 ; 1.293.010.606 ; 388 ; 2.503.085.863 ; 2.193 ; 4.523.399.564 ;
19;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 3 ; 457.241 ; 1 ; 1.500.000 ; 360 ; 1.042.450.422 ; 382 ; 1.025.080.896 ; 746 ; 2.069.488.559 ; 18 ; 686.543.055 ; 29 ; 772.514.946 ; 47 ; 1.459.058.001 ; 793 ; 3.528.546.561 ;
20;53.518.684;BANCO HSBC S.A.; 25 ; 201.745.194 ; 369 ; 86.634.053 ; 104 ; 283.288.933 ; 305 ; 726.123.478 ; 803 ; 1.297.791.658 ; 215 ; 1.081.442.818 ; 238 ; 693.851.981 ; 453 ; 1.775.294.799 ; 1.256 ; 3.073.086.457 ;
21;31.872.495;BANCO C6 S.A.; 52 ; 31.583.678 ; 266 ; 147.413.522 ; 619 ; 465.490.878 ; 6.290 ; 530.309.972 ; 7.227 ; 1.174.798.050 ; 178 ; 958.134.389 ; 289 ; 759.592.382 ; 467 ; 1.717.726.771 ; 7.694 ; 2.892.524.821 ;
22;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 191 ; 10.394.258 ; 1.270 ; 59.230.683 ; 505 ; 225.655.494 ; 102.544 ; 143.260.434 ; 104.510 ; 438.540.870 ; 591 ; 1.038.075.469 ; 846 ; 1.063.404.892 ; 1.437 ; 2.101.480.361 ; 105.947 ; 2.540.021.231 ;
23;28.195.667;BANCO ABC BRASIL S.A.; 257 ; 217.011.181 ; 684 ; 68.554.240 ; 207 ; 156.039.208 ; 536 ; 172.363.614 ; 1.684 ; 613.968.244 ; 312 ; 677.906.059 ; 670 ; 1.220.000.721 ; 982 ; 1.897.906.780 ; 2.666 ; 2.511.875.024 ;
24;49.336.860;ING BANK N.V.; 26 ; 110.158.174 ;;; 30 ; 4.501.470 ; 78 ; 6.195.197 ; 134 ; 120.854.840 ; 38 ; 961.952.007 ; 47 ; 1.067.740.380 ; 85 ; 2.029.692.387 ; 219 ; 2.150.547.228 ;
25;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 26 ; 95.191.506 ; 43 ; 60.059.483 ; 31 ; 377.119.555 ; 237 ; 375.786.483 ; 337 ; 908.157.028 ; 35 ; 543.694.297 ; 37 ; 586.191.933 ; 72 ; 1.129.886.230 ; 409 ; 2.038.043.257 ;
26;58.160.789;BANCO SAFRA S.A.; 485 ; 270.421.549 ; 2.063 ; 229.335.591 ; 1.617 ; 269.965.937 ; 2.211 ; 549.497.714 ; 6.376 ; 1.319.220.791 ; 340 ; 445.371.028 ; 322 ; 189.835.764 ; 662 ; 635.206.792 ; 7.038 ; 1.954.427.583 ;
27;68.900.810;BANCO RENDIMENTO S.A.; 93 ; 9.543.615 ; 298 ; 71.961.860 ; 277.558 ; 701.330.908 ; 18.048 ; 137.191.618 ; 295.997 ; 920.028.001 ; 2.318 ; 230.504.730 ; 10.342 ; 741.931.006 ; 12.660 ; 972.435.735 ; 308.657 ; 1.892.463.736 ;
