Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;53.518.684;BANCO HSBC S.A.; 449 ; 4.117.928.480 ; 1.461 ; 2.883.703.675 ; 1.841 ; 4.835.473.353 ; 2.251 ; 2.477.872.639 ; 6.002 ; 14.314.978.148 ; 1.916 ; 10.867.885.404 ; 2.092 ; 14.447.877.600 ; 4.008 ; 25.315.763.004 ; 10.010 ; 39.630.741.152 ;
16;59.588.111;BANCO VOTORANTIM S.A.; 3.193 ; 3.500.778.302 ; 9.442 ; 1.901.717.872 ; 2.905 ; 3.516.793.172 ; 7.899 ; 3.773.850.615 ; 23.439 ; 12.693.139.961 ; 4.659 ; 10.312.216.941 ; 7.829 ; 11.987.590.422 ; 12.488 ; 22.299.807.363 ; 35.927 ; 34.992.947.325 ;
17;28.195.667;BANCO ABC BRASIL S.A.; 1.834 ; 1.610.855.872 ; 5.146 ; 1.283.900.442 ; 1.215 ; 5.445.384.376 ; 6.047 ; 3.734.059.190 ; 14.242 ; 12.074.199.880 ; 1.521 ; 10.146.698.018 ; 2.712 ; 12.092.977.925 ; 4.233 ; 22.239.675.943 ; 18.475 ; 34.313.875.823 ;
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.250 ; 2.085.712.565 ; 2.414 ; 1.257.275.281 ; 3.447 ; 4.421.953.189 ; 4.197 ; 4.978.325.873 ; 11.308 ; 12.743.266.908 ; 4.078 ; 10.254.447.305 ; 4.251 ; 10.923.678.385 ; 8.329 ; 21.178.125.691 ; 19.637 ; 33.921.392.599 ;
19;02.801.938;BANCO MORGAN STANLEY S.A.; 133 ; 910.594.660 ; 270 ; 199.521.159 ; 4.414 ; 11.088.414.931 ; 3.997 ; 8.263.937.207 ; 8.814 ; 20.462.467.956 ; 160 ; 4.795.425.925 ; 259 ; 8.563.828.754 ; 419 ; 13.359.254.679 ; 9.233 ; 33.821.722.634 ;
20;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 15 ; 31.347.083 ;;; 15 ; 31.347.083 ; 27 ; 16.687.700.774 ; 30 ; 17.071.000.000 ; 57 ; 33.758.700.774 ; 72 ; 33.790.047.857 ;
21;31.872.495;BANCO C6 S.A.; 1.179 ; 1.930.437.318 ; 8.372 ; 1.679.043.941 ; 63.351 ; 3.111.862.413 ; 622.537 ; 4.897.283.950 ; 695.439 ; 11.618.627.623 ; 1.649 ; 9.074.777.909 ; 2.351 ; 7.602.169.216 ; 4.000 ; 16.676.947.126 ; 699.439 ; 28.295.574.748 ;
22;33.264.668;BANCO XP S.A.; 4.719 ; 2.808.343.136 ; 33.855 ; 5.858.066.279 ; 23.748 ; 4.322.987.490 ; 75.670 ; 6.208.884.261 ; 137.992 ; 19.198.281.167 ; 964 ; 7.024.335.093 ; 786 ; 1.942.708.981 ; 1.750 ; 8.967.044.074 ; 139.742 ; 28.165.325.241 ;
23;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 11.930 ; 1.152.438.605 ; 27.123 ; 1.214.950.227 ; 50.897 ; 4.337.882.459 ; 91.399 ; 8.302.939.061 ; 181.349 ; 15.008.210.352 ; 21.290 ; 8.454.147.053 ; 70.570 ; 4.430.637.711 ; 91.860 ; 12.884.784.765 ; 273.209 ; 27.892.995.117 ;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 87 ; 959.176.010 ; 24 ; 30.644.746 ; 265 ; 713.506.407 ; 581 ; 673.504.110 ; 957 ; 2.376.831.272 ; 969 ; 11.371.179.303 ; 1.023 ; 12.244.219.168 ; 1.992 ; 23.615.398.471 ; 2.949 ; 25.992.229.744 ;
