Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em DEZEMBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
14;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 13 ; 35.802.153 ;;; 13 ; 35.802.153 ; 13 ; 3.700.000.000 ; 13 ; 3.700.000.000 ; 26 ; 7.400.000.000 ; 39 ; 7.435.802.153 ;;;;
15;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 588 ; 877.394.960 ; 495 ; 1.916.556.760 ; 1.083 ; 2.793.951.720 ; 47 ; 1.591.180.066 ; 20 ; 640.679.171 ; 67 ; 2.231.859.236 ; 1.150 ; 5.025.810.956 ;;;;
16;59.588.111;BANCO VOTORANTIM S.A.; 173 ; 336.193.946 ; 1.161 ; 259.257.222 ; 299 ; 281.504.043 ; 965 ; 911.499.903 ; 2.598 ; 1.788.455.114 ; 312 ; 1.793.954.996 ; 566 ; 1.026.730.717 ; 878 ; 2.820.685.713 ; 3.476 ; 4.609.140.827 ;;;;
17;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 45 ; 69.313.706 ;;; 61 ; 330.740.623 ; 73 ; 187.646.309 ; 179 ; 587.700.638 ; 9 ; 414.526.010 ; 33 ; 1.372.002.339 ; 42 ; 1.786.528.349 ; 221 ; 2.374.228.987 ;;;;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 163 ; 163.659.850 ; 532 ; 140.006.641 ; 573 ; 383.424.105 ; 622 ; 236.822.121 ; 1.890 ; 923.912.716 ; 265 ; 603.227.104 ; 245 ; 770.896.526 ; 510 ; 1.374.123.630 ; 2.400 ; 2.298.036.346 ;;;;
19;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 1 ; 2.837.578 ; 5 ; 622.717 ; 15 ; 1.024.470.890 ; 32 ; 9.735.765 ; 53 ; 1.037.666.950 ; 10 ; 10.374.251 ; 29 ; 1.027.101.778 ; 39 ; 1.037.476.028 ; 92 ; 2.075.142.978 ;;;;
20;58.160.789;BANCO SAFRA S.A.; 156 ; 76.215.693 ; 641 ; 150.618.048 ; 808 ; 71.398.542 ; 2.033 ; 301.901.991 ; 3.638 ; 600.134.274 ; 107 ; 870.286.787 ; 88 ; 557.829.053 ; 195 ; 1.428.115.840 ; 3.833 ; 2.028.250.114 ;;;;
21;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 186 ; 730.490.532 ; 175 ; 772.012.486 ; 361 ; 1.502.503.019 ; 8 ; 142.745.244 ; 11 ; 246.492.002 ; 19 ; 389.237.246 ; 380 ; 1.891.740.265 ;;;;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 3 ; 112.025.963 ; 22 ; 92.842.190 ; 29 ; 149.314.831 ; 94 ; 250.836.910 ; 148 ; 605.019.894 ; 117 ; 530.160.527 ; 140 ; 474.334.581 ; 257 ; 1.004.495.108 ; 405 ; 1.609.515.002 ;;;;
23;00.360.305;CAIXA ECONOMICA FEDERAL; 271 ; 195.590.710 ; 187 ; 9.229.577 ; 4.990 ; 179.412.631 ; 1.507 ; 429.251.679 ; 6.955 ; 813.484.597 ; 78 ; 381.600.150 ; 113 ; 319.995.312 ; 191 ; 701.595.462 ; 7.146 ; 1.515.080.059 ;;;;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 15 ; 81.441.449 ;;; 25 ; 123.971.213 ; 47 ; 119.239.927 ; 87 ; 324.652.589 ; 50 ; 454.795.313 ; 52 ; 556.787.145 ; 102 ; 1.011.582.458 ; 189 ; 1.336.235.047 ;;;;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 46 ; 200.438.088 ; 20 ; 9.870.153 ; 117 ; 264.051.549 ; 283 ; 237.356.935 ; 466 ; 711.716.726 ; 20 ; 141.712.802 ; 32 ; 300.750.186 ; 52 ; 442.462.988 ; 518 ; 1.154.179.714 ;;;;
26;61.820.817;BANCO PAULISTA S.A.; 125 ; 45.228.192 ; 266 ; 19.407.153 ; 808 ; 111.331.271 ; 1.397 ; 101.733.995 ; 2.596 ; 277.700.611 ; 1.123 ; 388.122.001 ; 5.999 ; 418.262.497 ; 7.122 ; 806.384.498 ; 9.718 ; 1.084.085.109 ;;;;
27;49.336.860;ING BANK N.V.; 20 ; 227.815.148 ; 5 ; 3.840.191 ; 7 ; 379.942 ; 69 ; 140.133.542 ; 101 ; 372.168.823 ; 19 ; 259.703.969 ; 28 ; 445.489.504 ; 47 ; 705.193.472 ; 148 ; 1.077.362.295 ;;;;
28;71.027.866;BANCO BONSUCESSO S.A.; 1 ; 25.000 ; 9 ; 637.205 ; 16 ; 63.998 ; 72 ; 1.092.595 ; 98 ; 1.818.798 ; 230 ; 539.095.704 ; 164 ; 533.794.163 ; 394 ; 1.072.889.867 ; 492 ; 1.074.708.666 ;;;;
29;28.195.667;BANCO ABC BRASIL S.A.; 67 ; 20.237.552 ; 98 ; 10.714.745 ; 32 ; 134.080.391 ; 335 ; 250.813.035 ; 532 ; 415.845.723 ; 30 ; 370.755.332 ; 28 ; 270.256.094 ; 58 ; 641.011.426 ; 590 ; 1.056.857.149 ;;;;
30;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;;; 24 ; 487.665.560 ; 24 ; 487.665.560 ; 24 ; 487.665.560 ;;; 24 ; 487.665.560 ; 48 ; 975.331.121 ;;;;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 141 ; 32.555.785 ; 462 ; 94.592.287 ; 341 ; 228.856.085 ; 588 ; 130.741.150 ; 1.532 ; 486.745.308 ; 63 ; 135.867.895 ; 63 ; 173.873.294 ; 126 ; 309.741.189 ; 1.658 ; 796.486.497 ;;;;
