Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Junho/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
13;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 647 ; 1.362.393.563 ; 4.872 ; 2.095.477.462 ; 739 ; 1.795.155.167 ; 2.217 ; 3.200.195.641 ; 8.475 ; 8.453.221.833 ; 3.078 ; 18.145.056.097 ; 3.077 ; 16.064.320.547 ; 6.155 ; 34.209.376.644 ; 14.630 ; 42.662.598.477 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.645 ; 10.856.048.530 ; 2.774 ; 14.793.369.162 ; 5.419 ; 25.649.417.692 ; 408 ; 8.071.171.304 ; 245 ; 4.134.195.929 ; 653 ; 12.205.367.233 ; 6.072 ; 37.854.784.925 ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 5.440 ; 928.616.398 ; 35.277 ; 2.221.861.221 ; 40.516 ; 2.806.465.981 ; 113.268 ; 4.012.590.444 ; 194.501 ; 9.969.534.044 ; 929 ; 12.998.457.489 ; 973 ; 10.334.866.337 ; 1.902 ; 23.333.323.826 ; 196.403 ; 33.302.857.870 ;
16;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 572 ; 31.572.193 ; 6.968 ; 413.092.734 ; 3.552 ; 596.698.031 ; 46.154 ; 1.354.656.487 ; 57.246 ; 2.396.019.445 ; 3.327 ; 14.777.620.101 ; 3.422 ; 13.630.103.227 ; 6.749 ; 28.407.723.328 ; 63.995 ; 30.803.742.773 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 721 ; 628.424.575 ; 3.265 ; 1.401.187.205 ; 1.480 ; 5.931.715.749 ; 2.908 ; 4.563.513.294 ; 8.374 ; 12.524.840.823 ; 3.764 ; 7.293.648.666 ; 3.790 ; 8.016.975.813 ; 7.554 ; 15.310.624.479 ; 15.928 ; 27.835.465.302 ;
18;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 424 ; 1.303.021.420 ; 34 ; 15.624.952 ; 409 ; 1.128.818.323 ; 1.138 ; 1.834.484.410 ; 2.005 ; 4.281.949.105 ; 682 ; 10.215.794.513 ; 745 ; 10.729.827.691 ; 1.427 ; 20.945.622.204 ; 3.432 ; 25.227.571.309 ;
19;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.106 ; 10.656.874.977 ; 2.220 ; 10.634.770.292 ; 4.326 ; 21.291.645.269 ; 64 ; 1.879.338.586 ; 67 ; 2.021.321.910 ; 131 ; 3.900.660.496 ; 4.457 ; 25.192.305.765 ;
20;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 1.096 ; 81.739.856 ; 6.015 ; 560.011.779 ; 204.345 ; 1.312.070.090 ; 474.357 ; 10.085.443.016 ; 685.813 ; 12.039.264.741 ; 5.664 ; 10.992.544.563 ; 15.865 ; 1.739.795.556 ; 21.529 ; 12.732.340.119 ; 707.342 ; 24.771.604.860 ;
21;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 481 ; 556.732.176 ; 1.155 ; 342.248.152 ; 478 ; 590.264.798 ; 763 ; 801.524.674 ; 2.877 ; 2.290.769.800 ; 1.042 ; 10.893.932.854 ; 1.027 ; 10.909.147.792 ; 2.069 ; 21.803.080.646 ; 4.946 ; 24.093.850.446 ;
22;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 400 ; 3.259.117.634 ; 859 ; 316.558.318 ; 1.299 ; 2.247.718.419 ; 1.811 ; 2.086.538.165 ; 4.369 ; 7.909.932.536 ; 1.184 ; 4.720.877.310 ; 1.278 ; 7.711.676.150 ; 2.462 ; 12.432.553.460 ; 6.831 ; 20.342.485.996 ;
23;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 870 ; 1.049.449.909 ; 6.897 ; 979.441.860 ; 9.401 ; 2.706.448.134 ; 17.691 ; 3.484.518.235 ; 34.859 ; 8.219.858.138 ; 674 ; 6.288.529.872 ; 838 ; 5.050.297.121 ; 1.512 ; 11.338.826.993 ; 36.371 ; 19.558.685.131 ;
24;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 56 ; 1.777.670.208 ; 190 ; 215.750.329 ; 778 ; 4.618.227.935 ; 893 ; 4.650.371.320 ; 1.917 ; 11.262.019.792 ; 57 ; 2.791.617.451 ; 146 ; 4.161.875.486 ; 203 ; 6.953.492.937 ; 2.120 ; 18.215.512.729 ;
25;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 2.332 ; 719.606.533 ; 5.885 ; 724.045.375 ; 143.159 ; 5.224.658.746 ; 112.278 ; 1.214.238.797 ; 263.654 ; 7.882.549.451 ; 1.726 ; 1.621.712.513 ; 1.893 ; 5.592.133.352 ; 3.619 ; 7.213.845.865 ; 267.273 ; 15.096.395.316 ;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 3.626 ; 632.278.038 ; 11.495 ; 485.170.605 ; 29.009 ; 2.495.909.586 ; 35.291 ; 3.934.944.889 ; 79.421 ; 7.548.303.118 ; 9.986 ; 3.917.559.566 ; 26.214 ; 2.616.390.759 ; 36.200 ; 6.533.950.325 ; 115.621 ; 14.082.253.443 ;
