Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.572 ; 2.449.747.659 ; 15.572 ; 2.550.812.518 ; 25.229 ; 7.261.405.094 ; 39.065 ; 7.817.754.970 ; 85.438 ; 20.079.720.241 ; 953 ; 17.128.638.719 ; 1.125 ; 21.987.916.682 ; 2.078 ; 39.116.555.401 ; 87.516 ; 59.196.275.642 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 8.543 ; 3.422.439.718 ; 27.663 ; 4.321.691.852 ; 35.930 ; 9.808.901.313 ; 45.693 ; 12.734.783.307 ; 117.829 ; 30.287.816.190 ; 726 ; 8.319.142.485 ; 697 ; 4.838.160.665 ; 1.423 ; 13.157.303.150 ; 119.252 ; 43.445.119.340 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.390 ; 1.666.490.067 ; 8.313 ; 2.019.697.372 ; 8.512 ; 9.249.705.460 ; 11.375 ; 10.300.131.095 ; 29.590 ; 23.236.023.993 ; 375 ; 5.959.006.024 ; 352 ; 3.842.521.962 ; 727 ; 9.801.527.986 ; 30.317 ; 33.037.551.980 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 242 ; 431.738.975 ; 2.044 ; 889.129.845 ; 1.600 ; 4.419.825.822 ; 2.290 ; 5.208.644.768 ; 6.176 ; 10.949.339.411 ; 538 ; 7.657.922.836 ; 586 ; 6.682.372.190 ; 1.124 ; 14.340.295.027 ; 7.300 ; 25.289.634.437 ;
5;30.306.294;BANCO BTG PACTUAL S.A.; 378 ; 1.019.210.178 ; 1.213 ; 557.307.685 ; 2.268 ; 774.044.583 ; 4.168 ; 1.306.737.686 ; 8.027 ; 3.657.300.132 ; 209 ; 7.335.456.533 ; 385 ; 12.946.751.319 ; 594 ; 20.282.207.852 ; 8.621 ; 23.939.507.984 ;
6;00.000.000;BANCO DO BRASIL S.A.; 8.941 ; 4.164.222.786 ; 19.256 ; 3.214.029.269 ; 25.984 ; 1.315.457.053 ; 45.560 ; 4.705.948.739 ; 99.741 ; 13.399.657.847 ; 484 ; 5.477.883.921 ; 404 ; 1.452.363.535 ; 888 ; 6.930.247.456 ; 100.629 ; 20.329.905.303 ;
7;60.746.948;BANCO BRADESCO S.A.; 4.538 ; 2.101.838.868 ; 9.191 ; 1.469.067.348 ; 25.643 ; 5.012.014.366 ; 17.974 ; 6.188.342.620 ; 57.346 ; 14.771.263.202 ; 414 ; 2.193.103.613 ; 436 ; 2.776.232.074 ; 850 ; 4.969.335.687 ; 58.196 ; 19.740.598.888 ;
8;00.038.166;BANCO CENTRAL DO BRASIL;;;;;;;;; -   ; -   ; 19 ; 9.118.277.024 ; 19 ; 9.000.000.000 ; 38 ; 18.118.277.024 ; 38 ; 18.118.277.024 ;
9;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 57 ; 132.381.637 ; 501 ; 265.719.657 ; 118 ; 483.511.496 ; 352 ; 687.040.051 ; 1.028 ; 1.568.652.842 ; 426 ; 7.462.010.609 ; 473 ; 6.893.825.291 ; 899 ; 14.355.835.899 ; 1.927 ; 15.924.488.741 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 145 ; 377.277.375 ; 1.032 ; 287.447.830 ; 1.489 ; 2.820.517.224 ; 2.651 ; 2.894.379.248 ; 5.317 ; 6.379.621.677 ; 835 ; 4.494.000.993 ; 835 ; 4.813.781.941 ; 1.670 ; 9.307.782.934 ; 6.987 ; 15.687.404.610 ;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 259 ; 814.556.053 ; 746 ; 431.750.615 ; 561 ; 3.440.085.630 ; 874 ; 4.512.844.004 ; 2.440 ; 9.199.236.303 ; 201 ; 1.835.545.994 ; 155 ; 1.270.555.000 ; 356 ; 3.106.100.994 ; 2.796 ; 12.305.337.297 ;
