Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Mar/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
15;59.588.111;BANCO VOTORANTIM S.A.; 244 ; 270.814.208 ; 1.732 ; 527.268.841 ; 414 ; 592.484.103 ; 2.018 ; 874.895.533 ; 4.408 ; 2.265.462.685 ; 399 ; 6.423.250.469 ; 1.381 ; 5.714.851.422 ; 1.780,0 ; 12.138.101.891,2 ; 6.188 ; 14.403.564.576 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 72.407 ;;; 1.587 ; 5.259.882.573 ; 1.345 ; 3.195.877.890 ; 2.933 ; 8.455.832.870 ; 49 ; 1.092.826.934 ; 151 ; 3.353.849.467 ; 200,0 ; 4.446.676.400,1 ; 3.133 ; 12.902.509.270 ;
17;61.820.817;BANCO PAULISTA S.A.; 328 ; 25.738.508 ; 1.234 ; 91.536.064 ; 3.700 ; 217.964.672 ; 7.129 ; 660.259.106 ; 12.391 ; 995.498.350 ; 4.381 ; 6.070.253.571 ; 28.290 ; 5.548.579.817 ; 32.671,0 ; 11.618.833.388,7 ; 45.062 ; 12.614.331.739 ;
18;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 24 ; 73.941.237 ;;; 24 ; 73.941.237 ; 14 ; 5.250.000.000 ; 14 ; 5.250.000.000 ; 28,0 ; 10.500.000.000,0 ; 52 ; 10.573.941.237 ;
19;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 471 ; 209.469.474 ; 1.453 ; 318.910.626 ; 1.395 ; 781.484.439 ; 1.299 ; 359.382.819 ; 4.618 ; 1.669.247.359 ; 941 ; 3.765.053.538 ; 1.205 ; 4.077.070.359 ; 2.146,0 ; 7.842.123.896,7 ; 6.764 ; 9.511.371.255 ;
20;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 47 ; 168.959.836 ; 673 ; 92.407.961 ; 432 ; 1.510.241.621 ; 808 ; 1.604.584.510 ; 1.960 ; 3.376.193.927 ; 385 ; 2.401.969.973 ; 413 ; 2.671.598.349 ; 798,0 ; 5.073.568.322,2 ; 2.758 ; 8.449.762.249 ;
21;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 655 ; 2.507.232.156 ; 561 ; 2.526.714.407 ; 1.222 ; 5.064.931.173 ; 27 ; 1.274.826.316 ; 36 ; 1.406.780.885 ; 63,0 ; 2.681.607.201,0 ; 1.285 ; 7.746.538.374 ;
22;58.160.789;BANCO SAFRA S.A.; 690 ; 557.663.520 ; 2.851 ; 620.850.766 ; 2.387 ; 580.345.155 ; 8.416 ; 813.323.606 ; 14.344 ; 2.572.183.047 ; 338 ; 2.174.043.393 ; 287 ; 1.377.889.875 ; 625,0 ; 3.551.933.268,0 ; 14.969 ; 6.124.116.315 ;
23;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 89 ; 197.265.978 ;;; 117 ; 1.630.486.967 ; 162 ; 442.378.737 ; 368 ; 2.270.131.682 ; 13 ; 902.638.523 ; 29 ; 2.177.697.900 ; 42,0 ; 3.080.336.422,5 ; 410 ; 5.350.468.105 ;
24;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 65 ; 1.990.217 ; 1.366 ; 80.590.066 ; 370 ; 21.022.620 ; 1.620 ; 68.990.571 ; 3.421 ; 172.593.473 ; 3.371 ; 2.509.270.507 ; 29.582 ; 2.366.026.367 ; 32.953,0 ; 4.875.296.874,6 ; 36.374 ; 5.047.890.348 ;
