Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Dezembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
13;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 1.200 ; 2.767.307.665 ; 11.335 ; 4.570.430.354 ; 1.483 ; 4.354.310.379 ; 4.322 ; 6.417.244.930 ; 18.340 ; 18.109.293.328 ; 6.207 ; 37.369.669.367 ; 6.222 ; 33.459.384.931 ; 12.429 ; 70.829.054.298 ; 30.769 ; 88.938.347.626 ;
14;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 1.459 ; 117.057.170 ; 16.707 ; 884.669.083 ; 8.849 ; 1.049.491.496 ; 95.023 ; 4.382.369.058 ; 122.038 ; 6.433.586.807 ; 6.924 ; 35.989.422.710 ; 6.998 ; 31.891.706.351 ; 13.922 ; 67.881.129.061 ; 135.960 ; 74.314.715.868 ;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 5.630 ; 22.279.433.942 ; 5.595 ; 27.735.994.152 ; 11.225 ; 50.015.428.094 ; 748 ; 14.622.690.520 ; 521 ; 9.145.323.238 ; 1.269 ; 23.768.013.758 ; 12.494 ; 73.783.441.852 ;
16;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 11.765 ; 2.227.937.250 ; 76.157 ; 4.953.061.146 ; 95.588 ; 5.840.953.625 ; 290.813 ; 9.082.336.863 ; 474.323 ; 22.104.288.884 ; 1.764 ; 27.204.398.861 ; 1.911 ; 20.949.006.054 ; 3.675 ; 48.153.404.915 ; 477.998 ; 70.257.693.799 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 1.462 ; 1.473.754.278 ; 7.193 ; 2.181.679.849 ; 2.937 ; 12.288.242.777 ; 5.615 ; 11.343.939.476 ; 17.207 ; 27.287.616.380 ; 8.427 ; 19.056.806.029 ; 8.476 ; 19.670.400.610 ; 16.903 ; 38.727.206.639 ; 34.110 ; 66.014.823.019 ;
18;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 4.252 ; 25.955.214.369 ; 4.574 ; 25.732.994.920 ; 8.826 ; 51.688.209.289 ; 140 ; 4.303.358.106 ; 146 ; 4.515.871.910 ; 286 ; 8.819.230.016 ; 9.112 ; 60.507.439.305 ;
19;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 935 ; 1.094.174.660 ; 2.535 ; 754.753.148 ; 1.007 ; 1.468.005.403 ; 1.704 ; 2.297.878.682 ; 6.181 ; 5.614.811.893 ; 2.212 ; 24.233.543.868 ; 2.180 ; 23.984.187.229 ; 4.392 ; 48.217.731.097 ; 10.573 ; 53.832.542.990 ;
20;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; 46 ; 138.851.629 ; -   ; -   ; 46 ; 138.851.629 ; 31 ; 15.380.512.861 ; 135 ; 38.074.500.000 ; 166 ; 53.455.012.861 ; 212 ; 53.593.864.490 ;
21;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 2.369 ; 266.582.078 ; 11.061 ; 607.714.826 ; 413.765 ; 2.523.704.382 ; 914.872 ; 17.358.370.173 ; 1.342.067 ; 20.756.371.459 ; 10.885 ; 18.789.279.343 ; 32.958 ; 3.600.688.664 ; 43.843 ; 22.389.968.007 ; 1.385.910 ; 43.146.339.466 ;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 875 ; 2.416.712.398 ; 58 ; 51.155.481 ; 822 ; 3.218.132.599 ; 2.332 ; 3.731.179.056 ; 4.087 ; 9.417.179.534 ; 1.211 ; 16.213.485.570 ; 1.326 ; 17.505.639.134 ; 2.537 ; 33.719.124.704 ; 6.624 ; 43.136.304.238 ;
23;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 1.964 ; 1.810.254.412 ; 13.813 ; 2.269.968.689 ; 24.112 ; 6.651.285.006 ; 40.074 ; 7.533.835.267 ; 79.963 ; 18.265.343.374 ; 1.360 ; 12.974.138.896 ; 1.706 ; 11.057.244.504 ; 3.066 ; 24.031.383.400 ; 83.029 ; 42.296.726.774 ;
24;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 103 ; 2.391.842.999 ; 289 ; 297.111.869 ; 1.695 ; 13.056.818.319 ; 1.734 ; 9.107.020.863 ; 3.821 ; 24.852.794.050 ; 143 ; 5.288.514.242 ; 369 ; 11.389.029.727 ; 512 ; 16.677.543.969 ; 4.333 ; 41.530.338.019 ;
25;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 4.662 ; 1.393.152.769 ; 13.505 ; 1.727.575.887 ; 299.490 ; 7.045.559.700 ; 228.908 ; 7.535.332.562 ; 546.565 ; 17.701.620.918 ; 3.706 ; 10.942.523.760 ; 3.783 ; 11.804.346.637 ; 7.489 ; 22.746.870.397 ; 554.054 ; 40.448.491.315 ;
26;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 860 ; 5.277.576.155 ; 2.115 ; 727.400.258 ; 2.791 ; 4.659.053.821 ; 3.774 ; 4.263.245.413 ; 9.540 ; 14.927.275.647 ; 2.880 ; 10.004.119.865 ; 3.039 ; 14.956.134.548 ; 5.919 ; 24.960.254.413 ; 15.459 ; 39.887.530.060 ;
27;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 8.579 ; 1.089.674.367 ; 43.502 ; 2.484.348.870 ; 576.946 ; 4.422.240.579 ; 1.149.984 ; 6.882.899.339 ; 1.779.011 ; 14.879.163.155 ; 12.112 ; 7.787.088.012 ; 97.298 ; 3.890.124.270 ; 109.410 ; 11.677.212.282 ; 1.888.421 ; 26.556.375.437 ;
28;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 7.478 ; 1.135.358.189 ; 23.761 ; 907.295.049 ; 59.315 ; 4.543.151.823 ; 69.212 ; 7.082.814.562 ; 159.766 ; 13.668.619.623 ; 20.345 ; 7.335.774.149 ; 51.801 ; 4.997.542.757 ; 72.146 ; 12.333.316.906 ; 231.912 ; 26.001.936.529 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 4.793 ; 1.163.881.035 ; 21.414 ; 2.462.954.517 ; 691.401 ; 5.610.920.445 ; 458.290 ; 3.845.912.510 ; 1.175.898 ; 13.083.668.507 ; 4.181 ; 5.562.039.404 ; 24.904 ; 5.711.016.503 ; 29.085 ; 11.273.055.907 ; 1.204.983 ; 24.356.724.414 ;
30;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 5.697 ; 947.322.953 ; 23.641 ; 4.952.760.452 ; 70.138 ; 1.858.145.436 ; 76.659 ; 2.306.019.079 ; 176.135 ; 10.064.247.920 ; 1.565 ; 9.264.731.346 ; 1.350 ; 4.790.504.496 ; 2.915 ; 14.055.235.842 ; 179.050 ; 24.119.483.762 ;
31;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 1.423 ; 1.306.587.227 ; 7.008 ; 1.012.390.508 ; 965 ; 907.428.250 ; 5.714 ; 1.477.799.971 ; 15.110 ; 4.704.205.956 ; 1.266 ; 8.306.456.896 ; 1.693 ; 8.163.966.221 ; 2.959 ; 16.470.423.117 ; 18.069 ; 21.174.629.073 ;
32;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 147 ; 2.114.245.923 ; 77 ; 110.098.730 ; 303 ; 370.140.409 ; 573 ; 406.632.270 ; 1.100 ; 3.001.117.332 ; 730 ; 7.590.553.417 ; 796 ; 9.522.808.391 ; 1.526 ; 17.113.361.808 ; 2.626 ; 20.114.479.140 ;
33;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 1.315 ; 1.650.547.602 ; 3.076 ; 3.287.826.983 ; 51.210 ; 1.341.755.608 ; 8.172 ; 1.532.923.423 ; 63.773 ; 7.813.053.616 ; 657 ; 6.748.454.695 ; 643 ; 4.862.127.022 ; 1.300 ; 11.610.581.717 ; 65.073 ; 19.423.635.333 ;
34;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 80.515 ; 23.492.916 ; 723 ; 1.081.712 ; 13.968.707 ; 5.347.468.162 ; 17.086.917 ; 5.829.018.715 ; 31.136.862 ; 11.201.061.505 ; 11.748 ; 3.104.425.431 ; 11.507 ; 2.647.871.990 ; 23.255 ; 5.752.297.421 ; 31.160.117 ; 16.953.358.926 ;
