Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Set/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
13;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 749 ; 3.569.903.693 ; 1.964 ; 579.437.516 ; 1.996 ; 17.262.765.553 ; 2.899 ; 15.727.646.132 ; 7.608 ; 37.139.752.893 ; 312 ; 8.480.338.797 ; 363 ; 12.331.858.846 ; 675 ; 20.812.197.643 ; 8.283 ; 57.951.950.536 ;;;;
14;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 56.000.000 ;;; 4.080 ; 13.933.165.360 ; 4.504 ; 11.724.299.064 ; 8.585 ; 25.713.464.424 ; 272 ; 7.066.991.559 ; 378 ; 9.049.743.471 ; 650 ; 16.116.735.031 ; 9.235 ; 41.830.199.455 ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 1.296 ; 2.809.525.030 ; 12.121 ; 2.947.445.295 ; 2.418 ; 4.240.268.197 ; 9.989 ; 6.618.435.777 ; 25.824 ; 16.615.674.298 ; 1.584 ; 10.083.317.855 ; 4.598 ; 7.515.408.350 ; 6.182 ; 17.598.726.205 ; 32.006 ; 34.214.400.503 ;;;;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.393 ; 712.019.691 ; 4.731 ; 878.167.314 ; 4.462 ; 4.607.720.155 ; 4.534 ; 2.431.262.253 ; 15.120 ; 8.629.169.413 ; 2.875 ; 7.543.572.589 ; 2.839 ; 9.542.922.107 ; 5.714 ; 17.086.494.696 ; 20.834 ; 25.715.664.109 ;;;;
17;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 80 ; 210.196.541 ;;; 80 ; 210.196.541 ; 43 ; 12.230.000.000 ; 43 ; 12.230.000.000 ; 86 ; 24.460.000.000 ; 166 ; 24.670.196.541 ;;;;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.767 ; 7.936.783.974 ; 1.540 ; 6.649.138.907 ; 3.307 ; 14.585.922.881 ; 72 ; 3.545.609.919 ; 109 ; 4.758.227.731 ; 181 ; 8.303.837.650 ; 3.488 ; 22.889.760.531 ;;;;
19;61.146.577;BANCO BARCLAYS S.A.;;; 29 ; 14.722.126 ; 1.004 ; 5.188.562.526 ; 1.085 ; 4.569.764.417 ; 2.118 ; 9.773.049.070 ; 1.205 ; 6.267.987.375 ; 1.716 ; 6.840.334.087 ; 2.921 ; 13.108.321.462 ; 5.039 ; 22.881.370.532 ;;;;
20;58.160.789;BANCO SAFRA S.A.; 1.828 ; 734.371.396 ; 10.328 ; 1.068.701.255 ; 7.372 ; 2.569.930.732 ; 21.294 ; 3.723.430.525 ; 40.822 ; 8.096.433.908 ; 1.015 ; 6.736.861.565 ; 917 ; 5.323.172.329 ; 1.932 ; 12.060.033.894 ; 42.754 ; 20.156.467.803 ;;;;
21;61.820.817;BANCO PAULISTA S.A.; 632 ; 547.102.609 ; 3.237 ; 265.700.840 ; 5.855 ; 1.014.262.824 ; 15.289 ; 1.173.902.942 ; 25.013 ; 3.000.969.214 ; 9.930 ; 8.170.755.972 ; 69.593 ; 8.243.570.876 ; 79.523 ; 16.414.326.848 ; 104.536 ; 19.415.296.062 ;;;;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 2.163 ; 1.142.797.919 ; 1.684 ; 96.186.114 ; 42.762 ; 6.076.343.040 ; 18.017 ; 3.172.373.779 ; 64.626 ; 10.487.700.852 ; 926 ; 1.346.666.597 ; 1.106 ; 5.296.564.731 ; 2.032 ; 6.643.231.328 ; 66.658 ; 17.130.932.180 ;;;;
23;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 139 ; 885.702.635 ; 271 ; 300.125.522 ; 225 ; 288.355.767 ; 433 ; 399.028.983 ; 1.068 ; 1.873.212.906 ; 1.079 ; 5.993.266.275 ; 1.473 ; 6.597.371.892 ; 2.552 ; 12.590.638.167 ; 3.620 ; 14.463.851.073 ;;;;
24;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 385 ; 92.008.466 ; 2.941 ; 205.965.396 ; 1.960 ; 444.631.779 ; 8.890 ; 590.862.438 ; 14.176 ; 1.333.468.079 ; 11.868 ; 5.569.885.443 ; 85.250 ; 5.309.001.076 ; 97.118 ; 10.878.886.519 ; 111.294 ; 12.212.354.598 ;;;;
25;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 99 ; 626.885.297 ; 12 ; 4.377.998 ; 142 ; 274.132.116 ; 428 ; 86.386.138 ; 681 ; 991.781.548 ; 807 ; 3.721.090.048 ; 850 ; 4.466.071.065 ; 1.657 ; 8.187.161.113 ; 2.338 ; 9.178.942.661 ;;;;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 487 ; 1.755.655.284 ; 133 ; 140.886.830 ; 676 ; 1.559.353.634 ; 2.035 ; 1.793.704.765 ; 3.331 ; 5.249.600.514 ; 108 ; 1.294.649.314 ; 152 ; 2.528.398.794 ; 260 ; 3.823.048.108 ; 3.591 ; 9.072.648.622 ;;;;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.170 ; 629.270.887 ; 3.794 ; 986.698.518 ; 2.922 ; 2.311.432.113 ; 4.190 ; 879.947.830 ; 12.076 ; 4.807.349.347 ; 544 ; 1.480.604.989 ; 722 ; 2.556.453.939 ; 1.266 ; 4.037.058.928 ; 13.342 ; 8.844.408.275 ;;;;
