Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Mai/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 92 ; 539.865.475 ; 146 ; 142.051.941 ; 148 ; 121.040.030 ; 206 ; 188.661.694 ; 592 ; 991.619.140 ; 546 ; 3.767.374.505 ; 781 ; 4.207.751.090 ; 1.327 ; 7.975.125.595 ; 1.919 ; 8.966.744.734 ;;;;
22;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 913 ; 3.317.966.450 ; 698 ; 3.092.857.202 ; 1.611 ; 6.410.823.652 ; 30 ; 881.122.130 ; 49 ; 1.470.955.884 ; 79 ; 2.352.078.014 ; 1.690 ; 8.762.901.666 ;;;;
23;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 195 ; 14.986.275 ; 1.584 ; 95.522.886 ; 913 ; 290.429.954 ; 4.399 ; 357.871.038 ; 7.091 ; 758.810.153 ; 6.389 ; 3.394.170.686 ; 44.625 ; 3.239.966.286 ; 51.014 ; 6.634.136.972 ; 58.105 ; 7.392.947.125 ;;;;
24;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 588 ; 334.213.138 ; 2.024 ; 620.882.761 ; 1.624 ; 1.386.886.363 ; 2.357 ; 539.324.686 ; 6.593 ; 2.881.306.948 ; 296 ; 965.138.497 ; 405 ; 1.526.034.080 ; 701 ; 2.491.172.577 ; 7.294 ; 5.372.479.525 ;;;;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 261 ; 1.040.139.738 ; 79 ; 95.297.230 ; 311 ; 782.746.584 ; 891 ; 1.068.599.242 ; 1.542 ; 2.986.782.794 ; 68 ; 820.389.528 ; 88 ; 1.407.359.002 ; 156 ; 2.227.748.529 ; 1.698 ; 5.214.531.323 ;;;;
26;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 45 ; 141.365.711 ;;; 45 ; 141.365.711 ; 7 ; 2.500.000.000 ; 7 ; 2.500.000.000 ; 14 ; 5.000.000.000 ; 59 ; 5.141.365.711 ;;;;
27;62.232.889;BANCO DAYCOVAL S.A.; 1.080 ; 253.682.450 ; 2.040 ; 157.131.229 ; 2.323 ; 220.365.379 ; 11.377 ; 722.605.286 ; 16.820 ; 1.353.784.345 ; 1.561 ; 1.771.172.089 ; 6.362 ; 1.362.399.696 ; 7.923 ; 3.133.571.785 ; 24.743 ; 4.487.356.130 ;;;;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 55 ; 255.064.096 ; 10 ; 3.292.928 ; 69 ; 175.886.720 ; 251 ; 64.796.832 ; 385 ; 499.040.576 ; 402 ; 1.322.536.224 ; 426 ; 1.654.042.397 ; 828 ; 2.976.578.621 ; 1.213 ; 3.475.619.197 ;;;;
29;68.900.810;BANCO RENDIMENTO S.A.; 33 ; 2.776.685 ; 296 ; 19.893.125 ; 25.096 ; 266.238.226 ; 8.727 ; 598.112.547 ; 34.152 ; 887.020.583 ; 1.682 ; 1.376.870.940 ; 32.982 ; 1.023.360.620 ; 34.664 ; 2.400.231.560 ; 68.816 ; 3.287.252.143 ;;;;
30;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 149 ; 703.118.561 ;;; 220 ; 242.952.219 ; 310 ; 730.490.440 ; 679 ; 1.676.561.221 ; 19 ; 740.046.497 ; 16 ; 774.708.683 ; 35 ; 1.514.755.180 ; 714 ; 3.191.316.401 ;;;;
31;49.336.860;ING BANK N.V.; 117 ; 801.522.784 ; 64 ; 166.232.764 ; 41 ; 498.766.070 ; 320 ; 281.835.504 ; 542 ; 1.748.357.122 ; 39 ; 371.467.315 ; 67 ; 1.049.679.195 ; 106 ; 1.421.146.510 ; 648 ; 3.169.503.632 ;;;;
32;28.195.667;BANCO ABC BRASIL S.A.; 225 ; 103.841.569 ; 497 ; 87.536.923 ; 165 ; 586.803.840 ; 1.480 ; 369.999.820 ; 2.367 ; 1.148.182.151 ; 132 ; 754.697.269 ; 159 ; 1.182.033.349 ; 291 ; 1.936.730.618 ; 2.658 ; 3.084.912.769 ;;;;
33;78.632.767;BANCO OURINVEST S.A.; 20 ; 5.725.738 ; 223 ; 22.023.475 ; 772 ; 17.258.711 ; 2.673 ; 59.187.660 ; 3.688 ; 104.195.584 ; 1.463 ; 1.422.962.608 ; 24.019 ; 1.355.930.854 ; 25.482 ; 2.778.893.462 ; 29.170 ; 2.883.089.046 ;;;;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 117 ; 594.089.907 ; 635 ; 24.518.452 ; 869 ; 146.477.184 ; 2.546 ; 206.441.353 ; 4.167 ; 971.526.896 ; 1.169 ; 600.862.497 ; 1.213 ; 1.110.183.356 ; 2.382 ; 1.711.045.853 ; 6.549 ; 2.682.572.748 ;;;;
35;71.027.866;BANCO BONSUCESSO S.A.; 8 ; 291.254 ; 4 ; 72.517 ; 159 ; 4.438.107 ; 402 ; 22.013.253 ; 573 ; 26.815.130 ; 1.074 ; 1.262.587.156 ; 862 ; 1.244.421.152 ; 1.936 ; 2.507.008.308 ; 2.509 ; 2.533.823.439 ;;;;
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 165 ; 463.670.487 ; 59 ; 23.770.715 ; 121 ; 355.442.673 ; 169 ; 78.759.627 ; 514 ; 921.643.502 ; 138 ; 286.909.164 ; 205 ; 1.029.456.396 ; 343 ; 1.316.365.560 ; 857 ; 2.238.009.063 ;;;;
37;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 18 ; 5.871.998 ;;; 676 ; 160.979.105 ; 415 ; 430.993.615 ; 1.109 ; 597.844.718 ; 167 ; 872.261.549 ; 213 ; 656.801.304 ; 380 ; 1.529.062.854 ; 1.489 ; 2.126.907.571 ;;;;
38;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 28 ; 619.240.000 ; 12 ; 172.012.000 ; 40 ; 791.252.000 ; 12 ; 172.012.000 ; 28 ; 619.240.000 ; 40 ; 791.252.000 ; 80 ; 1.582.504.000 ;;;;
39;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 1.027 ; 3.316.637 ; 13.033 ; 81.736.573 ; 14.060 ; 85.053.210 ; 3.004 ; 765.176.475 ; 718 ; 686.701.722 ; 3.722 ; 1.451.878.197 ; 17.782 ; 1.536.931.408 ;;;;
40;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 3.662 ; 372.431.515 ; 6.082 ; 305.515.177 ; 1.680 ; 65.751.476 ; 6.919 ; 147.326.486 ; 18.343 ; 891.024.655 ; 190 ; 263.919.244 ; 174 ; 242.171.958 ; 364 ; 506.091.202 ; 18.707 ; 1.397.115.858 ;;;;
41;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 618 ; 299.710.129 ; 590 ; 78.787.547 ; 339 ; 230.001.136 ; 950 ; 106.708.747 ; 2.497 ; 715.207.558 ; 106 ; 147.865.420 ; 124 ; 467.128.714 ; 230 ; 614.994.134 ; 2.727 ; 1.330.201.692 ;;;;
