Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JULHO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 198 ; 399.172.952 ; 1.529 ; 211.455.373 ; 334 ; 544.054.633 ; 1.052 ; 795.456.771 ; 3.113 ; 1.950.139.728 ; 206 ; 981.985.565 ; 575 ; 960.332.670 ; 781 ; 1.942.318.235 ; 3.894 ; 3.892.457.963 ;;;;
16;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 205 ; 1.088.154.481 ; 282 ; 820.033.436 ; 487 ; 1.908.187.916 ; 9 ; 435.447.860 ; 13 ; 642.351.512 ; 22 ; 1.077.799.372 ; 509 ; 2.985.987.288 ;;;;
17;61.146.577;BANCO BARCLAYS S.A.;;;;; 92 ; 693.509.180 ; 137 ; 266.944.077 ; 229 ; 960.453.257 ; 164 ; 493.073.385 ; 239 ; 894.472.682 ; 403 ; 1.387.546.067 ; 632 ; 2.347.999.324 ;;;;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 179 ; 80.500.402 ; 517 ; 100.170.741 ; 524 ; 426.537.007 ; 515 ; 143.357.270 ; 1.735 ; 750.565.420 ; 258 ; 518.923.325 ; 248 ; 781.761.164 ; 506 ; 1.300.684.489 ; 2.241 ; 2.051.249.909 ;;;;
19;61.820.817;BANCO PAULISTA S.A.; 81 ; 93.418.473 ; 374 ; 24.299.967 ; 675 ; 166.336.583 ; 1.547 ; 146.184.201 ; 2.677 ; 430.239.225 ; 1.217 ; 682.802.120 ; 8.108 ; 753.439.069 ; 9.325 ; 1.436.241.189 ; 12.002 ; 1.866.480.414 ;;;;
20;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 14 ; 93.448.891 ; 23 ; 28.520.613 ; 29 ; 54.553.377 ; 59 ; 68.871.826 ; 125 ; 245.394.708 ; 157 ; 734.328.168 ; 192 ; 791.811.114 ; 349 ; 1.526.139.282 ; 474 ; 1.771.533.989 ;;;;
21;58.160.789;BANCO SAFRA S.A.; 215 ; 90.688.094 ; 918 ; 75.972.281 ; 928 ; 196.352.915 ; 2.255 ; 282.770.909 ; 4.316 ; 645.784.198 ; 144 ; 539.488.482 ; 138 ; 455.626.604 ; 282 ; 995.115.086 ; 4.598 ; 1.640.899.284 ;;;;
22;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 58 ; 30.018.960 ; 335 ; 10.553.159 ; 280 ; 34.903.447 ; 1.002 ; 57.779.649 ; 1.675 ; 133.255.216 ; 1.488 ; 576.103.145 ; 10.046 ; 542.046.443 ; 11.534 ; 1.118.149.588 ; 13.209 ; 1.251.404.804 ;;;;
23;71.027.866;BANCO BONSUCESSO S.A.; 7 ; 248.774 ; 1 ; 4.426 ; 63 ; 1.628.241 ; 89 ; 4.320.431 ; 160 ; 6.201.871 ; 408 ; 606.782.746 ; 381 ; 604.371.126 ; 789 ; 1.211.153.871 ; 949 ; 1.217.355.743 ;;;;
24;62.232.889;BANCO DAYCOVAL S.A.; 248 ; 36.353.973 ; 361 ; 16.911.448 ; 521 ; 223.371.766 ; 1.810 ; 163.157.883 ; 2.940 ; 439.795.070 ; 340 ; 340.842.997 ; 1.460 ; 424.887.623 ; 1.800 ; 765.730.620 ; 4.740 ; 1.205.525.689 ;;;;
