Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 102 ; 683.702.827 ; 38 ; 55.361.442 ; 261 ; 1.446.163.360 ; 489 ; 850.800.882 ; 890 ; 3.036.028.511 ; 1.136 ; 16.269.871.510 ; 1.196 ; 17.513.069.550 ; 2.332 ; 33.782.941.061 ; 3.222 ; 36.818.969.572 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.374 ; 9.901.316.293 ; 2.754 ; 10.213.339.805 ; 5.128 ; 20.114.656.098 ; 299 ; 7.562.274.908 ; 275 ; 6.875.361.476 ; 574 ; 14.437.636.384 ; 5.702 ; 34.552.292.482 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 1.069 ; 1.977.419.265 ; 5.538 ; 1.080.649.053 ; 2.835 ; 3.863.662.563 ; 6.049 ; 4.761.329.598 ; 15.491 ; 11.683.060.478 ; 2.531 ; 7.751.375.722 ; 4.039 ; 7.837.542.139 ; 6.570 ; 15.588.917.862 ; 22.061 ; 27.271.978.340 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 869 ; 2.379.631.849 ; 2.681 ; 1.677.247.551 ; 2.744 ; 4.207.262.790 ; 4.681 ; 5.720.905.452 ; 10.975 ; 13.985.047.641 ; 1.129 ; 5.638.824.499 ; 1.332 ; 4.666.049.807 ; 2.461 ; 10.304.874.306 ; 13.436 ; 24.289.921.947 ;
20;28.195.667;BANCO ABC BRASIL S.A.; 1.364 ; 1.533.174.533 ; 4.296 ; 923.793.508 ; 999 ; 1.881.942.226 ; 3.624 ; 1.540.289.388 ; 10.283 ; 5.879.199.655 ; 2.076 ; 6.618.978.132 ; 3.582 ; 7.789.170.850 ; 5.658 ; 14.408.148.982 ; 15.941 ; 20.287.348.637 ;
21;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 15 ; 1.693.784 ; 1 ; 1.553.470 ; 2.043 ; 4.484.508.972 ; 3.216 ; 5.920.420.778 ; 5.275 ; 10.408.177.004 ; 154 ; 5.353.772.291 ; 168 ; 4.098.939.151 ; 322 ; 9.452.711.441 ; 5.597 ; 19.860.888.445 ;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 1.081 ; 4.644.200.256 ; 389 ; 295.275.118 ; 762 ; 1.212.096.887 ; 2.209 ; 1.118.291.508 ; 4.441 ; 7.269.863.769 ; 261 ; 2.903.897.221 ; 356 ; 7.231.473.680 ; 617 ; 10.135.370.901 ; 5.058 ; 17.405.234.669 ;
23;53.518.684;BANCO HSBC S.A.; 165 ; 1.088.411.374 ; 993 ; 327.850.116 ; 333 ; 2.376.176.007 ; 976 ; 2.540.195.588 ; 2.467 ; 6.332.633.085 ; 945 ; 4.271.289.373 ; 1.135 ; 4.838.853.337 ; 2.080 ; 9.110.142.710 ; 4.547 ; 15.442.775.795 ;
24;58.160.789;BANCO SAFRA S.A.; 2.021 ; 969.813.158 ; 7.668 ; 1.115.856.402 ; 7.644 ; 1.726.581.901 ; 13.461 ; 2.530.300.315 ; 30.794 ; 6.342.551.776 ; 1.412 ; 3.304.763.335 ; 1.331 ; 2.321.568.304 ; 2.743 ; 5.626.331.639 ; 33.537 ; 11.968.883.414 ;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.412 ; 762.388.402 ; 5.793 ; 787.192.949 ; 3.591 ; 1.696.089.742 ; 5.071 ; 2.072.546.806 ; 15.867 ; 5.318.217.899 ; 805 ; 2.506.663.601 ; 838 ; 2.047.186.250 ; 1.643 ; 4.553.849.852 ; 17.510 ; 9.872.067.751 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 344 ; 23.022.302 ; 1.586 ; 239.991.096 ; 991.287 ; 2.904.796.130 ; 50.835 ; 538.916.623 ; 1.044.052 ; 3.706.726.151 ; 11.479 ; 1.275.655.923 ; 61.114 ; 3.481.539.079 ; 72.593 ; 4.757.195.002 ; 1.116.645 ; 8.463.921.153 ;
27;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 131 ; 391.530.244 ; 188 ; 306.630.682 ; 190 ; 2.134.425.919 ; 1.106 ; 1.113.864.707 ; 1.615 ; 3.946.451.552 ; 111 ; 1.293.075.938 ; 179 ; 2.487.404.446 ; 290 ; 3.780.480.384 ; 1.905 ; 7.726.931.936 ;
28;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 836 ; 45.162.706 ; 6.193 ; 233.242.074 ; 2.589 ; 1.393.461.689 ; 860.953 ; 1.046.102.953 ; 870.571 ; 2.717.969.422 ; 2.777 ; 2.361.889.234 ; 3.430 ; 2.527.355.831 ; 6.207 ; 4.889.245.065 ; 876.778 ; 7.607.214.487 ;
29;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 4.898 ; 681.547.495 ; 15.773 ; 570.497.213 ; 13.547 ; 974.631.285 ; 26.424 ; 1.889.971.197 ; 60.642 ; 4.116.647.190 ; 11.760 ; 2.105.836.916 ; 39.579 ; 1.309.706.550 ; 51.339 ; 3.415.543.466 ; 111.981 ; 7.532.190.656 ;
30;78.632.767;BANCO OURINVEST S.A.; 3.808 ; 527.416.014 ; 17.817 ; 1.076.154.212 ; 17.528 ; 911.392.831 ; 15.757 ; 964.494.349 ; 54.910 ; 3.479.457.406 ; 10.187 ; 2.184.867.563 ; 27.396 ; 1.601.862.163 ; 37.583 ; 3.786.729.726 ; 92.493 ; 7.266.187.132 ;
31;62.232.889;BANCO DAYCOVAL S.A.; 5.306 ; 738.086.988 ; 5.986 ; 414.212.855 ; 128.434 ; 1.360.482.847 ; 13.427 ; 489.269.233 ; 153.153 ; 3.002.051.923 ; 2.724 ; 1.332.696.797 ; 5.074 ; 2.765.136.192 ; 7.798 ; 4.097.832.989 ; 160.951 ; 7.099.884.913 ;
32;58.616.418;BANCO FIBRA S.A.; 701 ; 623.683.896 ; 5.914 ; 980.494.282 ; 493 ; 1.306.349.583 ; 1.534 ; 1.391.223.271 ; 8.642 ; 4.301.751.031 ; 466 ; 1.491.107.639 ; 397 ; 1.175.647.903 ; 863 ; 2.666.755.543 ; 9.505 ; 6.968.506.574 ;
33;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 538 ; 602.105.491 ; 1.649 ; 306.958.426 ; 820 ; 1.005.407.357 ; 1.409 ; 471.276.683 ; 4.416 ; 2.385.747.957 ; 692 ; 1.360.192.711 ; 750 ; 2.333.374.817 ; 1.442 ; 3.693.567.528 ; 5.858 ; 6.079.315.485 ;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 165 ; 659.087.896 ; 110 ; 4.305.848 ; 109.779 ; 406.127.734 ; 292.141 ; 1.802.537.379 ; 402.195 ; 2.872.058.857 ; 1.263 ; 1.545.237.393 ; 468 ; 807.204.640 ; 1.731 ; 2.352.442.033 ; 403.926 ; 5.224.500.890 ;
35;71.027.866;BANCO BS2 S.A.; 2.102 ; 509.255.672 ; 7.670 ; 349.301.192 ; 35.418 ; 881.757.593 ; 73.288 ; 652.198.396 ; 118.478 ; 2.392.512.853 ; 970 ; 824.400.349 ; 5.751 ; 1.203.379.588 ; 6.721 ; 2.027.779.936 ; 125.199 ; 4.420.292.789 ;
36;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 628 ; 613.325.085 ; 2.556 ; 279.688.256 ; 128 ; 597.415.384 ; 1.948 ; 922.545.599 ; 5.260 ; 2.412.974.325 ; 309 ; 888.151.442 ; 257 ; 924.434.080 ; 566 ; 1.812.585.522 ; 5.826 ; 4.225.559.847 ;
37;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 217 ; 1.037.576.563 ; 134 ; 1.091.350.410 ; 351 ; 2.128.926.973 ; 44 ; 1.038.460.386 ; 94 ; 985.672.115 ; 138 ; 2.024.132.501 ; 489 ; 4.153.059.475 ;
38;10.690.848;BANCO DA CHINA BRASIL S.A.; 192 ; 381.005.582 ; 224 ; 184.674.675 ; 234 ; 1.433.935.702 ; 501 ; 451.774.619 ; 1.151 ; 2.451.390.577 ; 217 ; 159.248.397 ; 356 ; 1.367.742.643 ; 573 ; 1.526.991.040 ; 1.724 ; 3.978.381.617 ;
39;62.144.175;BANCO PINE S.A.; 209 ; 149.891.008 ; 1.648 ; 172.741.965 ; 80 ; 45.454.615 ; 345 ; 74.749.245 ; 2.282 ; 442.836.833 ; 404 ; 1.752.080.422 ; 917 ; 1.663.766.620 ; 1.321 ; 3.415.847.042 ; 3.603 ; 3.858.683.875 ;
40;00.360.305;CAIXA ECONOMICA FEDERAL; 1.132 ; 295.553.999 ; 623 ; 58.167.791 ; 86.028 ; 680.854.936 ; 6.552 ; 564.875.005 ; 94.335 ; 1.599.451.731 ; 1.857 ; 926.053.930 ; 1.957 ; 1.142.291.719 ; 3.814 ; 2.068.345.650 ; 98.149 ; 3.667.797.381 ;
41;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 136 ; 359.714.050 ;;; 182 ; 194.105.917 ; 10 ; 436.744 ; 328 ; 554.256.711 ; 34 ; 814.657.161 ; 91 ; 2.255.216.167 ; 125 ; 3.069.873.327 ; 453 ; 3.624.130.038 ;
42;33.923.798;BANCO MÁXIMA S.A.; 1.419 ; 533.718.995 ; 2.657 ; 197.552.073 ; 58.570 ; 573.233.869 ; 262.028 ; 682.318.845 ; 324.674 ; 1.986.823.782 ; 585 ; 356.539.432 ; 559 ; 578.064.717 ; 1.144 ; 934.604.149 ; 325.818 ; 2.921.427.931 ;
43;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 5.068.046 ; 1.307 ; 417.331.771 ; 3.438 ; 1.069.122.502 ; 4.746 ; 1.491.522.319 ; 396 ; 1.019.839.097 ; 162 ; 303.850.000 ; 558 ; 1.323.689.097 ; 5.304 ; 2.815.211.416 ;
44;00.997.185;BANCO B3 S.A.;;;;; 1.644 ; 754.624.021 ; 1.401 ; 1.056.123.635 ; 3.045 ; 1.810.747.655 ; 661 ; 650.241.374 ; 294 ; 348.834.512 ; 955 ; 999.075.886 ; 4.000 ; 2.809.823.541 ;
45;30.723.886;BANCO MODAL S.A.; 129 ; 124.504.307 ; 676 ; 56.556.443 ; 1.705 ; 937.197.916 ; 1.166 ; 583.678.398 ; 3.676 ; 1.701.937.064 ; 64 ; 188.441.980 ; 93 ; 603.186.343 ; 157 ; 791.628.323 ; 3.833 ; 2.493.565.386 ;
46;07.679.404;BANCO TOPÁZIO S.A.; 158 ; 106.741.753 ; 431 ; 35.566.371 ; 3.460 ; 89.173.400 ; 2.983 ; 608.860.584 ; 7.032 ; 840.342.107 ; 2.642 ; 948.662.845 ; 5.758 ; 500.261.925 ; 8.400 ; 1.448.924.770 ; 15.432 ; 2.289.266.877 ;
47;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 37 ; 126.751.135 ; 21 ; 7.584.199 ; 53 ; 22.769.296 ; 2.597 ; 895.629.544 ; 2.708 ; 1.052.734.174 ; 157 ; 974.157.908 ; 35 ; 214.926.315 ; 192 ; 1.189.084.224 ; 2.900 ; 2.241.818.398 ;
48;33.264.668;BANCO XP S.A.; 71 ; 26.419.796 ; 187 ; 27.887.660 ; 297 ; 546.674.758 ; 495 ; 550.708.969 ; 1.050 ; 1.151.691.182 ; 131 ; 462.796.986 ; 53 ; 441.532.084 ; 184 ; 904.329.070 ; 1.234 ; 2.056.020.252 ;
49;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.848 ; 35.088.882 ; 6.757 ; 170.054.535 ; 64.100 ; 275.890.534 ; 24.670 ; 275.351.166 ; 97.375 ; 756.385.117 ; 7.454 ; 587.422.782 ; 3.611 ; 452.951.211 ; 11.065 ; 1.040.373.993 ; 108.440 ; 1.796.759.110 ;
50;15.114.366;BANCO BOCOM BBM S.A.; 134 ; 97.028.862 ; 75 ; 5.734.637 ; 214 ; 413.971.278 ; 1.589 ; 492.140.393 ; 2.012 ; 1.008.875.169 ; 39 ; 197.222.670 ; 72 ; 535.692.391 ; 111 ; 732.915.061 ; 2.123 ; 1.741.790.231 ;
51;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 6.486 ; 423.907.619 ; 7.948 ; 349.044.114 ; 4.045 ; 88.160.258 ; 6.333 ; 269.010.761 ; 24.812 ; 1.130.122.753 ; 236 ; 316.232.684 ; 183 ; 194.700.705 ; 419 ; 510.933.389 ; 25.231 ; 1.641.056.142 ;
52;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 163 ; 16.235.103 ; 441 ; 35.329.047 ; 1.908 ; 187.865.683 ; 3.551 ; 712.398.501 ; 6.063 ; 951.828.335 ; 436 ; 603.355.344 ; 112 ; 59.711.987 ; 548 ; 663.067.331 ; 6.611 ; 1.614.895.666 ;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.952 ; 46.814.877 ; 16.946 ; 270.397.766 ; 16.742 ; 156.843.320 ; 33.937 ; 253.967.789 ; 69.577 ; 728.023.751 ; 5.085 ; 572.422.709 ; 1.918 ; 251.776.692 ; 7.003 ; 824.199.401 ; 76.580 ; 1.552.223.152 ;
54;03.609.817;BANCO CARGILL S.A.; 126 ; 244.504.684 ; 4 ; 261.379 ; 43 ; 105.535.034 ; 167 ; 53.855.554 ; 340 ; 404.156.650 ; 11 ; 413.000.000 ; 23 ; 694.500.000 ; 34 ; 1.107.500.000 ; 374 ; 1.511.656.650 ;
55;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 147 ; 166.876.996 ; 667 ; 127.312.432 ; 132 ; 85.562.313 ; 393 ; 99.167.017 ; 1.339 ; 478.918.758 ; 257 ; 500.300.419 ; 253 ; 523.061.823 ; 510 ; 1.023.362.243 ; 1.849 ; 1.502.281.001 ;
56;31.872.495;BANCO C6 S.A.; 71 ; 27.667.213 ; 683 ; 71.261.799 ; 1.899 ; 64.970.649 ; 23.818 ; 250.020.483 ; 26.471 ; 413.920.144 ; 289 ; 653.980.644 ; 631 ; 425.033.820 ; 920 ; 1.079.014.464 ; 27.391 ; 1.492.934.608 ;
57;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 166 ; 18.546.258 ; 278 ; 15.138.350 ; 27.840 ; 558.819.550 ; 1.990 ; 56.187.111 ; 30.274 ; 648.691.269 ; 638 ; 48.004.900 ; 1.168 ; 554.044.312 ; 1.806 ; 602.049.212 ; 32.080 ; 1.250.740.481 ;
58;92.894.922;BANCO ORIGINAL S.A.; 167 ; 262.396.470 ; 90 ; 45.034.058 ; 455 ; 4.263.460 ; 1.123 ; 127.543.780 ; 1.835 ; 439.237.768 ; 43 ; 168.632.154 ; 62 ; 630.633.888 ; 105 ; 799.266.042 ; 1.940 ; 1.238.503.809 ;
59;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 52 ; 153.901.250 ; 137 ; 11.360.817 ; 139 ; 151.688.687 ; 457 ; 141.389.763 ; 785 ; 458.340.517 ; 88 ; 267.127.295 ; 100 ; 469.633.022 ; 188 ; 736.760.317 ; 973 ; 1.195.100.834 ;
60;61.186.680;BANCO BMG S.A.; 42 ; 38.264.574 ; 13 ; 9.170.578 ; 22 ; 8.897.549 ; 364 ; 207.726.623 ; 441 ; 264.059.324 ; 26 ; 450.317.685 ; 23 ; 295.979.161 ; 49 ; 746.296.846 ; 490 ; 1.010.356.170 ;
61;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 107 ; 56.971.947 ; 119 ; 15.975.852 ; 154 ; 368.831.081 ; 422 ; 148.218.815 ; 802 ; 589.997.695 ; 56 ; 72.619.606 ; 87 ; 320.153.751 ; 143 ; 392.773.357 ; 945 ; 982.771.051 ;
62;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 45 ; 222.979.419 ; 222 ; 94.569.793 ; 20 ; 46.759.099 ; 935 ; 84.503.507 ; 1.222 ; 448.811.818 ; 61 ; 216.440.000 ; 58 ; 304.100.000 ; 119 ; 520.540.000 ; 1.341 ; 969.351.818 ;
63;59.285.411;BANCO PAN S.A.;;;;; 65 ; 817.138 ; 208 ; 482.289.661 ; 273 ; 483.106.799 ; 30 ; 481.455.660 ;;; 30 ; 481.455.660 ; 303 ; 964.562.459 ;
64;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 14 ; 77.120.450 ; 142 ; 72.608.700 ; 431 ; 235.393.784 ; 671 ; 258.703.292 ; 1.258 ; 643.826.226 ; 243 ; 151.547.354 ; 79 ; 132.734.953 ; 322 ; 284.282.307 ; 1.580 ; 928.108.533 ;
65;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 319 ; 338.708.886 ; 575 ; 45.587.421 ; 498 ; 25.400.801 ; 612 ; 44.419.398 ; 2.004 ; 454.116.506 ; 449 ; 85.383.932 ; 330 ; 361.603.575 ; 779 ; 446.987.507 ; 2.783 ; 901.104.012 ;
66;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 26.444 ; 334.295.495 ; 82.543 ; 348.270.064 ; 108.987 ; 682.565.560 ; 724 ; 86.473.753 ; 1.227 ; 75.312.780 ; 1.951 ; 161.786.533 ; 110.938 ; 844.352.093 ;
67;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 5.857 ; 234.398.275 ; 5.992 ; 180.227.501 ; 3.761 ; 83.901.959 ; 2.616 ; 121.495.867 ; 18.226 ; 620.023.602 ; 119 ; 102.203.952 ; 93 ; 116.998.985 ; 212 ; 219.202.936 ; 18.438 ; 839.226.539 ;
68;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 888 ; 14.454.718 ; 9.825 ; 223.625.139 ; 5.308 ; 85.203.263 ; 10.783 ; 111.443.711 ; 26.804 ; 434.726.831 ; 4.932 ; 284.140.110 ; 428 ; 48.821.862 ; 5.360 ; 332.961.973 ; 32.164 ; 767.688.804 ;
69;59.118.133;BANCO LUSO BRASILEIRO S.A.; 809 ; 79.579.597 ; 2.163 ; 223.128.783 ; 410 ; 48.119.538 ; 824 ; 34.074.686 ; 4.206 ; 384.902.603 ; 1.969 ; 253.334.123 ; 1.117 ; 122.224.062 ; 3.086 ; 375.558.185 ; 7.292 ; 760.460.789 ;
70;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 43 ; 6.921.832 ; 614 ; 12.859.129 ; 1.724 ; 71.897.933 ; 7.681 ; 206.642.905 ; 10.062 ; 298.321.800 ; 1.907 ; 244.171.419 ; 861 ; 103.636.504 ; 2.768 ; 347.807.923 ; 12.830 ; 646.129.723 ;
71;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 1.798 ; 44.684.278 ; 8.397 ; 217.559.237 ; 4.440 ; 68.071.456 ; 5.076 ; 57.524.094 ; 19.711 ; 387.839.066 ; 2.949 ; 210.115.086 ; 509 ; 47.791.819 ; 3.458 ; 257.906.905 ; 23.169 ; 645.745.971 ;
72;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 1.226 ; 20.374.932 ; 11.661 ; 207.741.208 ; 3.124 ; 50.178.487 ; 8.858 ; 77.608.342 ; 24.869 ; 355.902.969 ; 3.552 ; 235.738.323 ; 325 ; 20.760.486 ; 3.877 ; 256.498.809 ; 28.746 ; 612.401.778 ;
73;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 3 ; 369.337 ; 5 ; 1.298.905 ; 470 ; 28.886.771 ; 546 ; 158.576.697 ; 1.024 ; 189.131.710 ; 219 ; 264.683.205 ; 182 ; 128.191.712 ; 401 ; 392.874.918 ; 1.425 ; 582.006.628 ;
