Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 182 ; 205.644.791 ; 909 ; 187.338.581 ; 650 ; 781.154.121 ; 1.415 ; 782.673.599 ; 3.156 ; 1.956.811.092 ; 589 ; 641.802.350 ; 589 ; 709.773.960 ; 1.178 ; 1.351.576.310 ; 4.334 ; 3.308.387.402 ;;;;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 159 ; 710.278.082 ; 184 ; 803.267.521 ; 343 ; 1.513.545.603 ; 17 ; 535.063.484 ; 21 ; 438.063.264 ; 38 ; 973.126.749 ; 381 ; 2.486.672.352 ;;;;
18;59.588.111;BANCO VOTORANTIM S.A.; 114 ; 208.329.331 ; 463 ; 73.631.643 ; 217 ; 451.292.890 ; 583 ; 214.878.202 ; 1.377 ; 948.132.066 ; 226 ; 396.248.587 ; 372 ; 721.035.639 ; 598 ; 1.117.284.225 ; 1.975 ; 2.065.416.291 ;;;;
19;28.195.667;BANCO ABC BRASIL S.A.; 76 ; 95.552.422 ; 355 ; 53.944.698 ; 144 ; 205.103.654 ; 289 ; 95.162.981 ; 864 ; 449.763.756 ; 181 ; 729.521.135 ; 307 ; 879.002.530 ; 488 ; 1.608.523.665 ; 1.352 ; 2.058.287.420 ;;;;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 2 ; 680.224 ;;; 166 ; 296.723.748 ; 263 ; 522.526.956 ; 431 ; 819.930.927 ; 13 ; 326.883.878 ; 25 ; 736.853.328 ; 38 ; 1.063.737.206 ; 469 ; 1.883.668.133 ;;;;
21;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 96 ; 255.411.255 ; 367 ; 230.481.118 ; 276 ; 181.410.968 ; 485 ; 324.123.382 ; 1.224 ; 991.426.724 ; 98 ; 431.200.368 ; 115 ; 374.564.993 ; 213 ; 805.765.361 ; 1.437 ; 1.797.192.085 ;;;;
22;58.160.789;BANCO SAFRA S.A.; 158 ; 58.423.127 ; 654 ; 87.437.316 ; 772 ; 381.351.890 ; 1.603 ; 143.554.520 ; 3.187 ; 670.766.854 ; 120 ; 164.678.344 ; 123 ; 376.468.982 ; 243 ; 541.147.326 ; 3.430 ; 1.211.914.180 ;;;;
23;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 22 ; 228.960.015 ; 52 ; 39.749.099 ; 23 ; 53.899.313 ; 60 ; 251.863.090 ; 157 ; 574.471.516 ; 92 ; 260.156.683 ; 94 ; 271.027.375 ; 186 ; 531.184.058 ; 343 ; 1.105.655.574 ;;;;
24;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 398 ; 45.341.112 ; 1.164 ; 43.742.781 ; 1.414 ; 77.988.758 ; 3.351 ; 215.093.341 ; 6.327 ; 382.165.992 ; 968 ; 318.327.441 ; 5.964 ; 180.222.005 ; 6.932 ; 498.549.446 ; 13.259 ; 880.715.438 ;;;;
25;78.632.767;BANCO OURINVEST S.A.; 234 ; 19.834.673 ; 1.272 ; 94.958.238 ; 1.349 ; 66.653.431 ; 1.589 ; 59.819.759 ; 4.444 ; 241.266.101 ; 796 ; 323.849.141 ; 7.131 ; 250.828.228 ; 7.927 ; 574.677.369 ; 12.371 ; 815.943.471 ;;;;
26;62.232.889;BANCO DAYCOVAL S.A.; 493 ; 63.251.489 ; 601 ; 39.523.630 ; 1.957 ; 193.740.837 ; 2.152 ; 41.405.457 ; 5.203 ; 337.921.413 ; 289 ; 92.124.842 ; 934 ; 376.860.041 ; 1.223 ; 468.984.883 ; 6.426 ; 806.906.296 ;;;;
27;68.900.810;BANCO RENDIMENTO S.A.; 34 ; 3.836.621 ; 122 ; 14.817.649 ; 92.470 ; 220.537.628 ; 8.649 ; 126.636.809 ; 101.275 ; 365.828.707 ; 848 ; 138.327.263 ; 6.884 ; 236.936.377 ; 7.732 ; 375.263.640 ; 109.007 ; 741.092.347 ;;;;
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 12 ; 39.743.451 ; 8 ; 16.958.652 ; 16 ; 217.724.802 ; 86 ; 17.411.365 ; 122 ; 291.838.270 ; 5 ; 2.336.109 ; 20 ; 372.335.033 ; 25 ; 374.671.142 ; 147 ; 666.509.412 ;;;;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 107 ; 232.135.479 ; 38 ; 27.484.165 ; 67 ; 39.072.131 ; 167 ; 114.089.211 ; 379 ; 412.780.985 ; 14 ; 50.573.979 ; 18 ; 175.570.350 ; 32 ; 226.144.329 ; 411 ; 638.925.315 ;;;;
30;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 63 ; 3.554.271 ; 487 ; 20.297.027 ; 264 ; 145.141.071 ; 94.491 ; 141.178.182 ; 95.305 ; 310.170.551 ; 243 ; 118.268.224 ; 288 ; 114.781.988 ; 531 ; 233.050.213 ; 95.836 ; 543.220.764 ;;;;
31;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 28 ; 55.397.537 ;;; 33 ; 6.848.702 ;;; 61 ; 62.246.239 ;;; 22 ; 470.000.000 ; 22 ; 470.000.000 ; 83 ; 532.246.239 ;;;;
32;62.144.175;BANCO PINE S.A.; 6 ; 14.730.822 ; 182 ; 20.683.827 ; 11 ; 4.357.780 ; 30 ; 4.265.977 ; 229 ; 44.038.406 ; 55 ; 213.560.241 ; 125 ; 203.751.275 ; 180 ; 417.311.516 ; 409 ; 461.349.922 ;;;;
33;58.616.418;BANCO FIBRA S.A.; 84 ; 36.301.451 ; 593 ; 123.590.236 ; 48 ; 43.817.940 ; 182 ; 18.952.461 ; 907 ; 222.662.088 ; 45 ; 114.788.666 ; 33 ; 96.293.840 ; 78 ; 211.082.506 ; 985 ; 433.744.594 ;;;;
