Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;33.479.023;BANCO CITIBANK S.A.; 1.462 ; 1.594.628.782 ; 7.133 ; 1.709.317.844 ; 8.457 ; 8.878.525.707 ; 12.574 ; 9.228.478.728 ; 29.626 ; 21.410.951.060 ; 330 ; 2.659.285.090 ; 336 ; 2.123.840.193 ; 666 ; 4.783.125.282 ; 30.292 ; 26.194.076.342 ;;;;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.976 ; 2.186.518.686 ; 21.328 ; 2.301.643.562 ; 21.554 ; 4.206.056.091 ; 28.373 ; 3.395.289.963 ; 77.231 ; 12.089.508.303 ; 564 ; 6.573.006.897 ; 591 ; 6.970.619.306 ; 1.155 ; 13.543.626.203 ; 78.386 ; 25.633.134.506 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 8.330 ; 3.808.953.810 ; 20.583 ; 2.914.613.375 ; 36.611 ; 2.699.546.574 ; 26.250 ; 3.328.591.409 ; 91.774 ; 12.751.705.168 ; 775 ; 4.520.739.518 ; 790 ; 4.582.364.804 ; 1.565 ; 9.103.104.323 ; 93.339 ; 21.854.809.491 ;;;;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 25 ; 86.593.532 ; 262 ; 36.902.587 ; 173 ; 1.669.034.652 ; 321 ; 771.332.615 ; 781 ; 2.563.863.386 ; 107 ; 6.578.361.680 ; 121 ; 7.519.224.489 ; 228 ; 14.097.586.169 ; 1.009 ; 16.661.449.555 ;;;;
5;00.000.000;BANCO DO BRASIL S.A.; 8.655 ; 2.829.062.213 ; 8.703 ; 1.353.087.954 ; 21.925 ; 4.970.923.496 ; 28.726 ; 5.180.926.133 ; 68.009 ; 14.333.999.796 ; 300 ; 458.175.233 ; 323 ; 1.723.020.081 ; 623 ; 2.181.195.314 ; 68.632 ; 16.515.195.110 ;;;;
6;33.172.537;BANCO J.P. MORGAN S.A.; 325 ; 278.297.546 ; 2.427 ; 560.016.572 ; 954 ; 4.011.996.457 ; 1.895 ; 4.564.191.950 ; 5.601 ; 9.414.502.525 ; 240 ; 3.736.307.265 ; 210 ; 1.930.913.374 ; 450 ; 5.667.220.639 ; 6.051 ; 15.081.723.164 ;;;;
7;60.701.190;ITAÚ UNIBANCO S.A.; 8.549 ; 1.722.032.099 ; 16.226 ; 1.559.084.939 ; 35.854 ; 3.728.029.242 ; 30.461 ; 3.342.792.795 ; 91.090 ; 10.351.939.075 ; 261 ; 2.046.779.245 ; 247 ; 2.324.653.772 ; 508 ; 4.371.433.017 ; 91.598 ; 14.723.372.092 ;;;;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 122 ; 288.198.082 ; 307 ; 368.943.550 ; 397 ; 2.305.279.272 ; 1.360 ; 2.492.956.058 ; 2.186 ; 5.455.376.962 ; 45 ; 1.343.088.245 ; 89 ; 1.266.315.078 ; 134 ; 2.609.403.323 ; 2.320 ; 8.064.780.285 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 23 ; 24.994.813 ; 44 ; 14.110.573 ; 393 ; 978.715.056 ; 402 ; 248.969.814 ; 862 ; 1.266.790.257 ; 72 ; 2.212.760.569 ; 115 ; 2.895.925.156 ; 187 ; 5.108.685.725 ; 1.049 ; 6.375.475.981 ;;;;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 199 ; 360.268.499 ; 1.281 ; 292.620.897 ; 770 ; 1.154.458.406 ; 1.445 ; 933.082.637 ; 3.695 ; 2.740.430.439 ; 471 ; 1.720.776.258 ; 461 ; 1.690.001.679 ; 932 ; 3.410.777.937 ; 4.627 ; 6.151.208.376 ;;;;
11;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 218 ; 648.428.067 ; 241 ; 493.818.083 ; 459 ; 1.142.246.151 ; 98 ; 2.310.573.570 ; 132 ; 2.329.073.559 ; 230 ; 4.639.647.129 ; 689 ; 5.781.893.280 ;;;;
12;49.336.860;ING BANK N.V.; 24 ; 141.345.000 ; 9 ; 4.963.777 ; 18 ; 10.980.620 ; 50 ; 155.914.452 ; 101 ; 313.203.849 ; 14 ; 2.553.312.650 ; 15 ; 2.533.392.113 ; 29 ; 5.086.704.763 ; 130 ; 5.399.908.612 ;;;;
13;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 173 ; 98.524.898 ; 434 ; 58.628.560 ; 548 ; 353.512.918 ; 544 ; 177.746.115 ; 1.699 ; 688.412.492 ; 575 ; 1.928.158.350 ; 484 ; 1.834.182.316 ; 1.059 ; 3.762.340.665 ; 2.758 ; 4.450.753.157 ;;;;
14;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 119 ; 227.278.081 ; 659 ; 212.745.438 ; 366 ; 388.641.645 ; 1.199 ; 964.861.782 ; 2.343 ; 1.793.526.946 ; 95 ; 1.266.721.736 ; 64 ; 477.091.134 ; 159 ; 1.743.812.870 ; 2.502 ; 3.537.339.816 ;;;;
15;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 28 ; 27.188.786 ;;; 42 ; 5.356.000 ; 47 ; 259.138.946 ; 117 ; 291.683.732 ; 111 ; 1.425.059.664 ; 103 ; 1.210.628.923 ; 214 ; 2.635.688.586 ; 331 ; 2.927.372.319 ;;;;
16;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 473 ; 882.230.823 ; 444 ; 602.828.882 ; 917 ; 1.485.059.705 ; 28 ; 650.815.131 ; 22 ; 549.387.247 ; 50 ; 1.200.202.378 ; 967 ; 2.685.262.083 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 123 ; 284.358.722 ; 867 ; 142.124.602 ; 304 ; 219.802.232 ; 841 ; 459.980.131 ; 2.135 ; 1.106.265.686 ; 336 ; 842.277.656 ; 706 ; 732.870.883 ; 1.042 ; 1.575.148.539 ; 3.177 ; 2.681.414.225 ;;;;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 284 ; 856.588.004 ; 150 ; 773.520.118 ; 434 ; 1.630.108.122 ; 22 ; 419.872.308 ; 11 ; 206.355.461 ; 33 ; 626.227.769 ; 467 ; 2.256.335.890 ;;;;
19;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 28 ; 287.642.862 ; 140 ; 59.534.826 ; 77 ; 386.318.131 ; 193 ; 145.522.565 ; 438 ; 879.018.384 ; 178 ; 415.024.427 ; 276 ; 899.518.014 ; 454 ; 1.314.542.440 ; 892 ; 2.193.560.825 ;;;;
20;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 55 ; 10.017.711 ; 142 ; 16.428.379 ; 32 ; 661.799.432 ; 292 ; 347.628.518 ; 521 ; 1.035.874.040 ; 43 ; 434.251.771 ; 17 ; 660.007.789 ; 60 ; 1.094.259.560 ; 581 ; 2.130.133.600 ;;;;
21;61.820.817;BANCO PAULISTA S.A.; 228 ; 93.380.972 ; 464 ; 33.660.708 ; 818 ; 131.006.085 ; 1.473 ; 184.606.430 ; 2.983 ; 442.654.195 ; 1.592 ; 597.975.874 ; 12.151 ; 586.727.254 ; 13.743 ; 1.184.703.128 ; 16.726 ; 1.627.357.323 ;;;;
22;28.195.667;BANCO ABC BRASIL S.A.; 93 ; 33.648.696 ; 121 ; 9.956.528 ; 28 ; 49.178.786 ; 205 ; 39.170.355 ; 447 ; 131.954.364 ; 66 ; 662.631.005 ; 64 ; 534.795.136 ; 130 ; 1.197.426.141 ; 577 ; 1.329.380.506 ;;;;
23;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 185 ; 12.339.971 ; 1.289 ; 50.310.452 ; 837 ; 61.082.225 ; 2.914 ; 101.028.949 ; 5.225 ; 224.761.597 ; 882 ; 398.354.569 ; 7.435 ; 318.843.437 ; 8.317 ; 717.198.006 ; 13.542 ; 941.959.603 ;;;;
24;68.900.810;BANCO RENDIMENTO S.A.; 15 ; 3.036.690 ; 90 ; 16.993.677 ; 58.625 ; 132.152.998 ; 482 ; 118.650.919 ; 59.212 ; 270.834.284 ; 522 ; 298.924.063 ; 9.917 ; 275.439.325 ; 10.439 ; 574.363.388 ; 69.651 ; 845.197.672 ;;;;
25;13.059.145;BEXS BANCO DE CÂMBIO S/A; 52 ; 247.975.560 ; 65 ; 2.503.815 ; 155 ; 22.179.303 ; 425 ; 135.447.177 ; 697 ; 408.105.855 ; 211 ; 133.923.796 ; 167 ; 267.057.078 ; 378 ; 400.980.874 ; 1.075 ; 809.086.729 ;;;;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 75 ; 161.471.477 ; 26 ; 55.125.544 ; 79 ; 186.826.502 ; 295 ; 167.963.326 ; 475 ; 571.386.848 ; 10 ; 90.095.695 ; 10 ; 125.139.120 ; 20 ; 215.234.815 ; 495 ; 786.621.663 ;;;;
27;78.632.767;BANCO OURINVEST S.A.; 140 ; 34.655.895 ; 548 ; 36.572.954 ; 474 ; 45.399.423 ; 802 ; 75.567.608 ; 1.964 ; 192.195.880 ; 485 ; 279.034.177 ; 9.897 ; 255.166.892 ; 10.382 ; 534.201.069 ; 12.346 ; 726.396.949 ;;;;
28;58.160.789;BANCO SAFRA S.A.; 235 ; 109.977.383 ; 943 ; 90.966.496 ; 984 ; 158.232.056 ; 2.141 ; 138.890.470 ; 4.303 ; 498.066.406 ; 126 ; 78.630.413 ; 132 ; 113.889.947 ; 258 ; 192.520.360 ; 4.561 ; 690.586.766 ;;;;
29;00.360.305;CAIXA ECONOMICA FEDERAL; 291 ; 44.473.186 ; 168 ; 6.409.236 ; 6.962 ; 134.068.871 ; 1.818 ; 129.608.182 ; 9.239 ; 314.559.475 ; 116 ; 139.621.478 ; 134 ; 180.116.699 ; 250 ; 319.738.178 ; 9.489 ; 634.297.653 ;;;;
30;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 56 ; 105.955.034 ; 204 ; 33.468.665 ; 81 ; 44.046.166 ; 111 ; 95.624.785 ; 452 ; 279.094.649 ; 80 ; 151.285.598 ; 81 ; 169.467.892 ; 161 ; 320.753.490 ; 613 ; 599.848.139 ;;;;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 182 ; 69.885.332 ; 578 ; 104.801.476 ; 371 ; 85.780.199 ; 668 ; 89.002.216 ; 1.799 ; 349.469.223 ; 54 ; 135.611.409 ; 46 ; 97.818.385 ; 100 ; 233.429.794 ; 1.899 ; 582.899.017 ;;;;
32;62.232.889;BANCO DAYCOVAL S.A.; 387 ; 49.456.938 ; 659 ; 37.225.647 ; 567 ; 10.114.019 ; 2.210 ; 48.881.682 ; 3.823 ; 145.678.286 ; 493 ; 213.478.312 ; 2.106 ; 194.611.685 ; 2.599 ; 408.089.997 ; 6.422 ; 553.768.284 ;;;;
33;71.027.866;BANCO BONSUCESSO S.A.; 88 ; 11.469.414 ; 158 ; 8.655.499 ; 309 ; 77.762.661 ; 694 ; 83.742.007 ; 1.249 ; 181.629.581 ; 300 ; 178.813.374 ; 1.433 ; 172.178.896 ; 1.733 ; 350.992.270 ; 2.982 ; 532.621.851 ;;;;
34;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 87 ; 6.425.558 ; 392 ; 17.213.198 ; 180 ; 29.388.542 ; 550 ; 87.752.008 ; 1.209 ; 140.779.307 ; 365 ; 209.383.156 ; 403 ; 139.020.243 ; 768 ; 348.403.399 ; 1.977 ; 489.182.706 ;;;;
35;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 166 ; 217.117.063 ; 183 ; 18.811.120 ; 349 ; 235.928.183 ; 1 ; 24.000.000 ; 98 ; 222.050.000 ; 99 ; 246.050.000 ; 448 ; 481.978.183 ;;;;
36;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 26 ; 68.766.471 ; 27 ; 174.767.420 ; 53 ; 243.533.891 ; 18 ; 172.388.000 ; 3 ; 65.953.205 ; 21 ; 238.341.205 ; 74 ; 481.875.096 ;;;;
37;03.532.415;BANCO ABN AMRO S.A.; 9 ; 10.023.400 ;;; 26 ; 220.242.648 ; 35 ; 217.750.727 ; 70 ; 448.016.775 ;;; 10 ; 13.170.554 ; 10 ; 13.170.554 ; 80 ; 461.187.329 ;;;;
38;30.723.886;BANCO MODAL S.A.; 8 ; 2.327.293 ; 58 ; 4.812.959 ; 127 ; 75.572.040 ; 92 ; 40.907.845 ; 285 ; 123.620.136 ; 15 ; 157.674.300 ; 24 ; 178.016.550 ; 39 ; 335.690.850 ; 324 ; 459.310.986 ;;;;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 839 ; 60.596.425 ; 1.063 ; 36.094.245 ; 400 ; 95.078.203 ; 1.157 ; 17.960.049 ; 3.459 ; 209.728.921 ; 23 ; 17.222.512 ; 33 ; 118.608.035 ; 56 ; 135.830.547 ; 3.515 ; 345.559.468 ;;;;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 47 ; 66.832.507 ; 20 ; 13.681.650 ; 25 ; 43.137.210 ; 87 ; 7.592.514 ; 179 ; 131.243.882 ; 6 ; 30.746.856 ; 12 ; 168.249.504 ; 18 ; 198.996.360 ; 197 ; 330.240.242 ;;;;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 16 ; 1.071.710 ; 15 ; 19.394.041 ; 25 ; 75.713.748 ; 47 ; 30.733.485 ; 103 ; 126.912.984 ; 22 ; 65.132.750 ; 13 ; 91.864.372 ; 35 ; 156.997.122 ; 138 ; 283.910.106 ;;;;
42;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;;;; 5 ; 101.439.498 ; 6 ; 20.171.751 ; 11 ; 121.611.249 ; 6 ; 21.199.225 ; 4 ; 101.702.753 ; 10 ; 122.901.978 ; 21 ; 244.513.227 ;;;;
43;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 16 ; 3.901.119 ; 128 ; 6.586.347 ; 112 ; 64.167.779 ; 76 ; 2.640.993 ; 332 ; 77.296.237 ; 83 ; 44.191.332 ; 66 ; 103.051.032 ; 149 ; 147.242.364 ; 481 ; 224.538.601 ;;;;
44;58.616.418;BANCO FIBRA S.A.; 114 ; 61.895.960 ; 415 ; 45.481.835 ; 56 ; 7.735.998 ; 394 ; 47.229.556 ; 979 ; 162.343.349 ; 15 ; 41.620.151 ; 8 ; 15.059.057 ; 23 ; 56.679.208 ; 1.002 ; 219.022.557 ;;;;
45;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 155 ; 2.726.422 ; 673 ; 16.886.920 ; 1.279 ; 13.639.272 ; 2.277 ; 44.226.485 ; 4.384 ; 77.479.099 ; 2.584 ; 87.732.175 ; 166 ; 42.461.660 ; 2.750 ; 130.193.836 ; 7.134 ; 207.672.935 ;;;;
46;03.609.817;BANCO CARGILL S.A.; 34 ; 62.747.789 ; 2 ; 2.021.178 ; 6 ; 2.933.155 ; 24 ; 2.583.729 ; 66 ; 70.285.851 ; 3 ; 101.500.000 ; 2 ; 33.000.000 ; 5 ; 134.500.000 ; 71 ; 204.785.851 ;;;;
47;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 15 ; 137.981 ; 37 ; 269.874 ; 590 ; 36.339.394 ; 1.501 ; 78.351.313 ; 2.143 ; 115.098.562 ; 704 ; 44.108.484 ; 271 ; 3.398.109 ; 975 ; 47.506.592 ; 3.118 ; 162.605.154 ;;;;
48;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 212 ; 5.361.176 ; 1.696 ; 31.774.412 ; 1.379 ; 14.871.954 ; 3.852 ; 36.662.548 ; 7.139 ; 88.670.091 ; 653 ; 56.163.574 ; 143 ; 8.023.748 ; 796 ; 64.187.322 ; 7.935 ; 152.857.413 ;;;;
49;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 34 ; 74.977.616 ;;; 65 ; 19.168.265 ; 39 ; 53.056.381 ; 138 ; 147.202.262 ; 1 ; 400.913 ; 1 ; 804.060 ; 2 ; 1.204.973 ; 140 ; 148.407.235 ;;;;
50;15.114.366;BANCO BBM S/A; 43 ; 23.688.797 ; 79 ; 8.346.064 ; 13 ; 21.817.393 ; 74 ; 49.294.851 ; 209 ; 103.147.105 ; 1 ; 3.500.000 ; 3 ; 40.000.000 ; 4 ; 43.500.000 ; 213 ; 146.647.105 ;;;;
51;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 113 ; 144.693 ; 272 ; 949.936 ; 385 ; 1.094.629 ; 558 ; 68.701.579 ; 351 ; 67.896.312 ; 909 ; 136.597.891 ; 1.294 ; 137.692.520 ;;;;
52;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 11 ; 958.323 ; 15 ; 1.168.971 ; 12 ; 63.459.194 ; 20 ; 1.770.670 ; 58 ; 67.357.157 ; 9 ; 2.757.651 ; 14 ; 64.425.445 ; 23 ; 67.183.097 ; 81 ; 134.540.254 ;;;;
53;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 92 ; 29.662.933 ; 107 ; 56.713.637 ; 199 ; 86.376.570 ; 33 ; 35.229.725 ; 14 ; 8.207.500 ; 47 ; 43.437.225 ; 246 ; 129.813.795 ;;;;
54;92.894.922;BANCO ORIGINAL S.A.; 32 ; 67.125.138 ; 39 ; 6.111.144 ; 45 ; 190.374 ; 171 ; 3.253.323 ; 287 ; 76.679.979 ; 11 ; 7.089.389 ; 5 ; 41.500.000 ; 16 ; 48.589.389 ; 303 ; 125.269.369 ;;;;
55;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 10 ; 6.649.356 ; 3 ; 833.500 ; 8 ; 157.892 ; 17 ; 68.874 ; 38 ; 7.709.623 ; 32 ; 56.359.000 ; 32 ; 58.609.000 ; 64 ; 114.968.000 ; 102 ; 122.677.623 ;;;;
56;59.118.133;BANCO LUSO BRASILEIRO S.A.; 143 ; 23.429.765 ; 293 ; 17.873.235 ; 62 ; 10.923.309 ; 212 ; 7.437.642 ; 710 ; 59.663.951 ; 251 ; 26.758.156 ; 163 ; 35.797.473 ; 414 ; 62.555.629 ; 1.124 ; 122.219.580 ;;;;
57;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 39 ; 720.244 ; 220 ; 2.353.376 ; 1.340 ; 8.976.845 ; 5.152 ; 57.920.197 ; 6.751 ; 69.970.663 ; 1.053 ; 50.842.592 ; 2 ; 89.949 ; 1.055 ; 50.932.540 ; 7.806 ; 120.903.203 ;;;;
58;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 109 ; 2.018.879 ; 1.205 ; 26.656.823 ; 813 ; 12.266.184 ; 3.638 ; 25.749.385 ; 5.765 ; 66.691.270 ; 1.105 ; 40.594.030 ; 16 ; 2.429.839 ; 1.121 ; 43.023.869 ; 6.886 ; 109.715.139 ;;;;
59;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 984 ; 8.539.209 ; 3.849 ; 55.030.621 ; 4.833 ; 63.569.830 ; 2.025 ; 45.390.177 ; 18 ; 55.026 ; 2.043 ; 45.445.203 ; 6.876 ; 109.015.033 ;;;;
60;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 687 ; 41.711.532 ; 335 ; 8.269.020 ; 277 ; 6.770.454 ; 216 ; 22.078.508 ; 1.515 ; 78.829.514 ; 12 ; 5.823.520 ; 19 ; 23.857.950 ; 31 ; 29.681.470 ; 1.546 ; 108.510.984 ;;;;
