Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
22;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;4.608;713.282.447;13.037;530.902.951;11.977;1.010.555.171;32.924;3.191.015.599;62.546;5.445.756.168;11.692;3.261.304.732;27.149;1.246.744.817;38.841;4.508.049.549;101.387;9.953.805.716
23;1.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;657;2.002.395.698;129;265.942.387;534;1.056.008.208;1.686;1.004.789.136;3.006;4.329.135.429;298;1.838.152.477;341;3.565.538.227;639;5.403.690.703;3.645;9.732.826.132
24;31.872.495;BANCO C6 S.A.;206;214.186.533;1.218;429.686.127;5.209;1.129.732.256;44.902;1.449.438.565;51.535;3.223.043.481;719;3.441.006.015;1.295;2.873.915.673;2.014;6.314.921.688;53.549;9.537.965.169
25;9.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;;372;4.357.565.454;324;2.379.869.495;696;6.737.434.949;93;274.576.802;250;2.336.066.119;343;2.610.642.921;1.039;9.348.077.870
26;49.336.860;ING BANK N.V.;39;152.608.568;;;101;161.645.229;226;158.336.024;366;472.589.821;131;4.258.892.041;138;4.432.881.529;269;8.691.773.570;635;9.164.363.390
27;19.307.785;MS BANK S.A. BANCO DE CÂMBIO;641;34.667.803;5.094;231.821.781;1.638;276.438.728;194.596;278.972.525;201.969;821.900.836;2.438;4.118.023.788;3.346;3.922.965.156;5.784;8.040.988.943;207.753;8.862.889.779
28;68.900.810;BANCO RENDIMENTO S.A.;433;34.773.631;1.110;330.077.673;1.632.219;3.032.592.478;32.760;534.617.673;1.666.522;3.932.061.456;9.012;1.057.846.903;47.012;3.284.956.930;56.024;4.342.803.834;1.722.546;8.274.865.289
29;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;72;429.541.638;127;248.026.152;168;1.900.062.037;810;1.460.079.083;1.177;4.037.708.910;100;1.510.119.025;161;2.338.297.078;261;3.848.416.103;1.438;7.886.125.013
30;58.160.789;BANCO SAFRA S.A.;1.750;919.937.131;8.167;902.296.470;6.084;925.422.986;9.598;1.519.438.408;25.599;4.267.094.995;1.637;2.093.550.910;1.580;1.522.013.235;3.217;3.615.564.144;28.816;7.882.659.139
31;33.264.668;BANCO XP S.A.;836;903.713.235;7.591;1.240.050.277;2.904;1.635.231.633;10.220;1.283.776.151;21.551;5.062.771.296;154;1.041.286.610;83;872.251.418;237;1.913.538.028;21.788;6.976.309.324
32;78.632.767;BANCO OURINVEST S.A.;5.877;559.626.615;16.117;1.133.379.177;51.272;1.026.909.476;38.082;938.047.193;111.348;3.657.962.461;4.461;1.469.016.131;13.472;968.116.442;17.933;2.437.132.573;129.281;6.095.095.035
33;62.232.889;BANCO DAYCOVAL S.A.;3.939;648.954.104;7.232;676.378.836;468.652;1.400.429.087;10.164;608.568.241;489.987;3.334.330.267;1.872;925.188.259;3.814;1.655.479.843;5.686;2.580.668.102;495.673;5.914.998.369
34;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;1.082;636.107.287;4.568;620.713.291;2.410;948.056.008;3.334;407.026.618;11.394;2.611.903.205;679;1.215.205.139;708;1.662.732.839;1.387;2.877.937.978;12.781;5.489.841.182
35;7.679.404;BANCO TOPÁZIO S.A.;402;250.206.627;248;35.265.242;1.865;375.296.286;3.279;1.938.740.668;5.794;2.599.508.823;2.631;2.099.966.281;6.024;751.507.653;8.655;2.851.473.934;14.449;5.450.982.757
36;58.616.418;BANCO FIBRA S.A.;829;861.750.219;5.950;926.408.519;222;182.927.053;1.308;611.885.153;8.309;2.582.970.945;629;1.270.667.549;551;731.210.727;1.180;2.001.878.276;9.489;4.584.849.220
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.;366;500.925.881;1.363;279.739.224;391;356.614.360;948;437.082.539;3.068;1.574.362.004;588;1.131.565.010;608;1.312.074.947;1.196;2.443.639.957;4.264;4.018.001.961
38;7.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;525;681.451.983;2.596;355.426.120;156;808.499.387;1.825;847.662.186;5.102;2.693.039.677;245;427.965.151;195;733.446.304;440;1.161.411.455;5.542;3.854.451.131
39;71.027.866;BANCO BS2 S.A.;2.431;449.478.657;8.700;371.705.718;46.454;886.896.601;118.429;620.278.825;176.014;2.328.359.801;310;359.522.340;471;720.752.388;781;1.080.274.728;176.795;3.408.634.529
40;45.246.410;BANCO GENIAL S.A.;238;19.582.935;225;27.624.711;1.570;291.245.561;3.168;1.391.231.536;5.201;1.729.684.743;362;1.169.216.651;41;61.210.069;403;1.230.426.720;5.604;2.960.111.463
41;62.144.175;BANCO PINE S.A.;225;120.829.977;2.006;215.197.510;23;20.132.042;347;72.331.759;2.601;428.491.289;170;1.307.433.000;683;1.111.620.462;853;2.419.053.462;3.454;2.847.544.751
42;33.923.798;BANCO MASTER S/A;840;91.328.265;2.487;116.823.475;92.838;749.205.627;329.994;927.765.676;426.159;1.885.123.043;677;555.342.815;425;331.364.986;1.102;886.707.800;427.261;2.771.830.843
43;00.997.185;BANCO B3 S.A.;;;;;846;968.991.377;819;1.116.412.943;1.665;2.085.404.320;314;321.783.309;247;174.326.878;561;496.110.187;2.226;2.581.514.507
44;13.059.145;BEXS BANCO DE CÂMBIO S/A;101;346.842.752;61;4.257.740;41.998;269.652.907;470.229;783.039.648;512.389;1.403.793.047;865;604.173.159;267;448.223.861;1.132;1.052.397.020;513.521;2.456.190.067
45;33.042.953;CITIBANK N.A.;;;;;8;1.575;53;939.691;61;941.266;3;771.000.000;7;1.321.000.000;10;2.092.000.000;71;2.092.941.266
46;10.690.848;BANCO DA CHINA BRASIL S.A.;124;352.219.665;181;55.259.069;129;387.025.415;443;257.782.612;877;1.052.286.761;280;278.388.498;323;704.686.661;603;983.075.159;1.480;2.035.361.921
47;7.656.500;BANCO KDB DO BRASIL S.A.;1;7.000.000;1;1.522.170;680;125.837.093;2.267;843.489.430;2.949;977.848.693;436;810.315.645;84;192.880.000;520;1.003.195.645;3.469;1.981.044.337
48;15.114.366;BANCO BOCOM BBM S.A.;84;85.251.342;458;61.444.910;169;289.656.224;1.147;225.672.170;1.858;662.024.646;49;375.703.021;85;815.705.330;134;1.191.408.351;1.992;1.853.432.997
49;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;179;358.353.372;;;214;85.466.678;23;632.611;416;444.452.661;23;933.974.904;28;436.196.325;51;1.370.171.229;467;1.814.623.889
50;00.360.305;CAIXA ECONOMICA FEDERAL;821;212.126.969;560;41.228.270;59.720;310.898.940;3.529;290.128.074;64.630;854.382.253;1.236;352.488.725;1.384;518.228.724;2.620;870.717.449;67.250;1.725.099.703
51;2.318.507;BANCO KEB HANA DO BRASIL S.A.;8;14.569.221;279;143.295.185;330;178.341.128;631;354.563.468;1.248;690.769.002;299;516.391.444;52;211.399.393;351;727.790.837;1.599;1.418.559.839
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;1.698;47.826.766;13.282;291.718.913;11.246;149.151.189;24.218;266.520.698;50.444;755.217.566;4.014;506.692.463;1.064;144.912.166;5.078;651.604.629;55.522;1.406.822.195
53;30.723.886;BANCO MODAL S.A.;48;11.168.677;180;32.066.549;800;367.884.895;755;239.315.435;1.783;650.435.555;46;304.903.294;46;417.608.700;92;722.511.994;1.875;1.372.947.549
54;73.622.748;B&T CORRETORA DE CAMBIO LTDA.;1.419;32.925.807;6.669;211.065.757;46.510;199.379.021;19.924;273.135.896;74.522;716.506.481;5.657;404.437.746;1.607;152.532.739;7.264;556.970.485;81.786;1.273.476.965
55;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;120;423.255.464;60;203.414.135;180;626.669.599;35;196.978.399;82;414.168.995;117;611.147.394;297;1.237.816.992
56;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.;131;24.060.099;337;15.775.964;23.309;544.853.422;1.451;41.152.900;25.228;625.842.385;476;32.927.225;1.085;544.911.456;1.561;577.838.682;26.789;1.203.681.067
57;1.181.521;BANCO COOPERATIVO SICREDI S.A.;5.630;305.130.665;5.148;295.497.222;3.510;182.382.575;2.375;84.127.026;16.663;867.137.488;96;92.698.637;40;199.668.532;136;292.367.168;16.799;1.159.504.656
58;8.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;60;20.342.361;815;33.009.046;1.238;133.292.827;5.020;350.467.986;7.133;537.112.221;1.419;394.751.478;604;164.834.231;2.023;559.585.710;9.156;1.096.697.930
59;36.588.217;TRANSFERWISE BRASIL CORRETORA DE CÂMBIO LTDA.;;;;;716;541.434;306.466;305.251.530;307.182;305.792.964;4.701;545.797.625;4.598;241.086.633;9.299;786.884.258;316.481;1.092.677.222
60;3.609.817;BANCO CARGILL S.A.;143;190.442.527;1;19.588;44;68.083.187;245;140.852.456;433;399.397.758;9;320.000.000;12;360.000.000;21;680.000.000;454;1.079.397.758
61;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;4.916;325.928.866;3.801;195.367.176;2.743;46.629.297;2.954;188.845.530;14.414;756.770.869;96;162.896.423;100;145.591.462;196;308.487.886;14.610;1.065.258.755
62;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;14;135.490.288;100;79.366.313;47;20.527.459;97;2.391.201;258;237.775.261;15;286.885.133;19;413.599.520;34;700.484.653;292;938.259.914
63;60.889.128;BANCO SOFISA S.A.;808;196.337.090;857;75.573.216;87;200.097.360;455;21.876.394;2.207;493.884.060;20;26.061.124;55;314.087.392;75;340.148.516;2.282;834.032.576
64;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;46;48.805.039;129;12.708.600;114;263.291.216;344;47.877.883;633;372.682.737;48;62.987.638;51;364.535.802;99;427.523.439;732;800.206.176
65;59.118.133;BANCO LUSO BRASILEIRO S.A.;447;53.070.740;1.677;221.631.729;221;53.557.393;1.225;44.166.217;3.570;372.426.078;1.639;271.727.662;623;112.270.377;2.262;383.998.038;5.832;756.424.117
66;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.;175;229.988.001;266;39.481.532;346;49.623.113;452;88.732.062;1.239;407.824.708;236;80.998.750;173;260.837.716;409;341.836.466;1.648;749.661.174
67;32.648.370;FAIR CORRETORA DE CAMBIO S.A.;826;15.801.773;7.609;197.313.991;3.540;69.092.226;7.590;101.492.792;19.565;383.700.782;4.326;264.071.377;367;49.965.948;4.693;314.037.325;24.258;697.738.107
68;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;20;514.896;553;275.590.309;526;63.062.843;1.124;58.709.060;2.223;397.877.108;642;283.795.085;98;13.115.000;740;296.910.085;2.963;694.787.194
69;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO;124;62.169.888;522;63.973.301;61;43.509.456;231;58.757.009;938;228.409.653;137;241.355.653;132;178.917.237;269;420.272.890;1.207;648.682.543
70;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.;1.051;24.951.741;9.192;213.720.540;2.270;36.435.375;7.543;86.517.846;20.056;361.625.502;3.396;257.462.118;249;18.533.583;3.645;275.995.700;23.701;637.621.202
71;00.250.699;AGK CORRETORA DE CAMBIO S.A.;1.459;32.149.304;7.391;226.622.121;3.437;50.851.963;3.803;45.701.826;16.090;355.325.213;2.924;231.103.373;469;41.764.486;3.393;272.867.859;19.483;628.193.073
