Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
98;12.392.983;MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.;68;2.273.381;1.152;36.610.175;326;3.245.932;384;5.128.235;1.930;47.257.724;1.178;42.017.336;365;5.798.730;1.543;47.816.066;3.473;95.073.790
99;77.162.881;DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;10;128.611;521;24.149.693;938;1.489.484;1.498;8.748.449;2.967;34.516.236;1.216;45.444.589;307;14.221.000;1.523;59.665.589;4.490;94.181.826
100;14.190.547;CAMBIONET CORRETORA DE CÂMBIO LTDA.;143;2.652.493;533;9.674.511;1.486;8.941.681;4.567;26.837.437;6.729;48.106.122;3.514;33.655.745;458;8.754.133;3.972;42.409.877;10.701;90.515.999
101;6.373.777;BOA VIAGEM SOCIEDADE CORRETORA DE CÂMBIO LTDA.;45;994.473;534;14.842.190;1.560;6.042.108;3.212;14.831.284;5.351;36.710.054;2.662;36.155.231;658;13.511.199;3.320;49.666.431;8.671;86.376.485
102;4.913.711;BANCO DO ESTADO DO PARÁ S.A.;426;25.803.055;13;759.502;149;13.958.822;261;1.946.864;849;42.468.242;19;3.087.649;155;39.800.747;174;42.888.396;1.023;85.356.638
103;19.086.249;EXECUTIVE CORRETORA DE CÂMBIO LTDA.;114;1.751.890;680;18.610.184;1.569;10.188.275;2.117;12.104.277;4.480;42.654.626;1.816;28.060.196;712;9.371.464;2.528;37.431.660;7.008;80.086.286
104;94.968.518;DECYSEO CORRETORA DE CAMBIO LTDA.;79;2.634.813;239;8.905.375;564;14.321.685;851;16.041.212;1.733;41.903.085;671;17.984.050;281;10.001.453;952;27.985.503;2.685;69.888.587
105;00.000.208;BRB - BANCO DE BRASILIA S.A.;;;14;2.567.332;232;5.244.507;621;24.112.080;867;31.923.920;25;25.615.547;17;4.641.521;42;30.257.069;909;62.180.988
106;00.795.423;BANCO SEMEAR S.A.;;;238;9.175.716;52;4.923.786;97;16.574.093;387;30.673.595;193;25.634.348;55;5.773.612;248;31.407.960;635;62.081.556
107;27.842.177;IB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;98;5.109.058;362;6.736.030;350;10.495.440;1.134;8.079.704;1.944;30.420.232;1.054;12.716.536;568;13.486.424;1.622;26.202.960;3.566;56.623.192
108;17.508.380;INVEST CORRETORA DE CÂMBIO LTDA.;;;;;1.147;7.562.536;1.309;11.208.144;2.456;18.770.680;644;15.825.423;174;12.122.452;818;27.947.875;3.274;46.718.555
109;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;;7;7.385;7;7.385;9;22.584.030;15;22.552.116;24;45.136.146;31;45.143.532
110;17.772.370;VIP'S CORRETORA DE CÂMBIO LTDA.;13;523.432;403;11.856.352;446;2.713.662;1.396;8.362.405;2.258;23.455.851;1.008;19.020.602;50;2.103.395;1.058;21.123.997;3.316;44.579.847
111;7.333.726;ONNIX CORRETORA DE CÂMBIO LTDA.;12;293.722;351;14.127.794;126;3.175.924;231;5.208.620;720;22.806.060;342;18.560.811;105;2.694.057;447;21.254.867;1.167;44.060.927
112;17.904.906;BRX CORRETORA DE CÂMBIO LTDA.;7;169.929;2;17.947;663;2.084.136;1.537;7.915.604;2.209;10.187.617;1.298;19.729.240;428;14.061.244;1.726;33.790.484;3.935;43.978.101
113;59.615.005;PATACÃO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;16;582.547;261;7.488.812;261;2.121.216;733;10.922.082;1.271;21.114.657;639;18.518.793;96;2.815.296;735;21.334.090;2.006;42.448.746
114;4.684.647;ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.;317;1.032.669;191;2.818.465;1.589;18.215.113;1.070;5.877.426;3.167;27.943.674;172;1.935.125;316;12.484.930;488;14.420.055;3.655;42.363.729
115;18.287.740;CONECTA CORRETORA DE CÂMBIO LTDA.;124;3.520.718;165;3.652.597;728;7.965.856;1.272;8.887.801;2.289;24.026.972;584;9.089.561;249;8.089.342;833;17.178.903;3.122;41.205.874
116;33.851.064;DILLON S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;36;363.711;212;3.920.298;547;8.267.328;1.209;9.204.702;2.004;21.756.039;1.457;11.750.314;262;7.139.636;1.719;18.889.950;3.723;40.645.989
117;73.302.408;EXIM CORRETORA DE CAMBIO LTDA;56;598.886;274;4.469.455;816;6.461.782;1.499;7.551.535;2.645;19.081.658;998;11.802.227;343;6.830.542;1.341;18.632.770;3.986;37.714.427
118;61.444.949;SAGITUR CORRETORA DE CÂMBIO LTDA.;11;344.312;512;10.298.996;597;2.531.823;440;2.786.303;1.560;15.961.435;698;15.972.906;267;5.779.519;965;21.752.424;2.525;37.713.859
119;6.132.348;LABOR SOCIEDADE CORRETORA DE CÂMBIO LTDA.;106;3.251.450;221;4.998.085;1.340;5.293.535;1.689;7.633.876;3.356;21.176.946;793;9.093.881;247;5.154.160;1.040;14.248.040;4.396;35.424.987
120;15.482.499;TURCÂMBIO - CORRETORA DE CÂMBIO LTDA.;13;172.866;177;3.539.806;1.554;6.782.969;1.957;8.069.631;3.701;18.565.271;735;10.530.467;207;5.902.700;942;16.433.167;4.643;34.998.437
121;25.280.945;AVS CORRETORA DE CÂMBIO LTDA.;75;470.040;417;4.950.609;1.089;3.936.619;1.768;9.277.001;3.349;18.634.268;1.036;11.027.962;224;1.204.749;1.260;12.232.711;4.609;30.866.979
122;17.312.661;AMARIL FRANKLIN CORRETORA DE TÍTULOS E VALORES LTDA;375;11.071.305;68;1.122.224;69;1.075.434;212;2.160.071;724;15.429.034;245;3.208.516;403;12.072.898;648;15.281.414;1.372;30.710.447
123;10.853.017;GET MONEY CORRETORA DE CÂMBIO S.A.;;;76;1.111.252;1.511;9.148.299;2.015;12.743.871;3.602;23.003.422;1.076;5.656.744;78;1.106.870;1.154;6.763.614;4.756;29.767.036
124;4.902.979;BANCO DA AMAZONIA S.A.;222;6.661.859;78;3.675.278;78;3.311.060;213;1.257.871;591;14.906.067;22;3.037.504;83;8.090.617;105;11.128.121;696;26.034.188
125;71.590.442;LASTRO RDV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;29;383.372;287;6.441.407;178;1.570.537;381;2.479.709;875;10.875.026;615;9.148.328;164;2.184.167;779;11.332.495;1.654;22.207.520
126;00.806.535;PLANNER CORRETORA DE VALORES S.A.;2;10.557;3;21.527;117;5.585.667;93;3.964.904;215;9.582.654;96;4.217.002;132;5.826.120;228;10.043.122;443;19.625.776
127;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;193;5.794.502;68;2.992.374;75;2.238.885;33;487.207;369;11.512.968;8;2.212.774;28;5.625.356;36;7.838.130;405;19.351.099
128;33.042.151;BANCO DE LA NACION ARGENTINA;17;4.565.616;7;163.892;2.792;3.871.900;83;772.379;2.899;9.373.786;3;80.598;43;8.605.818;46;8.686.415;2.945;18.060.202
129;17.635.177;CONEXION CORRETORA DE CÂMBIO LTDA.;;;33;514.520;120;1.098.960;1.118;7.523.708;1.271;9.137.188;1.219;7.625.238;32;684.610;1.251;8.309.849;2.522;17.447.036
130;61.033.106;BANCO CREFISA S.A.;;;1;3.680.000;20;427.680;49;4.506.302;70;8.613.981;6;7.780.000;;;6;7.780.000;76;16.393.981
131;15.168.152;CONSEGTUR CORRETORA DE CÂMBIO LTDA.;1;27.835;67;2.024.472;100;1.485.383;687;3.740.209;855;7.277.899;732;6.251.449;106;1.999.997;838;8.251.446;1.693;15.529.345
132;17.312.083;H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS;1;171;9;60.344;646;1.716.556;1.605;6.881.483;2.261;8.658.553;759;5.777.784;22;585.409;781;6.363.193;3.042;15.021.746
133;73.279.093;PACIFIC INVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;2;293.700;9;331.036;1.255;1.690.133;4.447;5.382.487;5.713;7.697.356;630;4.927.340;40;1.325.204;670;6.252.544;6.383;13.949.900
134;61.973.863;LEROSA S.A. CORRETORA DE VALORES E CAMBIO;1;1.900;96;2.813.819;34;332.296;87;2.810.119;218;5.958.134;164;5.614.464;27;334.841;191;5.949.305;409;11.907.439
135;13.673.855;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;71;2.535.230;30;1.368.708;69;1.674.748;170;5.578.686;104;4.205.418;27;1.363.970;131;5.569.388;301;11.148.074
136;28.762.249;SADOC SOCIEDADE CORRETORA DE CÂMBIO LTDA.;32;916.369;32;890.443;483;1.501.388;528;2.537.387;1.075;5.845.587;195;2.777.588;80;1.799.040;275;4.576.628;1.350;10.422.215
137;28.650.236;BS2 DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;;682;2.268.997;707;3.219.615;1.389;5.488.611;207;2.017.011;283;2.356.567;490;4.373.578;1.879;9.862.190
138;59.285.411;BANCO PAN S.A.;;;;;38;603.037;139;4.236.200;177;4.839.238;23;4.020.000;;;23;4.020.000;200;8.859.238
139;8.520.517;SOL CORRETORA DE CÂMBIO LTDA.;;;3;116.992;578;2.624.831;736;1.804.351;1.317;4.546.174;290;1.284.767;173;2.016.916;463;3.301.684;1.780;7.847.858
140;15.122.605;LÚMINA CORRETORA DE CÂMBIO LTDA.;;;;;1.378;1.451.960;1.119;3.791.884;2.497;5.243.844;460;2.466.038;30;117.842;490;2.583.880;2.987;7.827.724
141;23.010.182;GOOD CORRETORA DE CÂMBIO LTDA;;;;;539;1.254.916;695;2.416.796;1.234;3.671.712;210;1.244.446;8;105.874;218;1.350.320;1.452;5.022.032
142;16.854.999;SINGRATUR CORRETORA DE CÂMBIO LTDA;;;4;23.682;218;670.665;362;1.631.109;584;2.325.456;236;1.560.600;77;588.033;313;2.148.633;897;4.474.088
143;20.155.248;PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;;;;1.151;548.630;1.655;1.994.500;2.806;2.543.130;62;1.370.717;3;19.852;65;1.390.569;2.871;3.933.700
144;89.784.367;EBADIVAL - E. BAGGIO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;;332;614.262;480;1.496.138;812;2.110.399;109;1.329.387;12;430.763;121;1.760.149;933;3.870.549
145;16.927.221;AMAZÔNIA CORRETORA DE CÂMBIO LTDA.;;;3;47.156;312;390.107;443;1.687.593;758;2.124.856;464;1.342.029;2;1.310;466;1.343.339;1.224;3.468.194
146;18.145.784;NUMATUR CORRETORA DE CÂMBIO LTDA.;;;;;286;157.617;719;1.588.483;1.005;1.746.100;175;1.436.909;1;15.000;176;1.451.909;1.181;3.198.009
147;2.332.886;XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;;;;;186;1.404.200;1;1.978;187;1.406.177;2;28.261;166;1.433.483;168;1.461.743;355;2.867.920
148;21.040.668;GLOBAL EXCHANGE DO BRASIL SOCIEDADE CORRETORA DE CÂMBIO LTDA.;;;;;612;1.215.630;526;971.513;1.138;2.187.143;15;73.657;36;301.018;51;374.674;1.189;2.561.817
149;62.280.490;DIBRAN DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;1;4.950;27;87.097;300;988.783;328;1.080.830;192;1.019.880;16;156.749;208;1.176.629;536;2.257.458
150;15.761.217;CORRETORA DE CÂMBIO AÇORIANA LIMITADA.;;;;;82;117.472;400;972.406;482;1.089.878;292;903.509;15;46.249;307;949.758;789;2.039.636
151;36.658.769;BANCO XCMG BRASIL S.A.;;;2;856.835;1;100;2;1.300;5;858.235;4;858.135;;;4;858.135;9;1.716.370
152;54.403.563;BANCO ARBI S.A.;8;226.906;7;14.747;;;26;467.523;41;709.176;11;452.503;1;2.834;12;455.338;53;1.164.513
153;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;;223;174.945;330;471.477;553;646.422;30;319.520;4;77.085;34;396.604;587;1.043.026
154;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;;7;15.652;108;274.844;115;290.496;88;323.985;7;73.773;95;397.757;210;688.253
155;40.333.582;PROSEFTUR CORRETORA DE CÂMBIO LTDA.;;;13;148.716;;;5;78.200;18;226.916;17;226.916;;;17;226.916;35;453.831
156;15.077.393;MEGA CORRETORA DE CÂMBIO LTDA.;;;;;115;99.973;161;220.553;276;320.525;12;114.471;;;12;114.471;288;434.996
157;9.512.542;CODEPE CORRETORA DE VALORES E CÂMBIO S.A.;;;;;6;22.345;16;134.393;22;156.739;6;101.640;;;6;101.640;28;258.378
158;38.486.817;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;;;;;;;35;174.458;35;174.458;;;;; -   ; -   ;35;174.458
159;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES;;;;;7;38.800;23;15.589;30;54.389;;;1;100.000;1;100.000;31;154.389
160;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;;;;;; -   ; -   ;7;45.500;7;45.500;14;91.000;14;91.000
161;3.443.143;AVIPAM CORRETORA DE CAMBIO LTDA;;;;;;;5;23.668;5;23.668;4;20.668;;;4;20.668;9;44.336
162;61.820.817;BANCO PAULISTA S.A.;1;20.000;;;1;9.482;;;2;29.482;;;;; -   ; -   ;2;29.482
163;50.585.090;BCV - BANCO DE CRÉDITO E VAREJO S.A.;;;;;2;6.430;17;8.695;19;15.125;1;1.211;;;1;1.211;20;16.336
164;58.497.702;BANCO SMARTBANK S.A.;;;;;;;4;274;4;274;;;;; -   ; -   ;4;274
;;;;;;;;;;;;;;;;;;;;
Total;;;283.569;135.970.078.477;798.911;113.648.792.108;3.607.766;306.578.452.639;2.628.333;312.735.397.550;7.318.579;868.932.720.774;191.508;338.984.425.264;191.508;339.108.939.335;383.016;678.093.364.599;7.701.595;1.547.026.085.374
"Fonte: Sistema Câmbio; Dados extraídos em: 10/08/2021";;;;;;;;;;;;;;;;;;;;
Obs. Os dados para o Mercado Primário incluem os registros de contratos da natureza 99000 e não incluem os registros ACAM204.;;;;;;;;;;;;;;;;;;; ; 
Obs. Os dados para o Mercado Interbancário referem-se a registros de operações de arbitragens (no País e no exterior), operações entre  instituições e operações com o Banco Central do Brasil.;;;;;;;;;;;;;;;;;;; ; 
