Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Agosto/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 289 ; 332.354.216 ; 1.146 ; 452.928.312 ; 483 ; 1.821.539.517 ; 684 ; 2.407.769.434 ; 2.602 ; 5.014.591.479 ; 240 ; 1.418.341.876 ; 498 ; 1.026.986.978 ; 738 ; 2.445.328.854 ; 3.340 ; 7.459.920.333 ;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 129 ; 82.132.651 ; 695 ; 65.774.674 ; 244 ; 842.749.253 ; 414 ; 1.423.460.506 ; 1.482 ; 2.414.117.084 ; 714 ; 2.474.430.950 ; 723 ; 2.378.060.137 ; 1.437 ; 4.852.491.087 ; 2.919 ; 7.266.608.171 ;
16;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 970 ; 174.004.167 ; 6.973 ; 491.114.884 ; 8.306 ; 485.162.848 ; 31.815 ; 1.359.491.170 ; 48.064 ; 2.509.773.069 ; 123 ; 2.474.703.290 ; 144 ; 1.344.593.025 ; 267 ; 3.819.296.315 ; 48.331 ; 6.329.069.384 ;
17;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 494 ; 1.860.562.473 ; 479 ; 2.159.499.798 ; 973 ; 4.020.062.271 ; 48 ; 1.207.357.012 ; 43 ; 908.353.782 ; 91 ; 2.115.710.794 ; 1.064 ; 6.135.773.065 ;
18;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 372 ; 2.412.855.829 ; 415 ; 2.513.034.435 ; 787 ; 4.925.890.264 ; 18 ; 585.477.350 ; 10 ; 490.000.000 ; 28 ; 1.075.477.350 ; 815 ; 6.001.367.614 ;
19;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 14 ; 257.993.839 ; 13 ; 6.014.366 ; 158 ; 2.681.670.987 ; 129 ; 150.115.188 ; 314 ; 3.095.794.380 ; -   ; -   ; 74 ; 2.752.000.000 ; 74 ; 2.752.000.000 ; 388 ; 5.847.794.380 ;
20;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 71 ; 78.821.229 ; 222 ; 99.088.090 ; 95 ; 192.942.419 ; 127 ; 205.211.798 ; 515 ; 576.063.536 ; 190 ; 1.570.519.374 ; 181 ; 1.551.090.959 ; 371 ; 3.121.610.333 ; 886 ; 3.697.673.869 ;
21;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 173 ; 108.413.647 ; 1.304 ; 244.017.025 ; 2.138 ; 522.061.405 ; 3.690 ; 547.649.017 ; 7.305 ; 1.422.141.094 ; 108 ; 1.051.517.096 ; 141 ; 885.491.959 ; 249 ; 1.937.009.055 ; 7.554 ; 3.359.150.149 ;
22;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 225 ; 23.211.525 ; 932 ; 8.245.733 ; 35.089 ; 162.932.178 ; 74.884 ; 1.206.816.388 ; 111.130 ; 1.401.205.824 ; 918 ; 1.377.998.108 ; 2.776 ; 343.173.520 ; 3.694 ; 1.721.171.628 ; 114.824 ; 3.122.377.452 ;
23;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 810 ; 110.852.022 ; 4.157 ; 212.263.133 ; 49.341 ; 368.567.051 ; 58.835 ; 614.430.846 ; 113.143 ; 1.306.113.052 ; 1.077 ; 808.895.311 ; 8.586 ; 467.467.008 ; 9.663 ; 1.276.362.319 ; 122.806 ; 2.582.475.371 ;
