Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
16;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 295 ; 811.432.706 ; 172 ; 916.193.470 ; 467 ; 1.727.626.176 ; 21 ; 369.798.254 ; 40 ; 814.010.387 ; 61 ; 1.183.808.641 ; 528 ; 2.911.434.817 
17;59.588.111;BANCO VOTORANTIM S.A.; 93 ; 140.471.581 ; 634 ; 150.135.442 ; 382 ; 266.207.960 ; 725 ; 300.198.262 ; 1.834 ; 857.013.244 ; 280 ; 593.456.419 ; 754 ; 564.142.917 ; 1.034 ; 1.157.599.336 ; 2.868 ; 2.014.612.580 
18;58.160.789;BANCO SAFRA S.A.; 179 ; 68.386.211 ; 700 ; 123.203.731 ; 805 ; 82.660.345 ; 1.818 ; 794.031.922 ; 3.502 ; 1.068.282.210 ; 162 ; 862.859.933 ; 136 ; 78.585.241 ; 298 ; 941.445.173 ; 3.800 ; 2.009.727.383 
19;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 87 ; 196.378.537 ;;; 115 ; 82.229.654 ; 59 ; 907.270.502 ; 261 ; 1.185.878.692 ; 27 ; 648.674.531 ; 3 ; 15.307.730 ; 30 ; 663.982.261 ; 291 ; 1.849.860.952 
20;61.820.817;BANCO PAULISTA S.A.; 209 ; 168.254.338 ; 455 ; 28.642.656 ; 61.331 ; 120.197.101 ; 1.279 ; 115.405.650 ; 63.274 ; 432.499.745 ; 1.526 ; 605.918.459 ; 9.484 ; 748.400.948 ; 11.010 ; 1.354.319.407 ; 74.284 ; 1.786.819.152 
21;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 34 ; 132.778.321 ; 30 ; 13.526.982 ; 18 ; 253.166.577 ; 130 ; 191.857.021 ; 212 ; 591.328.901 ; 19 ; 425.780.701 ; 31 ; 686.290.161 ; 50 ; 1.112.070.862 ; 262 ; 1.703.399.764 
22;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 274 ; 375.744.665 ; 435 ; 579.347.204 ; 709 ; 955.091.869 ; 28 ; 396.849.235 ; 24 ; 256.863.396 ; 52 ; 653.712.630 ; 761 ; 1.608.804.500 
23;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 6 ; 352.836 ;;; 133 ; 192.021.793 ; 159 ; 120.434.042 ; 298 ; 312.808.671 ; 3 ; 1.691.682 ; 33 ; 940.693.462 ; 36 ; 942.385.144 ; 334 ; 1.255.193.815 
24;28.195.667;BANCO ABC BRASIL S.A.; 59 ; 28.590.143 ; 218 ; 44.597.975 ; 32 ; 123.983.847 ; 282 ; 190.535.093 ; 591 ; 387.707.059 ; 94 ; 330.488.941 ; 201 ; 212.026.795 ; 295 ; 542.515.736 ; 886 ; 930.222.795 
25;68.900.810;BANCO RENDIMENTO S.A.; 26 ; 1.813.990 ; 160 ; 29.336.250 ; 36.975 ; 136.475.379 ; 15.659 ; 136.659.706 ; 52.820 ; 304.285.324 ; 625 ; 264.197.990 ; 8.476 ; 278.847.778 ; 9.101 ; 543.045.768 ; 61.921 ; 847.331.093 
26;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 216 ; 9.829.859 ; 1.460 ; 53.621.069 ; 884 ; 80.431.559 ; 2.654 ; 119.888.171 ; 5.214 ; 263.770.659 ; 832 ; 317.890.128 ; 6.831 ; 229.567.179 ; 7.663 ; 547.457.307 ; 12.877 ; 811.227.966 
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 157 ; 40.056.116 ; 701 ; 123.730.227 ; 344 ; 192.729.301 ; 439 ; 79.626.350 ; 1.641 ; 436.141.993 ; 73 ; 153.476.274 ; 76 ; 175.903.499 ; 149 ; 329.379.772 ; 1.790 ; 765.521.766 
28;00.360.305;CAIXA ECONOMICA FEDERAL; 177 ; 36.919.330 ; 112 ; 1.407.674 ; 7.036 ; 61.684.551 ; 1.293 ; 77.155.546 ; 8.618 ; 177.167.101 ; 106 ; 472.450.107 ; 115 ; 104.428.850 ; 221 ; 576.878.957 ; 8.839 ; 754.046.058 
