Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
15;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 168 ; 487.106.628 ; 105 ; 76.797.180 ; 219 ; 931.656.404 ; 357 ; 147.976.223 ; 849 ; 1.643.536.434 ; 844 ; 10.191.162.905 ; 918 ; 11.389.160.300 ; 1.762 ; 21.580.323.205 ; 2.611 ; 23.223.859.639 
16;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 197.000.000 ;;; 4.216 ; 6.786.353.587 ; 3.929 ; 7.630.971.630 ; 8.147 ; 14.614.325.217 ; 222 ; 4.862.904.427 ; 183 ; 3.728.405.997 ; 405 ; 8.591.310.424 ; 8.552 ; 23.205.635.641 
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.081 ; 2.469.969.329 ; 4.460 ; 1.686.054.929 ; 2.448 ; 3.686.219.026 ; 6.628 ; 4.680.404.535 ; 14.617 ; 12.522.647.820 ; 604 ; 5.372.489.396 ; 551 ; 4.712.170.015 ; 1.155 ; 10.084.659.411 ; 15.772 ; 22.607.307.231 
18;59.588.111;BANCO VOTORANTIM S.A.; 794 ; 1.782.332.221 ; 3.960 ; 981.569.673 ; 2.015 ; 2.176.617.821 ; 5.453 ; 2.801.049.348 ; 12.222 ; 7.741.569.062 ; 2.237 ; 4.962.909.389 ; 5.896 ; 5.215.529.089 ; 8.133 ; 10.178.438.478 ; 20.355 ; 17.920.007.541 
19;49.336.860;ING BANK N.V.; 189 ; 1.643.029.559 ; 139 ; 187.238.312 ; 148 ; 314.904.400 ; 386 ; 220.128.366 ; 862 ; 2.365.300.637 ; 193 ; 4.604.716.637 ; 248 ; 6.204.900.961 ; 441 ; 10.809.617.598 ; 1.303 ; 13.174.918.235 
20;61.820.817;BANCO PAULISTA S.A.; 1.316 ; 891.532.783 ; 3.546 ; 259.474.170 ; 190.170 ; 1.189.637.148 ; 11.505 ; 1.303.155.867 ; 206.537 ; 3.643.799.968 ; 11.740 ; 4.459.666.756 ; 90.674 ; 4.983.858.404 ; 102.414 ; 9.443.525.159 ; 308.951 ; 13.087.325.127 
21;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 55 ; 117.730.487 ;;; 55 ; 117.730.487 ; 7 ; 4.925.000.000 ; 7 ; 4.925.000.000 ; 14 ; 9.850.000.000 ; 69 ; 9.967.730.487 
22;58.160.789;BANCO SAFRA S.A.; 1.411 ; 866.113.389 ; 6.517 ; 797.126.579 ; 7.399 ; 1.882.904.930 ; 16.405 ; 2.238.171.708 ; 31.732 ; 5.784.316.606 ; 1.268 ; 1.959.103.146 ; 1.236 ; 1.682.029.398 ; 2.504 ; 3.641.132.544 ; 34.236 ; 9.425.449.151 
23;28.195.667;BANCO ABC BRASIL S.A.; 543 ; 252.021.175 ; 1.093 ; 158.815.642 ; 245 ; 1.278.174.953 ; 1.484 ; 882.782.844 ; 3.365 ; 2.571.794.615 ; 858 ; 2.619.089.402 ; 1.328 ; 2.937.717.647 ; 2.186 ; 5.556.807.049 ; 5.551 ; 8.128.601.664 
24;68.900.810;BANCO RENDIMENTO S.A.; 129 ; 24.416.811 ; 854 ; 168.106.645 ; 303.409 ; 1.006.335.503 ; 31.492 ; 1.207.004.493 ; 335.884 ; 2.405.863.451 ; 4.007 ; 2.749.623.500 ; 66.124 ; 2.414.700.434 ; 70.131 ; 5.164.323.933 ; 406.015 ; 7.570.187.384 
