Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 124 ; 144.240.718 ; 635 ; 161.080.495 ; 383 ; 364.481.071 ; 1.226 ; 496.532.888 ; 2.368 ; 1.166.335.172 ; 74 ; 746.829.563 ; 70 ; 611.708.034 ; 144 ; 1.358.537.597 ; 2.512 ; 2.524.872.769 ;;;;
17;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 329 ; 688.478.863 ; 521 ; 889.874.644 ; 850 ; 1.578.353.507 ; 12 ; 355.037.683 ; 7 ; 175.037.395 ; 19 ; 530.075.078 ; 869 ; 2.108.428.585 ;;;;
18;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 20 ; 11.663.469 ; 4 ; 4.829.865 ; 24 ; 56.446.643 ; 47 ; 5.424.660 ; 95 ; 78.364.637 ; 92 ; 976.443.891 ; 95 ; 1.039.143.522 ; 187 ; 2.015.587.413 ; 282 ; 2.093.952.050 ;;;;
19;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 225 ; 529.139.209 ; 193 ; 671.273.431 ; 418 ; 1.200.412.640 ; 24 ; 438.154.084 ; 20 ; 415.836.211 ; 44 ; 853.990.295 ; 462 ; 2.054.402.935 ;;;;
20;61.820.817;BANCO PAULISTA S.A.; 167 ; 96.467.701 ; 529 ; 32.059.942 ; 822 ; 116.892.704 ; 1.412 ; 180.505.639 ; 2.930 ; 425.925.987 ; 1.564 ; 547.825.139 ; 12.757 ; 592.097.484 ; 14.321 ; 1.139.922.623 ; 17.251 ; 1.565.848.610 ;;;;
21;30.723.886;BANCO MODAL S.A.; 21 ; 22.634.454 ; 32 ; 2.122.701 ; 100 ; 507.278.544 ; 125 ; 533.852.466 ; 278 ; 1.065.888.165 ; 15 ; 151.261.123 ; 36 ; 135.931.710 ; 51 ; 287.192.833 ; 329 ; 1.353.080.998 ;;;;
22;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 215 ; 58.965.619 ; 522 ; 54.205.381 ; 325 ; 418.878.665 ; 571 ; 47.067.848 ; 1.633 ; 579.117.513 ; 51 ; 50.896.556 ; 71 ; 427.425.352 ; 122 ; 478.321.908 ; 1.755 ; 1.057.439.421 ;;;;
23;58.160.789;BANCO SAFRA S.A.; 199 ; 66.282.928 ; 988 ; 145.753.769 ; 894 ; 74.281.180 ; 2.322 ; 230.109.237 ; 4.403 ; 516.427.114 ; 198 ; 353.990.761 ; 178 ; 121.312.781 ; 376 ; 475.303.542 ; 4.779 ; 991.730.656 ;;;;
24;68.900.810;BANCO RENDIMENTO S.A.; 20 ; 1.900.899 ; 78 ; 17.518.486 ; 33.626 ; 113.526.896 ; 574 ; 150.453.828 ; 34.298 ; 283.400.108 ; 547 ; 332.675.448 ; 10.366 ; 286.843.306 ; 10.913 ; 619.518.753 ; 45.211 ; 902.918.862 ;;;;
25;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 49 ; 94.619.666 ;;; 81 ; 25.912.053 ; 57 ; 161.088.460 ; 187 ; 281.620.179 ; 3 ; 20.594.821 ; 34 ; 545.965.100 ; 37 ; 566.559.921 ; 224 ; 848.180.100 ;;;;
26;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 163 ; 9.329.968 ; 1.210 ; 45.657.529 ; 692 ; 59.622.229 ; 2.763 ; 68.095.380 ; 4.828 ; 182.705.106 ; 1.018 ; 315.605.897 ; 7.929 ; 268.291.079 ; 8.947 ; 583.896.976 ; 13.775 ; 766.602.082 ;;;;
27;00.360.305;CAIXA ECONOMICA FEDERAL; 300 ; 98.119.722 ; 235 ; 10.128.309 ; 6.283 ; 171.184.822 ; 1.581 ; 116.225.669 ; 8.399 ; 395.658.522 ; 109 ; 107.101.952 ; 158 ; 251.087.935 ; 267 ; 358.189.888 ; 8.666 ; 753.848.409 ;;;;
28;78.632.767;BANCO OURINVEST S.A.; 96 ; 22.913.779 ; 339 ; 18.299.531 ; 425 ; 52.654.644 ; 779 ; 59.397.126 ; 1.639 ; 153.265.080 ; 360 ; 296.568.311 ; 10.186 ; 274.575.240 ; 10.546 ; 571.143.551 ; 12.185 ; 724.408.631 ;;;;
29;13.059.145;BEXS BANCO DE CÂMBIO S/A; 50 ; 241.714.117 ; 60 ; 1.744.275 ; 118 ; 21.276.188 ; 412 ; 100.208.929 ; 640 ; 364.943.509 ; 230 ; 99.786.900 ; 168 ; 259.217.914 ; 398 ; 359.004.815 ; 1.038 ; 723.948.324 ;;;;
30;03.532.415;BANCO ABN AMRO S.A.; 4 ; 5.717.026 ;;; 29 ; 348.097.934 ; 56 ; 346.521.563 ; 89 ; 700.336.523 ; 2 ; 37.247 ; 5 ; 7.395.585 ; 7 ; 7.432.832 ; 96 ; 707.769.356 ;;;;
31;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 110 ; 154.042.664 ; 41 ; 29.501.220 ; 88 ; 203.277.617 ; 226 ; 113.073.416 ; 465 ; 499.894.917 ; 9 ; 55.304.513 ; 12 ; 141.305.590 ; 21 ; 196.610.103 ; 486 ; 696.505.021 ;;;;
32;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 35 ; 284.275.766 ; 22 ; 45.233.619 ; 57 ; 329.509.384 ; 9 ; 44.506.471 ; 20 ; 283.496.191 ; 29 ; 328.002.662 ; 86 ; 657.512.047 ;;;;
33;28.195.667;BANCO ABC BRASIL S.A.; 109 ; 48.270.243 ; 103 ; 39.629.277 ; 20 ; 35.979.846 ; 233 ; 125.532.892 ; 465 ; 249.412.258 ; 63 ; 217.457.091 ; 40 ; 164.695.747 ; 103 ; 382.152.839 ; 568 ; 631.565.096 ;;;;
34;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 96 ; 59.487.875 ; 184 ; 25.802.760 ; 73 ; 33.795.725 ; 117 ; 32.655.530 ; 470 ; 151.741.889 ; 137 ; 214.050.441 ; 134 ; 240.142.396 ; 271 ; 454.192.837 ; 741 ; 605.934.726 ;;;;
