Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Jul/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
14;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 199 ; 776.026.860 ; 113 ; 146.296.793 ; 1.155 ; 9.660.140.336 ; 1.273 ; 8.907.441.365 ; 2.740 ; 19.489.905.354 ; 492 ; 6.880.162.774 ; 258 ; 6.631.917.866 ; 750,0 ; 13.512.080.640 ; 3.490 ; 33.001.985.994 ;
15;61.146.577;BANCO BARCLAYS S.A.; 7 ; 72.708.597 ; 32 ; 56.521.734 ; 1.143 ; 7.121.714.637 ; 1.474 ; 6.308.532.668 ; 2.656 ; 13.559.477.637 ; 917 ; 7.820.464.986 ; 1.186 ; 8.608.594.544 ; 2.103,0 ; 16.429.059.530 ; 4.759 ; 29.988.537.167 ;
16;61.820.817;BANCO PAULISTA S.A.; 546 ; 84.311.253 ; 2.804 ; 222.705.965 ; 8.701 ; 610.676.966 ; 16.709 ; 1.595.633.632 ; 28.760 ; 2.513.327.816 ; 9.086 ; 13.685.408.311 ; 59.798 ; 12.574.851.065 ; 68.884,0 ; 26.260.259.376 ; 97.644 ; 28.773.587.192 ;
17;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 103 ; 397.223.907 ; 1.206 ; 167.942.653 ; 1.026 ; 4.213.694.760 ; 1.791 ; 4.365.482.624 ; 4.126 ; 9.144.343.944 ; 875 ; 5.687.306.220 ; 926 ; 6.235.940.727 ; 1.801,0 ; 11.923.246.947 ; 5.927 ; 21.067.590.891 ;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.069 ; 558.714.427 ; 3.546 ; 771.183.551 ; 3.341 ; 1.631.276.166 ; 3.213 ; 865.216.465 ; 11.169 ; 3.826.390.610 ; 2.304 ; 8.124.801.433 ; 2.720 ; 8.682.501.216 ; 5.024,0 ; 16.807.302.649 ; 16.193 ; 20.633.693.259 ;
19;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 1.223 ; 5.414.114.594 ; 1.399 ; 5.699.905.269 ; 2.628 ; 11.145.004.473 ; 59 ; 2.397.037.796 ; 59 ; 2.538.513.455 ; 118,0 ; 4.935.551.251 ; 2.746 ; 16.080.555.724 ;
20;17.298.092;BANCO ITAÈ BBA S.A.; 2.743 ; 1.395.551.654 ; 6.405 ; 1.402.551.029 ; 2.516 ; 1.731.398.284 ; 5.715 ; 1.921.543.491 ; 17.379 ; 6.451.044.458 ; 326 ; 4.486.715.129 ; 334 ; 4.645.267.412 ; 660,0 ; 9.131.982.541 ; 18.039 ; 15.583.026.999 ;
21;58.160.789;BANCO SAFRA S.A.; 1.501 ; 1.413.185.412 ; 7.292 ; 1.282.118.516 ; 6.054 ; 1.200.461.845 ; 21.401 ; 2.161.484.020 ; 36.248 ; 6.057.249.793 ; 861 ; 4.480.607.606 ; 778 ; 3.118.627.951 ; 1.639,0 ; 7.599.235.557 ; 37.887 ; 13.656.485.351 ;
22;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 160 ; 5.544.758 ; 2.833 ; 147.806.476 ; 991 ; 108.926.973 ; 4.378 ; 191.012.424 ; 8.362 ; 453.290.631 ; 8.188 ; 6.497.424.997 ; 71.177 ; 6.254.404.836 ; 79.365,0 ; 12.751.829.834 ; 87.727 ; 13.205.120.465 ;
23;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 60 ; 159.039.274 ;;; 60 ; 159.039.274 ; 18 ; 5.450.000.000 ; 18 ; 5.450.000.000 ; 36,0 ; 10.900.000.000 ; 96 ; 11.059.039.274 ;
