Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
15;59.588.111;BANCO VOTORANTIM S.A.; 980 ; 1.759.566.028 ; 5.831 ; 790.464.245 ; 1.748 ; 2.213.924.597 ; 5.023 ; 2.473.490.108 ; 13.582 ; 7.237.444.977 ; 1.910 ; 5.005.817.121 ; 4.068 ; 5.518.146.887 ; 5.978 ; 10.523.964.009 ; 19.560 ; 17.761.408.986 ;;;;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 738 ; 1.296.371.633 ; 4.042 ; 1.010.759.326 ; 2.006 ; 2.925.409.868 ; 6.238 ; 4.077.618.947 ; 13.024 ; 9.310.159.774 ; 558 ; 4.337.020.188 ; 490 ; 3.151.790.163 ; 1.048 ; 7.488.810.351 ; 14.072 ; 16.798.970.125 ;;;;
17;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 131 ; 1.112.330.689 ; 641 ; 489.755.214 ; 463 ; 977.588.029 ; 739 ; 1.726.145.393 ; 1.974 ; 4.305.819.325 ; 1.179 ; 5.547.857.642 ; 1.472 ; 5.361.412.691 ; 2.651 ; 10.909.270.333 ; 4.625 ; 15.215.089.658 ;;;;
18;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 83 ; 364.049.629 ; 15 ; 11.983.463 ; 184 ; 548.557.706 ; 299 ; 349.919.892 ; 581 ; 1.274.510.690 ; 477 ; 5.282.242.525 ; 510 ; 5.831.213.925 ; 987 ; 11.113.456.450 ; 1.568 ; 12.387.967.140 ;;;;
19;61.820.817;BANCO PAULISTA S.A.; 987 ; 648.708.067 ; 2.978 ; 215.921.922 ; 4.918 ; 942.352.280 ; 8.846 ; 1.233.781.789 ; 17.729 ; 3.040.764.058 ; 9.288 ; 3.817.031.868 ; 75.782 ; 3.970.975.472 ; 85.070 ; 7.788.007.340 ; 102.799 ; 10.828.771.398 ;;;;
20;49.336.860;ING BANK N.V.; 107 ; 770.244.506 ; 11 ; 1.203.807 ; 69 ; 317.469.764 ; 453 ; 210.368.063 ; 640 ; 1.299.286.139 ; 113 ; 4.271.987.062 ; 128 ; 4.568.792.280 ; 241 ; 8.840.779.342 ; 881 ; 10.140.065.481 ;;;;
21;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 290 ; 694.092.230 ;;; 474 ; 1.344.188.608 ; 279 ; 942.684.593 ; 1.043 ; 2.980.965.431 ; 34 ; 575.400.445 ; 198 ; 5.045.496.604 ; 232 ; 5.620.897.048 ; 1.275 ; 8.601.862.479 ;;;;
22;58.160.789;BANCO SAFRA S.A.; 1.097 ; 959.286.288 ; 5.600 ; 792.342.546 ; 5.412 ; 735.138.793 ; 13.594 ; 1.833.816.402 ; 25.703 ; 4.320.584.029 ; 1.121 ; 2.253.647.779 ; 1.049 ; 1.325.972.521 ; 2.170 ; 3.579.620.301 ; 27.873 ; 7.900.204.330 ;;;;
23;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.055 ; 265.314.354 ; 2.909 ; 502.724.090 ; 2.096 ; 1.172.273.245 ; 3.177 ; 837.995.755 ; 9.237 ; 2.778.307.445 ; 436 ; 1.257.009.855 ; 454 ; 1.353.597.037 ; 890 ; 2.610.606.892 ; 10.127 ; 5.388.914.337 ;;;;
24;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 418 ; 159.117.191 ; 687 ; 69.261.324 ; 327 ; 1.065.136.942 ; 1.372 ; 1.078.372.875 ; 2.804 ; 2.371.888.332 ; 236 ; 1.402.083.961 ; 185 ; 1.443.399.438 ; 421 ; 2.845.483.399 ; 3.225 ; 5.217.371.731 ;;;;
