Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
17;60.498.557;BANCO MUFG BRASIL S.A.; 154 ; 41.376.611 ; 376 ; 81.041.635 ; 250 ; 120.581.961 ; 376 ; 395.284.726 ; 1.156 ; 638.284.933 ; 554 ; 1.454.464.131 ; 581 ; 1.267.582.060 ; 1.135 ; 2.722.046.191 ; 2.291 ; 3.360.331.124 ;
18;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 5 ; 7.678.662 ; 7 ; 4.331.182 ; 26 ; 86.143.563 ; 63 ; 280.576.041 ; 101 ; 378.729.447 ; 96 ; 1.414.832.446 ; 88 ; 1.182.648.895 ; 184 ; 2.597.481.341 ; 285 ; 2.976.210.788 ;
19;62.232.889;BANCO DAYCOVAL S.A.; 575 ; 105.983.931 ; 1.360 ; 178.376.854 ; 98.900 ; 579.171.001 ; 2.474 ; 506.387.354 ; 103.309 ; 1.369.919.140 ; 382 ; 730.784.149 ; 1.055 ; 684.274.971 ; 1.437 ; 1.415.059.120 ; 104.746 ; 2.784.978.260 ;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 150 ; 1.198.323.234 ; 164 ; 1.304.046.491 ; 314 ; 2.502.369.725 ; 8 ; 66.173.199 ; 8 ; 51.177.071 ; 16 ; 117.350.270 ; 330 ; 2.619.719.995 ;
21;59.588.111;BANCO VOTORANTIM S.A.; 196 ; 151.455.484 ; 656 ; 137.242.540 ; 158 ; 127.529.491 ; 599 ; 213.429.513 ; 1.609 ; 629.657.027 ; 247 ; 992.129.103 ; 377 ; 494.305.006 ; 624 ; 1.486.434.109 ; 2.233 ; 2.116.091.136 ;
22;33.264.668;BANCO XP S.A.; 344 ; 338.412.244 ; 1.447 ; 198.953.956 ; 1.411 ; 245.076.415 ; 2.568 ; 426.750.643 ; 5.770 ; 1.209.193.258 ; 33 ; 388.286.336 ; 36 ; 318.292.604 ; 69 ; 706.578.940 ; 5.839 ; 1.915.772.198 ;
23;58.160.789;BANCO SAFRA S.A.; 295 ; 107.434.535 ; 887 ; 143.309.279 ; 1.032 ; 569.936.115 ; 1.736 ; 236.412.756 ; 3.950 ; 1.057.092.685 ; 277 ; 232.223.258 ; 281 ; 515.895.693 ; 558 ; 748.118.951 ; 4.508 ; 1.805.211.636 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 55 ; 25.096.981 ; 23 ; 5.044.749 ; 115 ; 693.779.778 ; 247 ; 483.826.725 ; 440 ; 1.207.748.233 ; 69 ; 178.387.745 ; 79 ; 393.348.296 ; 148 ; 571.736.041 ; 588 ; 1.779.484.274 ;
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 937 ; 120.990.123 ; 2.149 ; 103.731.414 ; 2.457 ; 295.358.124 ; 6.429 ; 535.989.822 ; 11.972 ; 1.056.069.483 ; 2.046 ; 449.974.391 ; 5.391 ; 242.962.865 ; 7.437 ; 692.937.256 ; 19.409 ; 1.749.006.739 ;
26;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 87 ; 53.394.163 ; 176 ; 56.332.925 ; 346 ; 326.252.183 ; 417 ; 361.159.585 ; 1.026 ; 797.138.856 ; 87 ; 343.648.959 ; 98 ; 457.246.135 ; 185 ; 800.895.094 ; 1.211 ; 1.598.033.950 ;
