Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 107 ; 689.226.489 ; 44 ; 56.041.900 ; 275 ; 1.503.232.546 ; 534 ; 879.835.547 ; 960 ; 3.128.336.483 ; 1.228 ; 16.958.997.485 ; 1.294 ; 18.233.488.329 ; 2.522 ; 35.192.485.814 ; 3.482 ; 38.320.822.297 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.613 ; 10.838.472.878 ; 2.913 ; 10.740.967.732 ; 5.526 ; 21.579.440.610 ; 328 ; 7.930.357.580 ; 311 ; 7.367.229.665 ; 639 ; 15.297.587.244 ; 6.165 ; 36.877.027.855 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 1.163 ; 2.045.354.192 ; 6.342 ; 1.228.498.655 ; 3.037 ; 4.247.035.820 ; 6.636 ; 5.258.550.217 ; 17.178 ; 12.779.438.883 ; 2.739 ; 8.386.021.806 ; 4.438 ; 8.262.831.522 ; 7.177 ; 16.648.853.328 ; 24.355 ; 29.428.292.211 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 949 ; 2.528.663.068 ; 2.929 ; 1.797.844.843 ; 3.013 ; 4.458.402.639 ; 5.029 ; 5.866.473.041 ; 11.920 ; 14.651.383.591 ; 1.199 ; 5.816.852.294 ; 1.434 ; 4.956.843.867 ; 2.633 ; 10.773.696.161 ; 14.553 ; 25.425.079.751 ;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 15 ; 1.693.784 ; 1 ; 1.553.470 ; 2.253 ; 6.753.436.769 ; 3.421 ; 8.144.526.681 ; 5.690 ; 14.901.210.703 ; 159 ; 5.404.183.845 ; 174 ; 4.149.350.429 ; 333 ; 9.553.534.274 ; 6.023 ; 24.454.744.977 ;
21;28.195.667;BANCO ABC BRASIL S.A.; 1.459 ; 1.619.857.291 ; 4.632 ; 980.442.539 ; 1.135 ; 1.959.733.436 ; 3.878 ; 1.691.717.018 ; 11.104 ; 6.251.750.285 ; 2.265 ; 7.330.665.908 ; 4.010 ; 8.423.812.981 ; 6.275 ; 15.754.478.889 ; 17.379 ; 22.006.229.174 ;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 1.179 ; 4.792.996.213 ; 409 ; 297.050.530 ; 830 ; 1.368.034.740 ; 2.412 ; 1.298.972.707 ; 4.830 ; 7.757.054.190 ; 300 ; 3.098.917.443 ; 393 ; 7.346.597.703 ; 693 ; 10.445.515.146 ; 5.523 ; 18.202.569.337 ;
23;53.518.684;BANCO HSBC S.A.; 172 ; 1.103.156.134 ; 1.110 ; 342.353.905 ; 384 ; 2.450.432.489 ; 1.100 ; 2.809.623.069 ; 2.766 ; 6.705.565.598 ; 1.081 ; 4.663.768.615 ; 1.277 ; 5.027.363.965 ; 2.358 ; 9.691.132.580 ; 5.124 ; 16.396.698.178 ;
24;58.160.789;BANCO SAFRA S.A.; 2.256 ; 1.078.000.000 ; 9.179 ; 1.273.174.598 ; 8.359 ; 1.820.935.041 ; 15.046 ; 2.688.677.100 ; 34.840 ; 6.860.786.739 ; 1.635 ; 3.558.356.701 ; 1.543 ; 2.464.161.262 ; 3.178 ; 6.022.517.963 ; 38.018 ; 12.883.304.702 ;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.553 ; 799.870.569 ; 6.405 ; 878.973.917 ; 3.889 ; 1.739.865.520 ; 5.465 ; 2.117.391.389 ; 17.312 ; 5.536.101.395 ; 899 ; 2.607.397.217 ; 932 ; 2.147.944.085 ; 1.831 ; 4.755.341.302 ; 19.143 ; 10.291.442.697 ;
