Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em MARÇO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
16;61.146.577;BANCO BARCLAYS S.A.;;; 6 ; 236.762 ; 103 ; 528.333.017 ; 136 ; 977.042.432 ; 245 ; 1.505.612.210 ; 172 ; 1.569.135.500 ; 204 ; 1.070.521.092 ; 376 ; 2.639.656.593 ; 621 ; 4.145.268.803 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 144 ; 198.523.087 ; 1.080 ; 307.435.486 ; 244 ; 733.788.128 ; 1.404 ; 890.720.435 ; 2.872 ; 2.130.467.136 ; 172 ; 871.419.349 ; 557 ; 694.422.505 ; 729 ; 1.565.841.854 ; 3.601 ; 3.696.308.989 ;;;;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 179 ; 68.001.374 ; 600 ; 125.819.836 ; 530 ; 643.132.244 ; 553 ; 290.258.301 ; 1.862 ; 1.127.211.755 ; 328 ; 937.618.912 ; 306 ; 1.225.898.618 ; 634 ; 2.163.517.530 ; 2.496 ; 3.290.729.284 ;;;;
19;58.160.789;BANCO SAFRA S.A.; 196 ; 78.281.990 ; 1.561 ; 169.017.760 ; 889 ; 367.785.914 ; 2.333 ; 309.741.728 ; 4.979 ; 924.827.392 ; 102 ; 915.463.891 ; 98 ; 878.184.967 ; 200 ; 1.793.648.858 ; 5.179 ; 2.718.476.249 ;;;;
20;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 174 ; 917.738.110 ; 191 ; 741.275.658 ; 365 ; 1.659.013.768 ; 5 ; 190.617.253 ; 14 ; 693.617.427 ; 19 ; 884.234.680 ; 384 ; 2.543.248.448 ;;;;
21;61.820.817;BANCO PAULISTA S.A.; 75 ; 17.952.222 ; 391 ; 31.129.769 ; 689 ; 92.697.727 ; 1.817 ; 125.632.232 ; 2.972 ; 267.411.950 ; 1.186 ; 1.016.658.992 ; 8.571 ; 974.693.388 ; 9.757 ; 1.991.352.380 ; 12.729 ; 2.258.764.330 ;;;;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 26 ; 214.709.819 ; 43 ; 17.863.234 ; 32 ; 41.416.077 ; 46 ; 75.878.688 ; 147 ; 349.867.818 ; 97 ; 548.047.954 ; 148 ; 801.964.266 ; 245 ; 1.350.012.220 ; 392 ; 1.699.880.038 ;;;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 66 ; 261.015.902 ; 13 ; 16.911.383 ; 62 ; 212.723.864 ; 162 ; 276.784.396 ; 303 ; 767.435.545 ; 19 ; 387.931.063 ; 22 ; 412.356.922 ; 41 ; 800.287.985 ; 344 ; 1.567.723.530 ;;;;
24;00.360.305;CAIXA ECONOMICA FEDERAL; 242 ; 46.387.853 ; 201 ; 6.977.906 ; 6.185 ; 574.152.210 ; 2.165 ; 137.195.794 ; 8.793 ; 764.713.763 ; 102 ; 160.405.430 ; 126 ; 640.937.882 ; 228 ; 801.343.312 ; 9.021 ; 1.566.057.074 ;;;;
25;62.232.889;BANCO DAYCOVAL S.A.; 227 ; 45.216.254 ; 385 ; 36.585.569 ; 524 ; 75.477.669 ; 2.033 ; 439.212.474 ; 3.169 ; 596.491.966 ; 358 ; 622.555.681 ; 1.467 ; 263.310.448 ; 1.825 ; 885.866.129 ; 4.994 ; 1.482.358.095 ;;;;
26;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 44 ; 1.230.390 ; 339 ; 15.887.468 ; 158 ; 11.626.642 ; 946 ; 57.054.907 ; 1.487 ; 85.799.408 ; 1.454 ; 666.166.362 ; 9.250 ; 604.719.485 ; 10.704 ; 1.270.885.848 ; 12.191 ; 1.356.685.256 ;;;;
