Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
16;49.336.860;ING BANK N.V.; 30 ; 223.950.581 ; 13 ; 21.141.907 ; 13 ; 29.657.317 ; 71 ; 6.229.816 ; 127 ; 280.979.622 ; 30 ; 1.332.625.032 ; 41 ; 1.738.722.569 ; 71 ; 3.071.347.601 ; 198 ; 3.352.327.223 
17;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 24 ; 81.139.968 ; 32 ; 28.582.019 ; 32 ; 300.730.965 ; 52 ; 16.099.058 ; 140 ; 426.552.010 ; 132 ; 1.289.950.114 ; 137 ; 1.615.269.173 ; 269 ; 2.905.219.287 ; 409 ; 3.331.771.297 
18;59.588.111;BANCO VOTORANTIM S.A.; 112 ; 205.829.059 ; 595 ; 141.395.543 ; 313 ; 557.643.208 ; 884 ; 432.356.168 ; 1.904 ; 1.337.223.977 ; 344 ; 625.629.187 ; 910 ; 847.904.087 ; 1.254 ; 1.473.533.274 ; 3.158 ; 2.810.757.251 
19;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 401 ; 816.727.747 ; 721 ; 811.115.106 ; 1.122 ; 1.627.842.853 ; 15 ; 366.065.781 ; 18 ; 461.068.044 ; 33 ; 827.133.826 ; 1.155 ; 2.454.976.679 
20;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 57 ; 63.263.522 ;;; 105 ; 342.801.164 ; 60 ; 1.182.662.544 ; 222 ; 1.588.727.230 ; 18 ; 412.013.255 ; 1 ; 4.881.060 ; 19 ; 416.894.315 ; 241 ; 2.005.621.545 
21;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 6 ; 95.287.323 ; 1 ; 1.170.000 ; 176 ; 393.323.681 ; 226 ; 702.268.969 ; 409 ; 1.192.049.973 ; 25 ; 537.763.457 ; 14 ; 198.465.501 ; 39 ; 736.228.958 ; 448 ; 1.928.278.931 
22;61.820.817;BANCO PAULISTA S.A.; 206 ; 119.990.016 ; 516 ; 34.132.220 ; 42.661 ; 112.636.287 ; 1.575 ; 130.090.356 ; 44.958 ; 396.848.880 ; 1.685 ; 588.999.063 ; 13.444 ; 647.753.365 ; 15.129 ; 1.236.752.428 ; 60.087 ; 1.633.601.307 
23;28.195.667;BANCO ABC BRASIL S.A.; 68 ; 28.494.520 ; 150 ; 23.720.227 ; 37 ; 224.458.123 ; 252 ; 132.893.171 ; 507 ; 409.566.040 ; 110 ; 487.470.610 ; 185 ; 626.622.241 ; 295 ; 1.114.092.851 ; 802 ; 1.523.658.891 
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 112 ; 337.056.834 ; 56 ; 73.486.301 ; 64 ; 266.870.505 ; 251 ; 232.401.844 ; 483 ; 909.815.484 ; 26 ; 293.508.217 ; 28 ; 270.105.815 ; 54 ; 563.614.033 ; 537 ; 1.473.429.517 
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 205 ; 80.870.249 ; 702 ; 104.201.041 ; 382 ; 390.884.937 ; 602 ; 113.633.166 ; 1.891 ; 689.589.394 ; 142 ; 193.064.636 ; 158 ; 445.044.038 ; 300 ; 638.108.673 ; 2.191 ; 1.327.698.067 
