Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Março/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 6.390 ; 2.393.007.170 ; 19.496 ; 2.274.509.441 ; 25.135 ; 4.103.224.673 ; 56.153 ; 3.284.066.683 ; 107.174 ; 12.054.807.967 ; 717 ; 16.727.467.006 ; 856 ; 15.926.823.146 ; 1.573 ; 32.654.290.152 ; 108.747 ; 44.709.098.119 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 9.066 ; 3.081.468.862 ; 31.107 ; 3.333.564.332 ; 42.554 ; 4.161.183.695 ; 55.750 ; 6.873.537.739 ; 138.477 ; 17.449.754.628 ; 580 ; 13.518.972.739 ; 524 ; 9.846.990.747 ; 1.104 ; 23.365.963.486 ; 139.581 ; 40.815.718.114 ;
3;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 354 ; 650.694.378 ; 1.526 ; 209.527.040 ; 4.631 ; 1.062.311.925 ; 13.070 ; 1.380.188.797 ; 19.581 ; 3.302.722.140 ; 319 ; 9.828.037.789 ; 486 ; 11.778.120.895 ; 805 ; 21.606.158.684 ; 20.386 ; 24.908.880.824 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.311 ; 1.252.993.278 ; 6.069 ; 1.511.888.800 ; 5.936 ; 5.970.121.202 ; 13.290 ; 7.750.461.861 ; 26.606 ; 16.485.465.141 ; 249 ; 4.666.948.843 ; 228 ; 3.562.203.233 ; 477 ; 8.229.152.076 ; 27.083 ; 24.714.617.217 ;
5;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 387 ; 573.879.773 ; 3.060 ; 766.475.427 ; 1.719 ; 4.124.503.589 ; 3.441 ; 6.806.001.689 ; 8.607 ; 12.270.860.478 ; 397 ; 3.831.035.635 ; 572 ; 7.953.281.174 ; 969 ; 11.784.316.809 ; 9.576 ; 24.055.177.287 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.168 ; 4.087.747.226 ; 12.262 ; 1.484.363.572 ; 19.922 ; 1.546.691.717 ; 29.219 ; 3.949.355.446 ; 65.571 ; 11.068.157.961 ; 820 ; 4.234.106.726 ; 823 ; 4.416.591.649 ; 1.643 ; 8.650.698.375 ; 67.214 ; 19.718.856.336 ;
7;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 214 ; 271.777.388 ; 1.171 ; 253.828.144 ; 2.251 ; 3.220.776.659 ; 4.015 ; 3.432.459.183 ; 7.651 ; 7.178.841.374 ; 371 ; 5.419.815.015 ; 375 ; 4.941.914.750 ; 746 ; 10.361.729.765 ; 8.397 ; 17.540.571.139 ;
8;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 7.825 ; 4.506.909.834 ; 21.022 ; 2.649.038.924 ; 31.992 ; 1.217.252.309 ; 39.562 ; 2.146.729.687 ; 100.401 ; 10.519.930.754 ; 264 ; 1.025.688.618 ; 281 ; 3.719.877.713 ; 545 ; 4.745.566.331 ; 100.946 ; 15.265.497.085 ;
9;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 51 ; 179.666.757 ; 795 ; 401.143.466 ; 125 ; 426.323.449 ; 346 ; 532.193.691 ; 1.317 ; 1.539.327.363 ; 479 ; 6.489.026.735 ; 463 ; 6.110.541.204 ; 942 ; 12.599.567.939 ; 2.259 ; 14.138.895.302 ;
10;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 924 ; 4.181.846.071 ; 955 ; 3.816.216.600 ; 1.879 ; 7.998.062.671 ; 51 ; 2.765.678.413 ; 50 ; 2.160.200.672 ; 101 ; 4.925.879.085 ; 1.980 ; 12.923.941.756 ;
11;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 166 ; 189.641.523 ; 537 ; 81.980.349 ; 231 ; 508.642.184 ; 414 ; 903.337.172 ; 1.348 ; 1.683.601.228 ; 960 ; 4.763.772.541 ; 1.004 ; 4.446.043.355 ; 1.964 ; 9.209.815.896 ; 3.312 ; 10.893.417.124 ;
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 229 ; 747.626.039 ; 947 ; 338.143.969 ; 525 ; 1.823.028.499 ; 694 ; 2.533.134.270 ; 2.395 ; 5.441.932.777 ; 240 ; 3.001.977.126 ; 264 ; 2.145.462.227 ; 504 ; 5.147.439.353 ; 2.899 ; 10.589.372.130 ;
13;59.588.111;BANCO VOTORANTIM S.A.;VOTORANTIM - PRUDENCIAL; 123 ; 104.429.961 ; 673 ; 288.543.954 ; 217 ; 286.681.576 ; 442 ; 238.619.278 ; 1.455 ; 918.274.769 ; 383 ; 4.072.107.432 ; 513 ; 3.975.351.908 ; 896 ; 8.047.459.340 ; 2.351 ; 8.965.734.109 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 710 ; 2.643.707.118 ; 855 ; 3.517.073.193 ; 1.565 ; 6.160.780.311 ; 79 ; 1.558.194.181 ; 43 ; 685.152.643 ; 122 ; 2.243.346.824 ; 1.687 ; 8.404.127.135 ;
15;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 4.080.350.167 ; 16 ; 4.000.000.000 ; 32 ; 8.080.350.167 ; 32 ; 8.080.350.167 ;
16;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 282 ; 3.011.561.650 ; 321 ; 2.985.530.690 ; 603 ; 5.997.092.340 ; 22 ; 678.587.796 ; 15 ; 605.000.000 ; 37 ; 1.283.587.796 ; 640 ; 7.280.680.136 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 90 ; 166.181.434 ; 749 ; 266.797.437 ; 293 ; 596.519.721 ; 467 ; 1.570.324.921 ; 1.599 ; 2.599.823.513 ; 911 ; 2.932.817.870 ; 892 ; 1.681.309.882 ; 1.803 ; 4.614.127.752 ; 3.402 ; 7.213.951.265 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.097 ; 299.688.606 ; 7.201 ; 360.026.410 ; 9.923 ; 788.316.653 ; 35.673 ; 807.671.762 ; 53.894 ; 2.255.703.431 ; 103 ; 2.450.637.356 ; 123 ; 2.280.670.280 ; 226 ; 4.731.307.636 ; 54.120 ; 6.987.011.067 ;
19;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 115 ; 14.265.115 ; 1.709 ; 117.929.558 ; 834 ; 27.174.575 ; 8.198 ; 292.835.097 ; 10.856 ; 452.204.345 ; 475 ; 3.232.788.877 ; 611 ; 2.854.281.355 ; 1.086 ; 6.087.070.232 ; 11.942 ; 6.539.274.577 ;
20;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 107 ; 319.289.810 ; 5 ; 21.801.829 ; 61 ; 366.120.133 ; 124 ; 157.078.637 ; 297 ; 864.290.409 ; 127 ; 2.201.681.054 ; 140 ; 2.647.116.683 ; 267 ; 4.848.797.737 ; 564 ; 5.713.088.146 ;
21;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 61 ; 214.115.245 ; 143 ; 31.526.886 ; 199 ; 627.909.130 ; 362 ; 585.661.689 ; 765 ; 1.459.212.950 ; 299 ; 1.966.870.848 ; 308 ; 2.258.373.640 ; 607 ; 4.225.244.488 ; 1.372 ; 5.684.457.438 ;
22;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 295 ; 110.250.513 ; 1.071 ; 114.531.406 ; 25.742 ; 1.576.869.718 ; 16.643 ; 387.173.919 ; 43.751 ; 2.188.825.556 ; 304 ; 733.076.509 ; 348 ; 2.245.045.855 ; 652 ; 2.978.122.364 ; 44.403 ; 5.166.947.920 ;
23;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 3 ; 150.000.000 ; -   ; -   ; 202 ; 1.539.780.057 ; 227 ; 1.331.581.999 ; 432 ; 3.021.362.056 ; 14 ; 850.189.510 ; 36 ; 1.160.164.107 ; 50 ; 2.010.353.617 ; 482 ; 5.031.715.673 ;
