Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 93 ; 630.984.241 ; 28 ; 52.748.269 ; 242 ; 1.196.948.268 ; 441 ; 770.590.383 ; 804 ; 2.651.271.160 ; 1.019 ; 14.732.765.633 ; 1.067 ; 15.730.466.302 ; 2.086 ; 30.463.231.935 ; 2.890 ; 33.114.503.095 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.220 ; 9.027.040.827 ; 2.562 ; 9.639.640.214 ; 4.782 ; 18.666.681.041 ; 281 ; 7.112.286.132 ; 254 ; 6.135.192.191 ; 535 ; 13.247.478.323 ; 5.317 ; 31.914.159.364 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 944 ; 1.888.554.498 ; 4.908 ; 960.246.413 ; 2.546 ; 3.464.932.053 ; 5.514 ; 4.508.942.694 ; 13.912 ; 10.822.675.657 ; 2.335 ; 7.537.168.624 ; 3.636 ; 6.206.152.388 ; 5.971 ; 13.743.321.012 ; 19.883 ; 24.565.996.669 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 764 ; 1.947.179.005 ; 2.465 ; 1.418.939.401 ; 2.525 ; 4.063.669.738 ; 4.275 ; 5.466.303.438 ; 10.029 ; 12.896.091.582 ; 1.022 ; 5.084.325.799 ; 1.199 ; 4.100.819.716 ; 2.221 ; 9.185.145.516 ; 12.250 ; 22.081.237.098 ;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 15 ; 1.693.784 ;;; 1.829 ; 4.275.998.274 ; 2.990 ; 5.736.761.798 ; 4.834 ; 10.014.453.856 ; 142 ; 5.266.561.356 ; 158 ; 4.061.748.122 ; 300 ; 9.328.309.478 ; 5.134 ; 19.342.763.333 ;
21;28.195.667;BANCO ABC BRASIL S.A.; 1.231 ; 1.347.187.022 ; 3.768 ; 829.785.566 ; 922 ; 1.832.857.905 ; 3.270 ; 1.387.861.788 ; 9.191 ; 5.397.692.280 ; 1.875 ; 6.131.508.327 ; 3.247 ; 6.905.602.626 ; 5.122 ; 13.037.110.953 ; 14.313 ; 18.434.803.233 ;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 983 ; 4.366.376.425 ; 370 ; 279.610.782 ; 683 ; 1.104.728.096 ; 1.955 ; 1.009.218.116 ; 3.991 ; 6.759.933.419 ; 234 ; 2.762.319.888 ; 321 ; 6.774.559.919 ; 555 ; 9.536.879.807 ; 4.546 ; 16.296.813.226 ;
23;53.518.684;BANCO HSBC S.A.; 157 ; 1.044.000.587 ; 816 ; 307.607.631 ; 294 ; 2.240.294.616 ; 821 ; 2.084.570.256 ; 2.088 ; 5.676.473.091 ; 834 ; 3.330.996.607 ; 1.010 ; 4.249.545.499 ; 1.844 ; 7.580.542.105 ; 3.932 ; 13.257.015.196 ;
24;58.160.789;BANCO SAFRA S.A.; 1.709 ; 909.712.347 ; 6.410 ; 972.314.216 ; 6.906 ; 1.469.904.447 ; 12.156 ; 2.400.125.766 ; 27.181 ; 5.752.056.776 ; 1.260 ; 3.120.838.275 ; 1.188 ; 2.102.441.066 ; 2.448 ; 5.223.279.341 ; 29.629 ; 10.975.336.117 ;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.250 ; 729.299.334 ; 5.097 ; 697.780.768 ; 3.263 ; 1.313.268.476 ; 4.550 ; 1.754.030.110 ; 14.160 ; 4.494.378.687 ; 695 ; 2.305.335.208 ; 727 ; 1.895.819.504 ; 1.422 ; 4.201.154.712 ; 15.582 ; 8.695.533.400 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 287 ; 19.884.595 ; 1.371 ; 211.318.779 ; 882.609 ; 2.513.805.039 ; 48.009 ; 508.240.941 ; 932.276 ; 3.253.249.355 ; 10.170 ; 1.172.422.218 ; 54.988 ; 3.035.875.716 ; 65.158 ; 4.208.297.933 ; 997.434 ; 7.461.547.288 ;
27;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 123 ; 371.141.167 ; 168 ; 299.176.301 ; 172 ; 2.044.306.651 ; 1.004 ; 1.049.505.211 ; 1.467 ; 3.764.129.330 ; 97 ; 1.182.732.978 ; 161 ; 2.332.061.896 ; 258 ; 3.514.794.875 ; 1.725 ; 7.278.924.204 ;
28;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 4.200 ; 554.193.280 ; 13.711 ; 484.552.347 ; 12.031 ; 897.234.130 ; 23.423 ; 1.691.842.599 ; 53.365 ; 3.627.822.355 ; 10.342 ; 1.934.020.897 ; 35.898 ; 1.211.580.972 ; 46.240 ; 3.145.601.869 ; 99.605 ; 6.773.424.224 ;
29;78.632.767;BANCO OURINVEST S.A.; 3.302 ; 431.882.279 ; 15.498 ; 935.512.705 ; 15.373 ; 826.617.536 ; 14.119 ; 878.668.805 ; 48.292 ; 3.072.681.325 ; 9.439 ; 2.069.571.763 ; 26.338 ; 1.512.015.978 ; 35.777 ; 3.581.587.741 ; 84.069 ; 6.654.269.066 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 4.771 ; 663.315.001 ; 5.216 ; 363.810.217 ; 93.026 ; 1.262.717.928 ; 12.193 ; 468.116.766 ; 115.206 ; 2.757.959.913 ; 2.505 ; 1.284.005.182 ; 4.697 ; 2.566.332.794 ; 7.202 ; 3.850.337.976 ; 122.408 ; 6.608.297.888 ;
31;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 753 ; 40.352.367 ; 5.457 ; 203.963.590 ; 2.179 ; 1.263.617.020 ; 783.414 ; 951.263.558 ; 791.803 ; 2.459.196.534 ; 2.423 ; 1.965.985.973 ; 2.988 ; 2.121.396.387 ; 5.411 ; 4.087.382.360 ; 797.214 ; 6.546.578.894 ;
32;58.616.418;BANCO FIBRA S.A.; 619 ; 473.437.485 ; 5.386 ; 893.009.522 ; 453 ; 960.146.385 ; 1.399 ; 1.037.585.171 ; 7.857 ; 3.364.178.563 ; 408 ; 1.385.003.731 ; 336 ; 1.014.544.020 ; 744 ; 2.399.547.751 ; 8.601 ; 5.763.726.314 ;
33;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 481 ; 577.662.972 ; 1.454 ; 278.678.130 ; 703 ; 777.239.887 ; 1.264 ; 439.625.112 ; 3.902 ; 2.073.206.100 ; 614 ; 1.165.393.210 ; 660 ; 1.999.230.759 ; 1.274 ; 3.164.623.969 ; 5.176 ; 5.237.830.069 ;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 149 ; 603.913.552 ; 103 ; 4.060.475 ; 105.596 ; 383.715.686 ; 254.097 ; 1.606.439.714 ; 359.945 ; 2.598.129.427 ; 1.123 ; 1.362.546.465 ; 409 ; 742.074.962 ; 1.532 ; 2.104.621.427 ; 361.477 ; 4.702.750.854 ;
35;10.690.848;BANCO DA CHINA BRASIL S.A.; 181 ; 377.384.236 ; 211 ; 181.982.745 ; 223 ; 1.373.752.022 ; 474 ; 443.465.126 ; 1.089 ; 2.376.584.129 ; 206 ; 148.398.397 ; 343 ; 1.304.063.593 ; 549 ; 1.452.461.990 ; 1.638 ; 3.829.046.118 ;
36;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 564 ; 565.850.501 ; 2.204 ; 252.399.216 ; 115 ; 446.346.225 ; 1.743 ; 744.561.067 ; 4.626 ; 2.009.157.008 ; 272 ; 817.141.747 ; 236 ; 897.653.726 ; 508 ; 1.714.795.473 ; 5.134 ; 3.723.952.481 ;
37;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 194 ; 983.536.563 ; 131 ; 909.026.341 ; 325 ; 1.892.562.905 ; 42 ; 856.159.498 ; 71 ; 931.632.115 ; 113 ; 1.787.791.613 ; 438 ; 3.680.354.518 ;
38;71.027.866;BANCO BS2 S.A.; 1.822 ; 434.354.769 ; 6.631 ; 307.880.643 ; 30.762 ; 765.310.521 ; 64.595 ; 517.535.238 ; 103.810 ; 2.025.081.171 ; 925 ; 628.553.216 ; 5.641 ; 986.417.458 ; 6.566 ; 1.614.970.675 ; 110.376 ; 3.640.051.846 ;
39;62.144.175;BANCO PINE S.A.; 171 ; 123.485.843 ; 1.420 ; 155.347.469 ; 69 ; 44.189.299 ; 292 ; 73.298.852 ; 1.952 ; 396.321.463 ; 382 ; 1.663.617.057 ; 857 ; 1.575.135.020 ; 1.239 ; 3.238.752.077 ; 3.191 ; 3.635.073.540 ;
40;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 133 ; 314.175.867 ;;; 157 ; 77.272.134 ; 4 ; 135.972 ; 294 ; 391.583.974 ; 34 ; 814.657.161 ; 89 ; 2.215.157.052 ; 123 ; 3.029.814.212 ; 417 ; 3.421.398.186 ;
41;00.360.305;CAIXA ECONOMICA FEDERAL; 1.013 ; 272.442.417 ; 525 ; 55.235.458 ; 77.574 ; 617.527.172 ; 6.012 ; 516.999.438 ; 85.124 ; 1.462.204.485 ; 1.663 ; 845.046.753 ; 1.739 ; 1.024.610.616 ; 3.402 ; 1.869.657.369 ; 88.526 ; 3.331.861.854 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 5.068.046 ; 1.178 ; 403.324.084 ; 3.149 ; 1.047.676.814 ; 4.328 ; 1.456.068.944 ; 370 ; 1.007.489.097 ; 151 ; 298.950.000 ; 521 ; 1.306.439.097 ; 4.849 ; 2.762.508.041 ;
43;33.923.798;BANCO MÁXIMA S.A.; 1.281 ; 496.779.902 ; 2.371 ; 188.215.428 ; 50.092 ; 494.924.171 ; 234.569 ; 621.915.211 ; 288.313 ; 1.801.834.713 ; 542 ; 336.449.838 ; 520 ; 516.875.188 ; 1.062 ; 853.325.027 ; 289.375 ; 2.655.159.739 ;
44;00.997.185;BANCO B3 S.A.;;;;; 1.544 ; 713.805.903 ; 1.286 ; 984.252.846 ; 2.830 ; 1.698.058.749 ; 606 ; 604.903.374 ; 267 ; 334.507.526 ; 873 ; 939.410.900 ; 3.703 ; 2.637.469.648 ;
45;30.723.886;BANCO MODAL S.A.; 129 ; 124.504.307 ; 617 ; 49.591.403 ; 1.494 ; 844.818.022 ; 1.033 ; 557.117.480 ; 3.273 ; 1.576.031.213 ; 61 ; 168.324.820 ; 87 ; 530.272.093 ; 148 ; 698.596.913 ; 3.421 ; 2.274.628.125 ;
46;07.679.404;BANCO TOPÁZIO S.A.; 119 ; 83.414.285 ; 385 ; 31.669.424 ; 3.162 ; 66.678.410 ; 2.619 ; 543.983.093 ; 6.285 ; 725.745.213 ; 2.228 ; 824.575.825 ; 4.454 ; 399.019.736 ; 6.682 ; 1.223.595.561 ; 12.967 ; 1.949.340.774 ;
47;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 31 ; 85.651.415 ; 12 ; 4.538.700 ; 49 ; 22.754.955 ; 2.300 ; 795.488.783 ; 2.392 ; 908.433.854 ; 139 ; 843.192.277 ; 28 ; 158.020.343 ; 167 ; 1.001.212.621 ; 2.559 ; 1.909.646.474 ;
48;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.655 ; 30.775.328 ; 5.838 ; 145.922.433 ; 60.641 ; 241.185.523 ; 22.064 ; 242.576.802 ; 90.198 ; 660.460.087 ; 6.932 ; 538.211.328 ; 3.269 ; 421.321.175 ; 10.201 ; 959.532.504 ; 100.399 ; 1.619.992.590 ;
49;33.264.668;BANCO XP S.A.; 59 ; 13.042.296 ; 40 ; 9.990.397 ; 208 ; 518.839.686 ; 328 ; 341.431.414 ; 635 ; 883.303.793 ; 94 ; 259.063.057 ; 36 ; 406.523.754 ; 130 ; 665.586.811 ; 765 ; 1.548.890.604 ;
50;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 5.833 ; 391.446.466 ; 7.327 ; 317.202.040 ; 3.642 ; 83.826.893 ; 5.852 ; 254.185.505 ; 22.654 ; 1.046.660.904 ; 222 ; 300.902.696 ; 173 ; 188.867.071 ; 395 ; 489.769.767 ; 23.049 ; 1.536.430.671 ;
51;15.114.366;BANCO BOCOM BBM S.A.; 127 ; 93.684.059 ; 71 ; 5.090.478 ; 184 ; 384.895.150 ; 1.442 ; 474.526.243 ; 1.824 ; 958.195.929 ; 33 ; 155.722.670 ; 58 ; 420.692.391 ; 91 ; 576.415.061 ; 1.915 ; 1.534.610.991 ;
52;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 146 ; 14.118.610 ; 397 ; 32.743.853 ; 1.737 ; 179.883.108 ; 3.185 ; 631.810.343 ; 5.465 ; 858.555.914 ; 386 ; 529.718.161 ; 101 ; 59.150.943 ; 487 ; 588.869.103 ; 5.952 ; 1.447.425.017 ;
53;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 122 ; 155.713.817 ; 626 ; 121.902.875 ; 117 ; 73.941.958 ; 355 ; 85.618.206 ; 1.220 ; 437.176.856 ; 224 ; 465.938.482 ; 221 ; 493.639.680 ; 445 ; 959.578.161 ; 1.665 ; 1.396.755.017 ;
