Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL; -   ; -   ; -   ; -   ; 2.369 ; 14.001.830.462 ; 2.198 ; 15.006.728.726 ; 4.567 ; 29.008.559.188 ; 545 ; 7.922.092.540 ; 518 ; 6.914.027.876 ; 1.063 ; 14.836.120.416 ; 5.630 ; 43.844.679.604 ;;
16;03.532.415;BANCO ABN AMRO S.A.; -   ; -   ; -   ; -   ; 2.928 ; 18.772.137.117 ; 3.195 ; 18.259.534.631 ; 6.123 ; 37.031.671.748 ; 103 ; 1.844.786.121 ; 104 ; 2.470.030.007 ; 207 ; 4.314.816.128 ; 6.330 ; 41.346.487.876 ;;
17;53.518.684;BANCO HSBC S.A.; 297 ; 3.171.417.792 ; 560 ; 440.397.467 ; 1.764 ; 4.238.451.529 ; 2.796 ; 2.948.171.362 ; 5.417 ; 10.798.438.150 ; 1.231 ; 9.473.478.990 ; 1.365 ; 13.494.293.965 ; 2.596 ; 22.967.772.955 ; 8.013 ; 33.766.211.105 ;;
18;33.264.668;BANCO XP S.A.; 3.182 ; 1.754.923.897 ; 22.115 ; 4.095.335.879 ; 36.895 ; 3.927.632.851 ; 165.665 ; 7.357.644.380 ; 227.857 ; 17.135.537.007 ; 1.000 ; 8.961.426.731 ; 942 ; 3.116.256.522 ; 1.942 ; 12.077.683.253 ; 229.799 ; 29.213.220.260 ;;
19;31.872.495;BANCO C6 S.A.; 678 ; 1.361.327.129 ; 5.888 ; 1.133.501.369 ; 61.672 ; 3.982.814.753 ; 487.017 ; 5.750.478.441 ; 555.255 ; 12.228.121.692 ; 1.078 ; 8.543.468.682 ; 1.525 ; 7.077.993.734 ; 2.603 ; 15.621.462.416 ; 557.858 ; 27.849.584.108 ;;
20;07.679.404;BANCO TOPÁZIO S.A.; 1.537 ; 427.661.060 ; 1.885 ; 86.661.845 ; 243.420 ; 1.193.975.248 ; 653.489 ; 10.983.484.788 ; 900.331 ; 12.691.782.941 ; 9.345 ; 12.038.243.599 ; 29.644 ; 2.590.546.963 ; 38.989 ; 14.628.790.562 ; 939.320 ; 27.320.573.503 ;;
21;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 1.117 ; 87.616.731 ; 8.876 ; 1.161.061.096 ; 3.259 ; 778.489.931 ; 82.256 ; 931.938.779 ; 95.508 ; 2.959.106.537 ; 3.653 ; 11.974.755.365 ; 4.353 ; 10.746.595.814 ; 8.006 ; 22.721.351.179 ; 103.514 ; 25.680.457.716 ;;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 645 ; 2.653.068.117 ; 66 ; 52.328.143 ; 761 ; 3.055.470.757 ; 1.940 ; 3.451.947.708 ; 3.412 ; 9.212.814.725 ; 674 ; 6.963.660.213 ; 769 ; 9.104.412.359 ; 1.443 ; 16.068.072.572 ; 4.855 ; 25.280.887.297 ;;
23;78.632.767;BANCO OURINVEST S.A.; 6.350 ; 766.248.445 ; 22.575 ; 1.254.803.456 ; 261.555 ; 3.649.214.992 ; 383.862 ; 7.473.031.948 ; 674.342 ; 13.143.298.841 ; 8.197 ; 7.442.908.978 ; 111.783 ; 2.962.960.747 ; 119.980 ; 10.405.869.725 ; 794.322 ; 23.549.168.566 ;;
24;02.801.938;BANCO MORGAN STANLEY S.A.; 117 ; 1.922.458.718 ; 512 ; 710.215.880 ; 1.504 ; 6.819.636.755 ; 1.895 ; 4.913.645.428 ; 4.028 ; 14.365.956.781 ; 104 ; 3.017.431.854 ; 201 ; 6.053.794.019 ; 305 ; 9.071.225.873 ; 4.333 ; 23.437.182.654 ;;
