Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;28.195.667;BANCO ABC BRASIL S.A.; 171 ; 88.506.329 ; 532 ; 113.557.735 ; 130 ; 521.352.065 ; 483 ; 259.487.748 ; 1.316 ; 982.903.877 ; 108 ; 1.257.187.763 ; 162 ; 1.428.723.813 ; 270 ; 2.685.911.576 ; 1.586 ; 3.668.815.453 ;
17;31.872.495;BANCO C6 S.A.; 119 ; 174.854.514 ; 945 ; 228.297.474 ; 6.537 ; 344.300.253 ; 67.148 ; 689.566.640 ; 74.749 ; 1.437.018.881 ; 164 ; 1.289.484.538 ; 252 ; 846.414.639 ; 416 ; 2.135.899.177 ; 75.165 ; 3.572.918.058 ;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;; 1 ; 168.953.872 ; 216 ; 1.405.036.320 ; 195 ; 870.930.515 ; 412 ; 2.444.920.707 ; 18 ; 275.535.743 ; 25 ; 647.068.883 ; 43 ; 922.604.626 ; 455 ; 3.367.525.333 ;
19;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.183 ; 95.115.417 ; 2.272 ; 92.198.912 ; 4.750 ; 350.594.124 ; 9.626 ; 798.667.446 ; 17.831 ; 1.336.575.899 ; 1.904 ; 895.213.313 ; 6.708 ; 455.824.879 ; 8.612 ; 1.351.038.192 ; 26.443 ; 2.687.614.091 ;
20;02.801.938;BANCO MORGAN STANLEY S.A.; 12 ; 63.356.622 ; 34 ; 2.797.146 ; 322 ; 1.100.961.995 ; 332 ; 376.099.451 ; 700 ; 1.543.215.214 ; 10 ; 155.541.268 ; 29 ; 970.539.430 ; 39 ; 1.126.080.698 ; 739 ; 2.669.295.912 ;
21;59.588.111;BANCO VOTORANTIM S.A.; 325 ; 315.836.972 ; 651 ; 138.685.517 ; 225 ; 187.361.447 ; 709 ; 252.342.627 ; 1.910 ; 894.226.563 ; 468 ; 749.095.036 ; 804 ; 845.152.375 ; 1.272 ; 1.594.247.411 ; 3.182 ; 2.488.473.974 ;
22;33.264.668;BANCO XP S.A.; 378 ; 162.902.169 ; 3.380 ; 569.620.112 ; 2.209 ; 216.811.549 ; 6.685 ; 404.222.035 ; 12.652 ; 1.353.555.865 ; 118 ; 807.221.738 ; 96 ; 112.109.303 ; 214 ; 919.331.041 ; 12.866 ; 2.272.886.905 ;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 107 ; 285.612.280 ; 52 ; 17.834.050 ; 104 ; 373.905.661 ; 266 ; 123.610.528 ; 529 ; 800.962.518 ; 85 ; 392.216.271 ; 102 ; 859.969.995 ; 187 ; 1.252.186.266 ; 716 ; 2.053.148.784 ;
24;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 96 ; 9.663.441 ; 907 ; 41.018.117 ; 282 ; 28.217.424 ; 13.725 ; 27.135.918 ; 15.010 ; 106.034.900 ; 438 ; 978.752.346 ; 540 ; 940.932.878 ; 978 ; 1.919.685.224 ; 15.988 ; 2.025.720.124 ;
25;07.679.404;BANCO TOPÁZIO S.A.; 91 ; 24.148.674 ; 311 ; 5.238.702 ; 17.557 ; 74.509.989 ; 66.302 ; 634.324.601 ; 84.261 ; 738.221.966 ; 1.109 ; 902.811.413 ; 3.263 ; 346.297.811 ; 4.372 ; 1.249.109.223 ; 88.633 ; 1.987.331.190 ;
