Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JUNHO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
15;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 317 ; 1.042.813.038 ; 449 ; 1.311.698.303 ; 766 ; 2.354.511.341 ; 25 ; 876.050.183 ; 22 ; 589.050.018 ; 47 ; 1.465.100.201 ; 813 ; 3.819.611.541 ;;;;
16;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 146 ; 60.889.815 ; 549 ; 77.463.912 ; 443 ; 383.737.982 ; 550 ; 237.944.331 ; 1.688 ; 760.036.040 ; 331 ; 731.813.174 ; 311 ; 864.234.622 ; 642 ; 1.596.047.796 ; 2.330 ; 2.356.083.836 ;;;;
17;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 12.133.424 ; 86 ; 355.729.968 ; 102 ; 613.530.909 ; 189 ; 981.394.301 ; 158 ; 744.347.148 ; 239 ; 512.067.536 ; 397 ; 1.256.414.685 ; 586 ; 2.237.808.986 ;;;;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 254 ; 789.365.211 ; 197 ; 700.491.140 ; 451 ; 1.489.856.351 ; 4 ; 400.000.000 ; 5 ; 230.800.000 ; 9 ; 630.800.000 ; 460 ; 2.120.656.351 ;;;;
19;61.820.817;BANCO PAULISTA S.A.; 76 ; 66.640.575 ; 384 ; 28.923.840 ; 631 ; 118.757.470 ; 1.866 ; 123.344.577 ; 2.957 ; 337.666.463 ; 1.133 ; 797.101.939 ; 8.448 ; 841.020.220 ; 9.581 ; 1.638.122.159 ; 12.538 ; 1.975.788.622 ;;;;
20;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 48 ; 41.568.275 ; 344 ; 18.042.218 ; 203 ; 17.266.566 ; 1.150 ; 62.967.782 ; 1.745 ; 139.844.842 ; 1.349 ; 624.685.711 ; 10.684 ; 629.226.361 ; 12.033 ; 1.253.912.072 ; 13.778 ; 1.393.756.914 ;;;;
21;58.160.789;BANCO SAFRA S.A.; 244 ; 75.701.533 ; 970 ; 85.308.556 ; 806 ; 188.790.517 ; 2.488 ; 270.863.732 ; 4.508 ; 620.664.339 ; 131 ; 403.178.564 ; 116 ; 209.554.927 ; 247 ; 612.733.491 ; 4.755 ; 1.233.397.830 ;;;;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 269 ; 93.945.308 ; 207 ; 7.064.803 ; 4.537 ; 412.648.903 ; 1.946 ; 401.502.087 ; 6.959 ; 915.161.101 ; 87 ; 109.074.497 ; 118 ; 203.598.538 ; 205 ; 312.673.035 ; 7.164 ; 1.227.834.136 ;;;;
23;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. – BANCO DE INVESTIMENTO; 13 ; 71.644.369 ; 45 ; 73.841.994 ; 15 ; 1.325.248 ; 71 ; 53.950.930 ; 144 ; 200.762.541 ; 123 ; 459.841.042 ; 156 ; 387.896.159 ; 279 ; 847.737.201 ; 423 ; 1.048.499.742 ;;;;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 11 ; 99.400.053 ; 2 ; 1.085.069 ; 17 ; 1.609.806 ; 31 ; 2.876.837 ; 61 ; 104.971.766 ; 85 ; 414.688.217 ; 86 ; 466.978.086 ; 171 ; 881.666.303 ; 232 ; 986.638.068 ;;;;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 57 ; 266.084.813 ; 11 ; 9.084.335 ; 74 ; 148.941.361 ; 265 ; 80.534.699 ; 407 ; 504.645.207 ; 5 ; 26.548.982 ; 18 ; 381.429.240 ; 23 ; 407.978.222 ; 430 ; 912.623.429 ;;;;
26;49.336.860;ING BANK N.V.; 23 ; 283.631.260 ; 10 ; 3.860.608 ; 9 ; 458.594 ; 92 ; 22.834.499 ; 134 ; 310.784.961 ; 6 ; 150.625.130 ; 11 ; 360.744.840 ; 17 ; 511.369.970 ; 151 ; 822.154.931 ;;;;
27;68.900.810;BANCO RENDIMENTO S.A.; 11 ; 1.096.481 ; 44 ; 2.588.509 ; 7.051 ; 62.608.463 ; 1.739 ; 123.975.166 ; 8.845 ; 190.268.619 ; 407 ; 306.177.644 ; 7.386 ; 242.819.141 ; 7.793 ; 548.996.785 ; 16.638 ; 739.265.404 ;;;;
28;62.232.889;BANCO DAYCOVAL S.A.; 196 ; 22.390.528 ; 330 ; 26.642.535 ; 480 ; 33.852.753 ; 2.233 ; 46.072.836 ; 3.239 ; 128.958.652 ; 400 ; 301.476.215 ; 1.713 ; 266.344.548 ; 2.113 ; 567.820.763 ; 5.352 ; 696.779.415 ;;;;
29;71.027.866;BANCO BONSUCESSO S.A.;;; 1 ; 6.639 ; 57 ; 1.099.966 ; 63 ; 1.848.330 ; 121 ; 2.954.934 ; 218 ; 339.424.512 ; 225 ; 339.228.590 ; 443 ; 678.653.102 ; 564 ; 681.608.037 ;;;;
30;13.059.145;BEXS BANCO DE CÂMBIO S/A; 20 ; 164.749.685 ; 131 ; 4.578.964 ; 157 ; 38.244.719 ; 508 ; 56.154.153 ; 816 ; 263.727.522 ; 273 ; 121.630.429 ; 205 ; 263.984.427 ; 478 ; 385.614.856 ; 1.294 ; 649.342.378 ;;;;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 119 ; 25.330.504 ; 466 ; 103.908.171 ; 322 ; 99.818.690 ; 406 ; 84.446.821 ; 1.313 ; 313.504.186 ; 60 ; 143.861.493 ; 52 ; 80.186.209 ; 112 ; 224.047.702 ; 1.425 ; 537.551.888 ;;;;
32;78.632.767;BANCO OURINVEST S.A.;;; 33 ; 2.380.642 ; 161 ; 3.282.109 ; 561 ; 15.947.834 ; 755 ; 21.610.584 ; 333 ; 258.132.818 ; 6.909 ; 249.530.865 ; 7.242 ; 507.663.683 ; 7.997 ; 529.274.267 ;;;;
33;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 7 ; 32.218.000 ; 19 ; 11.420.092 ; 11 ; 141.495.743 ; 65 ; 3.713.549 ; 102 ; 188.847.385 ; 3 ; 80.244.034 ; 17 ; 234.981.711 ; 20 ; 315.225.746 ; 122 ; 504.073.131 ;;;;
34;28.195.667;BANCO ABC BRASIL S.A.; 53 ; 37.195.931 ; 94 ; 12.267.920 ; 23 ; 88.387.342 ; 290 ; 56.073.511 ; 460 ; 193.924.705 ; 26 ; 134.876.437 ; 26 ; 166.284.518 ; 52 ; 301.160.956 ; 512 ; 495.085.661 ;;;;
35;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 9 ; 15.000.000 ; 108 ; 72.230.498 ; 131 ; 205.864.179 ; 42 ; 143.351.607 ; 290 ; 436.446.285 ; 10 ; 11.216.564 ; 32 ; 16.000.000 ; 42 ; 27.216.564 ; 332 ; 463.662.849 ;;;;
36;02.318.507;BANCO KEB DO BRASIL S.A.;;; 10 ; 1.171.039 ; 46 ; 187.406.998 ; 270 ; 195.116.577 ; 326 ; 383.694.614 ; 17 ; 20.424.003 ; 10 ; 11.600.290 ; 27 ; 32.024.293 ; 353 ; 415.718.907 ;;;;
37;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 36 ; 63.507.252 ;;; 51 ; 29.415.930 ; 73 ; 235.924.574 ; 160 ; 328.847.756 ; 3 ; 20.684.582 ; 3 ; 20.529.311 ; 6 ; 41.213.893 ; 166 ; 370.061.649 ;;;;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 24 ; 102.482.219 ; 24 ; 4.567.398 ; 39 ; 24.190.766 ; 42 ; 9.127.375 ; 129 ; 140.367.758 ; 45 ; 37.601.210 ; 58 ; 156.036.517 ; 103 ; 193.637.727 ; 232 ; 334.005.485 ;;;;
39;33.923.798;BANCO MÁXIMA S.A.; 46 ; 882.781 ; 287 ; 9.606.541 ; 125 ; 68.292.274 ; 292 ; 64.769.953 ; 750 ; 143.551.549 ; 294 ; 95.902.031 ; 1.638 ; 91.291.620 ; 1.932 ; 187.193.650 ; 2.682 ; 330.745.199 ;;;;
40;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 805 ; 100.516.722 ; 1.197 ; 48.034.137 ; 387 ; 7.819.527 ; 1.291 ; 20.787.162 ; 3.680 ; 177.157.547 ; 25 ; 34.076.119 ; 42 ; 71.165.687 ; 67 ; 105.241.806 ; 3.747 ; 282.399.353 ;;;;
41;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 9 ; 526.669 ; 1.555 ; 99.099.681 ; 280 ; 1.567.936 ; 2.981 ; 23.035.551 ; 4.825 ; 124.229.837 ; 1.358 ; 121.184.395 ; 23 ; 790.674 ; 1.381 ; 121.975.069 ; 6.206 ; 246.204.906 ;;;;
42;30.723.886;BANCO MODAL S.A.; 14 ; 222.727 ; 21 ; 2.071.716 ; 21 ; 102.997.077 ; 53 ; 1.714.565 ; 109 ; 107.006.085 ; 15 ; 21.224.850 ; 22 ; 117.722.815 ; 37 ; 138.947.665 ; 146 ; 245.953.749 ;;;;
43;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 57 ; 866.415 ; 484 ; 11.344.229 ; 714 ; 9.496.963 ; 1.877 ; 58.675.454 ; 3.132 ; 80.383.061 ; 3.430 ; 104.989.168 ; 118 ; 45.419.079 ; 3.548 ; 150.408.247 ; 6.680 ; 230.791.308 ;;;;
44;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 227 ; 174.537 ; 2.870 ; 6.204.838 ; 3.097 ; 6.379.375 ; 621 ; 110.934.544 ; 150 ; 104.932.023 ; 771 ; 215.866.567 ; 3.868 ; 222.245.942 ;;;;
45;03.532.415;BANCO ABN AMRO S.A.; 17 ; 61.823.242 ;;; 2 ; 844.810 ; 20 ; 3.633.766 ; 39 ; 66.301.817 ; 2 ; 26.719.891 ; 16 ; 87.977.533 ; 18 ; 114.697.424 ; 57 ; 180.999.241 ;;;;
46;62.144.175;BANCO PINE S.A.; 13 ; 19.750.872 ; 4 ; 10.288.648 ; 5 ; 9.336.440 ; 56 ; 5.114.940 ; 78 ; 44.490.899 ; 4 ; 4.938.468 ; 8 ; 129.924.806 ; 12 ; 134.863.274 ; 90 ; 179.354.174 ;;;;
47;58.616.418;BANCO FIBRA S.A.; 35 ; 5.106.066 ; 268 ; 15.587.438 ; 89 ; 27.323.520 ; 324 ; 56.083.875 ; 716 ; 104.100.900 ; 42 ; 60.467.148 ; 34 ; 8.461.545 ; 76 ; 68.928.693 ; 792 ; 173.029.592 ;;;;
48;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 880 ; 8.933.874 ; 3.485 ; 60.185.549 ; 4.365 ; 69.119.423 ; 2.126 ; 75.548.883 ; 129 ; 24.684.863 ; 2.255 ; 100.233.747 ; 6.620 ; 169.353.170 ;;;;
49;59.118.133;BANCO LUSO BRASILEIRO S.A.; 29 ; 8.892.514 ; 834 ; 63.068.944 ; 29 ; 2.733.889 ; 147 ; 6.138.148 ; 1.039 ; 80.833.495 ; 422 ; 69.503.187 ; 53 ; 11.921.129 ; 475 ; 81.424.316 ; 1.514 ; 162.257.811 ;;;;
50;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 6.000.000 ; 4 ; 170.556 ; 13 ; 3.029.933 ; 57 ; 6.615.800 ; 76 ; 15.816.289 ; 21 ; 66.925.893 ; 50 ; 77.432.531 ; 71 ; 144.358.424 ; 147 ; 160.174.713 ;;;;
51;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;;; 15 ; 79.840.000 ; 15 ; 79.840.000 ; 15 ; 79.840.000 ;;; 15 ; 79.840.000 ; 30 ; 159.680.000 ;;;;
52;15.114.366;BANCO BBM S/A; 20 ; 18.917.443 ; 4 ; 11.053.495 ; 10 ; 4.888.055 ; 33 ; 1.609.307 ; 67 ; 36.468.300 ; 7 ; 54.269.903 ; 8 ; 64.271.231 ; 15 ; 118.541.134 ; 82 ; 155.009.434 ;;;;
53;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 31 ; 597.411 ; 167 ; 2.006.996 ; 1.120 ; 8.558.834 ; 6.504 ; 75.137.832 ; 7.822 ; 86.301.074 ; 939 ; 68.206.980 ; 5 ; 111.447 ; 944 ; 68.318.427 ; 8.766 ; 154.619.501 ;;;;
