Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2019;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
17;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 74 ; 105.806.171 ;;; 113 ; 42.303.302 ; 39 ; 790.964.737 ; 226 ; 939.074.210 ; 40 ; 1.630.818.532 ; 7 ; 630.874.860 ; 47 ; 2.261.693.391 ; 273 ; 3.200.767.601 
18;59.588.111;BANCO VOTORANTIM S.A.; 66 ; 130.145.737 ; 800 ; 204.747.634 ; 397 ; 434.702.709 ; 963 ; 548.297.380 ; 2.226 ; 1.317.893.460 ; 275 ; 986.974.625 ; 828 ; 810.671.401 ; 1.103 ; 1.797.646.026 ; 3.329 ; 3.115.539.487 
19;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 16 ; 35.982.748 ; 78 ; 45.965.674 ; 101 ; 373.425.083 ; 240 ; 552.628.942 ; 435 ; 1.008.002.446 ; 295 ; 997.392.763 ; 449 ; 962.337.225 ; 744 ; 1.959.729.987 ; 1.179 ; 2.967.732.434 
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 75 ; 230.158.734 ; 400 ; 132.733.325 ; 349 ; 421.236.204 ; 669 ; 516.809.760 ; 1.493 ; 1.300.938.023 ; 80 ; 622.090.968 ; 84 ; 478.196.070 ; 164 ; 1.100.287.039 ; 1.657 ; 2.401.225.062 
21;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 4 ; 287.249 ;;; 252 ; 998.795.273 ; 221 ; 274.516.664 ; 477 ; 1.273.599.186 ; 21 ; 389.376.766 ; 32 ; 675.361.813 ; 53 ; 1.064.738.579 ; 530 ; 2.338.337.765 
22;61.820.817;BANCO PAULISTA S.A.; 173 ; 129.906.357 ; 425 ; 21.268.624 ; 189.466 ; 206.249.429 ; 1.478 ; 207.814.883 ; 191.542 ; 565.239.293 ; 1.652 ; 718.826.340 ; 11.499 ; 832.231.983 ; 13.151 ; 1.551.058.324 ; 204.693 ; 2.116.297.617 
23;58.160.789;BANCO SAFRA S.A.; 165 ; 149.691.897 ; 1.008 ; 100.702.245 ; 914 ; 419.092.599 ; 2.349 ; 330.655.335 ; 4.436 ; 1.000.142.075 ; 181 ; 228.800.369 ; 165 ; 370.891.569 ; 346 ; 599.691.938 ; 4.782 ; 1.599.834.013 
24;03.532.415;BANCO ABN AMRO S.A.; 1 ; 20.000.000 ;;; 57 ; 690.121.906 ; 89 ; 689.535.555 ; 147 ; 1.399.657.461 ; 5 ; 60.399.980 ; 3 ; 74.775.049 ; 8 ; 135.175.029 ; 155 ; 1.534.832.490 
25;68.900.810;BANCO RENDIMENTO S.A.; 27 ; 2.180.345 ; 132 ; 11.259.360 ; 53.422 ; 188.161.840 ; 12.544 ; 203.959.214 ; 66.125 ; 405.560.758 ; 588 ; 376.729.638 ; 10.917 ; 381.381.054 ; 11.505 ; 758.110.692 ; 77.630 ; 1.163.671.450 
26;28.195.667;BANCO ABC BRASIL S.A.; 59 ; 43.795.535 ; 171 ; 31.999.039 ; 37 ; 105.426.133 ; 325 ; 106.932.721 ; 592 ; 288.153.427 ; 127 ; 381.495.188 ; 230 ; 322.281.708 ; 357 ; 703.776.895 ; 949 ; 991.930.322 
27;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 18 ; 38.610.276 ; 22 ; 7.711.246 ; 12 ; 122.692.228 ; 133 ; 68.497.778 ; 185 ; 237.511.529 ; 21 ; 323.640.599 ; 28 ; 393.638.788 ; 49 ; 717.279.388 ; 234 ; 954.790.916 
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 97 ; 246.913.903 ; 49 ; 43.176.593 ; 96 ; 93.113.886 ; 221 ; 142.584.125 ; 463 ; 525.788.507 ; 41 ; 116.209.035 ; 44 ; 222.322.661 ; 85 ; 338.531.697 ; 548 ; 864.320.204 
29;78.632.767;BANCO OURINVEST S.A.; 133 ; 9.313.748 ; 1.513 ; 78.532.736 ; 630 ; 92.477.758 ; 2.152 ; 138.491.777 ; 4.428 ; 318.816.019 ; 644 ; 325.598.189 ; 8.646 ; 209.151.396 ; 9.290 ; 534.749.586 ; 13.718 ; 853.565.605 
30;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 181 ; 101.004.006 ; 423 ; 323.854.088 ; 604 ; 424.858.094 ; 29 ; 276.236.872 ; 50 ; 53.350.000 ; 79 ; 329.586.872 ; 683 ; 754.444.966 
31;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 214 ; 7.447.932 ; 1.804 ; 66.591.352 ; 935 ; 56.973.936 ; 3.009 ; 72.719.067 ; 5.962 ; 203.732.287 ; 815 ; 307.590.927 ; 6.572 ; 220.399.499 ; 7.387 ; 527.990.426 ; 13.349 ; 731.722.713 
32;00.360.305;CAIXA ECONOMICA FEDERAL; 116 ; 167.791.434 ; 131 ; 4.775.480 ; 8.489 ; 67.572.401 ; 1.718 ; 100.632.504 ; 10.454 ; 340.771.819 ; 130 ; 133.415.940 ; 126 ; 246.908.035 ; 256 ; 380.323.975 ; 10.710 ; 721.095.793 
33;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 46 ; 1.689.407 ; 768 ; 30.976.414 ; 329 ; 81.760.886 ; 67.033 ; 146.306.060 ; 68.176 ; 260.732.768 ; 238 ; 267.688.090 ; 395 ; 172.917.006 ; 633 ; 440.605.096 ; 68.809 ; 701.337.864 
34;62.232.889;BANCO DAYCOVAL S.A.; 490 ; 84.762.691 ; 652 ; 37.611.092 ; 753 ; 27.981.284 ; 2.909 ; 89.449.883 ; 4.804 ; 239.804.950 ; 456 ; 168.175.014 ; 1.854 ; 170.333.663 ; 2.310 ; 338.508.677 ; 7.114 ; 578.313.627 
35;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 110 ; 21.888.742 ; 678 ; 134.737.433 ; 369 ; 61.171.845 ; 581 ; 76.270.094 ; 1.738 ; 294.068.113 ; 88 ; 173.807.035 ; 72 ; 55.709.524 ; 160 ; 229.516.559 ; 1.898 ; 523.584.673 
