Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Março/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
14;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; 11.374.749.999 ; 30 ; 11.000.000.000 ; 60 ; 22.374.749.999 ; 60 ; 22.374.749.999 ;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.949 ; 6.626.558.600 ; 2.287 ; 8.357.548.485 ; 4.236 ; 14.984.107.085 ; 196 ; 3.860.810.187 ; 127 ; 2.128.317.485 ; 323 ; 5.989.127.672 ; 4.559 ; 20.973.234.757 ;
16;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 371 ; 41.966.580 ; 4.955 ; 281.102.359 ; 2.418 ; 108.074.595 ; 26.954 ; 990.807.455 ; 34.698 ; 1.421.950.989 ; 1.627 ; 9.923.340.249 ; 1.968 ; 8.800.461.510 ; 3.595 ; 18.723.801.759 ; 38.293 ; 20.145.752.748 ;
17;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 934 ; 8.503.111.531 ; 1.056 ; 8.526.881.679 ; 1.990 ; 17.029.993.210 ; 45 ; 1.195.495.366 ; 40 ; 1.273.700.000 ; 85 ; 2.469.195.366 ; 2.075 ; 19.499.188.576 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 3.123 ; 750.308.813 ; 21.644 ; 1.080.992.915 ; 28.624 ; 2.697.246.867 ; 127.669 ; 2.475.292.495 ; 181.060 ; 7.003.841.090 ; 376 ; 6.195.610.414 ; 481 ; 5.600.308.224 ; 857 ; 11.795.918.638 ; 181.917 ; 18.799.759.728 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 298 ; 346.324.786 ; 2.127 ; 571.982.931 ; 764 ; 1.884.783.808 ; 1.447 ; 3.185.212.648 ; 4.636 ; 5.988.304.173 ; 2.285 ; 5.603.564.782 ; 2.261 ; 3.572.099.173 ; 4.546 ; 9.175.663.955 ; 9.182 ; 15.163.968.128 ;
20;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 888 ; 303.364.951 ; 3.427 ; 349.358.180 ; 76.669 ; 3.215.131.585 ; 46.915 ; 1.450.160.479 ; 127.899 ; 5.318.015.195 ; 973 ; 2.639.178.492 ; 1.022 ; 4.634.400.549 ; 1.995 ; 7.273.579.041 ; 129.894 ; 12.591.594.236 ;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 245 ; 895.818.080 ; 12 ; 26.862.414 ; 189 ; 741.171.818 ; 427 ; 608.804.997 ; 873 ; 2.272.657.309 ; 352 ; 4.186.745.490 ; 397 ; 5.202.682.581 ; 749 ; 9.389.428.071 ; 1.622 ; 11.662.085.380 ;
22;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 9 ; 275.277.885 ; 1 ; 4.000.000 ; 414 ; 3.393.312.869 ; 474 ; 3.233.617.216 ; 898 ; 6.906.207.970 ; 50 ; 1.907.846.276 ; 76 ; 2.353.336.561 ; 126 ; 4.261.182.837 ; 1.024 ; 11.167.390.807 ;
23;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 178 ; 737.164.885 ; 652 ; 128.283.085 ; 580 ; 1.158.944.552 ; 1.023 ; 983.773.824 ; 2.433 ; 3.008.166.346 ; 834 ; 3.446.064.405 ; 863 ; 4.246.767.612 ; 1.697 ; 7.692.832.017 ; 4.130 ; 10.700.998.363 ;
24;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 200 ; 512.572.295 ; 591 ; 187.271.601 ; 305 ; 490.720.901 ; 526 ; 373.723.651 ; 1.622 ; 1.564.288.448 ; 432 ; 3.216.479.775 ; 450 ; 3.492.095.985 ; 882 ; 6.708.575.760 ; 2.504 ; 8.272.864.208 ;
25;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 420 ; 91.360.230 ; 2.059 ; 34.558.988 ; 100.268 ; 454.956.139 ; 226.612 ; 2.615.244.029 ; 329.359 ; 3.196.119.386 ; 2.285 ; 3.151.856.213 ; 9.251 ; 1.047.702.341 ; 11.536 ; 4.199.558.554 ; 340.895 ; 7.395.677.940 ;
26;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 456 ; 313.580.641 ; 2.218 ; 436.726.648 ; 6.567 ; 1.312.532.562 ; 15.265 ; 1.238.010.591 ; 24.506 ; 3.300.850.442 ; 226 ; 1.737.391.631 ; 393 ; 2.034.579.407 ; 619 ; 3.771.971.038 ; 25.125 ; 7.072.821.480 ;
27;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 1.180 ; 178.026.663 ; 5.984 ; 1.010.058.880 ; 14.456 ; 398.251.637 ; 23.972 ; 912.448.924 ; 45.592 ; 2.498.786.104 ; 462 ; 2.532.200.170 ; 414 ; 1.137.188.334 ; 876 ; 3.669.388.504 ; 46.468 ; 6.168.174.608 ;
28;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 2.161 ; 238.565.538 ; 12.269 ; 614.845.267 ; 203.792 ; 702.484.239 ; 1.280.203 ; 1.457.017.816 ; 1.498.425 ; 3.012.912.860 ; 2.980 ; 1.938.472.110 ; 20.649 ; 794.160.229 ; 23.629 ; 2.732.632.339 ; 1.522.054 ; 5.745.545.199 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 1.062 ; 309.840.287 ; 4.314 ; 593.291.313 ; 186.597 ; 1.239.635.496 ; 96.297 ; 1.023.808.031 ; 288.270 ; 3.166.575.127 ; 992 ; 922.511.408 ; 5.289 ; 890.248.462 ; 6.281 ; 1.812.759.870 ; 294.551 ; 4.979.334.997 ;
30;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 226 ; 196.013.040 ; 750 ; 716.727.239 ; 13.537 ; 479.192.964 ; 3.501 ; 583.543.609 ; 18.014 ; 1.975.476.852 ; 179 ; 1.679.539.809 ; 123 ; 1.051.659.538 ; 302 ; 2.731.199.347 ; 18.316 ; 4.706.676.199 ;
31;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 22.495 ; 6.397.119 ; 771 ; 761.326 ; 3.658.817 ; 1.193.767.711 ; 4.727.779 ; 1.680.561.672 ; 8.409.862 ; 2.881.487.828 ; 3.029 ; 1.093.268.311 ; 2.782 ; 609.555.604 ; 5.811 ; 1.702.823.915 ; 8.415.673 ; 4.584.311.743 ;
32;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 77 ; 35.643.177 ; 221 ; 57.737.041 ; 126 ; 465.315.693 ; 931 ; 527.872.081 ; 1.355 ; 1.086.567.992 ; 339 ; 1.743.392.552 ; 318 ; 1.700.265.201 ; 657 ; 3.443.657.753 ; 2.012 ; 4.530.225.745 ;
33;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 206 ; 181.235.784 ; 1.185 ; 424.855.624 ; 132 ; 78.603.204 ; 325 ; 116.670.559 ; 1.848 ; 801.365.171 ; 255 ; 1.946.214.842 ; 273 ; 1.750.761.598 ; 528 ; 3.696.976.440 ; 2.376 ; 4.498.341.611 ;
34;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 29 ; 612.984.095 ; 8 ; 10.733.350 ; 62 ; 181.317.900 ; 144 ; 232.608.322 ; 243 ; 1.037.643.667 ; 182 ; 1.335.283.633 ; 192 ; 1.885.504.539 ; 374 ; 3.220.788.172 ; 617 ; 4.258.431.839 ;
35;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 3 ; 107.935.000 ; -   ; -   ; 45 ; 448.221.281 ; 214 ; 1.400.567.344 ; 262 ; 1.956.723.625 ; 33 ; 1.092.510.625 ; 34 ; 1.060.240.247 ; 67 ; 2.152.750.872 ; 329 ; 4.109.474.497 ;
