Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Dez/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.707 ; 897.120.468 ; 5.219 ; 849.137.887 ; 6.050 ; 5.648.107.473 ; 6.120 ; 3.896.378.371 ; 19.096 ; 11.290.744.200 ; 5.400 ; 18.772.549.264 ; 5.007 ; 21.121.883.302 ; 10.407 ; 39.894.432.566 ; 29.503 ; 51.185.176.766 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 6.372 ; 10.587.305.332 ; 5.909 ; 15.116.576.712 ; 12.282 ; 25.742.882.044 ; 482 ; 12.013.699.380 ; 346 ; 7.379.739.494 ; 828 ; 19.393.438.874 ; 13.110 ; 45.136.320.918 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 3.125 ; 9.815.306.946 ; 2.411 ; 10.736.516.458 ; 5.536 ; 20.551.823.404 ; 296 ; 9.815.772.606 ; 296 ; 9.118.685.227 ; 592 ; 18.934.457.833 ; 6.128 ; 39.486.281.237 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 1.774 ; 3.294.901.803 ; 14.795 ; 2.248.408.052 ; 3.618 ; 5.105.029.560 ; 13.551 ; 8.002.516.058 ; 33.738 ; 18.650.855.472 ; 3.754 ; 11.129.130.693 ; 7.671 ; 9.399.632.321 ; 11.425 ; 20.528.763.014 ; 45.163 ; 39.179.618.486 ;
19;58.160.789;BANCO SAFRA S.A.; 2.139 ; 1.258.127.389 ; 10.564 ; 1.094.949.976 ; 10.698 ; 3.392.167.847 ; 24.606 ; 3.512.858.516 ; 48.007 ; 9.258.103.727 ; 1.805 ; 8.992.477.563 ; 1.764 ; 9.020.636.992 ; 3.569 ; 18.013.114.555 ; 51.576 ; 27.271.218.282 ;
20;61.820.817;BANCO PAULISTA S.A.; 1.443 ; 749.938.666 ; 4.543 ; 326.909.679 ; 9.492 ; 2.318.884.226 ; 13.563 ; 1.652.710.901 ; 29.041 ; 5.048.443.473 ; 14.885 ; 6.713.353.789 ; 122.068 ; 7.826.981.543 ; 136.953 ; 14.540.335.332 ; 165.994 ; 19.588.778.805 ;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 160 ; 650.076.514 ; 978 ; 463.571.390 ; 821 ; 1.877.117.233 ; 804 ; 1.117.714.304 ; 2.763 ; 4.108.479.442 ; 1.512 ; 6.056.178.351 ; 1.840 ; 6.989.199.511 ; 3.352 ; 13.045.377.862 ; 6.115 ; 17.153.857.304 ;
22;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 591 ; 1.187.135.674 ;;; 986 ; 717.151.629 ; 780 ; 2.875.373.864 ; 2.357 ; 4.779.661.167 ; 105 ; 7.447.852.830 ; 72 ; 3.732.833.074 ; 177 ; 11.180.685.904 ; 2.534 ; 15.960.347.071 ;
23;00.360.305;CAIXA ECONOMICA FEDERAL; 3.450 ; 2.178.848.396 ; 2.650 ; 104.067.722 ; 61.130 ; 1.124.108.568 ; 16.214 ; 3.015.216.884 ; 83.444 ; 6.422.241.570 ; 1.149 ; 3.357.879.637 ; 1.484 ; 3.479.136.457 ; 2.633 ; 6.837.016.094 ; 86.077 ; 13.259.257.663 ;
24;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.735 ; 556.419.283 ; 5.358 ; 794.634.228 ; 4.228 ; 3.619.789.989 ; 6.004 ; 1.456.187.331 ; 17.325 ; 6.427.030.831 ; 690 ; 1.762.141.329 ; 877 ; 3.687.917.877 ; 1.567 ; 5.450.059.206 ; 18.892 ; 11.877.090.038 ;
