Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Dez/2015;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;
27;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 633 ; 2.107.700.833 ; 184 ; 187.026.739 ; 985 ; 2.269.768.071 ; 2.832 ; 2.324.280.160 ; 4.634 ; 6.888.775.802 ; 165 ; 1.572.632.679 ; 248 ; 3.199.440.095 ; 413 ; 4.772.072.774 ; 5.047 ; 11.660.848.575 ;
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.590 ; 763.109.538 ; 5.113 ; 1.237.978.666 ; 3.942 ; 2.962.568.273 ; 5.800 ; 1.151.249.339 ; 16.445 ; 6.114.905.817 ; 746 ; 1.869.167.691 ; 954 ; 3.207.067.783 ; 1.700 ; 5.076.235.475 ; 18.145 ; 11.191.141.291 ;
29;62.232.889;BANCO DAYCOVAL S.A.; 2.600 ; 475.825.510 ; 4.402 ; 310.861.479 ; 5.672 ; 592.729.410 ; 22.539 ; 1.372.161.648 ; 35.213 ; 2.751.578.047 ; 3.994 ; 3.819.737.254 ; 17.018 ; 3.125.280.308 ; 21.012 ; 6.945.017.562 ; 56.225 ; 9.696.595.609 ;
30;71.027.866;BANCO BONSUCESSO S.A.; 25 ; 1.243.697 ; 18 ; 895.218 ; 439 ; 11.819.837 ; 933 ; 46.623.644 ; 1.415 ; 60.582.396 ; 3.057 ; 4.394.408.916 ; 2.615 ; 4.353.079.008 ; 5.672 ; 8.747.487.923 ; 7.087 ; 8.808.070.319 ;
31;49.336.860;ING BANK N.V.; 353 ; 2.113.306.498 ; 123 ; 278.810.546 ; 110 ; 583.929.430 ; 786 ; 580.868.144 ; 1.372 ; 3.556.914.619 ; 143 ; 1.490.283.505 ; 212 ; 3.347.237.443 ; 355 ; 4.837.520.948 ; 1.727 ; 8.394.435.566 ;
32;28.195.667;BANCO ABC BRASIL S.A.; 606 ; 253.932.839 ; 1.197 ; 204.736.752 ; 354 ; 1.270.927.924 ; 3.484 ; 1.376.103.344 ; 5.641 ; 3.105.700.859 ; 343 ; 2.163.672.355 ; 349 ; 2.035.742.936 ; 692 ; 4.199.415.291 ; 6.333 ; 7.305.116.150 ;
33;68.900.810;BANCO RENDIMENTO S.A.; 100 ; 8.048.886 ; 671 ; 95.236.309 ; 76.677 ; 823.791.305 ; 19.061 ; 1.053.162.047 ; 96.509 ; 1.980.238.546 ; 4.248 ; 2.558.427.929 ; 78.062 ; 2.234.419.323 ; 82.310 ; 4.792.847.253 ; 178.819 ; 6.773.085.799 ;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 362 ; 1.614.498.416 ; 1.507 ; 56.412.846 ; 2.106 ; 315.970.290 ; 5.886 ; 547.134.560 ; 9.861 ; 2.534.016.112 ; 2.748 ; 1.144.850.241 ; 2.549 ; 2.471.074.197 ; 5.297 ; 3.615.924.438 ; 15.158 ; 6.149.940.551 ;
35;78.632.767;BANCO OURINVEST S.A.; 97 ; 44.620.746 ; 562 ; 40.751.131 ; 2.162 ; 142.692.889 ; 6.203 ; 197.502.940 ; 9.024 ; 425.567.707 ; 3.815 ; 2.854.543.867 ; 66.334 ; 2.832.846.401 ; 70.149 ; 5.687.390.268 ; 79.173 ; 6.112.957.975 ;
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 352 ; 811.411.224 ; 429 ; 84.730.246 ; 351 ; 972.512.669 ; 519 ; 446.895.401 ; 1.651 ; 2.315.549.541 ; 521 ; 726.226.100 ; 638 ; 2.015.237.895 ; 1.159 ; 2.741.463.996 ; 2.810 ; 5.057.013.537 ;
37;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 47 ; 1.127.440.000 ; 93 ; 1.256.717.560 ; 140 ; 2.384.157.560 ; 94 ; 1.290.217.560 ; 49 ; 1.160.940.000 ; 143 ; 2.451.157.560 ; 283 ; 4.835.315.121 ;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 1.289 ; 461.726.450 ; 1.304 ; 193.544.627 ; 628 ; 762.760.588 ; 2.429 ; 705.053.674 ; 5.650 ; 2.123.085.339 ; 297 ; 728.053.279 ; 286 ; 1.021.172.905 ; 583 ; 1.749.226.184 ; 6.233 ; 3.872.311.523 ;
39;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 47 ; 188.187.888 ; 169 ; 246.935.733 ; 230 ; 1.543.445.846 ; 213 ; 172.785.867 ; 659 ; 2.151.355.334 ; 100 ; 142.358.237 ; 221 ; 1.448.991.289 ; 321 ; 1.591.349.526 ; 980 ; 3.742.704.860 ;
40;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 9.639 ; 923.179.667 ; 13.493 ; 670.308.723 ; 4.402 ; 191.998.367 ; 15.867 ; 352.715.078 ; 43.401 ; 2.138.201.836 ; 365 ; 540.530.003 ; 386 ; 622.525.414 ; 751 ; 1.163.055.417 ; 44.152 ; 3.301.257.253 ;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 130 ; 347.524.961 ; 219 ; 259.532.184 ; 111 ; 953.526.402 ; 949 ; 374.542.740 ; 1.409 ; 1.935.126.287 ; 99 ; 300.444.136 ; 126 ; 927.877.058 ; 225 ; 1.228.321.194 ; 1.634 ; 3.163.447.481 ;
42;33.923.798;BANCO MÁXIMA S.A.; 446 ; 9.998.393 ; 3.505 ; 174.412.107 ; 1.069 ; 430.125.971 ; 2.840 ; 377.936.252 ; 7.860 ; 992.472.723 ; 2.857 ; 1.003.535.190 ; 14.078 ; 894.890.704 ; 16.935 ; 1.898.425.895 ; 24.795 ; 2.890.898.618 ;
43;03.609.817;BANCO CARGILL S.A.; 241 ; 1.034.043.981 ; 36 ; 80.238.520 ; 42 ; 267.726.838 ; 216 ; 289.659.462 ; 535 ; 1.671.668.801 ; 32 ; 134.393.000 ; 96 ; 1.065.690.952 ; 128 ; 1.200.083.952 ; 663 ; 2.871.752.754 ;
44;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 20 ; 5.987.595 ; 5 ; 38.292 ; 1.544 ; 238.803.606 ; 881 ; 485.849.526 ; 2.450 ; 730.679.020 ; 329 ; 1.107.251.294 ; 393 ; 926.113.293 ; 722 ; 2.033.364.587 ; 3.172 ; 2.764.043.607 ;
45;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 630 ; 10.857.097 ; 5.390 ; 125.182.865 ; 9.465 ; 105.468.494 ; 21.670 ; 656.403.169 ; 37.155 ; 897.911.625 ; 33.640 ; 1.195.158.480 ; 1.648 ; 529.973.976 ; 35.288 ; 1.725.132.455 ; 72.443 ; 2.623.044.080 ;
46;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 2.621 ; 4.746.073 ; 26.722 ; 119.288.623 ; 29.343 ; 124.034.696 ; 6.870 ; 1.206.733.509 ; 1.355 ; 1.092.109.222 ; 8.225 ; 2.298.842.731 ; 37.568 ; 2.422.877.428 ;
47;58.616.418;BANCO FIBRA S.A.; 1.559 ; 125.281.995 ; 3.617 ; 234.726.780 ; 842 ; 580.470.765 ; 2.570 ; 755.138.250 ; 8.588 ; 1.695.617.790 ; 464 ; 467.113.941 ; 369 ; 120.797.293 ; 833 ; 587.911.234 ; 9.421 ; 2.283.529.024 ;
48;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 19 ; 55.150.082 ; 90 ; 22.225.198 ; 271 ; 254.425.908 ; 739 ; 134.416.363 ; 1.119 ; 466.217.552 ; 264 ; 776.402.055 ; 473 ; 991.499.223 ; 737 ; 1.767.901.278 ; 1.856 ; 2.234.118.830 ;
49;07.656.500;BANCO KDB DO BRASIL S.A.;;; 5 ; 6.123.749 ; 1.431 ; 452.440.400 ; 1.863 ; 604.515.578 ; 3.299 ; 1.063.079.727 ; 189 ; 550.570.293 ; 362 ; 542.349.509 ; 551 ; 1.092.919.802 ; 3.850 ; 2.155.999.529 ;
50;15.114.366;BANCO BBM S/A; 265 ; 175.494.830 ; 26 ; 57.229.497 ; 118 ; 241.955.680 ; 434 ; 156.196.516 ; 843 ; 630.876.523 ; 82 ; 669.302.721 ; 113 ; 831.803.782 ; 195 ; 1.501.106.503 ; 1.038 ; 2.131.983.026 ;
51;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 43 ; 1.752.821 ; 11.530 ; 768.482.979 ; 2.143 ; 26.181.838 ; 20.960 ; 163.261.678 ; 34.676 ; 959.679.316 ; 10.474 ; 914.144.421 ; 299 ; 12.349.769 ; 10.773 ; 926.494.190 ; 45.449 ; 1.886.173.506 ;
52;62.144.175;BANCO PINE S.A.; 106 ; 143.155.347 ; 137 ; 83.651.723 ; 72 ; 134.856.886 ; 684 ; 438.245.236 ; 999 ; 799.909.193 ; 41 ; 590.341.745 ; 28 ; 390.352.161 ; 69 ; 980.693.906 ; 1.068 ; 1.780.603.098 ;
53;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 111 ; 677.122 ; 9.733 ; 113.831.925 ; 34.800 ; 609.753.930 ; 44.644 ; 724.262.977 ; 21.377 ; 747.821.130 ; 1.191 ; 249.677.381 ; 22.568 ; 997.498.511 ; 67.212 ; 1.721.761.487 ;
54;03.532.415;BANCO ABN AMRO S.A.; 248 ; 765.001.956 ; 3 ; 10.274.455 ; 55 ; 16.247.572 ; 203 ; 12.927.929 ; 509 ; 804.451.912 ; 24 ; 84.431.577 ; 345 ; 814.839.552 ; 369 ; 899.271.129 ; 878 ; 1.703.723.041 ;
55;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 130 ; 2.993.548 ; 1.117 ; 18.724.138 ; 4.271 ; 37.198.847 ; 14.181 ; 213.512.204 ; 19.699 ; 272.428.737 ; 19.370 ; 766.115.519 ; 3.993 ; 574.151.920 ; 23.363 ; 1.340.267.439 ; 43.062 ; 1.612.696.176 ;
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 395 ; 7.835.584 ; 1.766 ; 20.088.313 ; 14.139 ; 118.517.726 ; 67.817 ; 765.431.345 ; 84.117 ; 911.872.968 ; 9.503 ; 661.642.055 ; 89 ; 2.362.092 ; 9.592 ; 664.004.148 ; 93.709 ; 1.575.877.116 ;
57;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 664 ; 14.148.648 ; 10.232 ; 259.358.527 ; 7.889 ; 124.100.230 ; 26.625 ; 464.445.537 ; 45.410 ; 862.052.942 ; 9.885 ; 594.155.825 ; 79 ; 8.937.339 ; 9.964 ; 603.093.164 ; 55.374 ; 1.465.146.106 ;
58;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 601 ; 221.292.530 ; 473 ; 68.486.583 ; 205 ; 42.091.889 ; 529 ; 353.425.481 ; 1.808 ; 685.296.485 ; 167 ; 474.620.712 ; 242 ; 301.773.922 ; 409 ; 776.394.634 ; 2.217 ; 1.461.691.118 ;
59;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 33 ; 848.395 ; 818 ; 16.776.615 ; 2.505 ; 20.062.677 ; 10.912 ; 103.616.906 ; 14.268 ; 141.304.593 ; 9.574 ; 668.138.413 ; 1.258 ; 568.822.139 ; 10.832 ; 1.236.960.551 ; 25.100 ; 1.378.265.144 ;
60;30.723.886;BANCO MODAL S.A.; 194 ; 57.784.898 ; 707 ; 96.711.331 ; 286 ; 359.935.910 ; 718 ; 133.886.261 ; 1.905 ; 648.318.399 ; 187 ; 267.688.350 ; 222 ; 449.654.245 ; 409 ; 717.342.595 ; 2.314 ; 1.365.660.994 ;
61;59.118.133;BANCO LUSO BRASILEIRO S.A.; 247 ; 66.973.713 ; 6.132 ; 488.370.752 ; 236 ; 30.404.614 ; 1.951 ; 82.810.476 ; 8.566 ; 668.559.555 ; 3.489 ; 580.449.533 ; 437 ; 106.568.747 ; 3.926 ; 687.018.280 ; 12.492 ; 1.355.577.835 ;
