Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em setembro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 371 ; 149.835.406 ; 1.425 ; 174.693.230 ; 23.216 ; 132.206.717 ; 19.018 ; 300.550.256 ; 44.030 ; 757.285.609 ; 412 ; 3.803.191.530 ; 401 ; 5.383.763.241 ; 813 ; 9.186.954.771 ; 44.843 ; 9.944.240.380 ;
16;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 190 ; 454.700.319 ; 1.288 ; 338.952.287 ; 553 ; 1.869.062.333 ; 801 ; 2.914.475.541 ; 2.832 ; 5.577.190.480 ; 225 ; 2.689.815.141 ; 307 ; 1.242.936.384 ; 532 ; 3.932.751.525 ; 3.364 ; 9.509.942.005 ;
17;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;SOCIETE GENERALE - PRUDENCIAL; 69 ; 88.463.014 ; 949 ; 301.806.020 ; 116 ; 321.765.768 ; 254 ; 236.403.734 ; 1.388 ; 948.438.536 ; 386 ; 3.557.868.682 ; 403 ; 3.367.183.813 ; 789 ; 6.925.052.495 ; 2.177 ; 7.873.491.031 ;
18;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 468 ; 2.730.230.875 ; 605 ; 2.239.805.289 ; 1.073 ; 4.970.036.164 ; 48 ; 884.079.568 ; 65 ; 1.334.078.761 ; 113 ; 2.218.158.329 ; 1.186 ; 7.188.194.493 ;
19;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 67 ; 228.663.988 ; 2 ; 664.551 ; 79 ; 387.065.849 ; 192 ; 366.665.658 ; 340 ; 983.060.046 ; 94 ; 2.752.553.625 ; 94 ; 2.788.334.154 ; 188 ; 5.540.887.779 ; 528 ; 6.523.947.825 ;
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 129 ; 127.248.782 ; 1.148 ; 253.373.439 ; 454 ; 886.792.353 ; 646 ; 699.000.545 ; 2.377 ; 1.966.415.119 ; 959 ; 1.827.063.334 ; 969 ; 1.810.946.606 ; 1.928 ; 3.638.009.940 ; 4.305 ; 5.604.425.059 ;
21;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.292 ; 260.521.349 ; 9.257 ; 426.085.677 ; 11.310 ; 531.641.058 ; 52.680 ; 998.726.970 ; 74.539 ; 2.216.975.054 ; 302 ; 1.390.044.249 ; 299 ; 713.464.884 ; 601 ; 2.103.509.133 ; 75.140 ; 4.320.484.187 ;
22;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 646 ; 99.653.754 ; 2.799 ; 462.858.191 ; 4.757 ; 160.494.940 ; 7.909 ; 471.043.294 ; 16.111 ; 1.194.050.179 ; 192 ; 1.577.421.098 ; 142 ; 845.629.857 ; 334 ; 2.423.050.955 ; 16.445 ; 3.617.101.134 ;
23;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 100 ; 108.005.776 ; 279 ; 124.662.034 ; 128 ; 54.636.602 ; 212 ; 188.447.474 ; 719 ; 475.751.886 ; 150 ; 1.582.727.773 ; 150 ; 1.463.051.628 ; 300 ; 3.045.779.401 ; 1.019 ; 3.521.531.287 ;
24;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 205 ; 109.336.524 ; 555 ; 92.969.847 ; 2.874 ; 431.743.802 ; 8.895 ; 689.648.028 ; 12.529 ; 1.323.698.201 ; 49 ; 1.019.836.694 ; 80 ; 764.584.871 ; 129 ; 1.784.421.565 ; 12.658 ; 3.108.119.766 ;
25;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 1.179 ; 189.866.026 ; 4.420 ; 347.677.486 ; 29.632 ; 418.961.847 ; 96.372 ; 603.163.229 ; 131.603 ; 1.559.668.588 ; 1.220 ; 898.107.933 ; 9.909 ; 517.108.303 ; 11.129 ; 1.415.216.236 ; 142.732 ; 2.974.884.824 ;
26;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 7 ; 160.296.559 ; -   ; -   ; 93 ; 1.175.774.450 ; 190 ; 385.321.951 ; 290 ; 1.721.392.960 ; 6 ; 51.368.704 ; 31 ; 792.874.873 ; 37 ; 844.243.577 ; 327 ; 2.565.636.537 ;
27;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 38 ; 218.235.821 ; 274 ; 73.696.542 ; 261 ; 360.109.666 ; 325 ; 145.874.281 ; 898 ; 797.916.310 ; 324 ; 683.598.213 ; 335 ; 959.596.464 ; 659 ; 1.643.194.677 ; 1.557 ; 2.441.110.987 ;
28;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 8.602 ; 3.479.316 ; 249 ; 384.974 ; 1.458.700 ; 565.811.435 ; 1.839.137 ; 679.974.856 ; 3.306.688 ; 1.249.650.581 ; 1.075 ; 391.266.489 ; 1.033 ; 280.342.620 ; 2.108 ; 671.609.109 ; 3.308.796 ; 1.921.259.690 ;
