Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 55 ; 323.499.981 ; 58 ; 37.801.038 ; 177 ; 829.519.028 ; 440 ; 677.774.507 ; 730 ; 1.868.594.555 ; 830 ; 12.495.489.514 ; 871 ; 12.960.813.544 ; 1.701 ; 25.456.303.058 ; 2.431 ; 27.324.897.613 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 804 ; 2.183.923.568 ; 1.544 ; 1.220.266.997 ; 2.423 ; 2.916.001.342 ; 2.749 ; 3.430.996.698 ; 7.520 ; 9.751.188.604 ; 921 ; 7.415.059.536 ; 1.133 ; 7.677.586.931 ; 2.054 ; 15.092.646.467 ; 9.574 ; 24.843.835.071 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 1.732 ; 1.816.616.398 ; 6.489 ; 1.192.805.209 ; 1.686 ; 2.143.621.824 ; 4.696 ; 3.148.945.224 ; 14.603 ; 8.301.988.656 ; 1.634 ; 6.060.001.407 ; 3.308 ; 6.689.729.497 ; 4.942 ; 12.749.730.903 ; 19.545 ; 21.051.719.559 ;
19;28.195.667;BANCO ABC BRASIL S.A.; 1.195 ; 1.385.639.087 ; 3.708 ; 553.261.132 ; 884 ; 2.222.278.840 ; 3.003 ; 2.079.046.064 ; 8.790 ; 6.240.225.123 ; 1.458 ; 5.891.415.775 ; 2.901 ; 7.311.056.626 ; 4.359 ; 13.202.472.400 ; 13.149 ; 19.442.697.523 ;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 4 ; 580.094 ; 2 ; 1.678.995 ; 1.434 ; 5.416.030.701 ; 1.798 ; 6.146.710.025 ; 3.238 ; 11.564.999.815 ; 114 ; 3.442.459.894 ; 104 ; 2.920.469.450 ; 218 ; 6.362.929.344 ; 3.456 ; 17.927.929.159 ;
21;53.518.684;BANCO HSBC S.A.; 113 ; 1.140.135.135 ; 1.202 ; 413.002.205 ; 432 ; 934.015.272 ; 1.188 ; 2.466.399.110 ; 2.935 ; 4.953.551.722 ; 952 ; 4.284.171.527 ; 1.069 ; 3.324.227.396 ; 2.021 ; 7.608.398.923 ; 4.956 ; 12.561.950.645 ;
22;09.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;; 473 ; 5.660.356.711 ; 396 ; 3.024.319.091 ; 869 ; 8.684.675.803 ; 103 ; 291.100.942 ; 308 ; 3.010.590.505 ; 411 ; 3.301.691.447 ; 1.280 ; 11.986.367.250 ;
23;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 5.291 ; 800.456.208 ; 15.339 ; 618.536.304 ; 14.105 ; 1.239.410.769 ; 38.612 ; 3.753.814.495 ; 73.347 ; 6.412.217.775 ; 13.278 ; 3.776.699.121 ; 31.738 ; 1.457.142.569 ; 45.016 ; 5.233.841.690 ; 118.363 ; 11.646.059.466 ;
24;31.872.495;BANCO C6 S.A.; 249 ; 292.540.154 ; 1.463 ; 448.397.544 ; 6.650 ; 1.366.064.795 ; 53.694 ; 1.718.600.984 ; 62.056 ; 3.825.603.478 ; 822 ; 3.778.848.719 ; 1.440 ; 3.231.522.910 ; 2.262 ; 7.010.371.630 ; 64.318 ; 10.835.975.107 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 764 ; 2.365.510.095 ; 159 ; 280.099.964 ; 614 ; 1.128.360.119 ; 1.872 ; 1.050.773.209 ; 3.409 ; 4.824.743.389 ; 385 ; 2.015.644.576 ; 436 ; 3.983.081.803 ; 821 ; 5.998.726.379 ; 4.230 ; 10.823.469.768 ;
26;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 713 ; 38.437.576 ; 5.851 ; 266.647.609 ; 1.806 ; 287.613.212 ; 212.095 ; 302.628.010 ; 220.465 ; 895.326.407 ; 2.812 ; 4.578.703.435 ; 3.810 ; 4.342.427.568 ; 6.622 ; 8.921.131.003 ; 227.087 ; 9.816.457.411 ;
27;49.336.860;ING BANK N.V.; 39 ; 152.608.568 ;;; 104 ; 162.242.328 ; 246 ; 162.646.091 ; 389 ; 477.496.987 ; 148 ; 4.513.966.628 ; 153 ; 4.682.568.499 ; 301 ; 9.196.535.127 ; 690 ; 9.674.032.114 ;
28;68.900.810;BANCO RENDIMENTO S.A.; 506 ; 41.671.736 ; 1.314 ; 385.466.645 ; 1.941.971 ; 3.527.842.452 ; 35.770 ; 624.501.980 ; 1.979.561 ; 4.579.482.814 ; 10.426 ; 1.201.912.336 ; 54.307 ; 3.784.122.737 ; 64.733 ; 4.986.035.072 ; 2.044.294 ; 9.565.517.886 ;
29;58.160.789;BANCO SAFRA S.A.; 2.054 ; 1.084.316.297 ; 9.311 ; 1.074.789.646 ; 7.040 ; 1.079.806.840 ; 11.036 ; 1.724.409.353 ; 29.441 ; 4.963.322.136 ; 1.840 ; 2.325.409.938 ; 1.774 ; 1.679.666.254 ; 3.614 ; 4.005.076.193 ; 33.055 ; 8.968.398.329 ;
30;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 82 ; 490.070.977 ; 139 ; 266.665.161 ; 198 ; 1.985.978.959 ; 926 ; 1.632.060.058 ; 1.345 ; 4.374.775.156 ; 123 ; 1.901.578.800 ; 177 ; 2.459.258.524 ; 300 ; 4.360.837.325 ; 1.645 ; 8.735.612.481 ;
31;33.264.668;BANCO XP S.A.; 1.081 ; 1.141.632.941 ; 9.826 ; 1.472.199.154 ; 3.653 ; 1.706.830.826 ; 12.500 ; 1.471.500.698 ; 27.060 ; 5.792.163.619 ; 175 ; 1.106.319.255 ; 104 ; 925.569.031 ; 279 ; 2.031.888.285 ; 27.339 ; 7.824.051.905 ;
32;78.632.767;BANCO OURINVEST S.A.; 6.968 ; 676.974.646 ; 18.556 ; 1.289.584.185 ; 60.172 ; 1.114.390.108 ; 48.109 ; 1.092.547.430 ; 133.805 ; 4.173.496.370 ; 4.940 ; 1.694.854.846 ; 17.043 ; 1.081.162.169 ; 21.983 ; 2.776.017.015 ; 155.788 ; 6.949.513.385 ;
33;62.232.889;BANCO DAYCOVAL S.A.; 4.556 ; 752.141.812 ; 8.512 ; 790.758.746 ; 546.666 ; 1.543.266.768 ; 11.919 ; 669.290.726 ; 571.653 ; 3.755.458.053 ; 2.135 ; 997.252.309 ; 4.500 ; 1.822.970.044 ; 6.635 ; 2.820.222.354 ; 578.288 ; 6.575.680.406 ;
34;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.222 ; 720.833.584 ; 5.306 ; 750.250.529 ; 2.771 ; 1.154.025.229 ; 3.743 ; 460.065.607 ; 13.042 ; 3.085.174.949 ; 741 ; 1.350.731.279 ; 785 ; 1.963.246.228 ; 1.526 ; 3.313.977.508 ; 14.568 ; 6.399.152.456 ;
35;07.679.404;BANCO TOPÁZIO S.A.; 453 ; 292.122.585 ; 267 ; 36.337.235 ; 2.107 ; 390.232.635 ; 3.678 ; 2.161.411.339 ; 6.505 ; 2.880.103.794 ; 3.043 ; 2.343.731.481 ; 7.265 ; 828.325.559 ; 10.308 ; 3.172.057.040 ; 16.813 ; 6.052.160.834 ;
36;58.616.418;BANCO FIBRA S.A.; 942 ; 981.282.385 ; 6.761 ; 1.049.060.553 ; 253 ; 216.984.231 ; 1.506 ; 810.489.447 ; 9.462 ; 3.057.816.616 ; 697 ; 1.581.437.083 ; 607 ; 886.481.899 ; 1.304 ; 2.467.918.981 ; 10.766 ; 5.525.735.597 ;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 416 ; 537.103.876 ; 1.585 ; 342.078.791 ; 461 ; 387.215.230 ; 1.055 ; 453.358.672 ; 3.517 ; 1.719.756.569 ; 679 ; 1.331.030.620 ; 697 ; 1.480.042.931 ; 1.376 ; 2.811.073.551 ; 4.893 ; 4.530.830.120 ;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 596 ; 740.186.131 ; 2.917 ; 389.778.679 ; 176 ; 815.491.881 ; 2.071 ; 884.318.709 ; 5.760 ; 2.829.775.400 ; 274 ; 490.273.644 ; 213 ; 810.342.610 ; 487 ; 1.300.616.254 ; 6.247 ; 4.130.391.654 ;
39;71.027.866;BANCO BS2 S.A.; 2.871 ; 565.645.401 ; 9.959 ; 451.271.413 ; 55.139 ; 1.071.049.763 ; 135.469 ; 771.024.191 ; 203.438 ; 2.858.990.768 ; 333 ; 401.005.016 ; 494 ; 807.877.547 ; 827 ; 1.208.882.563 ; 204.265 ; 4.067.873.331 ;
40;33.923.798;BANCO MASTER S/A; 965 ; 107.075.034 ; 2.818 ; 133.590.686 ; 110.692 ; 856.066.912 ; 374.851 ; 1.129.277.455 ; 489.326 ; 2.226.010.087 ; 775 ; 709.380.969 ; 496 ; 406.872.182 ; 1.271 ; 1.116.253.150 ; 490.597 ; 3.342.263.237 ;
41;45.246.410;BANCO GENIAL S.A.; 270 ; 22.433.263 ; 259 ; 39.544.753 ; 1.822 ; 352.982.726 ; 3.579 ; 1.494.562.482 ; 5.930 ; 1.909.523.223 ; 387 ; 1.231.633.509 ; 51 ; 72.861.624 ; 438 ; 1.304.495.132 ; 6.368 ; 3.214.018.355 ;
42;62.144.175;BANCO PINE S.A.; 262 ; 137.498.792 ; 2.285 ; 241.494.171 ; 26 ; 21.486.273 ; 383 ; 78.888.196 ; 2.956 ; 479.367.432 ; 177 ; 1.343.725.475 ; 695 ; 1.154.340.462 ; 872 ; 2.498.065.937 ; 3.828 ; 2.977.433.369 ;
43;00.997.185;BANCO B3 S.A.;;;;; 966 ; 1.068.272.415 ; 947 ; 1.244.202.814 ; 1.913 ; 2.312.475.229 ; 365 ; 364.935.509 ; 280 ; 188.966.366 ; 645 ; 553.901.874 ; 2.558 ; 2.866.377.103 ;
44;13.059.145;BEXS BANCO DE CÂMBIO S/A; 131 ; 400.396.254 ; 93 ; 5.312.262 ; 49.731 ; 298.451.476 ; 527.919 ; 864.215.884 ; 577.874 ; 1.568.375.876 ; 987 ; 673.947.952 ; 308 ; 513.139.756 ; 1.295 ; 1.187.087.708 ; 579.169 ; 2.755.463.583 ;
45;10.690.848;BANCO DA CHINA BRASIL S.A.; 152 ; 564.104.553 ; 196 ; 58.021.749 ; 151 ; 403.381.441 ; 485 ; 290.437.934 ; 984 ; 1.315.945.676 ; 304 ; 296.655.935 ; 357 ; 915.663.941 ; 661 ; 1.212.319.876 ; 1.645 ; 2.528.265.552 ;
46;33.042.953;CITIBANK N.A.;;;;; 9 ; 1.647 ; 55 ; 940.056 ; 64 ; 941.703 ; 3 ; 771.000.000 ; 7 ; 1.321.000.000 ; 10 ; 2.092.000.000 ; 74 ; 2.092.941.703 ;
47;07.656.500;BANCO KDB DO BRASIL S.A.; 1 ; 7.000.000 ; 2 ; 2.152.334 ; 751 ; 144.292.963 ; 2.600 ; 877.628.717 ; 3.354 ; 1.031.074.015 ; 509 ; 838.627.292 ; 98 ; 204.800.000 ; 607 ; 1.043.427.292 ; 3.961 ; 2.074.501.307 ;
48;00.360.305;CAIXA ECONOMICA FEDERAL; 953 ; 263.645.573 ; 634 ; 47.687.715 ; 68.558 ; 346.705.929 ; 4.109 ; 343.750.603 ; 74.254 ; 1.001.789.819 ; 1.432 ; 437.175.834 ; 1.607 ; 630.121.249 ; 3.039 ; 1.067.297.083 ; 77.293 ; 2.069.086.902 ;
49;15.114.366;BANCO BOCOM BBM S.A.; 110 ; 97.616.557 ; 579 ; 74.695.134 ; 198 ; 334.861.337 ; 1.326 ; 274.839.119 ; 2.213 ; 782.012.147 ; 57 ; 436.501.097 ; 89 ; 846.502.771 ; 146 ; 1.283.003.868 ; 2.359 ; 2.065.016.015 ;
50;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 198 ; 380.833.259 ;;; 239 ; 91.508.365 ; 25 ; 675.969 ; 462 ; 473.017.593 ; 25 ; 1.096.369.002 ; 29 ; 436.781.275 ; 54 ; 1.533.150.276 ; 516 ; 2.006.167.870 ;
51;30.723.886;BANCO MODAL S.A.; 61 ; 12.706.270 ; 183 ; 32.194.585 ; 920 ; 431.769.535 ; 897 ; 349.507.365 ; 2.061 ; 826.177.755 ; 52 ; 392.405.160 ; 55 ; 446.526.137 ; 107 ; 838.931.297 ; 2.168 ; 1.665.109.051 ;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.962 ; 55.536.214 ; 15.052 ; 330.821.074 ; 12.882 ; 167.631.720 ; 27.669 ; 300.332.992 ; 57.565 ; 854.322.000 ; 4.615 ; 576.831.028 ; 1.273 ; 168.632.315 ; 5.888 ; 745.463.343 ; 63.453 ; 1.599.785.342 ;
53;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 9 ; 19.177.221 ; 309 ; 152.794.706 ; 364 ; 184.701.128 ; 708 ; 364.455.378 ; 1.390 ; 721.128.432 ; 351 ; 531.538.879 ; 56 ; 218.146.393 ; 407 ; 749.685.271 ; 1.797 ; 1.470.813.703 ;
54;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.615 ; 37.343.421 ; 7.573 ; 241.456.203 ; 56.153 ; 231.417.739 ; 22.913 ; 314.381.091 ; 88.254 ; 824.598.455 ; 6.711 ; 459.697.802 ; 1.804 ; 172.559.982 ; 8.515 ; 632.257.784 ; 96.769 ; 1.456.856.239 ;
55;36.588.217;TRANSFERWISE BRASIL CORRETORA DE CÂMBIO LTDA.;;;;; 894 ; 683.293 ; 389.284 ; 387.137.659 ; 390.178 ; 387.820.952 ; 5.897 ; 693.635.448 ; 5.772 ; 307.179.943 ; 11.669 ; 1.000.815.391 ; 401.847 ; 1.388.636.343 ;
56;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 149 ; 28.893.440 ; 370 ; 17.619.591 ; 26.913 ; 615.005.063 ; 1.617 ; 46.163.139 ; 29.049 ; 707.681.233 ; 528 ; 36.411.859 ; 1.284 ; 616.527.273 ; 1.812 ; 652.939.133 ; 30.861 ; 1.360.620.366 ;
57;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 78 ; 21.641.063 ; 931 ; 36.952.093 ; 1.410 ; 154.198.563 ; 5.851 ; 440.003.404 ; 8.270 ; 652.795.122 ; 1.583 ; 481.134.001 ; 677 ; 179.997.540 ; 2.260 ; 661.131.541 ; 10.530 ; 1.313.926.664 ;
58;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 127 ; 434.376.840 ; 66 ; 211.532.052 ; 193 ; 645.908.893 ; 41 ; 205.096.316 ; 88 ; 425.048.309 ; 129 ; 630.144.624 ; 322 ; 1.276.053.517 ;
59;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 6.597 ; 348.114.974 ; 5.929 ; 322.747.178 ; 4.034 ; 194.270.876 ; 2.756 ; 94.916.132 ; 19.316 ; 960.049.160 ; 109 ; 95.638.743 ; 49 ; 219.996.071 ; 158 ; 315.634.814 ; 19.474 ; 1.275.683.975 ;
60;03.609.817;BANCO CARGILL S.A.; 151 ; 200.523.438 ; 1 ; 19.588 ; 58 ; 89.417.369 ; 268 ; 180.352.531 ; 478 ; 470.312.925 ; 11 ; 390.000.000 ; 13 ; 390.000.000 ; 24 ; 780.000.000 ; 502 ; 1.250.312.925 ;
61;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 5.707 ; 383.664.943 ; 4.286 ; 220.000.416 ; 3.137 ; 64.017.556 ; 3.363 ; 205.333.010 ; 16.493 ; 873.015.925 ; 104 ; 172.865.374 ; 119 ; 193.557.063 ; 223 ; 366.422.437 ; 16.716 ; 1.239.438.362 ;
62;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 15 ; 161.162.140 ; 115 ; 81.271.259 ; 53 ; 23.498.859 ; 234 ; 71.651.733 ; 417 ; 337.583.992 ; 23 ; 378.885.133 ; 22 ; 473.599.520 ; 45 ; 852.484.653 ; 462 ; 1.190.068.644 ;
63;60.889.128;BANCO SOFISA S.A.; 929 ; 224.683.634 ; 982 ; 88.215.967 ; 102 ; 221.356.758 ; 525 ; 24.229.371 ; 2.538 ; 558.485.730 ; 30 ; 27.927.531 ; 70 ; 347.958.436 ; 100 ; 375.885.967 ; 2.638 ; 934.371.697 ;
64;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 51 ; 49.933.101 ; 147 ; 14.619.370 ; 129 ; 263.972.831 ; 391 ; 54.061.287 ; 718 ; 382.586.589 ; 60 ; 120.751.965 ; 56 ; 366.049.796 ; 116 ; 486.801.762 ; 834 ; 869.388.351 ;
65;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 217 ; 273.192.844 ; 309 ; 42.226.383 ; 385 ; 52.492.502 ; 520 ; 92.591.519 ; 1.431 ; 460.503.247 ; 270 ; 91.967.821 ; 220 ; 314.283.576 ; 490 ; 406.251.397 ; 1.921 ; 866.754.645 ;
66;59.118.133;BANCO LUSO BRASILEIRO S.A.; 515 ; 59.969.161 ; 1.886 ; 251.690.845 ; 280 ; 67.831.694 ; 1.445 ; 48.299.432 ; 4.126 ; 427.791.132 ; 1.859 ; 304.656.878 ; 730 ; 132.187.068 ; 2.589 ; 436.843.945 ; 6.715 ; 864.635.078 ;
67;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 948 ; 18.087.324 ; 8.665 ; 225.200.474 ; 4.102 ; 83.343.417 ; 8.769 ; 118.410.344 ; 22.484 ; 445.041.559 ; 4.908 ; 302.591.685 ; 437 ; 60.569.850 ; 5.345 ; 363.161.535 ; 27.829 ; 808.203.094 ;
68;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 25 ; 705.203 ; 627 ; 309.360.919 ; 600 ; 88.707.147 ; 1.267 ; 63.339.027 ; 2.519 ; 462.112.296 ; 731 ; 299.417.602 ; 116 ; 16.173.000 ; 847 ; 315.590.602 ; 3.366 ; 777.702.898 ;
69;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 1.180 ; 28.289.322 ; 10.571 ; 247.686.469 ; 2.630 ; 43.072.816 ; 8.645 ; 98.335.402 ; 23.026 ; 417.384.008 ; 3.950 ; 297.538.880 ; 297 ; 22.842.383 ; 4.247 ; 320.381.263 ; 27.273 ; 737.765.272 ;
70;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 138 ; 68.325.894 ; 542 ; 65.255.183 ; 68 ; 43.856.754 ; 258 ; 76.888.646 ; 1.006 ; 254.326.477 ; 161 ; 279.979.745 ; 154 ; 198.741.827 ; 315 ; 478.721.572 ; 1.321 ; 733.048.049 ;
