Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Novembro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 1.123 ; 264.947.860 ; 6.236 ; 390.706.860 ; 9.365 ; 498.789.858 ; 29.213 ; 666.683.008 ; 45.937 ; 1.821.127.586 ; 169 ; 2.892.515.376 ; 198 ; 2.454.584.850 ; 367 ; 5.347.100.226 ; 46.304 ; 7.168.227.812 ;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 115 ; 285.599.083 ; 643 ; 67.083.060 ; 223 ; 1.517.121.929 ; 450 ; 1.005.520.981 ; 1.431 ; 2.875.325.053 ; 753 ; 1.229.782.304 ; 774 ; 2.152.420.580 ; 1.527 ; 3.382.202.884 ; 2.958 ; 6.257.527.937 ;
17;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO CÂMBIO - PRUDENCIAL; 172 ; 15.329.298 ; 1.619 ; 86.014.397 ; 921 ; 30.489.868 ; 8.114 ; 528.001.943 ; 10.826 ; 659.835.506 ; 566 ; 2.978.136.810 ; 558 ; 2.402.325.296 ; 1.124 ; 5.380.462.106 ; 11.950 ; 6.040.297.612 ;
18;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 333 ; 2.651.769.797 ; 356 ; 2.568.143.271 ; 689 ; 5.219.913.068 ; 11 ; 305.212.270 ; 14 ; 420.000.000 ; 25 ; 725.212.270 ; 714 ; 5.945.125.338 ;
19;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 415 ; 1.630.201.366 ; 413 ; 2.245.511.122 ; 828 ; 3.875.712.488 ; 66 ; 1.261.382.254 ; 40 ; 647.400.675 ; 106 ; 1.908.782.929 ; 934 ; 5.784.495.417 ;
20;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 102 ; 76.144.071 ; 208 ; 60.205.550 ; 76 ; 82.165.622 ; 156 ; 174.745.269 ; 542 ; 393.260.512 ; 189 ; 1.920.297.429 ; 185 ; 1.748.527.060 ; 374 ; 3.668.824.489 ; 916 ; 4.062.085.001 ;
21;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 149 ; 139.053.885 ; 781 ; 185.113.362 ; 2.403 ; 533.434.979 ; 3.644 ; 984.558.674 ; 6.977 ; 1.842.160.900 ; 93 ; 1.310.242.898 ; 127 ; 820.811.054 ; 220 ; 2.131.053.952 ; 7.197 ; 3.973.214.852 ;
22;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 6 ; 33.750.000 ; 2 ; 5.996.083 ; 193 ; 971.884.832 ; 138 ; 1.129.545.076 ; 339 ; 2.141.175.991 ; 15 ; 641.808.159 ; 18 ; 515.076.601 ; 33 ; 1.156.884.760 ; 372 ; 3.298.060.751 ;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 94 ; 136.856.323 ; 4 ; 2.073.075 ; 64 ; 429.005.069 ; 193 ; 365.254.170 ; 355 ; 933.188.637 ; 81 ; 1.048.342.631 ; 86 ; 1.172.699.461 ; 167 ; 2.221.042.092 ; 522 ; 3.154.230.729 ;
24;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A. - PRUDENCIAL; 168 ; 25.950.970 ; 681 ; 3.106.105 ; 34.305 ; 251.051.782 ; 68.393 ; 1.115.664.952 ; 103.547 ; 1.395.773.809 ; 848 ; 1.141.862.304 ; 2.898 ; 294.446.842 ; 3.746 ; 1.436.309.146 ; 107.293 ; 2.832.082.955 ;
