Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 19.754 ; 9.187.161.883 ; 83.248 ; 7.845.689.137 ; 76.486 ; 22.889.288.895 ; 118.750 ; 24.890.150.881 ; 298.238 ; 64.812.290.796 ; 2.656 ; 38.563.962.243 ; 2.359 ; 31.127.956.096 ; 5.015 ; 69.691.918.340 ; 303.253 ; 134.504.209.135 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 4.926 ; 6.391.437.668 ; 26.179 ; 6.635.896.511 ; 34.068 ; 38.023.639.064 ; 55.787 ; 39.819.316.759 ; 120.960 ; 90.870.290.001 ; 947 ; 11.617.369.673 ; 967 ; 8.959.490.092 ; 1.914 ; 20.576.859.765 ; 122.874 ; 111.447.149.766 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 28.138 ; 13.579.281.841 ; 65.784 ; 8.359.082.176 ; 123.732 ; 19.639.222.422 ; 93.113 ; 25.398.046.180 ; 310.767 ; 66.975.632.620 ; 3.238 ; 12.493.621.999 ; 3.216 ; 12.931.089.027 ; 6.454 ; 25.424.711.025 ; 317.221 ; 92.400.343.645 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 901 ; 2.390.963.373 ; 8.048 ; 1.943.064.455 ; 3.720 ; 21.878.903.339 ; 7.045 ; 18.514.347.335 ; 19.714 ; 44.727.278.502 ; 921 ; 10.472.020.145 ; 1.026 ; 12.825.678.653 ; 1.947 ; 23.297.698.798 ; 21.661 ; 68.024.977.300 ;;;;
5;60.701.190;ITAÚ UNIBANCO S.A.; 28.033 ; 5.363.010.321 ; 63.329 ; 5.048.486.798 ; 150.881 ; 14.355.843.399 ; 116.692 ; 13.151.380.954 ; 358.935 ; 37.918.721.472 ; 1.026 ; 9.238.936.388 ; 1.020 ; 8.189.971.370 ; 2.046 ; 17.428.907.758 ; 360.981 ; 55.347.629.230 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 29.197 ; 11.496.478.910 ; 32.801 ; 5.457.342.983 ; 79.668 ; 6.270.796.419 ; 134.626 ; 7.945.958.123 ; 276.292 ; 31.170.576.435 ; 1.491 ; 3.965.786.218 ; 1.577 ; 7.408.318.735 ; 3.068 ; 11.374.104.953 ; 279.360 ; 42.544.681.389 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 115 ; 240.724.111 ; 1.020 ; 127.163.100 ; 646 ; 4.147.402.077 ; 1.352 ; 3.842.586.531 ; 3.133 ; 8.357.875.820 ; 596 ; 15.762.058.483 ; 545 ; 15.733.029.570 ; 1.141 ; 31.495.088.052 ; 4.274 ; 39.852.963.872 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 125 ; 499.466.921 ; 103 ; 22.572.595 ; 1.381 ; 2.344.958.626 ; 1.776 ; 1.691.145.589 ; 3.385 ; 4.558.143.731 ; 552 ; 14.609.495.766 ; 589 ; 14.352.150.044 ; 1.141 ; 28.961.645.810 ; 4.526 ; 33.519.789.541 ;;;;
9;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 4 ; 520.909 ;;; 691 ; 1.604.270.086 ; 759 ; 2.064.005.717 ; 1.454 ; 3.668.796.711 ; 655 ; 11.646.144.716 ; 888 ; 11.092.956.051 ; 1.543 ; 22.739.100.767 ; 2.997 ; 26.407.897.478 ;;;;
