Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
15;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 197.000.000 ;;; 3.407 ; 4.708.436.603 ; 2.730 ; 5.963.676.601 ; 6.139 ; 10.869.113.203 ; 179 ; 4.268.357.763 ; 130 ; 2.604.360.621 ; 309 ; 6.872.718.384 ; 6.448 ; 17.741.831.588 
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 125 ; 362.275.549 ; 64 ; 47.559.395 ; 152 ; 524.539.922 ; 245 ; 66.755.015 ; 586 ; 1.001.129.881 ; 603 ; 7.815.845.588 ; 663 ; 8.605.214.628 ; 1.266 ; 16.421.060.217 ; 1.852 ; 17.422.190.098 
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 830 ; 1.975.053.545 ; 3.237 ; 1.028.454.273 ; 1.696 ; 2.673.412.686 ; 4.612 ; 3.388.859.135 ; 10.375 ; 9.065.779.638 ; 432 ; 3.963.956.897 ; 404 ; 3.644.969.919 ; 836 ; 7.608.926.817 ; 11.211 ; 16.674.706.455 
18;59.588.111;BANCO VOTORANTIM S.A.; 564 ; 1.303.341.949 ; 2.649 ; 549.495.808 ; 1.264 ; 1.293.609.116 ; 3.755 ; 2.091.318.498 ; 8.232 ; 5.237.765.372 ; 1.563 ; 3.719.939.405 ; 4.106 ; 3.683.843.278 ; 5.669 ; 7.403.782.684 ; 13.901 ; 12.641.548.055 
19;61.820.817;BANCO PAULISTA S.A.; 892 ; 645.637.222 ; 2.528 ; 199.180.735 ; 84.101 ; 966.482.938 ; 8.139 ; 987.121.972 ; 95.660 ; 2.798.422.867 ; 8.262 ; 3.264.075.374 ; 63.227 ; 3.662.780.755 ; 71.489 ; 6.926.856.128 ; 167.149 ; 9.725.278.995 
20;49.336.860;ING BANK N.V.; 135 ; 1.282.211.226 ; 98 ; 110.244.626 ; 111 ; 222.677.488 ; 270 ; 176.222.928 ; 614 ; 1.791.356.268 ; 109 ; 2.891.181.592 ; 144 ; 3.985.341.993 ; 253 ; 6.876.523.585 ; 867 ; 8.667.879.852 
21;58.160.789;BANCO SAFRA S.A.; 1.028 ; 671.978.953 ; 4.779 ; 590.464.126 ; 5.300 ; 1.333.227.116 ; 11.494 ; 1.765.923.241 ; 22.601 ; 4.361.593.436 ; 852 ; 1.622.579.531 ; 832 ; 1.281.210.181 ; 1.684 ; 2.903.789.712 ; 24.285 ; 7.265.383.149 
22;28.195.667;BANCO ABC BRASIL S.A.; 401 ; 197.141.869 ; 744 ; 111.986.638 ; 168 ; 900.291.023 ; 1.019 ; 641.749.707 ; 2.332 ; 1.851.169.237 ; 624 ; 1.748.821.059 ; 925 ; 1.892.756.282 ; 1.549 ; 3.641.577.341 ; 3.881 ; 5.492.746.578 
23;68.900.810;BANCO RENDIMENTO S.A.; 72 ; 21.382.732 ; 550 ; 86.380.928 ; 238.586 ; 747.865.696 ; 9.410 ; 844.956.984 ; 248.618 ; 1.700.586.339 ; 2.768 ; 1.828.177.092 ; 44.557 ; 1.675.410.810 ; 47.325 ; 3.503.587.902 ; 295.943 ; 5.204.174.241 
24;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 1.177 ; 52.439.693 ; 7.329 ; 322.605.668 ; 4.720 ; 570.684.876 ; 15.408 ; 661.754.159 ; 28.634 ; 1.607.484.396 ; 4.395 ; 1.918.819.770 ; 40.543 ; 1.561.951.408 ; 44.938 ; 3.480.771.178 ; 73.572 ; 5.088.255.574 
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 506 ; 1.225.528.358 ; 158 ; 136.437.168 ; 383 ; 614.599.196 ; 1.170 ; 894.060.997 ; 2.217 ; 2.870.625.719 ; 58 ; 542.168.125 ; 90 ; 1.617.191.936 ; 148 ; 2.159.360.061 ; 2.365 ; 5.029.985.780 
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 899 ; 367.728.027 ; 3.233 ; 707.898.229 ; 1.785 ; 705.765.061 ; 3.094 ; 647.270.186 ; 9.011 ; 2.428.661.502 ; 526 ; 1.169.006.809 ; 512 ; 887.780.358 ; 1.038 ; 2.056.787.167 ; 10.049 ; 4.485.448.669 
27;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 39 ; 74.864.515 ;;; 39 ; 74.864.515 ; 1 ; 2.000.000.000 ; 1 ; 2.000.000.000 ; 2 ; 4.000.000.000 ; 41 ; 4.074.864.515 
28;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 110 ; 644.041.734 ; 129 ; 1.388.614.610 ; 239 ; 2.032.656.344 ; 102 ; 1.371.318.265 ; 59 ; 625.739.890 ; 161 ; 1.997.058.155 ; 400 ; 4.029.714.499 
29;62.232.889;BANCO DAYCOVAL S.A.; 2.279 ; 327.513.059 ; 2.865 ; 191.777.186 ; 3.168 ; 86.347.467 ; 12.342 ; 390.354.560 ; 20.654 ; 995.992.271 ; 2.470 ; 1.440.128.081 ; 10.240 ; 1.333.856.494 ; 12.710 ; 2.773.984.575 ; 33.364 ; 3.769.976.846 
30;78.632.767;BANCO OURINVEST S.A.; 572 ; 74.371.735 ; 3.209 ; 196.466.759 ; 2.236 ; 269.594.374 ; 6.220 ; 510.776.053 ; 12.237 ; 1.051.208.921 ; 2.353 ; 1.515.464.490 ; 45.926 ; 1.152.322.257 ; 48.279 ; 2.667.786.747 ; 60.516 ; 3.718.995.668 
31;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 168 ; 265.730.315 ; 164 ; 23.395.044 ; 67 ; 1.147.629.172 ; 339 ; 431.715.118 ; 738 ; 1.868.469.649 ; 30 ; 467.519.658 ; 69 ; 1.351.515.775 ; 99 ; 1.819.035.433 ; 837 ; 3.687.505.082 
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 135 ; 731.234.803 ; 233 ; 9.938.604 ; 717 ; 137.971.860 ; 1.994 ; 586.942.053 ; 3.079 ; 1.466.087.320 ; 871 ; 599.990.880 ; 492 ; 874.554.215 ; 1.363 ; 1.474.545.095 ; 4.442 ; 2.940.632.414 
33;00.360.305;CAIXA ECONOMICA FEDERAL; 1.077 ; 376.498.814 ; 779 ; 24.805.722 ; 36.879 ; 352.064.042 ; 9.203 ; 538.943.581 ; 47.938 ; 1.292.312.159 ; 532 ; 695.686.417 ; 569 ; 821.526.163 ; 1.101 ; 1.517.212.580 ; 49.039 ; 2.809.524.739 
34;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 265 ; 546.946.739 ;;; 437 ; 230.222.346 ; 188 ; 416.789.048 ; 890 ; 1.193.958.132 ; 53 ; 998.454.381 ; 23 ; 441.939.565 ; 76 ; 1.440.393.945 ; 966 ; 2.634.352.078 
35;71.027.866;BANCO BONSUCESSO S.A.; 253 ; 42.126.242 ; 987 ; 46.963.771 ; 2.206 ; 292.039.551 ; 4.580 ; 486.791.583 ; 8.026 ; 867.921.148 ; 3.260 ; 927.991.855 ; 12.380 ; 721.728.970 ; 15.640 ; 1.649.720.825 ; 23.666 ; 2.517.641.972 
36;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 855 ; 505.381.742 ; 1.247 ; 450.017.356 ; 2.102 ; 955.399.098 ; 91 ; 715.477.982 ; 317 ; 721.040.000 ; 408 ; 1.436.517.982 ; 2.510 ; 2.391.917.080 
37;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 3 ; 1.348.307 ;;; 47 ; 733.519.097 ; 80 ; 508.083.091 ; 130 ; 1.242.950.495 ; 26 ; 463.680.066 ; 27 ; 650.662.821 ; 53 ; 1.114.342.887 ; 183 ; 2.357.293.382 
38;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 259 ; 16.370.310 ; 2.410 ; 95.861.979 ; 724 ; 121.338.125 ; 173.468 ; 475.066.323 ; 176.861 ; 708.636.737 ; 1.053 ; 1.016.822.801 ; 1.556 ; 578.651.194 ; 2.609 ; 1.595.473.995 ; 179.470 ; 2.304.110.731 
39;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 311 ; 290.117.578 ; 999 ; 174.043.010 ; 440 ; 267.369.502 ; 542 ; 267.562.436 ; 2.292 ; 999.092.525 ; 433 ; 566.367.306 ; 442 ; 686.488.024 ; 875 ; 1.252.855.330 ; 3.167 ; 2.251.947.855 
40;03.532.415;BANCO ABN AMRO S.A.; 58 ; 222.000.995 ;;; 166 ; 832.722.634 ; 232 ; 835.821.156 ; 456 ; 1.890.544.785 ; 14 ; 29.737.704 ; 64 ; 253.222.958 ; 78 ; 282.960.662 ; 534 ; 2.173.505.447 
41;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 332 ; 205.358.384 ; 808 ; 84.518.651 ; 67 ; 240.103.559 ; 1.149 ; 389.507.599 ; 2.356 ; 919.488.194 ; 168 ; 499.095.140 ; 128 ; 545.248.259 ; 296 ; 1.044.343.399 ; 2.652 ; 1.963.831.593 
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 96 ; 89.499.983 ; 81 ; 47.021.096 ; 86 ; 554.216.773 ; 194 ; 189.157.242 ; 457 ; 879.895.094 ; 112 ; 204.930.458 ; 150 ; 612.482.283 ; 262 ; 817.412.741 ; 719 ; 1.697.307.835 
43;03.609.817;BANCO CARGILL S.A.; 67 ; 151.168.042 ; 20 ; 19.227.073 ; 13 ; 9.981.945 ; 131 ; 68.159.303 ; 231 ; 248.536.363 ; 12 ; 429.000.000 ; 23 ; 755.500.000 ; 35 ; 1.184.500.000 ; 266 ; 1.433.036.363 
44;15.114.366;BANCO BBM S/A; 138 ; 101.713.582 ; 35 ; 3.390.437 ; 99 ; 279.052.290 ; 456 ; 255.991.657 ; 728 ; 640.147.967 ; 52 ; 337.268.634 ; 54 ; 366.585.459 ; 106 ; 703.854.093 ; 834 ; 1.344.002.060 
45;58.616.418;BANCO FIBRA S.A.; 335 ; 194.138.264 ; 2.286 ; 296.566.136 ; 310 ; 121.051.872 ; 1.453 ; 90.573.405 ; 4.384 ; 702.329.677 ; 143 ; 288.491.571 ; 76 ; 209.958.820 ; 219 ; 498.450.391 ; 4.603 ; 1.200.780.068 
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 3.999 ; 329.919.843 ; 5.510 ; 257.778.128 ; 1.950 ; 73.476.418 ; 6.391 ; 140.901.244 ; 17.850 ; 802.075.633 ; 194 ; 197.737.157 ; 190 ; 197.350.571 ; 384 ; 395.087.728 ; 18.234 ; 1.197.163.361 
47;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 716 ; 15.601.312 ; 3.330 ; 82.390.198 ; 7.176 ; 81.809.538 ; 13.632 ; 266.592.000 ; 24.854 ; 446.393.048 ; 13.603 ; 494.999.637 ; 928 ; 243.258.647 ; 14.531 ; 738.258.283 ; 39.385 ; 1.184.651.332 
48;30.723.886;BANCO MODAL S.A.; 32 ; 50.128.002 ; 319 ; 31.105.399 ; 408 ; 413.427.451 ; 499 ; 124.901.919 ; 1.258 ; 619.562.771 ; 41 ; 96.285.906 ; 56 ; 405.319.774 ; 97 ; 501.605.679 ; 1.355 ; 1.121.168.450 
49;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 21 ; 5.413.713 ; 78 ; 6.019.055 ; 99 ; 11.432.769 ; 25 ; 502.815.143 ; 25 ; 502.818.090 ; 50 ; 1.005.633.233 ; 149 ; 1.017.066.002 
50;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 52 ; 594.974 ; 259 ; 5.559.531 ; 3.470 ; 178.630.012 ; 14.876 ; 417.779.819 ; 18.657 ; 602.564.336 ; 4.525 ; 277.201.731 ; 1.656 ; 24.092.520 ; 6.181 ; 301.294.251 ; 24.838 ; 903.858.587 
51;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 12 ; 857.127 ; 256 ; 73.656.560 ; 372 ; 358.442.210 ; 670 ; 331.898.234 ; 1.310 ; 764.854.132 ; 157 ; 90.099.559 ; 35 ; 43.756.000 ; 192 ; 133.855.559 ; 1.502 ; 898.709.691 
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.063 ; 24.437.677 ; 8.233 ; 158.309.511 ; 7.903 ; 69.799.680 ; 20.778 ; 186.362.440 ; 37.977 ; 438.909.308 ; 3.667 ; 304.342.647 ; 634 ; 54.415.720 ; 4.301 ; 358.758.367 ; 42.278 ; 797.667.675 
53;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 36 ; 15.725.768 ; 491 ; 20.214.809 ; 513 ; 194.462.575 ; 746 ; 148.115.962 ; 1.786 ; 378.519.115 ; 580 ; 153.040.244 ; 280 ; 194.881.694 ; 860 ; 347.921.938 ; 2.646 ; 726.441.052 
54;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 411 ; 638.643 ; 1.048 ; 6.564.695 ; 1.459 ; 7.203.337 ; 3.035 ; 340.172.858 ; 1.695 ; 334.245.294 ; 4.730 ; 674.418.153 ; 6.189 ; 681.621.490 
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 186 ; 4.444.393 ; 1.087 ; 13.976.868 ; 6.856 ; 43.981.336 ; 28.296 ; 319.436.059 ; 36.425 ; 381.838.656 ; 6.404 ; 285.078.794 ; 22 ; 407.478 ; 6.426 ; 285.486.272 ; 42.851 ; 667.324.928 
