Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 27.833 ; 13.503.937.802 ; 77.075 ; 12.199.998.483 ; 98.411 ; 27.586.619.790 ; 137.506 ; 36.459.167.065 ; 340.825 ; 89.749.723.140 ; 4.670 ; 62.296.099.598 ; 4.580 ; 59.153.369.984 ; 9.250 ; 121.449.469.582 ; 350.075 ; 211.199.192.722 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 35.826 ; 9.850.050.355 ; 82.189 ; 8.593.518.330 ; 151.799 ; 25.137.326.288 ; 138.613 ; 21.412.945.938 ; 408.427 ; 64.993.840.911 ; 1.931 ; 33.771.901.406 ; 2.057 ; 32.843.008.025 ; 3.988 ; 66.614.909.431 ; 412.415 ; 131.608.750.342 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 6.035 ; 8.339.792.169 ; 34.515 ; 8.431.268.878 ; 33.386 ; 36.020.294.689 ; 39.631 ; 43.877.091.308 ; 113.567 ; 96.668.447.043 ; 1.023 ; 19.517.833.236 ; 863 ; 10.221.446.680 ; 1.886 ; 29.739.279.917 ; 115.453 ; 126.407.726.960 ;;;;
4;60.746.948;BANCO BRADESCO S.A.; 28.947 ; 16.637.993.277 ; 73.168 ; 10.827.933.846 ; 189.541 ; 25.180.188.001 ; 96.693 ; 24.136.528.218 ; 388.349 ; 76.782.643.343 ; 2.422 ; 17.116.284.578 ; 2.499 ; 18.213.002.658 ; 4.921 ; 35.329.287.236 ; 393.270 ; 112.111.930.579 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 1.309 ; 3.880.420.111 ; 10.829 ; 3.252.466.604 ; 6.438 ; 28.808.436.955 ; 9.526 ; 30.718.698.195 ; 28.102 ; 66.660.021.865 ; 1.171 ; 14.485.383.769 ; 1.077 ; 14.822.263.213 ; 2.248 ; 29.307.646.982 ; 30.350 ; 95.967.668.847 ;;;;
6;03.532.415;BANCO ABN AMRO S.A.; 50 ; 304.434.183 ; 27 ; 72.382.871 ; 864 ; 10.259.683.253 ; 829 ; 10.023.327.605 ; 1.770 ; 20.659.827.911 ; 271 ; 19.976.192.469 ; 293 ; 20.470.302.695 ; 564 ; 40.446.495.165 ; 2.334 ; 61.106.323.076 ;;;;
7;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 29 ; 95.218.239 ;;; 29 ; 95.218.239 ; 23 ; 20.100.546.833 ; 187 ; 37.784.363.000 ; 210 ; 57.884.909.833 ; 239 ; 57.980.128.073 ;;;;
8;00.000.000;BANCO DO BRASIL S.A.; 33.526 ; 14.458.090.755 ; 43.609 ; 7.280.097.462 ; 76.595 ; 6.803.828.545 ; 62.630 ; 12.087.969.885 ; 216.360 ; 40.629.986.646 ; 1.113 ; 5.475.313.390 ; 1.115 ; 7.159.695.048 ; 2.228 ; 12.635.008.438 ; 218.588 ; 53.264.995.084 ;;;;
9;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 284 ; 688.227.483 ; 1.197 ; 636.628.531 ; 993 ; 9.200.235.579 ; 2.343 ; 10.805.532.040 ; 4.817 ; 21.330.623.633 ; 713 ; 14.515.215.685 ; 665 ; 13.249.528.318 ; 1.378 ; 27.764.744.003 ; 6.195 ; 49.095.367.636 ;;;;
10;30.306.294;BANCO BTG PACTUAL S.A.; 475 ; 1.196.014.486 ; 1.317 ; 241.783.482 ; 2.588 ; 2.644.565.830 ; 5.207 ; 2.318.141.879 ; 9.587 ; 6.400.505.677 ; 449 ; 18.813.519.890 ; 633 ; 18.555.013.824 ; 1.082 ; 37.368.533.714 ; 10.669 ; 43.769.039.391 ;;;;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 594 ; 1.719.602.394 ; 2.346 ; 1.090.866.448 ; 1.880 ; 7.802.838.381 ; 3.766 ; 14.396.180.054 ; 8.586 ; 25.009.487.276 ; 907 ; 10.159.973.059 ; 637 ; 4.066.394.265 ; 1.544 ; 14.226.367.324 ; 10.130 ; 39.235.854.600 ;;;;
12;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 939 ; 1.940.979.119 ; 4.905 ; 1.523.151.016 ; 3.415 ; 4.466.270.446 ; 7.207 ; 5.308.041.173 ; 16.466 ; 13.238.441.753 ; 2.862 ; 7.463.723.675 ; 2.835 ; 7.205.599.170 ; 5.697 ; 14.669.322.845 ; 22.163 ; 27.907.764.598 ;;;;
13;49.336.860;ING BANK N.V.; 215 ; 1.983.798.486 ;;; 123 ; 454.413.404 ; 206 ; 85.532.224 ; 544 ; 2.523.744.114 ; 329 ; 11.332.445.774 ; 391 ; 12.778.226.809 ; 720 ; 24.110.672.583 ; 1.264 ; 26.634.416.697 ;;;;
14;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 2.797 ; 5.999.341.397 ; 3.450 ; 9.066.641.441 ; 6.247 ; 15.065.982.838 ; 241 ; 7.340.350.425 ; 157 ; 4.188.506.758 ; 398 ; 11.528.857.183 ; 6.645 ; 26.594.840.021 ;;;;
15;60.498.557;BANCO MUFG BRASIL S.A.; 554 ; 199.675.038 ; 1.640 ; 269.297.126 ; 1.629 ; 1.293.595.115 ; 1.760 ; 1.010.119.369 ; 5.583 ; 2.772.686.647 ; 2.500 ; 9.643.522.210 ; 2.663 ; 9.304.796.322 ; 5.163 ; 18.948.318.532 ; 10.746 ; 21.721.005.180 ;;;;
16;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.395 ; 5.035.544.377 ; 1.493 ; 6.725.357.869 ; 2.888 ; 11.760.902.247 ; 194 ; 5.731.248.154 ; 140 ; 3.219.043.772 ; 334 ; 8.950.291.926 ; 3.222 ; 20.711.194.173 ;;;;
17;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 55 ; 467.718.586 ; 14 ; 50.585.119 ; 155 ; 876.135.246 ; 246 ; 337.294.918 ; 470 ; 1.731.733.869 ; 517 ; 5.986.830.019 ; 550 ; 6.922.312.031 ; 1.067 ; 12.909.142.050 ; 1.537 ; 14.640.875.919 ;;;;
18;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 15 ; 1.693.784 ;;; 1.061 ; 2.877.611.488 ; 1.867 ; 4.046.127.733 ; 2.943 ; 6.925.433.005 ; 98 ; 4.088.109.491 ; 116 ; 3.002.451.516 ; 214 ; 7.090.561.007 ; 3.157 ; 14.015.994.013 ;;;;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 453 ; 1.343.007.730 ; 1.717 ; 905.901.970 ; 1.450 ; 2.514.474.916 ; 2.552 ; 3.735.726.780 ; 6.172 ; 8.499.111.397 ; 563 ; 3.191.684.134 ; 654 ; 2.233.509.924 ; 1.217 ; 5.425.194.057 ; 7.389 ; 13.924.305.454 ;;;;
