Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;33.264.668;BANCO XP S.A.; 454 ; 232.181.472 ; 3.743 ; 864.446.256 ; 2.930 ; 234.026.453 ; 12.408 ; 603.994.817 ; 19.535 ; 1.934.648.998 ; 118 ; 962.327.518 ; 91 ; 122.687.923 ; 209 ; 1.085.015.441 ; 19.744 ; 3.019.664.439 ;
17;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 5 ; 82.246.265 ; 1 ; 4.403 ; 21 ; 620.611.020 ; 147 ; 459.195.848 ; 174 ; 1.162.057.536 ; 52 ; 955.250.000 ; 49 ; 896.000.000 ; 101 ; 1.851.250.000 ; 275 ; 3.013.307.536 ;
18;31.872.495;BANCO C6 S.A.; 106 ; 267.694.519 ; 804 ; 219.538.194 ; 8.579 ; 377.032.266 ; 67.180 ; 484.415.814 ; 76.669 ; 1.348.680.793 ; 110 ; 751.770.606 ; 193 ; 687.929.338 ; 303 ; 1.439.699.944 ; 76.972 ; 2.788.380.737 ;
19;07.679.404;BANCO TOPÁZIO S.A.; 312 ; 66.763.913 ; 310 ; 6.540.885 ; 22.588 ; 91.226.295 ; 63.545 ; 1.033.290.922 ; 86.755 ; 1.197.822.016 ; 1.025 ; 1.164.104.008 ; 2.795 ; 282.687.226 ; 3.820 ; 1.446.791.234 ; 90.575 ; 2.644.613.250 ;
20;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 183 ; 1.217.395.360 ; 144 ; 441.715.434 ; 327 ; 1.659.110.794 ; 31 ; 103.520.539 ; 70 ; 879.549.640 ; 101 ; 983.070.179 ; 428 ; 2.642.180.973 ;
21;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 56 ; 91.225.154 ; 126 ; 61.945.851 ; 75 ; 138.907.308 ; 146 ; 169.592.056 ; 403 ; 461.670.368 ; 77 ; 896.565.137 ; 86 ; 969.578.878 ; 163 ; 1.866.144.015 ; 566 ; 2.327.814.383 ;
22;59.588.111;BANCO VOTORANTIM S.A.; 272 ; 243.724.908 ; 1.022 ; 176.911.983 ; 252 ; 240.351.151 ; 623 ; 240.780.533 ; 2.169 ; 901.768.574 ; 335 ; 713.106.115 ; 553 ; 691.733.021 ; 888 ; 1.404.839.136 ; 3.057 ; 2.306.607.711 ;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 78 ; 217.931.716 ; 10 ; 3.141.597 ; 102 ; 310.385.107 ; 261 ; 478.334.827 ; 451 ; 1.009.793.247 ; 80 ; 719.194.588 ; 79 ; 548.473.902 ; 159 ; 1.267.668.491 ; 610 ; 2.277.461.738 ;
24;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.064 ; 105.620.306 ; 2.048 ; 90.295.216 ; 5.552 ; 491.979.084 ; 6.286 ; 582.381.166 ; 14.950 ; 1.270.275.772 ; 1.713 ; 462.284.025 ; 5.002 ; 427.606.212 ; 6.715 ; 889.890.237 ; 21.665 ; 2.160.166.009 ;
25;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 9 ; 176.100.000 ;;; 35 ; 100.183.594 ; 37 ; 41.785.568 ; 81 ; 318.069.162 ; 77 ; 784.301.693 ; 92 ; 1.015.774.626 ; 169 ; 1.800.076.319 ; 250 ; 2.118.145.481 ;
