Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;60.498.557;BANCO MUFG BRASIL S.A.; 329 ; 120.150.811 ; 1.075 ; 170.370.662 ; 1.040 ; 908.205.749 ; 1.094 ; 615.792.758 ; 3.538 ; 1.814.519.980 ; 1.686 ; 6.749.094.236 ; 1.803 ; 6.679.854.260 ; 3.489 ; 13.428.948.496 ; 7.027 ; 15.243.468.476 ;;;;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 289 ; 896.209.528 ; 1.159 ; 651.606.591 ; 946 ; 2.107.132.242 ; 1.646 ; 3.152.479.966 ; 4.040 ; 6.807.428.327 ; 371 ; 2.473.814.969 ; 413 ; 1.484.794.874 ; 784 ; 3.958.609.843 ; 4.824 ; 10.766.038.170 ;;;;
18;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 33 ; 161.839.102 ; 14 ; 50.585.119 ; 100 ; 354.382.534 ; 160 ; 176.972.139 ; 307 ; 743.778.894 ; 311 ; 4.243.136.571 ; 329 ; 4.510.147.801 ; 640 ; 8.753.284.372 ; 947 ; 9.497.063.266 ;;;;
19;59.588.111;BANCO VOTORANTIM S.A.; 365 ; 864.840.599 ; 1.522 ; 363.424.549 ; 958 ; 1.394.552.230 ; 2.003 ; 2.091.727.640 ; 4.848 ; 4.714.545.018 ; 746 ; 2.478.754.782 ; 1.153 ; 2.242.092.190 ; 1.899 ; 4.720.846.972 ; 6.747 ; 9.435.391.990 ;;;;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 15 ; 1.693.784 ;;; 660 ; 1.328.195.192 ; 996 ; 1.600.419.080 ; 1.671 ; 2.930.308.057 ; 75 ; 3.271.115.734 ; 96 ; 2.191.226.802 ; 171 ; 5.462.342.537 ; 1.842 ; 8.392.650.593 ;;;;
21;28.195.667;BANCO ABC BRASIL S.A.; 284 ; 398.562.677 ; 1.214 ; 254.734.486 ; 414 ; 624.656.474 ; 928 ; 326.309.861 ; 2.840 ; 1.604.263.499 ; 586 ; 2.457.811.259 ; 991 ; 3.131.244.742 ; 1.577 ; 5.589.056.001 ; 4.417 ; 7.193.319.499 ;;;;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 400 ; 1.272.648.922 ; 113 ; 113.539.360 ; 262 ; 622.893.251 ; 646 ; 476.867.237 ; 1.421 ; 2.485.948.770 ; 85 ; 1.275.674.612 ; 116 ; 2.785.880.114 ; 201 ; 4.061.554.726 ; 1.622 ; 6.547.503.496 ;;;;
23;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 54 ; 449.215.081 ; 122 ; 63.388.075 ; 90 ; 443.249.529 ; 186 ; 808.842.062 ; 452 ; 1.764.694.747 ; 273 ; 1.246.713.936 ; 308 ; 1.252.318.205 ; 581 ; 2.499.032.140 ; 1.033 ; 4.263.726.887 ;;;;
24;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 45 ; 130.302.547 ; 32 ; 127.284.127 ; 62 ; 1.181.458.807 ; 308 ; 300.659.140 ; 447 ; 1.739.704.621 ; 22 ; 210.400.816 ; 69 ; 1.109.728.253 ; 91 ; 1.320.129.069 ; 538 ; 3.059.833.690 ;;;;
25;58.160.789;BANCO SAFRA S.A.; 473 ; 202.433.673 ; 2.059 ; 332.943.247 ; 2.730 ; 845.526.989 ; 5.043 ; 392.978.691 ; 10.305 ; 1.773.882.600 ; 424 ; 425.301.954 ; 420 ; 734.785.075 ; 844 ; 1.160.087.029 ; 11.149 ; 2.933.969.629 ;;;;
26;58.616.418;BANCO FIBRA S.A.; 238 ; 151.767.663 ; 2.002 ; 364.892.292 ; 216 ; 673.079.806 ; 607 ; 596.749.225 ; 3.063 ; 1.786.488.986 ; 156 ; 602.747.475 ; 118 ; 475.285.897 ; 274 ; 1.078.033.372 ; 3.337 ; 2.864.522.358 ;;;;
27;78.632.767;BANCO OURINVEST S.A.; 762 ; 75.382.623 ; 4.327 ; 344.400.835 ; 4.628 ; 228.083.892 ; 5.151 ; 239.563.890 ; 14.868 ; 887.431.240 ; 2.967 ; 1.113.528.450 ; 20.675 ; 834.776.352 ; 23.642 ; 1.948.304.801 ; 38.510 ; 2.835.736.041 ;;;;
28;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.239 ; 150.437.204 ; 3.887 ; 148.085.617 ; 4.493 ; 266.124.366 ; 10.035 ; 578.476.364 ; 19.654 ; 1.143.123.550 ; 3.497 ; 946.675.122 ; 17.844 ; 613.317.679 ; 21.341 ; 1.559.992.801 ; 40.995 ; 2.703.116.351 ;;;;
29;62.232.889;BANCO DAYCOVAL S.A.; 1.648 ; 229.014.800 ; 1.830 ; 125.511.208 ; 7.868 ; 587.105.982 ; 6.577 ; 186.583.321 ; 17.923 ; 1.128.215.311 ; 1.002 ; 405.821.960 ; 2.823 ; 1.114.794.727 ; 3.825 ; 1.520.616.687 ; 21.748 ; 2.648.831.998 ;;;;
30;68.900.810;BANCO RENDIMENTO S.A.; 112 ; 7.945.825 ; 425 ; 69.701.908 ; 288.430 ; 764.538.873 ; 26.220 ; 364.287.130 ; 315.187 ; 1.206.473.736 ; 3.009 ; 488.575.381 ; 21.459 ; 830.346.579 ; 24.468 ; 1.318.921.960 ; 339.655 ; 2.525.395.695 ;;;;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 404 ; 159.429.118 ; 1.734 ; 297.636.709 ; 1.177 ; 623.644.833 ; 1.573 ; 197.388.368 ; 4.888 ; 1.278.099.028 ; 216 ; 526.326.879 ; 220 ; 714.565.623 ; 436 ; 1.240.892.502 ; 5.324 ; 2.518.991.530 ;;;;
32;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 195 ; 12.535.712 ; 1.513 ; 66.619.543 ; 753 ; 422.568.470 ; 337.786 ; 395.311.385 ; 340.247 ; 897.035.110 ; 732 ; 630.676.129 ; 893 ; 598.970.800 ; 1.625 ; 1.229.646.929 ; 341.872 ; 2.126.682.039 ;;;;
33;13.059.145;BEXS BANCO DE CÂMBIO S/A; 38 ; 175.869.085 ; 35 ; 1.589.537 ; 90.752 ; 216.075.300 ; 24.481 ; 636.095.662 ; 115.306 ; 1.029.629.584 ; 267 ; 499.991.319 ; 152 ; 256.258.256 ; 419 ; 756.249.576 ; 115.725 ; 1.785.879.159 ;;;;
34;62.144.175;BANCO PINE S.A.; 41 ; 37.871.845 ; 551 ; 56.759.499 ; 26 ; 15.377.470 ; 99 ; 25.773.262 ; 717 ; 135.782.077 ; 195 ; 829.265.397 ; 432 ; 792.615.914 ; 627 ; 1.621.881.311 ; 1.344 ; 1.757.663.388 ;;;;
35;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 466 ; 278.928.037 ; 1.200 ; 575.350.214 ; 1.666 ; 854.278.251 ; 125 ; 558.120.988 ; 100 ; 211.900.000 ; 225 ; 770.020.988 ; 1.891 ; 1.624.299.239 ;;;;
36;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 95 ; 181.431.309 ;;; 103 ; 45.421.933 ; 1 ; 61.095 ; 199 ; 226.914.336 ; 4 ; 47.524.439 ; 52 ; 1.284.530.294 ; 56 ; 1.332.054.733 ; 255 ; 1.558.969.069 ;;;;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 188 ; 159.950.226 ; 516 ; 105.628.287 ; 265 ; 158.071.804 ; 451 ; 166.612.360 ; 1.420 ; 590.262.677 ; 244 ; 288.164.725 ; 265 ; 382.001.438 ; 509 ; 670.166.163 ; 1.929 ; 1.260.428.840 ;;;;
38;00.360.305;CAIXA ECONOMICA FEDERAL; 338 ; 67.055.018 ; 157 ; 23.192.291 ; 26.157 ; 204.679.544 ; 3.257 ; 207.242.568 ; 29.909 ; 502.169.420 ; 746 ; 368.518.349 ; 754 ; 387.932.888 ; 1.500 ; 756.451.236 ; 31.409 ; 1.258.620.657 ;;;;
39;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 201 ; 222.636.379 ; 688 ; 66.575.400 ; 50 ; 106.850.411 ; 541 ; 92.390.947 ; 1.480 ; 488.453.138 ; 92 ; 247.640.985 ; 104 ; 445.225.893 ; 196 ; 692.866.878 ; 1.676 ; 1.181.320.016 ;;;;
