Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Agosto/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 5.958 ; 2.332.131.141 ; 21.579 ; 2.461.030.892 ; 25.457 ; 4.487.561.315 ; 52.806 ; 4.946.889.451 ; 105.800 ; 14.227.612.799 ; 829 ; 13.387.119.447 ; 932 ; 11.974.999.777 ; 1.761 ; 25.362.119.224 ; 107.561 ; 39.589.732.023 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 9.773 ; 3.737.492.886 ; 34.806 ; 3.670.287.920 ; 43.821 ; 3.654.908.820 ; 61.462 ; 4.901.714.151 ; 149.862 ; 15.964.403.777 ; 549 ; 8.423.854.817 ; 537 ; 6.858.260.549 ; 1.086 ; 15.282.115.366 ; 150.948 ; 31.246.519.143 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 449 ; 697.551.025 ; 3.274 ; 868.222.789 ; 1.673 ; 3.869.171.855 ; 2.915 ; 4.692.859.491 ; 8.311 ; 10.127.805.160 ; 509 ; 7.275.667.713 ; 802 ; 9.396.681.727 ; 1.311 ; 16.672.349.440 ; 9.622 ; 26.800.154.600 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.515 ; 2.178.156.450 ; 5.880 ; 2.339.115.046 ; 6.752 ; 6.134.897.530 ; 10.932 ; 5.649.852.654 ; 25.079 ; 16.302.021.680 ; 211 ; 2.269.275.181 ; 227 ; 2.920.644.790 ; 438 ; 5.189.919.971 ; 25.517 ; 21.491.941.651 ;
5;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 182 ; 222.496.201 ; 1.402 ; 371.109.341 ; 1.813 ; 2.264.286.351 ; 3.334 ; 1.318.042.714 ; 6.731 ; 4.175.934.607 ; 338 ; 6.043.427.886 ; 365 ; 7.181.795.388 ; 703 ; 13.225.223.274 ; 7.434 ; 17.401.157.881 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.222 ; 3.086.513.241 ; 13.706 ; 1.901.518.425 ; 21.628 ; 967.339.281 ; 33.968 ; 1.853.948.796 ; 73.524 ; 7.809.319.743 ; 842 ; 3.863.475.253 ; 862 ; 4.700.488.576 ; 1.704 ; 8.563.963.829 ; 75.228 ; 16.373.283.572 ;
7;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 455 ; 672.697.344 ; 2.394 ; 498.071.491 ; 5.549 ; 1.072.108.681 ; 19.501 ; 1.683.352.295 ; 27.899 ; 3.926.229.811 ; 422 ; 6.774.422.644 ; 562 ; 4.367.249.236 ; 984 ; 11.141.671.880 ; 28.883 ; 15.067.901.691 ;
8;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 8.276 ; 4.591.322.629 ; 22.645 ; 2.789.140.438 ; 38.432 ; 1.046.335.570 ; 42.616 ; 2.036.539.345 ; 111.969 ; 10.463.337.982 ; 194 ; 1.364.705.727 ; 198 ; 2.988.304.547 ; 392 ; 4.353.010.274 ; 112.361 ; 14.816.348.256 ;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;GOLDMAN SACHS - PRUDENCIAL; -   ; -   ; -   ; -   ; 556 ; 3.192.768.208 ; 544 ; 2.549.846.035 ; 1.100 ; 5.742.614.243 ; 56 ; 2.232.237.347 ; 80 ; 2.958.138.507 ; 136 ; 5.190.375.854 ; 1.236 ; 10.932.990.097 ;
