Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 29.488 ; 10.372.478.555 ; 82.920 ; 12.059.434.771 ; 108.789 ; 30.170.118.641 ; 184.746 ; 35.366.351.051 ; 405.943 ; 87.968.383.017 ; 3.902 ; 37.981.071.133 ; 3.806 ; 31.820.880.304 ; 7.708 ; 69.801.951.437 ; 413.651 ; 157.770.334.455 ;
2;33.479.023;BANCO CITIBANK S.A.; 7.117 ; 10.594.849.912 ; 40.353 ; 10.488.636.752 ; 42.754 ; 48.567.354.134 ; 50.658 ; 42.589.482.912 ; 140.882 ; 112.240.323.710 ; 1.573 ; 12.010.679.931 ; 1.837 ; 18.093.679.327 ; 3.410 ; 30.104.359.258 ; 144.292 ; 142.344.682.968 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 42.599 ; 19.471.039.010 ; 132.388 ; 20.253.032.579 ; 162.820 ; 20.734.326.015 ; 191.837 ; 23.699.582.765 ; 529.644 ; 84.157.980.369 ; 2.333 ; 29.487.930.685 ; 2.174 ; 22.690.288.581 ; 4.507 ; 52.178.219.266 ; 534.151 ; 136.336.199.635 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 1.581 ; 3.099.148.100 ; 12.364 ; 4.592.840.882 ; 6.871 ; 24.261.367.895 ; 11.081 ; 25.830.628.556 ; 31.897 ; 57.783.985.433 ; 2.447 ; 31.400.298.098 ; 2.681 ; 23.042.004.736 ; 5.128 ; 54.442.302.834 ; 37.025 ; 112.226.288.267 ;
5;60.746.948;BANCO BRADESCO S.A.; 24.632 ; 17.356.929.852 ; 53.431 ; 7.407.567.848 ; 128.065 ; 10.256.305.425 ; 100.533 ; 14.411.846.465 ; 306.661 ; 49.432.649.591 ; 1.983 ; 12.093.760.878 ; 2.065 ; 17.745.295.385 ; 4.048 ; 29.839.056.263 ; 310.709 ; 79.271.705.854 ;
6;00.000.000;BANCO DO BRASIL S.A.; 41.230 ; 18.898.079.646 ; 73.879 ; 12.436.301.658 ; 188.767 ; 8.141.254.982 ; 126.127 ; 11.878.927.555 ; 430.003 ; 51.354.563.840 ; 1.490 ; 7.827.937.983 ; 1.498 ; 11.365.476.305 ; 2.988 ; 19.193.414.288 ; 432.991 ; 70.547.978.129 ;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 581 ; 931.710.895 ; 2.973 ; 1.075.876.096 ; 765 ; 3.014.063.893 ; 1.740 ; 2.657.365.686 ; 6.059 ; 7.679.016.570 ; 1.845 ; 24.472.106.733 ; 1.961 ; 24.709.825.167 ; 3.806 ; 49.181.931.899 ; 9.865 ; 56.860.948.470 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 1.282 ; 4.917.009.874 ; 5.556 ; 2.697.544.077 ; 9.012 ; 5.611.778.663 ; 16.264 ; 4.805.842.331 ; 32.114 ; 18.032.174.945 ; 978 ; 16.730.638.061 ; 2.447 ; 18.114.749.787 ; 3.425 ; 34.845.387.848 ; 35.539 ; 52.877.562.793 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 773 ; 4.213.728.499 ; 3.758 ; 2.697.478.855 ; 2.498 ; 11.640.638.894 ; 3.706 ; 14.647.564.937 ; 10.735 ; 33.199.411.185 ; 973 ; 7.689.703.981 ; 539 ; 6.194.031.969 ; 1.512 ; 13.883.735.950 ; 12.247 ; 47.083.147.135 ;
