Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Set/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.329 ; 486.238.633 ; 3.962 ; 683.001.514 ; 4.572 ; 4.146.332.689 ; 4.548 ; 2.464.073.189 ; 14.411 ; 7.779.646.026 ; 3.950 ; 14.740.515.151 ; 3.716 ; 16.486.520.490 ; 7.666 ; 31.227.035.641 ; 22.077 ; 39.006.681.666 ;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 4.801 ; 9.055.563.995 ; 4.025 ; 12.362.337.435 ; 8.827 ; 21.456.901.430 ; 358 ; 8.750.409.571 ; 293 ; 6.149.053.574 ; 651 ; 14.899.463.146 ; 9.478 ; 36.356.364.575 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.992 ; 7.137.380.423 ; 1.720 ; 8.354.145.287 ; 3.712 ; 15.491.525.710 ; 216 ; 7.781.270.521 ; 225 ; 6.961.573.069 ; 441 ; 14.742.843.590 ; 4.153 ; 30.234.369.300 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 1.303 ; 2.684.794.518 ; 10.367 ; 1.618.365.152 ; 2.640 ; 3.765.109.621 ; 9.963 ; 6.387.053.838 ; 24.273 ; 14.455.323.129 ; 2.749 ; 8.543.153.716 ; 5.882 ; 7.055.362.903 ; 8.631 ; 15.598.516.620 ; 32.904 ; 30.053.839.749 ;
19;58.160.789;BANCO SAFRA S.A.; 1.553 ; 889.256.035 ; 7.136 ; 772.356.382 ; 7.378 ; 2.080.994.962 ; 18.432 ; 2.569.462.889 ; 34.499 ; 6.312.070.269 ; 1.300 ; 6.768.109.726 ; 1.256 ; 6.258.850.372 ; 2.556 ; 13.026.960.098 ; 37.055 ; 19.339.030.367 ;
20;61.820.817;BANCO PAULISTA S.A.; 1.028 ; 554.766.024 ; 3.188 ; 227.843.164 ; 6.255 ; 930.480.759 ; 9.697 ; 994.369.119 ; 20.168 ; 2.707.459.067 ; 10.808 ; 4.959.983.203 ; 87.673 ; 5.245.899.730 ; 98.481 ; 10.205.882.933 ; 118.649 ; 12.913.342.000 ;
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 118 ; 326.574.051 ; 713 ; 277.153.153 ; 620 ; 1.384.254.828 ; 580 ; 792.257.966 ; 2.031 ; 2.780.239.998 ; 1.054 ; 4.198.033.942 ; 1.228 ; 4.816.341.495 ; 2.282 ; 9.014.375.437 ; 4.313 ; 11.794.615.435 ;
22;00.360.305;CAIXA ECONOMICA FEDERAL; 2.544 ; 1.620.623.050 ; 1.890 ; 78.607.875 ; 43.668 ; 748.731.618 ; 11.926 ; 2.505.959.517 ; 60.028 ; 4.953.922.060 ; 835 ; 2.705.012.563 ; 1.051 ; 2.453.625.311 ; 1.886 ; 5.158.637.874 ; 61.914 ; 10.112.559.934 ;
23;49.336.860;ING BANK N.V.; 263 ; 1.311.248.242 ; 57 ; 82.086.855 ; 102 ; 448.515.793 ; 653 ; 488.107.388 ; 1.075 ; 2.329.958.277 ; 149 ; 2.863.572.999 ; 185 ; 4.057.898.161 ; 334 ; 6.921.471.160 ; 1.409 ; 9.251.429.437 ;
24;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 78 ; 618.472.012 ; 4 ; 8.139.247 ; 192 ; 503.332.985 ; 452 ; 216.655.590 ; 726 ; 1.346.599.835 ; 541 ; 3.201.181.409 ; 595 ; 4.098.526.595 ; 1.136 ; 7.299.708.004 ; 1.862 ; 8.646.307.839 ;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.285 ; 348.494.318 ; 3.953 ; 543.427.033 ; 3.143 ; 2.432.070.103 ; 4.386 ; 1.148.022.130 ; 12.767 ; 4.472.013.584 ; 483 ; 1.243.984.324 ; 644 ; 2.333.154.683 ; 1.127 ; 3.577.139.007 ; 13.894 ; 8.049.152.591 ;
26;71.027.866;BANCO BONSUCESSO S.A.; 100 ; 7.367.660 ; 100 ; 8.578.204 ; 369 ; 79.827.883 ; 1.665 ; 70.615.040 ; 2.234 ; 166.388.786 ; 2.173 ; 3.736.738.077 ; 4.761 ; 3.733.109.730 ; 6.934 ; 7.469.847.808 ; 9.168 ; 7.636.236.593 ;
27;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 460 ; 849.920.502 ;;; 742 ; 476.037.084 ; 598 ; 2.126.588.218 ; 1.800 ; 3.452.545.804 ; 79 ; 2.021.123.370 ; 35 ; 1.570.820.194 ; 114 ; 3.591.943.563 ; 1.914 ; 7.044.489.368 ;
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 593 ; 1.600.397.686 ; 148 ; 115.602.780 ; 705 ; 1.279.369.008 ; 1.823 ; 1.383.339.907 ; 3.269 ; 4.378.709.381 ; 138 ; 470.135.752 ; 200 ; 2.090.225.445 ; 338 ; 2.560.361.198 ; 3.607 ; 6.939.070.578 ;
29;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 67 ; 80.616.273 ; 219 ; 3.309.715.460 ; 286 ; 3.390.331.733 ; 201 ; 3.306.417.689 ; 35 ; 77.223.322 ; 236 ; 3.383.641.011 ; 522 ; 6.773.972.744 ;
30;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 657 ; 22.363.192 ; 7.510 ; 330.766.413 ; 4.077 ; 366.440.231 ; 14.210 ; 487.272.925 ; 26.454 ; 1.206.842.761 ; 11.080 ; 2.897.779.623 ; 73.264 ; 2.470.480.992 ; 84.344 ; 5.368.260.615 ; 110.798 ; 6.575.103.375 ;
31;62.232.889;BANCO DAYCOVAL S.A.; 2.300 ; 304.399.712 ; 3.251 ; 223.898.805 ; 4.373 ; 202.752.697 ; 13.881 ; 966.697.339 ; 23.805 ; 1.697.748.554 ; 3.821 ; 2.499.841.935 ; 11.878 ; 1.915.333.473 ; 15.699 ; 4.415.175.407 ; 39.504 ; 6.112.923.961 ;
32;68.900.810;BANCO RENDIMENTO S.A.; 113 ; 10.169.226 ; 546 ; 120.295.365 ; 141.589 ; 761.386.734 ; 12.233 ; 729.573.850 ; 154.481 ; 1.621.425.175 ; 3.455 ; 1.934.038.506 ; 77.002 ; 1.902.206.850 ; 80.457 ; 3.836.245.356 ; 234.938 ; 5.457.670.531 ;
33;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 821 ; 324.884.825 ; 538 ; 105.539.801 ; 367 ; 1.366.463.250 ; 1.552 ; 725.539.506 ; 3.278 ; 2.522.427.382 ; 194 ; 1.029.131.165 ; 265 ; 1.824.275.463 ; 459 ; 2.853.406.628 ; 3.737 ; 5.375.834.010 ;
34;78.632.767;BANCO OURINVEST S.A.; 416 ; 174.954.660 ; 3.167 ; 127.870.090 ; 2.772 ; 350.216.598 ; 6.471 ; 317.232.738 ; 12.826 ; 970.274.086 ; 2.812 ; 1.930.963.515 ; 61.669 ; 1.912.670.637 ; 64.481 ; 3.843.634.153 ; 77.307 ; 4.813.908.238 ;
35;10.690.848;BANCO DA CHINA BRASIL S.A.; 87 ; 439.608.809 ; 103 ; 19.015.930 ; 119 ; 1.479.404.170 ; 415 ; 1.186.658.094 ; 724 ; 3.124.687.003 ; 181 ; 342.806.594 ; 225 ; 1.016.146.722 ; 406 ; 1.358.953.316 ; 1.130 ; 4.483.640.319 ;
36;13.059.145;BEXS BANCO DE CÂMBIO S/A; 322 ; 1.272.981.858 ; 912 ; 24.414.579 ; 1.469 ; 254.509.169 ; 3.663 ; 565.545.287 ; 6.366 ; 2.117.450.892 ; 1.881 ; 659.233.033 ; 2.281 ; 1.597.085.501 ; 4.162 ; 2.256.318.534 ; 10.528 ; 4.373.769.426 ;
37;28.195.667;BANCO ABC BRASIL S.A.; 612 ; 236.217.417 ; 1.121 ; 90.332.351 ; 220 ; 665.838.989 ; 2.168 ; 570.145.865 ; 4.121 ; 1.562.534.623 ; 363 ; 1.260.355.182 ; 423 ; 1.188.852.620 ; 786 ; 2.449.207.803 ; 4.907 ; 4.011.742.426 ;
38;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 39.012.310 ; 238 ; 724.095.267 ; 280 ; 1.038.844.066 ; 519 ; 1.801.951.643 ; 226 ; 1.022.675.532 ; 236 ; 677.596.143 ; 462 ; 1.700.271.675 ; 981 ; 3.502.223.318 ;
39;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 336 ; 295.750.914 ; 905 ; 105.255.634 ; 490 ; 685.564.634 ; 592 ; 313.600.937 ; 2.323 ; 1.400.172.119 ; 669 ; 757.648.611 ; 700 ; 1.320.098.787 ; 1.369 ; 2.077.747.399 ; 3.692 ; 3.477.919.518 ;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 232 ; 380.507.312 ; 185 ; 173.170.601 ; 82 ; 508.103.276 ; 754 ; 446.381.648 ; 1.253 ; 1.508.162.838 ; 39 ; 352.169.044 ; 56 ; 562.183.182 ; 95 ; 914.352.226 ; 1.348 ; 2.422.515.064 ;
41;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 170 ; 45.681.501 ; 707 ; 94.943.204 ; 444 ; 984.673.348 ; 657 ; 866.051.032 ; 1.978 ; 1.991.349.086 ; 457 ; 142.306.493 ; 221 ; 213.763.354 ; 678 ; 356.069.846 ; 2.656 ; 2.347.418.933 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 334.848 ; 929 ; 493.094.370 ; 1.699 ; 413.450.938 ; 2.629 ; 906.880.156 ; 155 ; 583.216.829 ; 306 ; 710.736.679 ; 461 ; 1.293.953.508 ; 3.090 ; 2.200.833.664 ;
43;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 7.761 ; 634.770.046 ; 8.641 ; 400.299.067 ; 3.175 ; 164.417.061 ; 10.199 ; 308.167.892 ; 29.776 ; 1.507.654.067 ; 252 ; 302.697.846 ; 295 ; 389.480.212 ; 547 ; 692.178.057 ; 30.323 ; 2.199.832.124 ;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 811 ; 18.286.469 ; 4.674 ; 106.450.701 ; 10.238 ; 110.427.822 ; 18.745 ; 426.128.579 ; 34.468 ; 661.293.572 ; 24.663 ; 800.705.060 ; 2.376 ; 396.646.033 ; 27.039 ; 1.197.351.093 ; 61.507 ; 1.858.644.664 ;
45;58.616.418;BANCO FIBRA S.A.; 918 ; 187.578.814 ; 2.992 ; 236.424.924 ; 294 ; 235.454.962 ; 1.485 ; 430.612.445 ; 5.689 ; 1.090.071.145 ; 116 ; 527.848.366 ; 72 ; 215.375.529 ; 188 ; 743.223.895 ; 5.877 ; 1.833.295.041 ;
46;03.609.817;BANCO CARGILL S.A.; 146 ; 542.195.665 ; 19 ; 30.258.267 ; 52 ; 228.174.624 ; 170 ; 176.891.709 ; 387 ; 977.520.265 ; 15 ; 130.389.716 ; 41 ; 693.500.000 ; 56 ; 823.889.716 ; 443 ; 1.801.409.981 ;
47;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 4 ; 1.270.173 ; 343 ; 198.741.714 ; 317 ; 419.401.109 ; 2.106 ; 182.457.123 ; 2.770 ; 801.870.119 ; 324 ; 230.611.099 ; 92 ; 270.083.445 ; 416 ; 500.694.544 ; 3.186 ; 1.302.564.662 ;
48;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 719 ; 296.426.774 ; 703 ; 464.592.879 ; 1.422 ; 761.019.653 ; 259 ; 319.305.732 ; 203 ; 151.155.361 ; 462 ; 470.461.093 ; 1.884 ; 1.231.480.746 ;
49;33.923.798;BANCO MÁXIMA S.A.; 222 ; 3.104.567 ; 1.045 ; 32.421.116 ; 303 ; 15.450.578 ; 729 ; 14.648.449 ; 2.299 ; 65.624.710 ; 688 ; 584.623.457 ; 1.769 ; 556.349.137 ; 2.457 ; 1.140.972.594 ; 4.756 ; 1.206.597.304 ;
