Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 298 ; 1.294.698.276 ; 183 ; 888.496.975 ; 481 ; 2.183.195.251 ; 13 ; 392.815.544 ; 55 ; 1.386.689.492 ; 68 ; 1.779.505.037 ; 549 ; 3.962.700.287 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 136 ; 247.943.055 ; 1.155 ; 159.615.834 ; 318 ; 463.095.029 ; 1.165 ; 694.229.870 ; 2.774 ; 1.564.883.788 ; 301 ; 1.213.155.273 ; 796 ; 939.112.782 ; 1.097 ; 2.152.268.055 ; 3.871 ; 3.717.151.844 ;;;;
18;00.360.305;CAIXA ECONOMICA FEDERAL; 259 ; 61.755.706 ; 207 ; 5.870.078 ; 4.878 ; 109.655.783 ; 1.599 ; 1.457.225.072 ; 6.943 ; 1.634.506.639 ; 75 ; 1.419.754.905 ; 69 ; 128.672.725 ; 144 ; 1.548.427.630 ; 7.087 ; 3.182.934.268 ;;;;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 180 ; 330.533.165 ; 625 ; 178.318.401 ; 354 ; 655.436.318 ; 1.145 ; 690.480.337 ; 2.304 ; 1.854.768.221 ; 73 ; 524.676.342 ; 88 ; 257.209.409 ; 161 ; 781.885.751 ; 2.465 ; 2.636.653.972 ;;;;
20;61.820.817;BANCO PAULISTA S.A.; 97 ; 67.957.040 ; 401 ; 26.342.433 ; 680 ; 120.864.517 ; 1.256 ; 160.746.483 ; 2.434 ; 375.910.473 ; 1.258 ; 824.547.809 ; 12.030 ; 810.748.201 ; 13.288 ; 1.635.296.010 ; 15.722 ; 2.011.206.483 ;;;;
21;49.336.860;ING BANK N.V.; 30 ; 110.999.663 ; 4 ; 3.757.519 ; 9 ; 170.584.348 ; 79 ; 23.130.700 ; 122 ; 308.472.231 ; 27 ; 398.253.760 ; 34 ; 593.928.190 ; 61 ; 992.181.950 ; 183 ; 1.300.654.181 ;;;;
22;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;;; 21 ; 550.020.000 ; 21 ; 550.020.000 ; 21 ; 550.020.000 ;;; 21 ; 550.020.000 ; 42 ; 1.100.040.000 ;;;;
23;58.160.789;BANCO SAFRA S.A.; 149 ; 110.277.241 ; 781 ; 89.373.652 ; 846 ; 188.179.588 ; 2.591 ; 245.090.849 ; 4.367 ; 632.921.329 ; 103 ; 224.078.151 ; 101 ; 241.630.997 ; 204 ; 465.709.147 ; 4.571 ; 1.098.630.476 ;;;;
24;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 140 ; 32.417.984 ; 394 ; 84.297.745 ; 367 ; 265.986.695 ; 577 ; 259.515.320 ; 1.478 ; 642.217.744 ; 72 ; 247.613.259 ; 99 ; 202.546.551 ; 171 ; 450.159.810 ; 1.649 ; 1.092.377.554 ;;;;
25;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 50 ; 642.599 ; 940 ; 49.279.102 ; 372 ; 45.930.635 ; 1.809 ; 85.019.753 ; 3.171 ; 180.872.089 ; 1.555 ; 465.826.372 ; 9.847 ; 378.972.120 ; 11.402 ; 844.798.492 ; 14.573 ; 1.025.670.581 ;;;;
