Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 74 ; 151.944.524 ; 195 ; 68.554.532 ; 300 ; 372.992.903 ; 365 ; 413.006.315 ; 934 ; 1.006.498.273 ; 82 ; 945.374.215 ; 104 ; 790.696.706 ; 186 ; 1.736.070.922 ; 1.120 ; 2.742.569.195 ;
18;53.518.684;BANCO HSBC S.A.; 13 ; 123.463.892 ; 235 ; 54.223.120 ; 42 ; 200.626.382 ; 137 ; 507.362.261 ; 427 ; 885.675.655 ; 116 ; 836.416.579 ; 147 ; 504.638.148 ; 263 ; 1.341.054.727 ; 690 ; 2.226.730.382 ;
19;28.195.667;BANCO ABC BRASIL S.A.; 157 ; 136.674.725 ; 364 ; 41.324.658 ; 85 ; 130.923.036 ; 257 ; 133.172.546 ; 863 ; 442.094.965 ; 158 ; 360.130.657 ; 356 ; 766.938.174 ; 514 ; 1.127.068.831 ; 1.377 ; 1.569.163.795 ;
20;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 101 ; 5.851.312 ; 706 ; 35.217.571 ; 278 ; 134.785.975 ; 60.932 ; 79.245.347 ; 62.017 ; 255.100.205 ; 284 ; 602.340.821 ; 424 ; 625.547.026 ; 708 ; 1.227.887.847 ; 62.725 ; 1.482.988.052 ;
21;58.160.789;BANCO SAFRA S.A.; 253 ; 224.855.717 ; 1.102 ; 120.636.117 ; 808 ; 187.915.555 ; 1.152 ; 428.087.049 ; 3.315 ; 961.494.438 ; 188 ; 226.725.759 ; 178 ; 75.217.190 ; 366 ; 301.942.949 ; 3.681 ; 1.263.437.387 ;
22;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 3 ; 10.576.035 ; 1 ; 1.133.316 ; 4 ; 11.709.351 ; 3 ; 550.849.056 ; 3 ; 550.000.000 ; 6 ; 1.100.849.056 ; 10 ; 1.112.558.406 ;
23;31.872.495;BANCO C6 S.A.; 25 ; 4.354.625 ; 138 ; 59.369.716 ; 306 ; 71.602.224 ; 3.031 ; 306.210.871 ; 3.500 ; 441.537.436 ; 95 ; 447.856.111 ; 122 ; 162.353.350 ; 217 ; 610.209.462 ; 3.717 ; 1.051.746.898 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 137 ; 269.407.866 ; 11 ; 3.168.285 ; 67 ; 41.268.853 ; 272 ; 312.579.736 ; 487 ; 626.424.740 ; 41 ; 189.097.621 ; 42 ; 236.108.955 ; 83 ; 425.206.576 ; 570 ; 1.051.631.317 ;
25;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 102 ; 31.136.496 ; 388 ; 467.274.010 ; 490 ; 498.410.506 ; 62 ; 441.390.671 ; 6 ; 35.000.000 ; 68 ; 476.390.671 ; 558 ; 974.801.177 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 41 ; 3.197.009 ; 155 ; 12.225.717 ; 114.113 ; 345.512.196 ; 9.104 ; 78.226.991 ; 123.413 ; 439.161.911 ; 1.192 ; 120.268.523 ; 5.324 ; 388.615.399 ; 6.516 ; 508.883.923 ; 129.929 ; 948.045.834 ;
27;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 3 ; 457.241 ;;; 168 ; 348.354.885 ; 190 ; 279.402.651 ; 361 ; 628.214.777 ; 11 ; 70.097.855 ; 25 ; 235.112.436 ; 36 ; 305.210.290 ; 397 ; 933.425.067 ;
28;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 685 ; 106.488.827 ; 1.686 ; 55.909.542 ; 1.539 ; 105.225.575 ; 3.331 ; 290.688.692 ; 7.241 ; 558.312.637 ; 1.830 ; 251.602.416 ; 3.152 ; 114.574.715 ; 4.982 ; 366.177.131 ; 12.223 ; 924.489.768 ;
29;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 160 ; 103.006.630 ; 605 ; 44.141.075 ; 308 ; 195.280.589 ; 459 ; 18.716.030 ; 1.532 ; 361.144.323 ; 107 ; 201.498.194 ; 109 ; 351.498.024 ; 216 ; 552.996.218 ; 1.748 ; 914.140.542 ;
30;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 16 ; 72.373.494 ; 25 ; 22.856.122 ; 14 ; 132.207.095 ; 134 ; 282.671.914 ; 189 ; 510.108.626 ; 16 ; 190.735.338 ; 16 ; 113.237.604 ; 32 ; 303.972.942 ; 221 ; 814.081.567 ;
31;49.336.860;ING BANK N.V.; 18 ; 86.981.695 ;;; 13 ; 1.624.021 ; 42 ; 3.170.485 ; 73 ; 91.776.201 ; 14 ; 312.834.929 ; 23 ; 398.816.876 ; 37 ; 711.651.805 ; 110 ; 803.428.006 ;
32;62.232.889;BANCO DAYCOVAL S.A.; 491 ; 73.172.850 ; 876 ; 98.340.539 ; 73.267 ; 111.788.319 ; 1.231 ; 51.151.815 ; 75.865 ; 334.453.524 ; 204 ; 122.187.457 ; 328 ; 160.098.328 ; 532 ; 282.285.786 ; 76.397 ; 616.739.309 ;
33;33.264.668;BANCO XP S.A.; 63 ; 116.864.875 ; 463 ; 71.804.068 ; 213 ; 153.916.579 ; 566 ; 153.492.195 ; 1.305 ; 496.077.717 ; 12 ; 36.036.337 ; 4 ; 70.000.000 ; 16 ; 106.036.337 ; 1.321 ; 602.114.054 ;
34;78.632.767;BANCO OURINVEST S.A.; 689 ; 77.124.805 ; 1.876 ; 131.107.642 ; 4.215 ; 64.669.130 ; 2.211 ; 100.904.645 ; 8.991 ; 373.806.223 ; 775 ; 159.265.789 ; 941 ; 47.977.014 ; 1.716 ; 207.242.803 ; 10.707 ; 581.049.026 ;
35;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 26 ; 77.819.631 ;;; 32 ; 17.121.114 ; 1 ; 48.877 ; 59 ; 94.989.622 ; 3 ; 68.721.875 ; 17 ; 408.805.624 ; 20 ; 477.527.499 ; 79 ; 572.517.121 ;
36;07.679.404;BANCO TOPÁZIO S.A.; 40 ; 18.797.654 ; 30 ; 4.847.057 ; 293 ; 35.022.359 ; 443 ; 191.028.820 ; 806 ; 249.695.890 ; 352 ; 218.148.246 ; 765 ; 76.183.411 ; 1.117 ; 294.331.657 ; 1.923 ; 544.027.546 ;
37;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 64 ; 66.143.888 ; 256 ; 68.424.358 ; 19 ; 144.900.167 ; 240 ; 63.493.252 ; 579 ; 342.961.664 ; 33 ; 69.926.155 ; 15 ; 91.888.111 ; 48 ; 161.814.266 ; 627 ; 504.775.930 ;
38;33.923.798;BANCO MÁXIMA S.A.; 100 ; 8.455.133 ; 302 ; 10.336.939 ; 10.516 ; 173.938.417 ; 27.098 ; 157.084.277 ; 38.016 ; 349.814.766 ; 46 ; 27.993.414 ; 34 ; 38.072.150 ; 80 ; 66.065.564 ; 38.096 ; 415.880.330 ;
39;33.042.953;CITIBANK N.A.;;;;; 1 ; 547 ; 5 ; 77.310 ; 6 ; 77.857 ;;; 1 ; 415.000.000 ; 1 ; 415.000.000 ; 7 ; 415.077.857 ;
