Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 102 ; 186.058.583 ; 694 ; 211.990.531 ; 83 ; 201.445.951 ; 328 ; 456.852.023 ; 1.207 ; 1.056.347.089 ; 247 ; 801.632.763 ; 269 ; 501.913.118 ; 516 ; 1.303.545.880 ; 1.723 ; 2.359.892.969 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 171 ; 162.445.588 ; 726 ; 141.416.157 ; 187 ; 164.241.007 ; 690 ; 641.246.936 ; 1.774 ; 1.109.349.688 ; 177 ; 824.905.433 ; 423 ; 374.520.775 ; 600 ; 1.199.426.208 ; 2.374 ; 2.308.775.896 ;
18;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;; 1 ; 178.995 ; 170 ; 708.423.396 ; 294 ; 968.209.714 ; 465 ; 1.676.812.105 ; 16 ; 256.157.627 ; 6 ; 51.219.387 ; 22 ; 307.377.014 ; 487 ; 1.984.189.118 ;
19;33.264.668;BANCO XP S.A.; 104 ; 120.277.063 ; 1.308 ; 274.537.952 ; 447 ; 450.985.035 ; 1.920 ; 237.307.447 ; 3.779 ; 1.083.107.496 ; 29 ; 296.034.371 ; 14 ; 313.740.350 ; 43 ; 609.774.721 ; 3.822 ; 1.692.882.217 ;
20;53.518.684;BANCO HSBC S.A.; 11 ; 52.389.127 ; 132 ; 80.071.012 ; 57 ; 74.270.472 ; 152 ; 347.915.910 ; 352 ; 554.646.521 ; 114 ; 663.472.505 ; 137 ; 458.702.382 ; 251 ; 1.122.174.886 ; 603 ; 1.676.821.407 ;
21;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 692 ; 123.556.804 ; 1.783 ; 64.363.672 ; 1.662 ; 155.439.316 ; 5.373 ; 566.680.426 ; 9.510 ; 910.040.218 ; 1.657 ; 528.240.913 ; 4.081 ; 168.235.429 ; 5.738 ; 696.476.343 ; 15.248 ; 1.606.516.560 ;
22;49.336.860;ING BANK N.V.; 1 ; 3.208.504 ;;; 17 ; 150.599.257 ; 31 ; 26.643.493 ; 49 ; 180.451.254 ; 23 ; 735.945.962 ; 21 ; 685.887.955 ; 44 ; 1.421.833.917 ; 93 ; 1.602.285.171 ;
23;28.195.667;BANCO ABC BRASIL S.A.; 143 ; 112.685.409 ; 457 ; 67.303.667 ; 66 ; 84.002.645 ; 396 ; 127.132.025 ; 1.062 ; 391.123.746 ; 158 ; 607.430.333 ; 441 ; 572.401.242 ; 599 ; 1.179.831.575 ; 1.661 ; 1.570.955.321 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 84 ; 302.288.459 ; 26 ; 116.550.807 ; 82 ; 149.327.243 ; 219 ; 86.484.352 ; 411 ; 654.650.861 ; 42 ; 223.077.938 ; 51 ; 638.419.006 ; 93 ; 861.496.945 ; 504 ; 1.516.147.806 ;
25;09.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;; 81 ; 713.675.227 ; 86 ; 316.495.899 ; 167 ; 1.030.171.126 ; 26 ; 36.595.169 ; 57 ; 424.596.909 ; 83 ; 461.192.077 ; 250 ; 1.491.363.203 ;
26;31.872.495;BANCO C6 S.A.; 25 ; 30.073.905 ; 184 ; 36.116.648 ; 985 ; 116.922.024 ; 7.252 ; 161.955.909 ; 8.446 ; 345.068.487 ; 118 ; 489.340.594 ; 222 ; 446.904.787 ; 340 ; 936.245.381 ; 8.786 ; 1.281.313.868 ;
27;68.900.810;BANCO RENDIMENTO S.A.; 98 ; 6.996.136 ; 148 ; 55.487.617 ; 252.667 ; 407.156.464 ; 2.681 ; 83.427.149 ; 255.594 ; 553.067.366 ; 1.215 ; 165.484.998 ; 7.361 ; 468.804.287 ; 8.576 ; 634.289.286 ; 264.170 ; 1.187.356.651 ;
28;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 86 ; 4.509.308 ; 787 ; 33.508.395 ; 233 ; 5.670.803 ; 17.797 ; 24.901.733 ; 18.903 ; 68.590.240 ; 367 ; 551.278.850 ; 490 ; 507.344.125 ; 857 ; 1.058.622.975 ; 19.760 ; 1.127.213.215 ;
29;78.632.767;BANCO OURINVEST S.A.; 816 ; 81.414.552 ; 2.502 ; 180.701.518 ; 8.354 ; 221.491.605 ; 6.297 ; 120.767.467 ; 17.969 ; 604.375.142 ; 449 ; 157.379.558 ; 2.199 ; 189.760.893 ; 2.648 ; 347.140.451 ; 20.617 ; 951.515.593 ;
30;58.160.789;BANCO SAFRA S.A.; 243 ; 101.824.034 ; 1.130 ; 108.632.559 ; 882 ; 95.214.195 ; 1.453 ; 223.693.165 ; 3.708 ; 529.363.953 ; 221 ; 266.764.175 ; 210 ; 140.760.913 ; 431 ; 407.525.088 ; 4.139 ; 936.889.041 ;
31;07.679.404;BANCO TOPÁZIO S.A.; 64 ; 46.488.797 ; 40 ; 6.904.788 ; 269 ; 21.524.083 ; 583 ; 372.516.282 ; 956 ; 447.433.949 ; 362 ; 376.700.236 ; 849 ; 65.251.895 ; 1.211 ; 441.952.131 ; 2.167 ; 889.386.080 ;
32;62.232.889;BANCO DAYCOVAL S.A.; 505 ; 80.636.673 ; 1.129 ; 146.338.610 ; 64.385 ; 129.606.516 ; 1.489 ; 88.600.345 ; 67.508 ; 445.182.143 ; 282 ; 148.595.906 ; 647 ; 172.410.153 ; 929 ; 321.006.058 ; 68.437 ; 766.188.202 ;
33;58.616.418;BANCO FIBRA S.A.; 123 ; 100.958.126 ; 773 ; 151.853.703 ; 26 ; 13.518.398 ; 188 ; 98.204.125 ; 1.110 ; 364.534.353 ; 96 ; 235.564.165 ; 80 ; 91.083.960 ; 176 ; 326.648.125 ; 1.286 ; 691.182.477 ;
34;62.144.175;BANCO PINE S.A.; 32 ; 14.115.392 ; 342 ; 39.121.372 ; 3 ; 2.621.083 ; 45 ; 9.543.803 ; 422 ; 65.401.650 ; 29 ; 322.000.100 ; 163 ; 286.616.968 ; 192 ; 608.617.068 ; 614 ; 674.018.718 ;
35;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 37 ; 57.476.517 ; 197 ; 48.980.340 ; 58 ; 26.900.268 ; 118 ; 56.138.069 ; 410 ; 189.495.194 ; 91 ; 223.217.528 ; 94 ; 226.597.762 ; 185 ; 449.815.291 ; 595 ; 639.310.485 ;
