Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Mar/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 543 ; 1.127.387.449 ; 2.363 ; 772.833.147 ; 1.024 ; 1.586.991.118 ; 2.994 ; 1.810.475.852 ; 6.924 ; 5.297.687.567 ; 212 ; 3.233.805.728 ; 235 ; 3.037.599.172 ; 447 ; 6.271.404.900 ; 7.371 ; 11.569.092.467 ;
17;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 435 ; 112.124.381 ; 1.351 ; 226.474.297 ; 1.595 ; 995.159.289 ; 1.560 ; 743.961.352 ; 4.941 ; 2.077.719.319 ; 1.021 ; 3.995.733.460 ; 997 ; 4.138.980.532 ; 2.018 ; 8.134.713.992 ; 6.959 ; 10.212.433.311 ;
18;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 480 ; 2.058.040.677 ; 517 ; 2.725.204.121 ; 997 ; 4.783.244.798 ; 56 ; 2.193.306.340 ; 81 ; 2.044.081.447 ; 137 ; 4.237.387.787 ; 1.134 ; 9.020.632.585 ;
19;58.160.789;BANCO SAFRA S.A.; 436 ; 188.474.049 ; 1.852 ; 210.773.207 ; 2.316 ; 321.444.453 ; 6.088 ; 895.350.099 ; 10.692 ; 1.616.041.808 ; 333 ; 2.009.956.851 ; 306 ; 1.345.598.724 ; 639 ; 3.355.555.575 ; 11.331 ; 4.971.597.383 ;
20;00.360.305;CAIXA ECONOMICA FEDERAL; 753 ; 278.867.829 ; 503 ; 17.115.385 ; 14.757 ; 186.029.935 ; 3.873 ; 1.941.972.801 ; 19.886 ; 2.423.985.950 ; 220 ; 1.962.105.868 ; 247 ; 464.808.934 ; 467 ; 2.426.914.803 ; 20.353 ; 4.850.900.753 ;
21;61.820.817;BANCO PAULISTA S.A.; 299 ; 177.186.604 ; 1.026 ; 74.226.870 ; 2.005 ; 318.699.485 ; 2.440 ; 293.836.768 ; 5.770 ; 863.949.727 ; 3.114 ; 1.456.837.452 ; 23.971 ; 1.591.372.922 ; 27.085 ; 3.048.210.374 ; 32.855 ; 3.912.160.101 ;
22;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 44 ; 94.511.512 ; 292 ; 97.285.181 ; 110 ; 237.401.865 ; 173 ; 208.996.647 ; 619 ; 638.195.205 ; 270 ; 1.248.822.607 ; 352 ; 1.285.982.698 ; 622 ; 2.534.805.305 ; 1.241 ; 3.173.000.510 ;
23;49.336.860;ING BANK N.V.; 75 ; 225.221.261 ; 25 ; 18.347.069 ; 23 ; 192.668.966 ; 216 ; 97.520.276 ; 339 ; 533.757.572 ; 61 ; 818.993.339 ; 68 ; 1.070.380.332 ; 129 ; 1.889.373.671 ; 468 ; 2.423.131.243 ;
24;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 188 ; 4.399.911 ; 2.243 ; 113.989.739 ; 1.049 ; 124.757.172 ; 3.918 ; 153.211.228 ; 7.398 ; 396.358.050 ; 3.885 ; 999.464.052 ; 22.407 ; 859.312.108 ; 26.292 ; 1.858.776.160 ; 33.690 ; 2.255.134.209 ;
25;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 1 ; 3.863.000 ; 54 ; 1.118.860.000 ; 55 ; 1.122.723.000 ; 54 ; 1.118.860.000 ; 1 ; 3.863.000 ; 55 ; 1.122.723.000 ; 110 ; 2.245.446.000 ;
26;62.232.889;BANCO DAYCOVAL S.A.; 754 ; 83.468.276 ; 905 ; 85.335.047 ; 1.409 ; 68.581.755 ; 4.071 ; 450.906.902 ; 7.139 ; 688.291.980 ; 1.091 ; 909.849.463 ; 3.849 ; 593.677.403 ; 4.940 ; 1.503.526.867 ; 12.079 ; 2.191.818.847 ;
27;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 172 ; 356.172.361 ;;; 231 ; 135.966.050 ; 200 ; 279.003.335 ; 603 ; 771.141.747 ; 15 ; 250.997.238 ; 21 ; 1.165.346.725 ; 36 ; 1.416.343.963 ; 639 ; 2.187.485.709 ;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 24 ; 233.166.362 ; 1 ; 353.180 ; 61 ; 132.186.246 ; 145 ; 26.245.099 ; 231 ; 391.950.888 ; 196 ; 707.453.331 ; 212 ; 1.042.963.111 ; 408 ; 1.750.416.442 ; 639 ; 2.142.367.330 ;
29;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 375 ; 91.529.070 ; 1.176 ; 203.564.323 ; 997 ; 512.124.141 ; 1.431 ; 398.753.752 ; 3.979 ; 1.205.971.285 ; 170 ; 458.718.176 ; 196 ; 459.562.294 ; 366 ; 918.280.470 ; 4.345 ; 2.124.251.756 ;
30;71.027.866;BANCO BONSUCESSO S.A.; 6 ; 173.967 ; 8 ; 774.164 ; 104 ; 15.159.127 ; 451 ; 18.370.965 ; 569 ; 34.478.222 ; 663 ; 1.031.956.526 ; 997 ; 1.031.610.088 ; 1.660 ; 2.063.566.615 ; 2.229 ; 2.098.044.837 ;
31;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 155 ; 416.868.046 ; 41 ; 50.398.933 ; 229 ; 318.330.897 ; 421 ; 407.161.016 ; 846 ; 1.192.758.892 ; 52 ; 141.158.106 ; 73 ; 691.234.139 ; 125 ; 832.392.245 ; 971 ; 2.025.151.137 ;
32;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 52 ; 61.341.940 ; 202 ; 28.424.736 ; 97 ; 424.018.176 ; 145 ; 54.562.976 ; 496 ; 568.347.827 ; 156 ; 375.609.550 ; 170 ; 779.578.962 ; 326 ; 1.155.188.512 ; 822 ; 1.723.536.339 ;
33;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 39.012.310 ; 153 ; 198.270.322 ; 163 ; 421.974.362 ; 317 ; 659.256.994 ; 152 ; 589.615.134 ; 162 ; 415.399.302 ; 314 ; 1.005.014.436 ; 631 ; 1.664.271.430 ;
