Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Fev/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
16;59.588.111;BANCO VOTORANTIM S.A.; 430 ; 538.906.177 ; 1.936 ; 541.410.452 ; 475 ; 654.532.310 ; 1.231 ; 663.313.417 ; 4.072 ; 2.398.162.356 ; 512 ; 1.180.523.607 ; 1.035 ; 1.536.513.554 ; 1.547 ; 2.717.037.161 ; 5.619 ; 5.115.199.517 ;
17;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 14 ; 97.245.825 ; 4 ; 1.383.898 ; 40 ; 98.206.121 ; 104 ; 38.741.527 ; 162 ; 235.577.370 ; 158 ; 2.347.135.444 ; 167 ; 2.503.643.230 ; 325 ; 4.850.778.674 ; 487 ; 5.086.356.044 ;
18;02.801.938;BANCO MORGAN STANLEY S.A.; 9 ; 132.500.000 ; 10 ; 6.491.915 ; 906 ; 1.929.269.720 ; 397 ; 982.681.486 ; 1.322 ; 3.050.943.121 ; 12 ; 430.000.000 ; 48 ; 1.555.000.000 ; 60 ; 1.985.000.000 ; 1.382 ; 5.035.943.121 ;
19;53.518.684;BANCO HSBC S.A.; 48 ; 363.295.282 ; 343 ; 682.190.077 ; 177 ; 613.635.645 ; 225 ; 171.753.163 ; 793 ; 1.830.874.167 ; 290 ; 1.361.932.838 ; 298 ; 1.454.545.576 ; 588 ; 2.816.478.414 ; 1.381 ; 4.647.352.581 ;
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 218 ; 426.716.822 ; 378 ; 147.538.178 ; 646 ; 639.207.044 ; 700 ; 550.496.743 ; 1.942 ; 1.763.958.788 ; 338 ; 1.180.759.637 ; 386 ; 1.420.453.560 ; 724 ; 2.601.213.197 ; 2.666 ; 4.365.171.985 ;
21;33.264.668;BANCO XP S.A.; 467 ; 316.619.853 ; 3.560 ; 552.953.434 ; 2.326 ; 699.136.010 ; 7.638 ; 1.283.324.659 ; 13.991 ; 2.852.033.956 ; 118 ; 1.144.774.397 ; 77 ; 179.465.381 ; 195 ; 1.324.239.777 ; 14.186 ; 4.176.273.733 ;
22;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.693 ; 212.884.216 ; 4.484 ; 158.796.248 ; 4.612 ; 561.640.737 ; 14.577 ; 1.329.970.286 ; 25.366 ; 2.263.291.486 ; 3.544 ; 1.215.047.335 ; 11.105 ; 517.533.790 ; 14.649 ; 1.732.581.124 ; 40.015 ; 3.995.872.611 ;
23;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 408 ; 1.275.738.100 ; 458 ; 1.147.275.475 ; 866 ; 2.423.013.575 ; 48 ; 775.078.171 ; 42 ; 376.061.516 ; 90 ; 1.151.139.686 ; 956 ; 3.574.153.262 ;
24;31.872.495;BANCO C6 S.A.; 121 ; 136.789.177 ; 1.286 ; 140.350.685 ; 4.050 ; 574.862.164 ; 59.843 ; 598.316.969 ; 65.300 ; 1.450.318.995 ; 236 ; 981.269.708 ; 321 ; 860.371.480 ; 557 ; 1.841.641.188 ; 65.857 ; 3.291.960.183 ;
25;78.632.767;BANCO OURINVEST S.A.; 1.968 ; 196.698.640 ; 4.290 ; 399.661.962 ; 24.740 ; 251.541.372 ; 93.741 ; 513.175.900 ; 124.739 ; 1.361.077.874 ; 1.226 ; 873.208.886 ; 16.941 ; 413.112.438 ; 18.167 ; 1.286.321.324 ; 142.906 ; 2.647.399.197 ;
