Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em MARÄO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
15;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 24 ; 57.962.110 ; 9 ; 4.388.199 ; 171 ; 1.780.457.165 ; 167 ; 1.554.330.397 ; 371 ; 3.397.137.871 ; 84 ; 466.780.398 ; 32 ; 677.394.223 ; 116 ; 1.144.174.621 ; 487 ; 4.541.312.492 ;;;;
16;61.820.817;BANCO PAULISTA S.A.; 52 ; 1.878.915 ; 312 ; 26.031.571 ; 1.274 ; 69.163.527 ; 2.289 ; 211.682.935 ; 3.927 ; 308.756.948 ; 1.289 ; 2.101.453.203 ; 8.508 ; 1.911.435.605 ; 9.797 ; 4.012.888.808 ; 13.724 ; 4.321.645.756 ;;;;
17;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 478 ; 1.475.932.429 ; 350 ; 767.765.401 ; 828 ; 2.243.697.830 ; 14 ; 350.000.000 ; 42 ; 930.500.000 ; 56 ; 1.280.500.000 ; 884 ; 3.524.197.830 ;;;;
18;58.160.789;BANCO SAFRA S.A.; 167 ; 220.919.617 ; 964 ; 226.247.549 ; 772 ; 112.758.212 ; 2.836 ; 311.805.854 ; 4.739 ; 871.731.233 ; 105 ; 1.255.519.205 ; 85 ; 935.144.180 ; 190 ; 2.190.663.385 ; 4.929 ; 3.062.394.618 ;;;;
19;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 5 ; 51.917.343 ; 149 ; 25.652.175 ; 143 ; 396.531.826 ; 217 ; 544.397.572 ; 514 ; 1.018.498.916 ; 100 ; 1.036.463.332 ; 113 ; 716.684.568 ; 213 ; 1.753.147.900 ; 727 ; 2.771.646.816 ;;;;
20;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 209 ; 655.401.700 ; 207 ; 738.916.128 ; 416 ; 1.394.317.828 ; 14 ; 614.652.339 ; 14 ; 564.657.020 ; 28 ; 1.179.309.359 ; 444 ; 2.573.627.186 ;;;;
21;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 161 ; 71.027.240 ; 500 ; 99.841.698 ; 481 ; 272.712.782 ; 437 ; 204.973.769 ; 1.579 ; 648.555.489 ; 241 ; 733.559.431 ; 276 ; 772.145.038 ; 517 ; 1.505.704.469 ; 2.096 ; 2.154.259.957 ;;;;
22;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 17 ; 388.763 ; 330 ; 17.988.380 ; 108 ; 7.914.810 ; 607 ; 20.830.366 ; 1.062 ; 47.122.318 ; 1.010 ; 843.326.852 ; 9.713 ; 807.046.853 ; 10.723 ; 1.650.373.705 ; 11.785 ; 1.697.496.022 ;;;;
23;62.232.889;BANCO DAYCOVAL S.A.; 108 ; 24.912.403 ; 351 ; 41.323.278 ; 477 ; 524.853.644 ; 3.042 ; 107.633.612 ; 3.978 ; 698.722.937 ; 237 ; 267.093.700 ; 325 ; 671.616.911 ; 562 ; 938.710.611 ; 4.540 ; 1.637.433.549 ;;;;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 30 ; 144.358.783 ; 46 ; 23.759.043 ; 50 ; 114.980.271 ; 185 ; 103.910.030 ; 311 ; 387.008.126 ; 32 ; 316.743.309 ; 36 ; 466.757.142 ; 68 ; 783.500.451 ; 379 ; 1.170.508.577 ;;;;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 119 ; 61.125.380 ; 345 ; 203.963.076 ; 284 ; 225.357.732 ; 445 ; 74.542.395 ; 1.193 ; 564.988.584 ; 43 ; 223.824.249 ; 48 ; 236.725.344 ; 91 ; 460.549.592 ; 1.284 ; 1.025.538.176 ;;;;
