Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em MARÄO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
64;00.997.185;BANCO BM&FBOVESPA DE SERVIÄOS DE LIQUIDAÄ«O E CUST‡DIA S.A.;;;;; 38 ; 28.092.455 ; 22 ; 22.764.737 ; 60 ; 50.857.193 ; 17 ; 22.609.000 ; 22 ; 27.903.000 ; 39 ; 50.512.000 ; 99 ; 101.369.193 ;;;;
65;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 30 ; 308.431 ; 869 ; 22.908.737 ; 535 ; 8.477.519 ; 2.233 ; 27.372.344 ; 3.667 ; 59.067.032 ; 349 ; 41.509.134 ; 1 ; 99.432 ; 350 ; 41.608.566 ; 4.017 ; 100.675.598 ;;;;
66;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 5 ; 13.700.000 ; 6 ; 8.917.277 ; 6 ; 40.002.957 ; 38 ; 715.367 ; 55 ; 63.335.601 ; 1 ; 2.500.000 ; 7 ; 31.500.000 ; 8 ; 34.000.000 ; 63 ; 97.335.601 ;;;;
67;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;; 103 ; 284.797 ; 2.231 ; 46.071.958 ; 2.334 ; 46.356.756 ; 426 ; 46.124.634 ; 6 ; 84.587 ; 432 ; 46.209.220 ; 2.766 ; 92.565.976 ;;;;
68;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 71 ; 23.385.107 ; 101 ; 7.505.420 ; 12 ; 15.209.533 ; 51 ; 928.656 ; 235 ; 47.028.716 ; 41 ; 7.388.167 ; 29 ; 37.598.645 ; 70 ; 44.986.812 ; 305 ; 92.015.527 ;;;;
69;12.586.596;MULTIMONEY CORRETORA DE C∂MBIO LTDA; 13 ; 1.008.256 ; 179 ; 3.416.530 ; 343 ; 1.430.474 ; 1.658 ; 20.806.979 ; 2.193 ; 26.662.239 ; 950 ; 40.412.612 ; 529 ; 19.082.615 ; 1.479 ; 59.495.227 ; 3.672 ; 86.157.466 ;;;;
70;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 577 ; 34.214.766 ; 236 ; 11.285.692 ; 95 ; 852.627 ; 324 ; 1.370.010 ; 1.232 ; 47.723.094 ; 20 ; 8.010.325 ; 75 ; 29.923.712 ; 95 ; 37.934.037 ; 1.327 ; 85.657.131 ;;;;
71;11.495.073;OM DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA;;; 21 ; 902.725 ; 598 ; 2.182.744 ; 1.703 ; 22.508.841 ; 2.322 ; 25.594.310 ; 925 ; 39.095.278 ; 115 ; 17.404.247 ; 1.040 ; 56.499.525 ; 3.362 ; 82.093.835 ;;;;
72;17.453.575;ICBC DO BRASIL BANCO MÈLTIPLO S.A.;;; 3 ; 35.845.810 ; 5 ; 40.791.371 ; 6 ; 27.969 ; 14 ; 76.665.150 ;;; 1 ; 5.000.000 ; 1 ; 5.000.000 ; 15 ; 81.665.150 ;;;;
73;58.616.418;BANCO FIBRA S.A.; 54 ; 6.962.572 ; 205 ; 15.007.506 ; 77 ; 3.765.800 ; 210 ; 14.135.404 ; 546 ; 39.871.280 ; 48 ; 31.602.447 ; 24 ; 9.998.656 ; 72 ; 41.601.103 ; 618 ; 81.472.383 ;;;;
74;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 42 ; 1.659.197 ; 849 ; 29.154.805 ; 294 ; 5.964.481 ; 884 ; 9.798.847 ; 2.069 ; 46.577.330 ; 321 ; 31.393.838 ; 1 ; 41.595 ; 322 ; 31.435.433 ; 2.391 ; 78.012.762 ;;;;
75;13.728.156;WESTERN UNION CORRETORA DE C∂MBIO S.A.; 2 ; 92.438 ; 19 ; 232.521 ; 387 ; 11.005.641 ; 707 ; 35.118.322 ; 1.115 ; 46.448.922 ; 765 ; 30.294.290 ; 25 ; 1.221.003 ; 790 ; 31.515.293 ; 1.905 ; 77.964.215 ;;;;
76;59.285.411;BANCO PANAMERICANO S.A.; 10 ; 18.248.923 ;;; 4 ; 22.667 ; 22 ; 636.519 ; 36 ; 18.908.110 ;;; 6 ; 56.300.000 ; 6 ; 56.300.000 ; 42 ; 75.208.110 ;;;;
77;00.000.208;BRB - BANCO DE BRASILIA S.A.;;; 54 ; 27.918.985 ; 33 ; 499.016 ; 497 ; 6.257.627 ; 584 ; 34.675.628 ; 25 ; 37.063.860 ; 1 ; 3.000.000 ; 26 ; 40.063.860 ; 610 ; 74.739.488 ;;;;
78;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 2 ; 157.000 ; 10 ; 854.360 ; 13 ; 2.532.742 ; 71 ; 31.963.310 ; 96 ; 35.507.412 ; 28 ; 34.125.253 ; 8 ; 3.375.495 ; 36 ; 37.500.748 ; 132 ; 73.008.160 ;;;;
79;67.391.821;S. HAYATA CORRETORA DE C∂MBIO S.A.; 5 ; 129.296 ; 305 ; 13.769.244 ; 96 ; 1.182.175 ; 4.397 ; 20.804.602 ; 4.803 ; 35.885.318 ; 650 ; 33.946.099 ; 5 ; 708.177 ; 655 ; 34.654.276 ; 5.458 ; 70.539.594 ;;;;
80;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 7 ; 16.520.291 ; 5 ; 750.277 ; 10 ; 1.471.643 ; 19 ; 6.189.396 ; 41 ; 24.931.607 ; 15 ; 13.207.613 ; 18 ; 27.709.102 ; 33 ; 40.916.714 ; 74 ; 65.848.321 ;;;;
81;15.230.501;CATEDRAL CORRETORA DE C∂MBIO E T÷TULOS MOBILIµRIOS LTDA.;;;;;;; 1.185 ; 30.782.714 ; 1.185 ; 30.782.714 ; 107 ; 30.711.011 ;;; 107 ; 30.711.011 ; 1.292 ; 61.493.725 ;;;;
82;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 238 ; 13.715.927 ; 251 ; 8.878.492 ; 110 ; 3.031.905 ; 201 ; 8.716.121 ; 800 ; 34.342.445 ; 22 ; 12.643.126 ; 18 ; 11.361.099 ; 40 ; 24.004.225 ; 840 ; 58.346.669 ;;;;
83;30.723.886;BANCO MODAL S.A.; 8 ; 2.227.758 ; 66 ; 6.584.217 ; 8 ; 1.802.226 ; 44 ; 4.591.704 ; 126 ; 15.205.905 ; 14 ; 36.653.405 ; 10 ; 6.153.267 ; 24 ; 42.806.672 ; 150 ; 58.012.577 ;;;;
84;45.246.410;BRASIL PLURAL S.A. BANCO MÈLTIPLO;;; 14 ; 855.731 ; 38 ; 20.716.051 ; 36 ; 5.976.475 ; 88 ; 27.548.257 ; 22 ; 6.782.095 ; 11 ; 20.677.443 ; 33 ; 27.459.537 ; 121 ; 55.007.794 ;;;;
85;10.690.848;BANCO DA CHINA BRASIL S.A.; 6 ; 544.570 ; 15 ; 356.186 ; 11 ; 25.217.166 ; 26 ; 977.292 ; 58 ; 27.095.213 ; 6 ; 1.107.535 ; 9 ; 25.707.571 ; 15 ; 26.815.106 ; 73 ; 53.910.319 ;;;;
86;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 37 ; 770.131 ; 706 ; 17.818.496 ; 128 ; 3.709.960 ; 708 ; 7.441.771 ; 1.579 ; 29.740.358 ; 303 ; 21.518.752 ; 6 ; 744.250 ; 309 ; 22.263.002 ; 1.888 ; 52.003.360 ;;;;
87;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 22 ; 14.677.250 ; 22 ; 772.306 ; 18 ; 304.616 ; 48 ; 8.370.878 ; 110 ; 24.125.050 ; 13 ; 9.032.339 ; 15 ; 14.832.167 ; 28 ; 23.864.506 ; 138 ; 47.989.556 ;;;;
88;50.579.044;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.; 4 ; 43.485 ; 470 ; 11.780.865 ; 183 ; 1.847.556 ; 1.073 ; 10.925.311 ; 1.730 ; 24.597.217 ; 426 ; 21.700.071 ; 11 ; 868.268 ; 437 ; 22.568.339 ; 2.167 ; 47.165.556 ;;;;
89;02.318.507;BANCO KEB DO BRASIL S.A.;;; 14 ; 8.951.579 ; 30 ; 12.853.237 ; 241 ; 4.636.594 ; 285 ; 26.441.411 ; 14 ; 8.480.000 ; 5 ; 7.710.000 ; 19 ; 16.190.000 ; 304 ; 42.631.411 ;;;;
90;09.516.419;BANCO ORIGINAL DO AGRONEG‡CIO S.A.; 5 ; 2.872.259 ; 46 ; 7.642.440 ; 3 ; 5.419.171 ; 94 ; 2.790.460 ; 148 ; 18.724.330 ; 15 ; 12.464.188 ; 4 ; 10.500.000 ; 19 ; 22.964.188 ; 167 ; 41.688.518 ;;;;
91;60.889.128;BANCO SOFISA S.A.; 111 ; 20.531.691 ; 63 ; 3.789.981 ; 21 ; 3.404.350 ; 90 ; 938.536 ; 285 ; 28.664.558 ; 12 ; 2.030.974 ; 8 ; 9.003.913 ; 20 ; 11.034.888 ; 305 ; 39.699.445 ;;;;
92;08.609.934;NOVO MUNDO CORRETORA DE C∂MBIO S.A.; 1 ; 34.000 ; 40 ; 671.692 ; 324 ; 815.413 ; 1.236 ; 14.250.153 ; 1.601 ; 15.771.258 ; 683 ; 18.394.661 ; 36 ; 4.349.964 ; 719 ; 22.744.625 ; 2.320 ; 38.515.883 ;;;;
93;10.853.017;TURMALINA CORRETORA DE C∂MBIO S.A.;;; 5 ; 125.391 ; 405 ; 1.885.920 ; 1.009 ; 18.496.784 ; 1.419 ; 20.508.095 ; 570 ; 17.062.705 ; 11 ; 307.125 ; 581 ; 17.369.830 ; 2.000 ; 37.877.925 ;;;;
94;77.162.881;DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA; 1 ; 72.419 ; 39 ; 591.879 ; 219 ; 333.541 ; 1.637 ; 3.791.100 ; 1.896 ; 4.788.940 ; 230 ; 17.674.813 ; 41 ; 13.694.370 ; 271 ; 31.369.182 ; 2.167 ; 36.158.122 ;;;;
95;69.251.239;PIONEER CORRETORA DE CAMBIO LTDA; 14 ; 175.608 ; 298 ; 7.258.031 ; 70 ; 950.380 ; 600 ; 7.820.865 ; 982 ; 16.204.884 ; 569 ; 15.188.616 ; 51 ; 1.264.159 ; 620 ; 16.452.775 ; 1.602 ; 32.657.659 ;;;;
96;50.657.675;SLW CORRETORA DE VALORES E C∂MBIO LTDA.;;; 223 ; 11.707.866 ;;; 181 ; 3.997.363 ; 404 ; 15.705.230 ; 177 ; 16.238.127 ; 5 ; 495.464 ; 182 ; 16.733.591 ; 586 ; 32.438.821 ;;;;
97;17.312.786;CORVAL - CORRETORA DE VALORES MOBILIARIOS S/A;;; 125 ; 6.575.235 ; 5 ; 569 ; 98 ; 5.659.068 ; 228 ; 12.234.872 ; 248 ; 14.170.653 ; 12 ; 1.979.008 ; 260 ; 16.149.661 ; 488 ; 28.384.533 ;;;;
98;35.602.606;MIDAS SOCIEDADE CORRETORA DE C∂MBIO S.A.;;; 13 ; 63.856 ; 12 ; 15.270 ; 5.002 ; 13.773.195 ; 5.027 ; 13.852.320 ; 235 ; 13.843.937 ;;; 235 ; 13.843.937 ; 5.262 ; 27.696.257 ;;;;
99;04.062.902;VISION S.A. CORRETORA DE CAMBIO; 11 ; 98.364 ; 299 ; 6.039.496 ; 60 ; 881.124 ; 448 ; 6.533.114 ; 818 ; 13.552.099 ; 730 ; 11.797.362 ; 14 ; 196.965 ; 744 ; 11.994.326 ; 1.562 ; 25.546.425 ;;;;
100;40.353.377;FOURTRADE CORRETORA DE C∂MBIO LTDA.; 32 ; 653.393 ; 149 ; 2.603.530 ; 78 ; 1.056.942 ; 631 ; 8.812.973 ; 890 ; 13.126.838 ; 270 ; 10.083.206 ; 36 ; 460.761 ; 306 ; 10.543.967 ; 1.196 ; 23.670.805 ;;;;
101;06.373.777;BOA VIAGEM SOCIEDADE CORRETORA DE C∂MBIO LTDA.;;; 14 ; 267.068 ; 302 ; 761.931 ; 1.217 ; 7.568.337 ; 1.533 ; 8.597.336 ; 358 ; 10.691.820 ; 45 ; 3.684.511 ; 403 ; 14.376.331 ; 1.936 ; 22.973.667 ;;;;
102;18.287.740;CONECTA CORRETORA DE C∂MBIO LTDA.;;;;; 99 ; 891.505 ; 316 ; 4.492.099 ; 415 ; 5.383.603 ; 123 ; 9.818.100 ; 29 ; 6.216.760 ; 152 ; 16.034.860 ; 567 ; 21.418.463 ;;;;
103;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIµRIOS;;;;; 35 ; 28.038 ; 198 ; 5.147.026 ; 233 ; 5.175.064 ; 236 ; 10.539.734 ; 37 ; 5.407.602 ; 273 ; 15.947.336 ; 506 ; 21.122.399 ;;;;
104;10.838.114;DISTRI-CASH  DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS S.A.;;;;; 74 ; 206.033 ; 115 ; 9.570.399 ; 189 ; 9.776.432 ; 79 ; 9.575.619 ;;; 79 ; 9.575.619 ; 268 ; 19.352.051 ;;;;
105;34.265.629;INTERCAM CORRETORA DE C∂MBIO LTDA.;;; 86 ; 2.394.144 ; 139 ; 1.281.361 ; 1.850 ; 4.739.726 ; 2.075 ; 8.415.231 ; 210 ; 6.873.881 ; 35 ; 1.020.329 ; 245 ; 7.894.210 ; 2.320 ; 16.309.441 ;;;;
106;62.237.649;CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;;;;; 84 ; 131.210 ; 723 ; 7.980.306 ; 807 ; 8.111.517 ; 200 ; 7.895.804 ;;; 200 ; 7.895.804 ; 1.007 ; 16.007.320 ;;;;
107;17.312.083;H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS;;; 3 ; 27.900 ; 364 ; 549.038 ; 1.042 ; 7.722.261 ; 1.409 ; 8.299.199 ; 229 ; 7.056.165 ; 14 ; 26.826 ; 243 ; 7.082.991 ; 1.652 ; 15.382.190 ;;;;
108;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 4 ; 6.750.000 ; 1 ; 67 ;;; 7 ; 16.034 ; 12 ; 6.766.101 ;;; 3 ; 8.500.000 ; 3 ; 8.500.000 ; 15 ; 15.266.101 ;;;;
109;94.968.518;DECYSEO CORRETORA DE CAMBIO LTDA.; 1 ; 39.426 ; 78 ; 2.133.874 ; 33 ; 831.670 ; 581 ; 4.529.782 ; 693 ; 7.534.752 ; 176 ; 6.612.704 ; 15 ; 786.927 ; 191 ; 7.399.631 ; 884 ; 14.934.383 ;;;;
110;07.679.404;BANCO TOPµZIO S.A.; 11 ; 1.144.588 ; 3 ; 16.531 ; 2 ; 10.767 ; 68 ; 6.930.484 ; 84 ; 8.102.370 ; 25 ; 6.018.000 ; 2 ; 220.000 ; 27 ; 6.238.000 ; 111 ; 14.340.370 ;;;;
111;61.033.106;BPN BRASIL BANCO MÈLTIPLO S.A.; 6 ; 4.592.289 ; 1 ; 82.922 ; 15 ; 1.603.303 ; 12 ; 481.390 ; 34 ; 6.759.904 ; 2 ; 935.384 ; 9 ; 6.387.824 ; 11 ; 7.323.208 ; 45 ; 14.083.112 ;;;;
112;19.307.785;MSB BANK S.A. BANCO DE C∂MBIO;;;;; 43 ; 5.846.900 ;;; 43 ; 5.846.900 ;;; 52 ; 7.606.000 ; 52 ; 7.606.000 ; 95 ; 13.452.900 ;;;;
113;34.974.170;HOYA CORRETORA DE VALORES E CAMBIO LTDA; 1 ; 1.636 ; 17 ; 340.972 ; 59 ; 317.164 ; 750 ; 5.949.945 ; 827 ; 6.609.717 ; 111 ; 6.500.991 ; 2 ; 145.000 ; 113 ; 6.645.991 ; 940 ; 13.255.708 ;;;;
114;92.894.922;BANCO ORIGINAL S.A.; 3 ; 2.247.115 ; 10 ; 4.528.083 ;;; 2 ; 36.265 ; 15 ; 6.811.464 ; 1 ; 4.500.000 ; 2 ; 1.100.000 ; 3 ; 5.600.000 ; 18 ; 12.411.464 ;;;;
115;43.653.450;MOEDA SOCIEDADE CORRETORA DE C∂MBIO LTDA.;;; 93 ; 3.492.344 ; 11 ; 305.023 ; 63 ; 2.410.804 ; 167 ; 6.208.171 ; 106 ; 5.855.873 ; 2 ; 254.370 ; 108 ; 6.110.243 ; 275 ; 12.318.414 ;;;;
116;65.982.589;GRACO CORRETORA DE CAMBIO S.A.;;; 98 ; 2.624.026 ; 83 ; 198.124 ; 327 ; 3.146.844 ; 508 ; 5.968.994 ; 220 ; 5.558.852 ; 9 ; 32.496 ; 229 ; 5.591.349 ; 737 ; 11.560.342 ;;;;
117;62.285.390;SOCOPA SOCIEDADE CORRETORA PAULISTA S.A.; 13 ; 400.097 ; 157 ; 3.970.204 ; 70 ; 302.276 ; 339 ; 1.779.000 ; 579 ; 6.451.578 ; 279 ; 4.604.691 ;;; 279 ; 4.604.691 ; 858 ; 11.056.269 ;;;;
118;33.042.151;BANCO DE LA NACION ARGENTINA; 3 ; 3.811.265 ; 10 ; 247.198 ; 254 ; 343.040 ; 71 ; 274.776 ; 338 ; 4.676.279 ; 6 ; 952.374 ; 7 ; 4.502.362 ; 13 ; 5.454.737 ; 351 ; 10.131.016 ;;;;
119;71.590.442;LASTRO RDV DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA.;;; 3 ; 59.343 ; 111 ; 46.824 ; 1.045 ; 3.004.220 ; 1.159 ; 3.110.387 ; 209 ; 4.939.263 ; 14 ; 1.926.635 ; 223 ; 6.865.899 ; 1.382 ; 9.976.286 ;;;;
120;57.582.264;TORRE CORRETORA DE C∂MBIO LTDA;;; 151 ; 3.518.696 ; 4 ; 71.476 ; 231 ; 1.171.184 ; 386 ; 4.761.356 ; 223 ; 4.705.893 ; 3 ; 71.476 ; 226 ; 4.777.369 ; 612 ; 9.538.725 ;;;;
121;14.190.547;CAMBIONET CORRETORA DE C∂MBIO LTDA.;;;;; 186 ; 417.586 ; 595 ; 4.736.858 ; 781 ; 5.154.444 ; 302 ; 4.290.234 ; 2 ; 3.264 ; 304 ; 4.293.498 ; 1.085 ; 9.447.942 ;;;;
122;76.641.497;DOURADA CORRETORA DE C∂MBIO LTDA.; 15 ; 375.661 ; 63 ; 1.509.260 ; 57 ; 104.066 ; 1.142 ; 2.873.375 ; 1.277 ; 4.862.362 ; 164 ; 4.177.750 ; 3 ; 169.000 ; 167 ; 4.346.750 ; 1.444 ; 9.209.112 ;;;;
123;04.902.979;BANCO DA AMAZONIA S.A.; 28 ; 1.591.271 ; 31 ; 1.936.989 ; 20 ; 349.212 ; 41 ; 371.675 ; 120 ; 4.249.146 ; 10 ; 2.358.667 ; 7 ; 2.109.508 ; 17 ; 4.468.175 ; 137 ; 8.717.321 ;;;;
124;17.904.906;BRX CORRETORA DE C∂MBIO LTDA.;;;;; 104 ; 359.603 ; 286 ; 4.213.196 ; 390 ; 4.572.800 ; 227 ; 3.860.381 ;;; 227 ; 3.860.381 ; 617 ; 8.433.181 ;;;;
125;08.520.517;SOL CORRETORA DE C∂MBIO LTDA.;;;;; 196 ; 1.505.148 ; 376 ; 4.008.648 ; 572 ; 5.513.796 ; 117 ; 2.743.365 ;;; 117 ; 2.743.365 ; 689 ; 8.257.161 ;;;;
126;15.482.499;TURC∂MBIO - CORRETORA DE C∂MBIO LTDA.;;;;; 124 ; 374.923 ; 393 ; 3.387.065 ; 517 ; 3.761.988 ; 221 ; 3.187.842 ; 8 ; 183.174 ; 229 ; 3.371.017 ; 746 ; 7.133.005 ;;;;
127;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÈLTIPLO; 12 ; 2.306.167 ; 16 ; 633.537 ; 5 ; 371.065 ; 7 ; 43.861 ; 40 ; 3.354.630 ; 1 ; 207.150 ; 5 ; 2.505.928 ; 6 ; 2.713.078 ; 46 ; 6.067.708 ;;;;
128;73.279.093;PACIFIC INVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;;;;; 226 ; 117.132 ; 1.899 ; 2.805.226 ; 2.125 ; 2.922.358 ; 97 ; 2.710.817 ;;; 97 ; 2.710.817 ; 2.222 ; 5.633.175 ;;;;
129;13.839.639;MELHOR - CORRETORA DE C∂MBIO LTDA.;;;;; 100 ; 231.436 ; 260 ; 2.655.044 ; 360 ; 2.886.480 ; 175 ; 2.398.284 ;;; 175 ; 2.398.284 ; 535 ; 5.284.764 ;;;;
130;19.086.249;EXECUTIVE CORRETORA DE C∂MBIO LTDA.;;; 8 ; 86.520 ; 79 ; 215.426 ; 281 ; 2.349.253 ; 368 ; 2.651.199 ; 195 ; 2.290.035 ; 4 ; 29.062 ; 199 ; 2.319.097 ; 567 ; 4.970.296 ;;;;
131;15.761.217;CORRETORA DE C∂MBIO AÄORIANA LIMITADA.;;;;; 15 ; 10.847 ; 326 ; 2.408.192 ; 341 ; 2.419.038 ; 126 ; 2.365.719 ;;; 126 ; 2.365.719 ; 467 ; 4.784.758 ;;;;
132;16.927.221;AMAZ‚NIA CORRETORA DE C∂MBIO LTDA.;;; 1 ; 12.000 ; 77 ; 149.176 ; 326 ; 2.229.591 ; 404 ; 2.390.768 ; 71 ; 2.192.788 ;;; 71 ; 2.192.788 ; 475 ; 4.583.555 ;;;;
133;04.684.647;ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.; 26 ; 169.676 ; 3 ; 18.080 ; 74 ; 471.165 ; 606 ; 2.152.230 ; 709 ; 2.811.150 ; 94 ; 1.556.567 ; 2 ; 59.515 ; 96 ; 1.616.082 ; 805 ; 4.427.233 ;;;;
134;73.302.408;EXIM CORRETORA DE CAMBIO LTDA;;; 22 ; 281.579 ; 32 ; 230.413 ; 309 ; 1.801.756 ; 363 ; 2.313.748 ; 169 ; 1.937.817 ; 8 ; 77.495 ; 177 ; 2.015.312 ; 540 ; 4.329.060 ;;;;
135;20.155.248;PARMETAL DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA;;; 1 ; 1.200 ; 444 ; 260.472 ; 1.532 ; 2.166.410 ; 1.977 ; 2.428.082 ; 25 ; 1.839.707 ;;; 25 ; 1.839.707 ; 2.002 ; 4.267.789 ;;;;
136;80.202.872;CORREPARTI CORRETORA DE CAMBIO LTDA; 5 ; 171.589 ; 58 ; 1.290.244 ; 8 ; 50.407 ; 214 ; 711.215 ; 285 ; 2.223.455 ; 145 ; 1.911.163 ; 6 ; 114.508 ; 151 ; 2.025.671 ; 436 ; 4.249.125 ;;;;
137;06.132.348;LABOR SOCIEDADE CORRETORA DE C∂MBIO LTDA.;;;;; 648 ; 324.205 ; 1.799 ; 1.870.577 ; 2.447 ; 2.194.782 ; 43 ; 1.463.951 ;;; 43 ; 1.463.951 ; 2.490 ; 3.658.733 ;;;;
138;51.938.876;BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY;;; 1 ; 7.639 ; 39 ; 16.880 ; 12 ; 1.594.741 ; 52 ; 1.619.260 ; 2 ; 1.700.000 ; 1 ; 200.000 ; 3 ; 1.900.000 ; 55 ; 3.519.260 ;;;;
139;17.902.616;POLO CORRETORA DE C∂MBIO LTDA.;;;;; 317 ; 368.775 ; 241 ; 1.723.811 ; 558 ; 2.092.585 ; 75 ; 1.357.455 ;;; 75 ; 1.357.455 ; 633 ; 3.450.040 ;;;;
140;15.219.389;MACRO CORRETORA DE CAMBIO E VALORES MOBILIARIOS LTDA;;; 3 ; 171.016 ;;; 70 ; 1.547.876 ; 73 ; 1.718.892 ; 94 ; 1.718.892 ;;; 94 ; 1.718.892 ; 167 ; 3.437.784 ;;;;
141;17.772.370;VIP'S CORRETORA DE C∂MBIO LTDA.;;;;; 76 ; 160.996 ; 226 ; 1.511.837 ; 302 ; 1.672.833 ; 90 ; 1.341.423 ;;; 90 ; 1.341.423 ; 392 ; 3.014.256 ;;;;
142;59.118.133;BANCO LUSO BRASILEIRO S.A.; 4 ; 134.719 ; 6 ; 330.865 ; 3 ; 151.338 ; 12 ; 728.330 ; 25 ; 1.345.252 ; 7 ; 1.065.000 ; 5 ; 262.393 ; 12 ; 1.327.393 ; 37 ; 2.672.644 ;;;;
143;16.854.999;SINGRATUR CORRETORA DE C∂MBIO LTDA;;;;; 8 ; 5.132 ; 609 ; 1.263.566 ; 617 ; 1.268.698 ; 99 ; 1.234.331 ;;; 99 ; 1.234.331 ; 716 ; 2.503.029 ;;;;
144;59.615.005;PATAC«O DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA.;;;;; 109 ; 63.027 ; 797 ; 1.187.631 ; 906 ; 1.250.657 ; 154 ; 1.092.854 ;;; 154 ; 1.092.854 ; 1.060 ; 2.343.512 ;;;;
145;14.388.334;PARANµ BANCO S.A.; 1 ; 1.000.000 ;;; 1 ; 665 ; 3 ; 4.454 ; 5 ; 1.005.119 ;;; 1 ; 1.000.000 ; 1 ; 1.000.000 ; 6 ; 2.005.119 ;;;;
146;89.784.367;EBADIVAL - E. BAGGIO DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA.;;;;; 42 ; 89.385 ; 377 ; 996.630 ; 419 ; 1.086.015 ; 69 ; 901.960 ;;; 69 ; 901.960 ; 488 ; 1.987.974 ;;;;
147;15.168.152;CONSEGTUR CORRETORA DE C∂MBIO LTDA.;;;;; 2 ; 2.913 ; 115 ; 953.923 ; 117 ; 956.836 ; 105 ; 953.252 ; 2 ; 3.091 ; 107 ; 956.343 ; 224 ; 1.913.179 ;;;;
148;18.145.784;NUMATUR CORRETORA DE C∂MBIO LTDA.;;;;; 63 ; 58.992 ; 315 ; 905.874 ; 378 ; 964.865 ; 48 ; 869.370 ;;; 48 ; 869.370 ; 426 ; 1.834.235 ;;;;
149;69.078.350;J. ALVES CORRETORA DE CAMBIO LTDA;;; 47 ; 541.457 ; 9 ; 298.739 ; 23 ; 84.732 ; 79 ; 924.928 ; 55 ; 553.959 ; 6 ; 228.599 ; 61 ; 782.558 ; 140 ; 1.707.485 ;;;;
150;17.635.177;CONEXION CORRETORA DE C∂MBIO LTDA.;;;;; 22 ; 42.254 ; 320 ; 751.900 ; 342 ; 794.153 ; 65 ; 737.362 ; 3 ; 19.993 ; 68 ; 757.355 ; 410 ; 1.551.508 ;;;;
151;16.789.470;TURISCAM CORRETORA DE C∂MBIO LTDA.;;;;; 351 ; 339.932 ; 567 ; 770.472 ; 918 ; 1.110.404 ; 37 ; 428.205 ;;; 37 ; 428.205 ; 955 ; 1.538.609 ;;;;
152;17.508.380;UNI«O ALTERNATIVA CORRETORA DE C∂MBIO LTDA.;;;;; 69 ; 95.658 ; 110 ; 778.568 ; 179 ; 874.226 ; 54 ; 650.866 ;;; 54 ; 650.866 ; 233 ; 1.525.092 ;;;;
