Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
16;02.801.938;BANCO MORGAN STANLEY S.A.; 1 ; 39.000.000 ;;; 606 ; 966.872.822 ; 295 ; 730.599.774 ; 902 ; 1.736.472.596 ; 22 ; 402.445.113 ; 25 ; 480.901.728 ; 47 ; 883.346.841 ; 949 ; 2.619.819.437 ;;;;
17;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 142 ; 27.383.068 ; 400 ; 82.465.506 ; 544 ; 347.642.592 ; 476 ; 123.929.178 ; 1.562 ; 581.420.344 ; 321 ; 849.050.171 ; 302 ; 1.020.040.663 ; 623 ; 1.869.090.834 ; 2.185 ; 2.450.511.179 ;;;;
18;58.160.789;BANCO SAFRA S.A.; 160 ; 29.094.455 ; 513 ; 53.488.481 ; 756 ; 64.476.065 ; 1.632 ; 438.437.022 ; 3.061 ; 585.496.023 ; 108 ; 1.158.576.975 ; 94 ; 651.667.151 ; 202 ; 1.810.244.126 ; 3.263 ; 2.395.740.149 ;;;;
19;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 99 ; 377.538.423 ; 162 ; 540.054.777 ; 261 ; 917.593.200 ; 14 ; 600.490.440 ; 9 ; 347.282.340 ; 23 ; 947.772.780 ; 284 ; 1.865.365.980 ;;;;
20;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 16 ; 23.490.717 ; 97 ; 19.458.254 ; 26 ; 68.986.454 ; 56 ; 109.933.054 ; 195 ; 221.868.479 ; 92 ; 604.265.693 ; 126 ; 510.155.664 ; 218 ; 1.114.421.357 ; 413 ; 1.336.289.836 ;;;;
21;61.146.577;BANCO BARCLAYS S.A.;;;;; 81 ; 80.775.278 ; 87 ; 288.012.665 ; 168 ; 368.787.942 ; 118 ; 477.098.713 ; 129 ; 347.841.123 ; 247 ; 824.939.836 ; 415 ; 1.193.727.779 ;;;;
22;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 41 ; 140.648.377 ;;; 63 ; 60.345.953 ; 57 ; 51.231.808 ; 161 ; 252.226.138 ; 13 ; 238.454.118 ; 9 ; 645.582.984 ; 22 ; 884.037.103 ; 183 ; 1.136.263.240 ;;;;
23;62.232.889;BANCO DAYCOVAL S.A.; 230 ; 28.539.770 ; 261 ; 13.428.265 ; 512 ; 18.478.999 ; 1.061 ; 334.769.763 ; 2.064 ; 395.216.797 ; 250 ; 430.857.788 ; 1.011 ; 169.142.940 ; 1.261 ; 600.000.728 ; 3.325 ; 995.217.525 ;;;;
24;00.360.305;CAIXA ECONOMICA FEDERAL; 255 ; 155.808.688 ; 142 ; 5.818.056 ; 5.178 ; 49.143.594 ; 1.111 ; 247.437.562 ; 6.686 ; 458.207.900 ; 61 ; 267.794.886 ; 75 ; 213.370.508 ; 136 ; 481.165.394 ; 6.822 ; 939.373.294 ;;;;
25;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 10 ; 83.142.362 ;;; 21 ; 849.044 ; 25 ; 15.646.913 ; 56 ; 99.638.320 ; 74 ; 372.785.848 ; 76 ; 434.545.004 ; 150 ; 807.330.853 ; 206 ; 906.969.172 ;;;;
