Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Junho/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL; 5.881 ; 2.875.957.276 ; 21.608 ; 2.784.742.095 ; 25.893 ; 3.535.876.470 ; 60.942 ; 4.273.659.284 ; 114.324 ; 13.470.235.125 ; 923 ; 24.715.260.083 ; 921 ; 22.575.714.631 ; 1.844 ; 47.290.974.714 ; 116.168 ; 60.761.209.839 ;
2;60.701.190;ITAÚ UNIBANCO S.A.;ITAU - PRUDENCIAL; 9.206 ; 3.450.428.090 ; 33.890 ; 3.784.684.898 ; 46.917 ; 4.034.059.079 ; 60.958 ; 6.951.783.928 ; 150.971 ; 18.220.955.995 ; 559 ; 13.843.854.215 ; 489 ; 10.958.235.281 ; 1.048 ; 24.802.089.496 ; 152.019 ; 43.023.045.491 ;
3;33.172.537;BANCO J.P. MORGAN S.A.;JP MORGAN CHASE - PRUDENCIAL; 381 ; 987.421.299 ; 3.362 ; 1.091.353.837 ; 1.757 ; 4.779.104.454 ; 2.863 ; 5.115.307.089 ; 8.363 ; 11.973.186.679 ; 584 ; 11.914.570.898 ; 879 ; 12.790.834.520 ; 1.463 ; 24.705.405.418 ; 9.826 ; 36.678.592.097 ;
4;33.479.023;BANCO CITIBANK S.A.;CITIBANK - PRUDENCIAL; 1.398 ; 1.576.497.831 ; 6.378 ; 1.966.860.536 ; 6.288 ; 7.688.113.246 ; 10.904 ; 8.164.195.743 ; 24.968 ; 19.395.667.356 ; 213 ; 3.848.675.803 ; 182 ; 2.622.640.907 ; 395 ; 6.471.316.710 ; 25.363 ; 25.866.984.066 ;
5;00.000.000;BANCO DO BRASIL S.A.;BB - PRUDENCIAL; 7.936 ; 4.803.268.245 ; 22.014 ; 2.902.462.462 ; 72.817 ; 4.235.274.374 ; 41.151 ; 5.420.452.640 ; 143.918 ; 17.361.457.721 ; 304 ; 2.090.190.066 ; 300 ; 2.551.156.282 ; 604 ; 4.641.346.348 ; 144.522 ; 22.002.804.069 ;
6;60.746.948;BANCO BRADESCO S.A.;BRADESCO - PRUDENCIAL; 4.164 ; 3.730.990.682 ; 13.560 ; 1.635.624.514 ; 21.830 ; 1.981.863.885 ; 35.783 ; 1.964.707.863 ; 75.337 ; 9.313.186.944 ; 806 ; 3.072.766.479 ; 872 ; 6.374.693.489 ; 1.678 ; 9.447.459.968 ; 77.015 ; 18.760.646.912 ;
7;30.306.294;BANCO BTG PACTUAL S.A.;BTG PACTUAL - PRUDENCIAL; 299 ; 562.124.541 ; 2.080 ; 204.156.831 ; 4.696 ; 926.237.719 ; 16.306 ; 1.670.004.151 ; 23.381 ; 3.362.523.242 ; 327 ; 6.327.682.854 ; 541 ; 7.111.829.522 ; 868 ; 13.439.512.376 ; 24.249 ; 16.802.035.618 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.;BNP PARIBAS - PRUDENCIAL; 156 ; 286.144.749 ; 1.419 ; 433.424.117 ; 1.549 ; 1.626.812.222 ; 2.753 ; 971.118.950 ; 5.877 ; 3.317.500.038 ; 353 ; 3.300.550.555 ; 379 ; 3.951.609.723 ; 732 ; 7.252.160.278 ; 6.609 ; 10.569.660.316 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;BOFA MERRILL LYNCH - PRUDENCIAL; 247 ; 765.442.718 ; 1.134 ; 274.405.827 ; 599 ; 2.175.607.705 ; 760 ; 2.599.508.771 ; 2.740 ; 5.814.965.021 ; 246 ; 2.282.249.123 ; 305 ; 2.053.783.830 ; 551 ; 4.336.032.953 ; 3.291 ; 10.150.997.974 ;
