Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Julho/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
13;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 1.120 ; 1.234.391.605 ; 3.918 ; 755.322.739 ; 1.654 ; 1.775.169.984 ; 2.729 ; 1.970.841.619 ; 9.421 ; 5.735.725.947 ; 6.003 ; 25.099.432.200 ; 6.283 ; 25.432.756.694 ; 12.286 ; 50.532.188.894 ; 21.707 ; 56.267.914.841 ;
14;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO C MBIO - PRUDENCIAL; 1.053 ; 124.888.052 ; 12.303 ; 593.494.895 ; 5.903 ; 251.906.588 ; 59.909 ; 3.059.584.274 ; 79.168 ; 4.029.873.809 ; 3.953 ; 25.608.107.140 ; 4.763 ; 22.331.612.467 ; 8.716 ; 47.939.719.607 ; 87.884 ; 51.969.593.416 ;
15;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 4.797 ; 17.707.936.237 ; 5.535 ; 18.541.793.924 ; 10.332 ; 36.249.730.161 ; 410 ; 7.738.061.766 ; 387 ; 6.902.165.102 ; 797 ; 14.640.226.868 ; 11.129 ; 50.889.957.029 ;
16;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.265 ; 20.088.212.581 ; 2.575 ; 20.204.098.753 ; 4.840 ; 40.292.311.334 ; 119 ; 4.249.883.180 ; 98 ; 4.135.700.000 ; 217 ; 8.385.583.180 ; 5.057 ; 48.677.894.514 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 767 ; 911.640.098 ; 5.041 ; 1.267.895.182 ; 2.231 ; 5.294.250.646 ; 3.954 ; 6.839.786.691 ; 11.993 ; 14.313.572.617 ; 6.802 ; 17.506.253.775 ; 6.791 ; 15.028.401.033 ; 13.593 ; 32.534.654.808 ; 25.586 ; 46.848.227.425 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 8.210 ; 1.410.172.787 ; 55.378 ; 2.590.574.774 ; 72.343 ; 4.275.021.716 ; 276.987 ; 6.428.711.053 ; 412.918 ; 14.704.480.330 ; 1.156 ; 13.666.523.850 ; 1.390 ; 10.186.326.129 ; 2.546 ; 23.852.849.979 ; 415.464 ; 38.557.330.309 ;
19;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 567 ; 1.922.818.013 ; 21 ; 32.435.137 ; 470 ; 1.949.714.451 ; 1.173 ; 1.806.770.194 ; 2.231 ; 5.711.737.795 ; 857 ; 12.565.008.030 ; 963 ; 14.788.063.314 ; 1.820 ; 27.353.071.344 ; 4.051 ; 33.064.809.139 ;
20;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; 1 ; 5.000.000 ; -   ; -   ; 1 ; 5.000.000 ; 39 ; 15.315.933.413 ; 47 ; 15.900.000.000 ; 86 ; 31.215.933.413 ; 87 ; 31.220.933.413 ;
21;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 28 ; 1.073.495.999 ; 4 ; 4.381.827 ; 945 ; 6.659.882.765 ; 980 ; 6.664.618.399 ; 1.957 ; 14.402.378.990 ; 130 ; 4.808.788.840 ; 188 ; 5.891.131.066 ; 318 ; 10.699.919.906 ; 2.275 ; 25.102.298.896 ;
22;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 418 ; 2.197.771.353 ; 1.435 ; 511.948.905 ; 1.551 ; 2.602.190.504 ; 2.361 ; 2.570.542.239 ; 5.765 ; 7.882.453.001 ; 1.988 ; 7.176.910.421 ; 2.042 ; 8.806.221.844 ; 4.030 ; 15.983.132.265 ; 9.795 ; 23.865.585.266 ;
23;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 2.341 ; 1.003.363.716 ; 8.142 ; 852.908.168 ; 160.650 ; 3.792.618.167 ; 117.929 ; 3.791.461.099 ; 289.062 ; 9.440.351.150 ; 2.489 ; 6.825.903.680 ; 2.453 ; 5.745.368.813 ; 4.942 ; 12.571.272.493 ; 294.004 ; 22.011.623.643 ;
24;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 552 ; 1.114.815.408 ; 1.433 ; 487.338.726 ; 742 ; 1.269.804.507 ; 1.205 ; 809.235.310 ; 3.932 ; 3.681.193.951 ; 1.048 ; 7.830.538.176 ; 1.110 ; 8.571.521.513 ; 2.158 ; 16.402.059.689 ; 6.090 ; 20.083.253.640 ;
25;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 1.320 ; 996.020.910 ; 5.561 ; 1.103.262.147 ; 16.639 ; 3.709.950.308 ; 37.113 ; 3.596.278.171 ; 60.633 ; 9.405.511.536 ; 624 ; 4.643.490.921 ; 990 ; 5.076.192.458 ; 1.614 ; 9.719.683.379 ; 62.247 ; 19.125.194.915 ;
26;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 3.354 ; 552.715.218 ; 14.862 ; 2.917.246.176 ; 34.841 ; 1.005.105.592 ; 55.488 ; 2.484.452.087 ; 108.545 ; 6.959.519.073 ; 1.112 ; 6.966.798.281 ; 947 ; 3.158.441.479 ; 2.059 ; 10.125.239.760 ; 110.604 ; 17.084.758.833 ;
27;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 5.761 ; 1.000.486.368 ; 29.536 ; 1.705.954.617 ; 358.232 ; 2.152.594.208 ; 1.700.274 ; 3.380.380.446 ; 2.093.803 ; 8.239.415.639 ; 7.473 ; 4.779.963.918 ; 51.290 ; 2.776.648.464 ; 58.763 ; 7.556.612.382 ; 2.152.566 ; 15.796.028.021 ;
28;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOP ZIO S.A. - PRUDENCIAL; 1.180 ; 213.766.685 ; 5.110 ; 56.496.706 ; 239.711 ; 973.508.648 ; 487.486 ; 4.796.779.626 ; 733.487 ; 6.040.551.665 ; 5.331 ; 5.509.014.838 ; 21.269 ; 1.836.259.319 ; 26.600 ; 7.345.274.157 ; 760.087 ; 13.385.825.822 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 2.694 ; 701.069.571 ; 10.309 ; 1.982.297.059 ; 423.423 ; 3.507.812.442 ; 255.197 ; 2.298.593.030 ; 691.623 ; 8.489.772.102 ; 2.215 ; 2.306.347.505 ; 11.037 ; 2.260.497.309 ; 13.252 ; 4.566.844.814 ; 704.875 ; 13.056.616.916 ;
30;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 55.491 ; 16.943.042 ; 2.105 ; 1.813.766 ; 9.083.207 ; 3.343.373.009 ; 11.710.468 ; 4.140.967.435 ; 20.851.271 ; 7.503.097.252 ; 7.061 ; 2.546.480.284 ; 6.675 ; 1.766.245.966 ; 13.736 ; 4.312.726.250 ; 20.865.007 ; 11.815.823.502 ;
31;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 3.373 ; 417.479.496 ; 15.515 ; 551.640.566 ; 42.543 ; 1.022.378.856 ; 36.740 ; 1.603.643.241 ; 98.171 ; 3.595.142.159 ; 14.787 ; 3.693.211.410 ; 27.377 ; 2.962.230.952 ; 42.164 ; 6.655.442.362 ; 140.335 ; 10.250.584.521 ;
32;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 82 ; 1.605.891.845 ; 18 ; 12.147.660 ; 175 ; 781.784.885 ; 319 ; 445.767.018 ; 594 ; 2.845.591.408 ; 348 ; 2.668.410.304 ; 392 ; 4.597.271.650 ; 740 ; 7.265.681.954 ; 1.334 ; 10.111.273.362 ;
33;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 168 ; 97.005.372 ; 568 ; 131.082.652 ; 333 ; 866.213.160 ; 2.126 ; 1.111.370.049 ; 3.195 ; 2.205.671.233 ; 704 ; 3.695.659.466 ; 685 ; 3.756.427.415 ; 1.389 ; 7.452.086.881 ; 4.584 ; 9.657.758.114 ;
34;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 1.073 ; 889.086.357 ; 4.678 ; 537.881.474 ; 2.152 ; 926.987.121 ; 2.961 ; 749.662.856 ; 10.864 ; 3.103.617.808 ; 599 ; 2.930.073.941 ; 630 ; 3.527.997.069 ; 1.229 ; 6.458.071.010 ; 12.093 ; 9.561.688.818 ;
35;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 728 ; 520.807.102 ; 4.715 ; 718.800.771 ; 634 ; 401.013.206 ; 4.297 ; 770.837.912 ; 10.374 ; 2.411.458.991 ; 835 ; 3.881.515.041 ; 1.074 ; 3.179.482.109 ; 1.909 ; 7.060.997.150 ; 12.283 ; 9.472.456.141 ;
36;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 495 ; 280.956.047 ; 1.742 ; 1.318.323.549 ; 33.307 ; 1.204.271.864 ; 7.005 ; 1.136.685.460 ; 42.549 ; 3.940.236.920 ; 421 ; 3.176.560.713 ; 269 ; 2.180.232.289 ; 690 ; 5.356.793.002 ; 43.239 ; 9.297.029.922 ;
