Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 38 ; 15.081.937.664 ; 14 ; 13.813.500 ; 52 ; 15.095.751.164 ; 14 ; 6.911.349.144 ; 78 ; 14.045.000.000 ; 92 ; 20.956.349.144 ; 144 ; 36.052.100.308 ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 74 ; 405.395.135 ; 73 ; 70.174.453 ; 250 ; 1.117.374.010 ; 603 ; 831.974.221 ; 1.000 ; 2.424.917.820 ; 1.111 ; 15.444.065.526 ; 1.164 ; 16.088.730.381 ; 2.275 ; 31.532.795.908 ; 3.275 ; 33.957.713.728 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.134 ; 2.746.950.604 ; 2.084 ; 1.414.860.320 ; 3.301 ; 4.065.852.439 ; 3.769 ; 4.443.711.060 ; 10.288 ; 12.671.374.422 ; 1.191 ; 8.518.651.104 ; 1.464 ; 9.267.486.922 ; 2.655 ; 17.786.138.025 ; 12.943 ; 30.457.512.448 ;
18;28.195.667;BANCO ABC BRASIL S.A.; 1.647 ; 2.135.544.832 ; 5.288 ; 877.717.684 ; 1.058 ; 3.647.436.951 ; 4.282 ; 3.293.529.603 ; 12.275 ; 9.954.229.070 ; 1.941 ; 7.865.028.253 ; 3.549 ; 9.902.216.613 ; 5.490 ; 17.767.244.866 ; 17.765 ; 27.721.473.936 ;
19;59.588.111;BANCO VOTORANTIM S.A.; 2.349 ; 2.263.483.304 ; 8.598 ; 1.676.185.463 ; 2.372 ; 3.107.678.366 ; 6.261 ; 3.678.556.855 ; 19.580 ; 10.725.903.989 ; 2.336 ; 8.004.161.498 ; 4.397 ; 8.962.240.745 ; 6.733 ; 16.966.402.243 ; 26.313 ; 27.692.306.232 ;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 4 ; 580.094 ; 2 ; 1.678.995 ; 1.991 ; 6.372.315.423 ; 2.278 ; 7.128.927.961 ; 4.275 ; 13.503.502.473 ; 178 ; 4.382.005.887 ; 160 ; 4.278.068.553 ; 338 ; 8.660.074.440 ; 4.613 ; 22.163.576.913 ;
21;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 660 ; 8.417.924.185 ; 762 ; 7.429.738.240 ; 1.422 ; 15.847.662.425 ; 286 ; 2.515.057.177 ; 371 ; 3.583.041.944 ; 657 ; 6.098.099.122 ; 2.079 ; 21.945.761.546 ;
22;53.518.684;BANCO HSBC S.A.; 178 ; 2.061.407.106 ; 1.673 ; 541.222.287 ; 609 ; 1.502.529.706 ; 1.605 ; 3.100.676.004 ; 4.065 ; 7.205.835.103 ; 1.354 ; 5.472.214.193 ; 1.511 ; 5.288.077.492 ; 2.865 ; 10.760.291.685 ; 6.930 ; 17.966.126.788 ;
23;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 7.629 ; 1.082.618.447 ; 22.143 ; 911.117.618 ; 20.740 ; 1.878.965.757 ; 55.663 ; 5.211.185.817 ; 106.175 ; 9.083.887.640 ; 18.568 ; 5.241.398.024 ; 46.035 ; 2.064.133.434 ; 64.603 ; 7.305.531.458 ; 170.778 ; 16.389.419.098 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 1.048 ; 3.229.897.959 ; 230 ; 300.372.370 ; 903 ; 2.085.303.522 ; 2.539 ; 1.474.621.232 ; 4.720 ; 7.090.195.083 ; 588 ; 2.391.842.954 ; 680 ; 5.561.980.738 ; 1.268 ; 7.953.823.692 ; 5.988 ; 15.044.018.775 ;
25;31.872.495;BANCO C6 S.A.; 445 ; 470.636.988 ; 3.008 ; 622.290.328 ; 11.701 ; 1.833.908.854 ; 95.096 ; 2.249.831.231 ; 110.250 ; 5.176.667.401 ; 1.081 ; 5.121.749.563 ; 1.799 ; 4.477.733.265 ; 2.880 ; 9.599.482.827 ; 113.130 ; 14.776.150.228 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 693 ; 64.361.171 ; 1.862 ; 635.776.395 ; 2.920.132 ; 5.059.983.878 ; 45.417 ; 817.967.996 ; 2.968.104 ; 6.578.089.440 ; 14.794 ; 1.692.385.976 ; 75.477 ; 5.355.128.694 ; 90.271 ; 7.047.514.670 ; 3.058.375 ; 13.625.604.109 ;
27;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 935 ; 50.032.299 ; 7.756 ; 356.166.996 ; 2.376 ; 325.816.462 ; 272.918 ; 389.057.999 ; 283.985 ; 1.121.073.756 ; 3.972 ; 5.962.284.099 ; 5.146 ; 5.595.691.240 ; 9.118 ; 11.557.975.339 ; 293.103 ; 12.679.049.095 ;
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 121 ; 638.127.434 ; 176 ; 355.076.845 ; 284 ; 3.049.256.049 ; 1.247 ; 2.196.877.631 ; 1.828 ; 6.239.337.959 ; 156 ; 2.368.307.200 ; 260 ; 3.584.747.229 ; 416 ; 5.953.054.430 ; 2.244 ; 12.192.392.388 ;
29;58.160.789;BANCO SAFRA S.A.; 2.931 ; 1.362.327.537 ; 11.984 ; 1.445.910.950 ; 9.912 ; 1.693.502.256 ; 15.273 ; 2.027.645.878 ; 40.100 ; 6.529.386.620 ; 2.575 ; 2.974.796.421 ; 2.519 ; 2.548.153.141 ; 5.094 ; 5.522.949.562 ; 45.194 ; 12.052.336.182 ;
30;33.264.668;BANCO XP S.A.; 1.853 ; 1.623.875.364 ; 15.290 ; 2.243.272.187 ; 7.163 ; 2.456.318.580 ; 18.784 ; 2.011.542.695 ; 43.090 ; 8.335.008.827 ; 245 ; 1.866.978.523 ; 161 ; 1.561.242.512 ; 406 ; 3.428.221.035 ; 43.496 ; 11.763.229.862 ;
31;49.336.860;ING BANK N.V.; 39 ; 152.608.568 ;;; 130 ; 167.526.677 ; 291 ; 170.043.278 ; 460 ; 490.178.522 ; 191 ; 5.067.789.847 ; 189 ; 5.085.843.540 ; 380 ; 10.153.633.387 ; 840 ; 10.643.811.909 ;
32;78.632.767;BANCO OURINVEST S.A.; 10.299 ; 1.041.762.045 ; 25.349 ; 1.733.526.890 ; 93.018 ; 1.626.172.165 ; 99.269 ; 1.659.146.046 ; 227.935 ; 6.060.607.146 ; 6.201 ; 2.373.075.838 ; 31.927 ; 1.575.756.765 ; 38.128 ; 3.948.832.603 ; 266.063 ; 10.009.439.749 ;
33;62.232.889;BANCO DAYCOVAL S.A.; 6.339 ; 1.007.599.880 ; 12.407 ; 1.209.296.174 ; 811.499 ; 2.165.645.482 ; 18.142 ; 991.681.037 ; 848.387 ; 5.374.222.572 ; 3.111 ; 1.520.144.835 ; 7.115 ; 2.506.730.440 ; 10.226 ; 4.026.875.276 ; 858.613 ; 9.401.097.848 ;
34;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.644 ; 1.008.842.258 ; 7.213 ; 1.043.093.813 ; 3.668 ; 1.640.072.873 ; 5.051 ; 678.174.484 ; 17.576 ; 4.370.183.429 ; 936 ; 1.775.542.361 ; 997 ; 2.625.187.040 ; 1.933 ; 4.400.729.402 ; 19.509 ; 8.770.912.830 ;
35;07.679.404;BANCO TOPÁZIO S.A.; 608 ; 411.813.903 ; 328 ; 39.824.470 ; 2.874 ; 439.488.774 ; 5.052 ; 3.110.218.521 ; 8.862 ; 4.001.345.668 ; 4.396 ; 3.340.115.838 ; 10.508 ; 1.041.269.276 ; 14.904 ; 4.381.385.114 ; 23.766 ; 8.382.730.782 ;
36;58.616.418;BANCO FIBRA S.A.; 1.248 ; 1.214.477.883 ; 9.153 ; 1.535.800.060 ; 338 ; 234.732.291 ; 2.141 ; 866.618.314 ; 12.880 ; 3.851.628.548 ; 899 ; 2.186.652.088 ; 771 ; 1.225.108.273 ; 1.670 ; 3.411.760.362 ; 14.550 ; 7.263.388.910 ;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 570 ; 680.871.247 ; 2.116 ; 496.306.069 ; 649 ; 456.972.376 ; 1.362 ; 614.985.428 ; 4.697 ; 2.249.135.120 ; 886 ; 1.883.891.008 ; 905 ; 2.076.406.431 ; 1.791 ; 3.960.297.438 ; 6.488 ; 6.209.432.558 ;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 759 ; 890.780.104 ; 3.898 ; 574.038.150 ; 252 ; 1.219.896.744 ; 2.767 ; 1.246.729.040 ; 7.676 ; 3.931.444.038 ; 372 ; 886.011.130 ; 280 ; 1.066.429.061 ; 652 ; 1.952.440.191 ; 8.328 ; 5.883.884.228 ;
39;71.027.866;BANCO BS2 S.A.; 4.102 ; 758.615.050 ; 13.823 ; 677.422.250 ; 80.985 ; 1.472.709.686 ; 183.995 ; 1.113.712.475 ; 282.905 ; 4.022.459.460 ; 439 ; 521.695.180 ; 602 ; 982.875.615 ; 1.041 ; 1.504.570.795 ; 283.946 ; 5.527.030.255 ;
40;33.923.798;BANCO MASTER S/A; 1.350 ; 190.397.830 ; 3.899 ; 159.343.958 ; 167.560 ; 1.136.074.317 ; 519.797 ; 1.415.716.032 ; 692.606 ; 2.901.532.138 ; 984 ; 901.002.440 ; 638 ; 598.126.892 ; 1.622 ; 1.499.129.332 ; 694.228 ; 4.400.661.470 ;
