Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Set/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
14;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÈLTIPLO S.A.; 251 ; 864.343.639 ; 221 ; 256.948.420 ; 1.546 ; 13.839.632.743 ; 1.691 ; 12.672.837.401 ; 3.709 ; 27.633.762.203 ; 613 ; 8.235.835.429 ; 323 ; 8.435.700.174 ; 936,0 ; 16.671.535.603 ; 4.645 ; 44.305.297.806 ;
15;61.820.817;BANCO PAULISTA S.A.; 644 ; 110.643.881 ; 3.557 ; 285.527.272 ; 10.946 ; 860.019.629 ; 21.228 ; 2.060.091.576 ; 36.375 ; 3.316.282.357 ; 11.619 ; 17.484.748.480 ; 76.002 ; 16.098.520.961 ; 87.621,0 ; 33.583.269.441 ; 123.996 ; 36.899.551.799 ;
16;61.146.577;BANCO BARCLAYS S.A.; 8 ; 82.708.597 ; 38 ; 56.722.920 ; 1.464 ; 8.037.592.387 ; 1.734 ; 7.669.746.824 ; 3.244 ; 15.846.770.729 ; 1.161 ; 9.538.247.734 ; 1.573 ; 9.865.764.493 ; 2.734,0 ; 19.404.012.227 ; 5.978 ; 35.250.782.956 ;
17;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 133 ; 444.083.062 ; 1.436 ; 203.125.700 ; 1.370 ; 6.404.249.498 ; 2.270 ; 6.234.525.904 ; 5.209 ; 13.285.984.164 ; 1.131 ; 8.761.632.823 ; 1.225 ; 9.593.308.916 ; 2.356,0 ; 18.354.941.740 ; 7.565 ; 31.640.925.903 ;
18;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.361 ; 685.423.451 ; 4.728 ; 1.005.999.473 ; 4.335 ; 2.633.348.589 ; 4.204 ; 1.509.864.099 ; 14.628 ; 5.834.635.612 ; 3.026 ; 11.610.495.760 ; 3.564 ; 12.410.656.069 ; 6.590,0 ; 24.021.151.829 ; 21.218 ; 29.855.787.441 ;
19;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.; 6 ; 30.984.610 ;;; 1.556 ; 7.401.567.982 ; 1.770 ; 7.352.436.719 ; 3.332 ; 14.784.989.311 ; 87 ; 3.450.724.000 ; 95 ; 3.858.595.356 ; 182,0 ; 7.309.319.355 ; 3.514 ; 22.094.308.666 ;
20;58.160.789;BANCO SAFRA S.A.; 1.912 ; 1.674.239.013 ; 9.969 ; 1.577.528.368 ; 7.805 ; 1.407.957.032 ; 28.214 ; 3.318.581.847 ; 47.900 ; 7.978.306.260 ; 1.111 ; 6.790.789.331 ; 975 ; 4.141.765.147 ; 2.086,0 ; 10.932.554.478 ; 49.986 ; 18.910.860.737 ;
21;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 211 ; 6.594.486 ; 3.396 ; 173.432.174 ; 1.375 ; 137.678.854 ; 5.994 ; 253.868.630 ; 10.976 ; 571.574.144 ; 10.775 ; 8.374.418.163 ; 92.563 ; 8.072.515.292 ; 103.338,0 ; 16.446.933.454 ; 114.314 ; 17.018.507.598 ;
22;17.298.092;BANCO ITAÈ BBA S.A.; 2.743 ; 1.395.551.654 ; 6.405 ; 1.402.526.639 ; 2.516 ; 1.731.398.284 ; 5.716 ; 1.921.567.881 ; 17.380 ; 6.451.044.458 ; 326 ; 4.486.715.129 ; 334 ; 4.645.267.412 ; 660,0 ; 9.131.982.541 ; 18.040 ; 15.583.026.999 ;
23;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 267 ; 446.535.910 ;;; 381 ; 3.927.201.505 ; 565 ; 1.657.912.544 ; 1.213 ; 6.031.649.959 ; 43 ; 1.374.051.857 ; 61 ; 4.184.757.150 ; 104,0 ; 5.558.809.007 ; 1.317 ; 11.590.458.965 ;
