Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
15;03.532.415;BANCO ABN AMRO S.A.;;;;; 1.163 ; 7.222.261.427 ; 1.232 ; 6.876.397.015 ; 2.395 ; 14.098.658.442 ; 32 ; 553.241.191 ; 38 ; 893.500.000 ; 70 ; 1.446.741.191 ; 2.465 ; 15.545.399.633 ;
16;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 987 ; 5.328.610.919 ; 810 ; 5.101.475.823 ; 1.797 ; 10.430.086.741 ; 198 ; 2.252.701.029 ; 212 ; 2.479.351.535 ; 410 ; 4.732.052.565 ; 2.207 ; 15.162.139.306 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 1.087 ; 1.219.090.759 ; 3.619 ; 488.441.760 ; 876 ; 1.374.277.548 ; 2.719 ; 835.825.504 ; 8.301 ; 3.917.635.570 ; 1.548 ; 4.611.017.920 ; 2.526 ; 5.643.907.650 ; 4.074 ; 10.254.925.570 ; 12.375 ; 14.172.561.140 ;
18;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 1.878 ; 252.436.013 ; 1.863 ; 261.911.543 ; 25.821 ; 3.263.939.497 ; 31.573 ; 4.302.025.727 ; 61.135 ; 8.080.312.780 ; 6.399 ; 2.660.590.198 ; 19.579 ; 1.635.192.985 ; 25.978 ; 4.295.783.183 ; 87.113 ; 12.376.095.963 ;
19;07.679.404;BANCO TOPÁZIO S.A.; 607 ; 207.678.710 ; 125 ; 49.010.919 ; 96.810 ; 442.799.148 ; 280.487 ; 4.437.931.417 ; 378.029 ; 5.137.420.194 ; 4.086 ; 4.923.439.788 ; 11.753 ; 1.085.640.538 ; 15.839 ; 6.009.080.326 ; 393.868 ; 11.146.500.520 ;
20;31.872.495;BANCO C6 S.A.; 205 ; 544.065.456 ; 2.220 ; 426.092.349 ; 42.330 ; 1.406.808.781 ; 367.311 ; 2.159.082.128 ; 412.066 ; 4.536.048.713 ; 444 ; 3.212.619.468 ; 673 ; 2.659.587.256 ; 1.117 ; 5.872.206.723 ; 413.183 ; 10.408.255.436 ;
21;33.264.668;BANCO XP S.A.; 1.196 ; 567.446.064 ; 8.496 ; 1.647.779.856 ; 13.633 ; 1.301.112.285 ; 72.857 ; 2.634.667.925 ; 96.182 ; 6.151.006.130 ; 413 ; 3.031.919.107 ; 331 ; 832.722.993 ; 744 ; 3.864.642.101 ; 96.926 ; 10.015.648.230 ;
22;28.195.667;BANCO ABC BRASIL S.A.; 396 ; 366.146.124 ; 1.277 ; 379.803.683 ; 859 ; 740.641.924 ; 2.185 ; 699.871.792 ; 4.717 ; 2.186.463.522 ; 533 ; 3.509.456.005 ; 1.077 ; 3.591.747.120 ; 1.610 ; 7.101.203.125 ; 6.327 ; 9.287.666.647 ;
23;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 32 ; 276.625.178 ; 9 ; 1.145.424 ; 83 ; 406.426.005 ; 173 ; 179.584.906 ; 297 ; 863.781.513 ; 334 ; 3.801.788.501 ; 363 ; 4.320.922.259 ; 697 ; 8.122.710.760 ; 994 ; 8.986.492.273 ;
24;78.632.767;BANCO OURINVEST S.A.; 2.897 ; 343.099.599 ; 9.587 ; 586.510.006 ; 110.329 ; 1.320.776.358 ; 160.117 ; 2.611.221.384 ; 282.930 ; 4.861.607.348 ; 3.133 ; 2.642.085.178 ; 45.599 ; 1.225.185.573 ; 48.732 ; 3.867.270.750 ; 331.662 ; 8.728.878.098 ;
