Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.408 ; 2.131.386.657 ; 7.102 ; 1.960.617.995 ; 3.737 ; 5.329.339.580 ; 11.440 ; 7.709.819.201 ; 23.687 ; 17.131.163.434 ; 911 ; 8.656.078.176 ; 804 ; 6.302.775.391 ; 1.715 ; 14.958.853.568 ; 25.402 ; 32.090.017.001 ;;;;
16;49.336.860;ING BANK N.V.; 192 ; 1.203.219.696 ; 123 ; 17.015.741 ; 132 ; 614.105.159 ; 681 ; 424.891.547 ; 1.128 ; 2.259.232.143 ; 179 ; 14.034.631.139 ; 233 ; 15.430.683.533 ; 412 ; 29.465.314.672 ; 1.540 ; 31.724.546.815 ;;;;
17;59.588.111;BANCO VOTORANTIM S.A.; 1.553 ; 2.788.041.237 ; 9.751 ; 1.354.948.194 ; 3.095 ; 3.420.257.802 ; 8.676 ; 4.489.564.865 ; 23.075 ; 12.052.812.097 ; 3.549 ; 8.566.406.074 ; 7.792 ; 8.842.971.814 ; 11.341 ; 17.409.377.888 ; 34.416 ; 29.462.189.985 ;;;;
18;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 222 ; 775.361.648 ; 34 ; 73.841.298 ; 335 ; 632.976.994 ; 526 ; 669.892.238 ; 1.117 ; 2.152.072.179 ; 944 ; 11.967.086.460 ; 987 ; 12.647.744.870 ; 1.931 ; 24.614.831.330 ; 3.048 ; 26.766.903.509 ;;;;
19;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 239 ; 2.048.839.947 ; 1.269 ; 924.282.646 ; 784 ; 2.402.718.222 ; 1.801 ; 3.079.636.315 ; 4.093 ; 8.455.477.130 ; 2.115 ; 8.857.252.006 ; 2.926 ; 9.288.620.478 ; 5.041 ; 18.145.872.484 ; 9.134 ; 26.601.349.615 ;;;;
20;61.820.817;BANCO PAULISTA S.A.; 2.016 ; 1.266.124.283 ; 5.595 ; 423.090.826 ; 9.019 ; 1.589.225.777 ; 16.880 ; 2.307.856.662 ; 33.510 ; 5.586.297.549 ; 17.195 ; 7.291.311.664 ; 145.609 ; 7.436.504.328 ; 162.804 ; 14.727.815.992 ; 196.314 ; 20.314.113.541 ;;;;
21;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 528 ; 1.466.067.795 ;;; 852 ; 1.593.632.579 ; 491 ; 2.254.464.207 ; 1.871 ; 5.314.164.582 ; 78 ; 2.434.586.137 ; 224 ; 6.297.161.801 ; 302 ; 8.731.747.938 ; 2.173 ; 14.045.912.519 ;;;;
22;58.160.789;BANCO SAFRA S.A.; 2.069 ; 1.379.332.698 ; 10.550 ; 1.339.145.468 ; 10.143 ; 1.794.365.737 ; 25.381 ; 3.113.291.694 ; 48.143 ; 7.626.135.596 ; 1.914 ; 3.531.372.825 ; 1.811 ; 2.257.390.619 ; 3.725 ; 5.788.763.444 ; 51.868 ; 13.414.899.041 ;;;;
23;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 985 ; 2.690.468.139 ; 384 ; 392.106.566 ; 799 ; 1.818.908.797 ; 2.497 ; 2.028.937.108 ; 4.665 ; 6.930.420.610 ; 137 ; 1.140.995.967 ; 210 ; 3.563.354.864 ; 347 ; 4.704.350.831 ; 5.012 ; 11.634.771.440 ;;;;
24;00.360.305;CAIXA ECONOMICA FEDERAL; 3.011 ; 1.221.181.359 ; 2.203 ; 73.176.906 ; 69.876 ; 1.123.076.073 ; 18.556 ; 2.694.875.191 ; 93.646 ; 5.112.309.528 ; 1.433 ; 3.258.605.693 ; 1.709 ; 2.831.129.270 ; 3.142 ; 6.089.734.964 ; 96.788 ; 11.202.044.492 ;;;;
