Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
15;60.498.557;BANCO MUFG BRASIL S.A.; 848 ; 263.577.311 ; 2.465 ; 377.850.216 ; 2.532 ; 1.929.367.545 ; 2.743 ; 1.720.111.237 ; 8.588 ; 4.290.906.309 ; 4.212 ; 15.157.688.498 ; 4.441 ; 15.054.984.738 ; 8.653 ; 30.212.673.237 ; 17.241 ; 34.503.579.546 ;;;;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 86 ; 560.318.191 ; 16 ; 52.016.615 ; 217 ; 1.161.930.594 ; 377 ; 714.063.353 ; 696 ; 2.488.328.752 ; 920 ; 13.694.415.439 ; 962 ; 14.640.831.644 ; 1.882 ; 28.335.247.082 ; 2.578 ; 30.823.575.834 ;;;;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.025 ; 7.907.263.538 ; 2.255 ; 8.799.708.758 ; 4.280 ; 16.706.972.296 ; 254 ; 6.700.027.096 ; 223 ; 5.471.774.198 ; 477 ; 12.171.801.294 ; 4.757 ; 28.878.773.591 ;;;;
18;59.588.111;BANCO VOTORANTIM S.A.; 815 ; 1.699.582.461 ; 4.278 ; 850.258.892 ; 2.341 ; 3.119.090.482 ; 4.814 ; 4.128.878.191 ; 12.248 ; 9.797.810.026 ; 2.080 ; 5.689.328.587 ; 3.184 ; 5.555.025.525 ; 5.264 ; 11.244.354.112 ; 17.512 ; 21.042.164.138 ;;;;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 677 ; 1.809.872.572 ; 2.290 ; 1.184.371.672 ; 2.275 ; 3.653.639.039 ; 3.817 ; 5.083.024.363 ; 9.059 ; 11.730.907.646 ; 900 ; 4.521.734.437 ; 1.065 ; 3.526.493.136 ; 1.965 ; 8.048.227.573 ; 11.024 ; 19.779.135.220 ;;;;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 15 ; 1.693.784 ;;; 1.621 ; 4.104.898.226 ; 2.711 ; 5.461.728.290 ; 4.347 ; 9.568.320.300 ; 126 ; 5.110.458.357 ; 144 ; 3.925.644.948 ; 270 ; 9.036.103.305 ; 4.617 ; 18.604.423.605 ;;;;
21;28.195.667;BANCO ABC BRASIL S.A.; 1.075 ; 1.260.184.336 ; 3.381 ; 779.091.344 ; 819 ; 1.673.164.283 ; 2.941 ; 1.292.440.653 ; 8.216 ; 5.004.880.615 ; 1.656 ; 5.430.650.310 ; 2.770 ; 6.160.272.883 ; 4.426 ; 11.590.923.193 ; 12.642 ; 16.595.803.809 ;;;;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 879 ; 4.048.129.103 ; 336 ; 252.391.306 ; 616 ; 1.028.462.795 ; 1.733 ; 870.943.469 ; 3.564 ; 6.199.926.673 ; 199 ; 2.284.374.456 ; 278 ; 5.961.128.217 ; 477 ; 8.245.502.673 ; 4.041 ; 14.445.429.346 ;;;;
23;53.518.684;BANCO HSBC S.A.; 131 ; 850.177.089 ; 629 ; 265.376.109 ; 255 ; 2.181.259.222 ; 691 ; 1.939.288.690 ; 1.706 ; 5.236.101.109 ; 733 ; 2.972.743.418 ; 893 ; 3.800.458.612 ; 1.626 ; 6.773.202.030 ; 3.332 ; 12.009.303.140 ;;;;
24;58.160.789;BANCO SAFRA S.A.; 1.467 ; 817.523.992 ; 5.249 ; 825.089.892 ; 6.148 ; 1.358.454.253 ; 10.719 ; 2.179.724.519 ; 23.583 ; 5.180.792.656 ; 1.122 ; 2.855.514.523 ; 1.063 ; 2.003.601.119 ; 2.185 ; 4.859.115.642 ; 25.768 ; 10.039.908.298 ;;;;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.121 ; 697.756.500 ; 4.567 ; 614.132.202 ; 2.938 ; 1.242.750.467 ; 4.084 ; 1.359.288.122 ; 12.710 ; 3.913.927.291 ; 591 ; 1.852.561.182 ; 634 ; 1.824.036.901 ; 1.225 ; 3.676.598.083 ; 13.935 ; 7.590.525.374 ;;;;
26;68.900.810;BANCO RENDIMENTO S.A.; 260 ; 17.197.660 ; 1.145 ; 184.294.285 ; 790.204 ; 2.238.399.652 ; 45.186 ; 491.664.022 ; 836.795 ; 2.931.555.619 ; 8.902 ; 1.016.151.817 ; 48.166 ; 2.642.778.356 ; 57.068 ; 3.658.930.173 ; 893.863 ; 6.590.485.792 ;;;;
27;78.632.767;BANCO OURINVEST S.A.; 2.726 ; 333.719.808 ; 13.337 ; 797.604.962 ; 13.461 ; 765.533.971 ; 12.537 ; 808.223.545 ; 42.061 ; 2.705.082.286 ; 8.645 ; 1.882.665.067 ; 25.085 ; 1.381.562.052 ; 33.730 ; 3.264.227.119 ; 75.791 ; 5.969.309.405 ;;;;
28;62.232.889;BANCO DAYCOVAL S.A.; 4.252 ; 582.888.540 ; 4.533 ; 319.172.516 ; 56.187 ; 1.170.982.545 ; 10.981 ; 426.212.663 ; 75.953 ; 2.499.256.265 ; 2.274 ; 1.110.445.892 ; 4.279 ; 2.316.470.971 ; 6.553 ; 3.426.916.863 ; 82.506 ; 5.926.173.128 ;;;;
29;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 102 ; 301.001.630 ; 122 ; 264.710.069 ; 148 ; 1.834.824.903 ; 859 ; 701.052.601 ; 1.231 ; 3.101.589.204 ; 76 ; 740.288.901 ; 142 ; 1.949.617.571 ; 218 ; 2.689.906.472 ; 1.449 ; 5.791.495.676 ;;;;
30;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 3.595 ; 472.071.543 ; 11.596 ; 396.222.007 ; 10.726 ; 674.770.954 ; 20.173 ; 1.302.782.611 ; 46.090 ; 2.845.847.115 ; 8.890 ; 1.642.705.782 ; 31.970 ; 1.086.757.302 ; 40.860 ; 2.729.463.084 ; 86.950 ; 5.575.310.199 ;;;;
31;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 641 ; 34.927.304 ; 4.628 ; 178.728.423 ; 1.930 ; 1.135.460.363 ; 682.834 ; 839.905.724 ; 690.033 ; 2.189.021.814 ; 2.121 ; 1.537.498.571 ; 2.585 ; 1.689.975.756 ; 4.706 ; 3.227.474.326 ; 694.739 ; 5.416.496.141 ;;;;
32;58.616.418;BANCO FIBRA S.A.; 555 ; 421.707.794 ; 4.873 ; 800.911.839 ; 424 ; 949.377.351 ; 1.281 ; 930.474.256 ; 7.133 ; 3.102.471.239 ; 345 ; 1.154.123.634 ; 273 ; 808.692.373 ; 618 ; 1.962.816.007 ; 7.751 ; 5.065.287.247 ;;;;
33;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 428 ; 508.627.230 ; 1.299 ; 246.672.332 ; 629 ; 653.218.368 ; 1.112 ; 336.821.336 ; 3.468 ; 1.745.339.266 ; 560 ; 1.010.729.107 ; 602 ; 1.666.290.655 ; 1.162 ; 2.677.019.762 ; 4.630 ; 4.422.359.028 ;;;;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 128 ; 518.978.940 ; 94 ; 3.531.855 ; 102.232 ; 352.923.628 ; 205.425 ; 1.407.736.378 ; 307.879 ; 2.283.170.801 ; 959 ; 1.180.445.447 ; 373 ; 646.476.785 ; 1.332 ; 1.826.922.232 ; 309.211 ; 4.110.093.033 ;;;;
