Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Agosto/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
13;60.498.557;BANCO MUFG BRASIL S.A.;BCO MUFG BRASIL S.A. - PRUDENCIAL; 1.269 ; 1.357.594.214 ; 4.496 ; 858.034.572 ; 1.857 ; 2.121.548.350 ; 3.125 ; 2.156.619.172 ; 10.747 ; 6.493.796.308 ; 6.536 ; 27.360.976.070 ; 6.886 ; 28.051.375.148 ; 13.422 ; 55.412.351.218 ; 24.169 ; 61.906.147.526 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;STATE STREET BRASIL - PRUDENCIAL; -   ; -   ; -   ; -   ; 5.545 ; 20.646.816.044 ; 6.390 ; 21.576.210.576 ; 11.935 ; 42.223.026.620 ; 477 ; 9.125.316.591 ; 452 ; 8.193.146.344 ; 929 ; 17.318.462.935 ; 12.864 ; 59.541.489.555 ;
15;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO;BRAZA BANK BCO C MBIO - PRUDENCIAL; 1.189 ; 141.637.509 ; 14.227 ; 678.788.485 ; 6.796 ; 285.950.206 ; 67.681 ; 3.824.329.574 ; 89.893 ; 4.930.705.774 ; 4.561 ; 29.002.152.239 ; 5.725 ; 24.917.415.061 ; 10.286 ; 53.919.567.300 ; 100.179 ; 58.850.273.074 ;
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;DEUTSCHE - PRUDENCIAL; 867 ; 1.002.282.047 ; 5.942 ; 1.646.326.058 ; 2.663 ; 6.526.616.767 ; 4.642 ; 7.818.920.842 ; 14.114 ; 16.994.145.714 ; 8.001 ; 20.295.112.244 ; 7.982 ; 17.655.079.217 ; 15.983 ; 37.950.191.461 ; 30.097 ; 54.944.337.175 ;
17;03.532.415;BANCO ABN AMRO CLEARING S.A.;BCO ABN AMRO CLEARING - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.571 ; 22.885.016.594 ; 2.929 ; 22.923.777.560 ; 5.500 ; 45.808.794.154 ; 124 ; 4.380.130.230 ; 105 ; 4.405.700.000 ; 229 ; 8.785.830.230 ; 5.729 ; 54.594.624.384 ;
18;33.264.668;BANCO XP S.A.;XP - PRUDENCIAL; 9.407 ; 1.551.802.064 ; 64.306 ; 3.029.543.171 ; 82.591 ; 4.500.513.083 ; 322.822 ; 7.142.450.781 ; 479.126 ; 16.224.309.099 ; 1.420 ; 15.012.327.641 ; 1.647 ; 10.793.697.056 ; 3.067 ; 25.806.024.697 ; 482.193 ; 42.030.333.796 ;
19;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 652 ; 2.131.536.146 ; 25 ; 34.406.658 ; 546 ; 2.328.324.650 ; 1.363 ; 2.121.329.253 ; 2.586 ; 6.615.596.707 ; 958 ; 14.756.933.100 ; 1.073 ; 17.185.429.030 ; 2.031 ; 31.942.362.130 ; 4.617 ; 38.557.958.837 ;
20;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; 1 ; 5.000.000 ; -   ; -   ; 1 ; 5.000.000 ; 40 ; 15.569.208.413 ; 48 ; 16.150.000.000 ; 88 ; 31.719.208.413 ; 89 ; 31.724.208.413 ;
21;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 34 ; 1.144.495.999 ; 6 ; 11.081.827 ; 1.054 ; 7.713.678.439 ; 1.105 ; 7.132.915.492 ; 2.199 ; 16.002.171.757 ; 149 ; 5.201.747.325 ; 221 ; 6.918.835.148 ; 370 ; 12.120.582.473 ; 2.569 ; 28.122.754.230 ;
22;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 475 ; 2.753.003.678 ; 1.691 ; 572.921.700 ; 1.766 ; 3.205.597.326 ; 2.737 ; 2.771.174.211 ; 6.669 ; 9.302.696.915 ; 2.325 ; 8.059.087.951 ; 2.406 ; 10.752.698.274 ; 4.731 ; 18.811.786.225 ; 11.400 ; 28.114.483.140 ;
23;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 2.630 ; 1.099.574.427 ; 9.442 ; 995.669.278 ; 182.336 ; 3.930.511.148 ; 134.147 ; 4.044.216.316 ; 328.555 ; 10.069.971.169 ; 2.865 ; 7.755.593.346 ; 2.817 ; 6.349.022.998 ; 5.682 ; 14.104.616.344 ; 334.237 ; 24.174.587.513 ;
24;61.088.183;BANCO MIZUHO DO BRASIL S.A.;MIZUHO - PRUDENCIAL; 626 ; 1.323.331.403 ; 1.734 ; 599.903.448 ; 849 ; 1.390.065.109 ; 1.384 ; 911.264.115 ; 4.593 ; 4.224.564.075 ; 1.197 ; 9.252.313.170 ; 1.273 ; 10.299.814.164 ; 2.470 ; 19.552.127.334 ; 7.063 ; 23.776.691.409 ;
25;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 1.496 ; 1.149.982.774 ; 6.342 ; 1.267.565.433 ; 19.136 ; 4.028.306.848 ; 43.720 ; 4.075.974.435 ; 70.694 ; 10.521.829.490 ; 672 ; 5.743.407.303 ; 1.147 ; 6.310.511.030 ; 1.819 ; 12.053.918.333 ; 72.513 ; 22.575.747.823 ;
26;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 3.887 ; 626.344.964 ; 17.236 ; 3.315.427.178 ; 39.297 ; 1.120.296.012 ; 62.954 ; 2.885.056.643 ; 123.374 ; 7.947.124.797 ; 1.319 ; 7.948.682.726 ; 1.130 ; 3.606.295.864 ; 2.449 ; 11.554.978.590 ; 125.823 ; 19.502.103.387 ;
27;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 6.706 ; 1.107.406.168 ; 33.857 ; 1.936.713.440 ; 386.604 ; 2.393.010.551 ; 1.792.904 ; 3.942.868.679 ; 2.220.071 ; 9.379.998.838 ; 8.526 ; 5.488.769.199 ; 60.609 ; 3.111.482.393 ; 69.135 ; 8.600.251.592 ; 2.289.206 ; 17.980.250.430 ;
28;07.679.404;BANCO TOPÁZIO S.A.;BANCO TOP ZIO S.A. - PRUDENCIAL; 1.387 ; 244.320.238 ; 5.853 ; 61.420.715 ; 273.485 ; 1.094.168.685 ; 545.258 ; 5.387.016.752 ; 825.983 ; 6.786.926.390 ; 6.118 ; 6.095.509.592 ; 23.833 ; 1.978.658.421 ; 29.951 ; 8.074.168.013 ; 855.934 ; 14.861.094.403 ;
