Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em FEVEREIRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
15;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 517 ; 1.597.534.920 ; 507 ; 1.056.117.991 ; 1.024 ; 2.653.652.911 ; 9 ; 129.000.000 ; 49 ; 995.000.000 ; 58 ; 1.124.000.000 ; 1.082 ; 3.777.652.911 ;;;;
16;59.588.111;BANCO VOTORANTIM S.A.; 61 ; 82.502.246 ; 585 ; 193.027.465 ; 137 ; 200.904.863 ; 568 ; 385.866.923 ; 1.351 ; 862.301.497 ; 140 ; 1.592.383.210 ; 445 ; 967.461.277 ; 585 ; 2.559.844.487 ; 1.936 ; 3.422.145.984 ;;;;
17;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 128 ; 60.824.238 ; 482 ; 97.526.979 ; 445 ; 264.283.267 ; 383 ; 52.835.661 ; 1.438 ; 475.470.144 ; 327 ; 1.358.681.005 ; 420 ; 1.534.789.577 ; 747 ; 2.893.470.582 ; 2.185 ; 3.368.940.726 ;;;;
18;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 13 ; 9.598.503 ; 311 ; 41.866.287 ; 152 ; 621.432.791 ; 269 ; 414.521.523 ; 745 ; 1.087.419.104 ; 142 ; 767.941.845 ; 154 ; 933.704.364 ; 296 ; 1.701.646.209 ; 1.041 ; 2.789.065.313 ;;;;
19;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 11 ; 17.082.566 ;;; 11 ; 17.082.566 ; 2 ; 550.000.000 ; 2 ; 550.000.000 ; 4 ; 1.100.000.000 ; 15 ; 1.117.082.566 ;;;;
20;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 183 ; 545.745.191 ; 181 ; 736.100.511 ; 364 ; 1.281.845.702 ; 7 ; 350.000.000 ; 10 ; 308.219.160 ; 17 ; 658.219.160 ; 381 ; 1.940.064.862 ;;;;
21;11.703.662;BANCO CONFIDENCE DE C∂MBIO S.A.; 15 ; 667.829 ; 317 ; 15.598.710 ; 119 ; 4.728.845 ; 543 ; 29.251.543 ; 994 ; 50.246.927 ; 1.148 ; 815.214.890 ; 9.688 ; 787.964.268 ; 10.836 ; 1.603.179.158 ; 11.830 ; 1.653.426.085 ;;;;
22;58.160.789;BANCO SAFRA S.A.; 231 ; 206.854.969 ; 1.032 ; 237.112.612 ; 818 ; 171.672.037 ; 2.908 ; 270.978.243 ; 4.989 ; 886.617.862 ; 87 ; 338.554.035 ; 75 ; 207.393.659 ; 162 ; 545.947.694 ; 5.151 ; 1.432.565.556 ;;;;
23;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 21 ; 9.483.875 ;;; 36 ; 685.730.354 ; 67 ; 28.720.262 ; 124 ; 723.934.491 ; 3 ; 1.846.650 ; 7 ; 700.000.000 ; 10 ; 701.846.650 ; 134 ; 1.425.781.141 ;;;;
24;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 13 ; 403.000.000 ; 3 ; 157.600.000 ; 16 ; 560.600.000 ; 3 ; 157.600.000 ; 13 ; 403.000.000 ; 16 ; 560.600.000 ; 32 ; 1.121.200.000 ;;;;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 124 ; 172.410.600 ; 301 ; 110.431.338 ; 250 ; 173.211.219 ; 432 ; 86.064.580 ; 1.107 ; 542.117.737 ; 46 ; 184.685.929 ; 58 ; 329.641.399 ; 104 ; 514.327.328 ; 1.211 ; 1.056.445.065 ;;;;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 33 ; 167.855.172 ; 37 ; 11.245.165 ; 55 ; 189.831.522 ; 188 ; 81.832.157 ; 313 ; 450.764.016 ; 29 ; 170.018.517 ; 36 ; 380.040.195 ; 65 ; 550.058.712 ; 378 ; 1.000.822.728 ;;;;
27;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 2 ; 272.847 ;;; 120 ; 45.382.582 ; 118 ; 23.334.458 ; 240 ; 68.989.887 ; 69 ; 409.213.074 ; 75 ; 514.097.652 ; 144 ; 923.310.726 ; 384 ; 992.300.613 ;;;;
28;68.900.810;BANCO RENDIMENTO S.A.; 6 ; 186.840 ; 119 ; 8.010.390 ; 3.050 ; 80.453.738 ; 2.807 ; 179.064.269 ; 5.982 ; 267.715.236 ; 358 ; 362.426.240 ; 6.386 ; 286.779.141 ; 6.744 ; 649.205.381 ; 12.726 ; 916.920.617 ;;;;
29;62.232.889;BANCO DAYCOVAL S.A.; 126 ; 68.313.964 ; 494 ; 69.758.408 ; 559 ; 52.360.851 ; 2.962 ; 113.907.137 ; 4.141 ; 304.340.359 ; 298 ; 281.834.165 ; 324 ; 228.305.946 ; 622 ; 510.140.111 ; 4.763 ; 814.480.470 ;;;;
30;17.298.092;BANCO ITAÈ BBA S.A.;;;;;;;;; -   ; -   ; 2 ; 7.554.038 ; 10 ; 789.617.559 ; 12 ; 797.171.597 ; 12 ; 797.171.597 ;;;;
31;28.195.667;BANCO ABC BRASIL S.A.; 39 ; 34.498.014 ; 104 ; 11.681.586 ; 13 ; 5.209.277 ; 206 ; 19.669.984 ; 362 ; 71.058.862 ; 10 ; 280.774.040 ; 18 ; 272.444.330 ; 28 ; 553.218.370 ; 390 ; 624.277.232 ;;;;
32;49.336.860;ING BANK N.V.; 52 ; 239.933.678 ; 1 ; 3.193.299 ; 6 ; 29.955.255 ; 75 ; 4.745.861 ; 134 ; 277.828.093 ;;; 22 ; 327.000.000 ; 22 ; 327.000.000 ; 156 ; 604.828.093 ;;;;
33;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 129 ; 79.018.602 ; 226 ; 24.841.405 ; 46 ; 9.056.740 ; 313 ; 100.459.788 ; 714 ; 213.376.535 ; 38 ; 109.418.112 ; 39 ; 71.867.957 ; 77 ; 181.286.069 ; 791 ; 394.662.605 ;;;;
34;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 7 ; 1.496.368 ; 4 ; 148.192 ; 4 ; 8.950 ; 5 ; 5.432 ; 20 ; 1.658.942 ; 42 ; 191.850.000 ; 50 ; 194.950.000 ; 92 ; 386.800.000 ; 112 ; 388.458.942 ;;;;
35;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 9 ; 50.000.000 ; 4 ; 5.216.058 ; 19 ; 7.660.108 ; 49 ; 27.114.218 ; 81 ; 89.990.384 ; 20 ; 136.368.385 ; 25 ; 139.001.630 ; 45 ; 275.370.015 ; 126 ; 365.360.399 ;;;;
36;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 3 ; 136.419 ; 26 ; 573.886 ; 58 ; 20.474.746 ; 111 ; 20.590.360 ; 198 ; 41.775.412 ; 89 ; 160.251.300 ; 114 ; 160.505.360 ; 203 ; 320.756.660 ; 401 ; 362.532.072 ;;;;
37;00.360.305;CAIXA ECONOMICA FEDERAL; 89 ; 9.315.187 ; 197 ; 4.659.137 ; 3.405 ; 22.261.983 ; 8.120 ; 58.138.315 ; 11.811 ; 94.374.623 ; 102 ; 145.694.182 ; 97 ; 116.655.337 ; 199 ; 262.349.519 ; 12.010 ; 356.724.142 ;;;;
38;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;;; 2 ; 26.804 ; 12 ; 965.064 ; 20 ; 533.286 ; 34 ; 1.525.154 ; 22 ; 175.350.000 ; 37 ; 173.250.000 ; 59 ; 348.600.000 ; 93 ; 350.125.154 ;;;;
39;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 96 ; 63.581.901 ; 106 ; 21.288.575 ; 202 ; 84.870.476 ; 9 ; 110.064.188 ; 38 ; 151.650.000 ; 47 ; 261.714.188 ; 249 ; 346.584.665 ;;;;
40;15.114.366;BANCO BBM S/A; 19 ; 10.348.466 ; 4 ; 11.849.286 ; 12 ; 818.108 ; 40 ; 1.815.923 ; 75 ; 24.831.784 ; 17 ; 137.007.991 ; 15 ; 171.508.027 ; 32 ; 308.516.019 ; 107 ; 333.347.802 ;;;;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 7 ; 57.922.548 ; 7 ; 4.000.962 ; 9 ; 56.934.823 ; 39 ; 1.184.752 ; 62 ; 120.043.085 ; 7 ; 29.894.517 ; 21 ; 165.869.830 ; 28 ; 195.764.347 ; 90 ; 315.807.432 ;;;;
42;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 23 ; 603.311 ; 421 ; 11.540.039 ; 552 ; 4.390.070 ; 1.492 ; 89.078.272 ; 2.488 ; 105.611.692 ; 3.012 ; 149.138.689 ; 211 ; 53.580.000 ; 3.223 ; 202.718.689 ; 5.711 ; 308.330.381 ;;;;
43;03.512.293;FITTA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.; 4 ; 123.266 ; 29 ; 394.664 ; 352 ; 5.100.344 ; 1.212 ; 27.049.439 ; 1.597 ; 32.667.714 ; 2.504 ; 144.413.755 ; 427 ; 122.031.438 ; 2.931 ; 266.445.193 ; 4.528 ; 299.112.907 ;;;;
44;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 13 ; 49.818.803 ; 11 ; 1.112.987 ; 12 ; 1.211.956 ; 48 ; 5.077.270 ; 84 ; 57.221.015 ; 38 ; 79.819.747 ; 45 ; 150.779.628 ; 83 ; 230.599.375 ; 167 ; 287.820.391 ;;;;
45;13.059.145;BEXS BANCO DE C∂MBIO S/A; 19 ; 3.416.078 ; 136 ; 6.928.768 ; 166 ; 41.836.179 ; 351 ; 25.286.741 ; 672 ; 77.467.766 ; 239 ; 92.220.831 ; 269 ; 105.374.028 ; 508 ; 197.594.860 ; 1.180 ; 275.062.625 ;;;;
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 670 ; 95.973.677 ; 1.227 ; 62.506.993 ; 348 ; 6.962.831 ; 1.436 ; 19.474.880 ; 3.681 ; 184.918.380 ; 25 ; 30.578.817 ; 23 ; 50.681.164 ; 48 ; 81.259.980 ; 3.729 ; 266.178.361 ;;;;
47;52.937.216;BEXS CORRETORA DE C∂MBIO S/A;;;;; 276 ; 612.359 ; 2.972 ; 20.507.232 ; 3.248 ; 21.119.591 ; 646 ; 126.850.237 ; 157 ; 105.924.013 ; 803 ; 232.774.250 ; 4.051 ; 253.893.841 ;;;;
48;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 29 ; 1.092.986 ; 1.505 ; 74.317.415 ; 328 ; 2.121.434 ; 3.220 ; 33.785.642 ; 5.082 ; 111.317.477 ; 1.325 ; 109.477.362 ; 41 ; 3.714.897 ; 1.366 ; 113.192.260 ; 6.448 ; 224.509.736 ;;;;
49;33.923.798;BANCO MµXIMA S.A.; 31 ; 513.269 ; 341 ; 17.566.733 ; 61 ; 19.331.505 ; 255 ; 15.557.476 ; 688 ; 52.968.983 ; 231 ; 87.638.370 ; 1.360 ; 73.069.517 ; 1.591 ; 160.707.887 ; 2.279 ; 213.676.870 ;;;;
50;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.;;;;; 1.342 ; 9.352.310 ; 5.625 ; 66.402.005 ; 6.967 ; 75.754.315 ; 2.024 ; 94.760.120 ; 168 ; 34.840.835 ; 2.192 ; 129.600.954 ; 9.159 ; 205.355.269 ;;;;
51;71.027.866;BANCO BONSUCESSO S.A.;;;;; 76 ; 310.860 ; 173 ; 2.760.305 ; 249 ; 3.071.165 ; 135 ; 95.819.703 ; 380 ; 93.175.263 ; 515 ; 188.994.966 ; 764 ; 192.066.131 ;;;;
